tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
China Smash 2024 Presented by Zhonghui Life,2024-09-27,KUKULKOVA Tatiana,SHAHSAVARI Neda,3,0,"11,11,11|6,3,4",QR1,GRAND_SLAM,WS,2942,Qualification,KUKULKOVA Tatiana (SVK),SHAHSAVARI Neda (IRI),KUKULKOVA Tatiana
China Smash 2024 Presented by Zhonghui Life,2024-09-27,LIAO Cheng-Ting,APOLONIA Tiago,3,1,"10,11,11,11|12,8,4,6",QR1,GRAND_SLAM,MS,2942,Qualification,LIAO Cheng-Ting (TPE),APOLONIA Tiago (POR),LIAO Cheng-Ting
China Smash 2024 Presented by Zhonghui Life,2024-09-27,FILUS Ruwen,DIAW Ibrahima,3,2,"11,7,9,11,11|3,11,11,7,6",QR1,GRAND_SLAM,MS,2942,Qualification,FILUS Ruwen (GER),DIAW Ibrahima (SEN),FILUS Ruwen
China Smash 2024 Presented by Zhonghui Life,2024-09-27,LAM Yee Lok,VIVARELLI Debora,3,0,"11,11,11|4,1,0",QR1,GRAND_SLAM,WS,2942,Qualification,LAM Yee Lok (HKG),VIVARELLI Debora (ITA),LAM Yee Lok
China Smash 2024 Presented by Zhonghui Life,2024-09-27,PORET Thibault,GIONIS Panagiotis,3,1,"6,11,11,11|11,9,9,7",QR1,GRAND_SLAM,MS,2942,Qualification,PORET Thibault (FRA),GIONIS Panagiotis (GRE),PORET Thibault
China Smash 2024 Presented by Zhonghui Life,2024-09-27,DRAGOMAN Andreea,LUPULESKU Izabela,3,2,"3,11,7,11,12|11,2,11,5,10",QR1,GRAND_SLAM,WS,2942,Qualification,DRAGOMAN Andreea (ROU),LUPULESKU Izabela (SRB),DRAGOMAN Andreea
China Smash 2024 Presented by Zhonghui Life,2024-09-27,CHENG Hsien-Tzu,ZHANG Sofia-Xuan,3,0,"11,11,11|7,9,7",QR1,GRAND_SLAM,WS,2942,Qualification,CHENG Hsien-Tzu (TPE),ZHANG Sofia-Xuan (ESP),CHENG Hsien-Tzu
China Smash 2024 Presented by Zhonghui Life,2024-09-28,FAN Siqi,LI Yake,3,0,"11,11,12|8,8,10",QR3,GRAND_SLAM,WS,2942,Qualification,FAN Siqi (CHN),LI Yake (CHN),FAN Siqi
China Smash 2024 Presented by Zhonghui Life,2024-09-28,LIAO Cheng-Ting,WALTHER Ricardo,3,1,"13,10,11,13|11,12,9,11",QR3,GRAND_SLAM,MS,2942,Qualification,LIAO Cheng-Ting (TPE),WALTHER Ricardo (GER),LIAO Cheng-Ting
China Smash 2024 Presented by Zhonghui Life,2024-09-28,MATELOVA Hana,CHENG Hsien-Tzu,3,2,"5,11,11,10,11|11,6,6,12,9",QR3,GRAND_SLAM,WS,2942,Qualification,MATELOVA Hana (CZE),CHENG Hsien-Tzu (TPE),MATELOVA Hana
China Smash 2024 Presented by Zhonghui Life,2024-09-28,CHEN Yi,DING Yijie,3,2,"11,11,11,9,11|3,13,6,11,6",QR3,GRAND_SLAM,WS,2942,Qualification,CHEN Yi (CHN),DING Yijie (CHN),CHEN Yi
China Smash 2024 Presented by Zhonghui Life,2024-09-28,REDZIMSKI Milosz,HABESOHN Daniel,3,2,"7,11,9,11,12|11,7,11,9,10",QR3,GRAND_SLAM,MS,2942,Qualification,REDZIMSKI Milosz (POL),HABESOHN Daniel (AUT),REDZIMSKI Milosz
China Smash 2024 Presented by Zhonghui Life,2024-09-28,XU Haidong,HUANG Yan-Cheng,3,1,"5,11,11,11|11,7,9,7",QR3,GRAND_SLAM,MS,2942,Qualification,XU Haidong (CHN),HUANG Yan-Cheng (TPE),XU Haidong
China Smash 2024 Presented by Zhonghui Life,2024-09-28,WINTER Sabine,BERGAND Filippa,3,0,"11,11,11|4,7,9",QR3,GRAND_SLAM,WS,2942,Qualification,WINTER Sabine (GER),BERGAND Filippa (SWE),WINTER Sabine
China Smash 2024 Presented by Zhonghui Life,2024-09-28,ZENG Beixun,QUEK Izaac,3,1,"11,6,11,11|2,11,9,9",QR3,GRAND_SLAM,MS,2942,Qualification,ZENG Beixun (CHN),QUEK Izaac (SGP),ZENG Beixun
China Smash 2024 Presented by Zhonghui Life,2024-09-28,YU Fu,MONFARDINI Gaia,3,0,"11,11,11|5,8,6",QR3,GRAND_SLAM,WS,2942,Qualification,YU Fu (POR),MONFARDINI Gaia (ITA),YU Fu
China Smash 2024 Presented by Zhonghui Life,2024-09-28,WANG Yang,BARDET Lilian,3,0,"11,12,12|9,10,10",QR3,GRAND_SLAM,MS,2942,Qualification,WANG Yang (SVK),BARDET Lilian (FRA),WANG Yang
China Smash 2024 Presented by Zhonghui Life,2024-09-28,XUE Fei,FILUS Ruwen,3,1,"7,13,11,11|11,11,9,3",QR3,GRAND_SLAM,MS,2942,Qualification,XUE Fei (CHN),FILUS Ruwen (GER),XUE Fei
China Smash 2024 Presented by Zhonghui Life,2024-09-28,WANG Xiaotong,LI Yu-Jhun,3,1,"11,9,11,11|9,11,6,6",QR3,GRAND_SLAM,WS,2942,Qualification,WANG Xiaotong (CHN),LI Yu-Jhun (TPE),WANG Xiaotong
China Smash 2024 Presented by Zhonghui Life,2024-09-28,LAM Yee Lok,DIACONU Adina,3,2,"8,7,15,13,12|11,11,13,11,10",QR3,GRAND_SLAM,WS,2942,Qualification,LAM Yee Lok (HKG),DIACONU Adina (ROU),LAM Yee Lok
China Smash 2024 Presented by Zhonghui Life,2024-09-28,LIU Weishan,MALOBABIC Ivana,3,0,"11,11,11|5,3,9",QR3,GRAND_SLAM,WS,2942,Qualification,LIU Weishan (CHN),MALOBABIC Ivana (CRO),LIU Weishan
China Smash 2024 Presented by Zhonghui Life,2024-09-28,CHEN Yuanyu,KOZUL Deni,3,2,"11,9,11,7,11|9,11,9,11,9",QR3,GRAND_SLAM,MS,2942,Qualification,CHEN Yuanyu (CHN),KOZUL Deni (SLO),CHEN Yuanyu
China Smash 2024 Presented by Zhonghui Life,2024-09-28,OLAH Benedek,WEN Ruibo,3,1,"11,7,11,11|7,11,6,6",QR3,GRAND_SLAM,MS,2942,Qualification,OLAH Benedek (FIN),WEN Ruibo (CHN),OLAH Benedek
China Smash 2024 Presented by Zhonghui Life,2024-09-28,WALTHER Ricardo,AGUIRRE Marcelo,3,2,"14,11,9,14,11|12,5,11,16,6",QR2,GRAND_SLAM,MS,2942,Qualification,WALTHER Ricardo (GER),AGUIRRE Marcelo (PAR),WALTHER Ricardo
China Smash 2024 Presented by Zhonghui Life,2024-09-28,YU Fu,KUKULKOVA Tatiana,3,2,"8,11,8,11,11|11,8,11,8,6",QR2,GRAND_SLAM,WS,2942,Qualification,YU Fu (POR),KUKULKOVA Tatiana (SVK),YU Fu
China Smash 2024 Presented by Zhonghui Life,2024-09-28,DING Yijie,PARK Gahyeon,3,0,"11,11,11|7,7,4",QR2,GRAND_SLAM,WS,2942,Qualification,DING Yijie (CHN),PARK Gahyeon (KOR),DING Yijie
China Smash 2024 Presented by Zhonghui Life,2024-09-28,HUANG Yan-Cheng,STOYANOV Niagol,3,2,"4,13,11,8,11|11,11,9,11,2",QR2,GRAND_SLAM,MS,2942,Qualification,HUANG Yan-Cheng (TPE),STOYANOV Niagol (ITA),HUANG Yan-Cheng
