tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BJARNADOTTIR Kolfinna,RADITLOKO Oabona,3,1,"9,11,11,11|11,7,4,6",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,BJARNADOTTIR Kolfinna (ISL),RADITLOKO Oabona (BOT),BJARNADOTTIR Kolfinna
World Team Table Tennis Championships Tokyo 2014,2014-04-28,DURAZNO Sandra,ORTIZ Yasiris,3,0,"11,11,11|9,8,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,DURAZNO Sandra (ECU),ORTIZ Yasiris (DOM),DURAZNO Sandra
World Team Table Tennis Championships Tokyo 2014,2014-04-28,CAMINO Daniela,BRITO Eva,3,1,"11,11,8,11|8,4,11,9",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,CAMINO Daniela (ECU),BRITO Eva (DOM),CAMINO Daniela
World Team Table Tennis Championships Tokyo 2014,2014-04-28,VILA Lineth,SALAZAR Astrid,3,2,"8,11,11,11,11|11,8,9,13,7",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,SALAZAR Astrid (ECU),VILA Lineth (DOM),VILA Lineth
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BRITO Eva,DURAZNO Sandra,3,0,"11,11,11|6,7,7",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,DURAZNO Sandra (ECU),BRITO Eva (DOM),BRITO Eva
World Team Table Tennis Championships Tokyo 2014,2014-04-28,CAMINO Daniela,ORTIZ Yasiris,3,1,"11,11,4,11|4,5,11,2",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,CAMINO Daniela (ECU),ORTIZ Yasiris (DOM),CAMINO Daniela
World Team Table Tennis Championships Tokyo 2014,2014-04-28,U Sio Mei,MAJOROVA Viktorija,3,1,"12,9,11,11|10,11,7,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,U Sio Mei (MAC),MAJOROVA Viktorija (LAT),U Sio Mei
World Team Table Tennis Championships Tokyo 2014,2014-04-28,MA Chao In,RUSINOVA Diana,3,0,"11,11,11|6,8,7",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,MA Chao In (MAC),RUSINOVA Diana (LAT),MA Chao In
World Team Table Tennis Championships Tokyo 2014,2014-04-28,CHEONG Cheng I,PELCA Antra,3,1,"11,11,8,11|2,9,11,7",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,CHEONG Cheng I (MAC),PELCA Antra (LAT),CHEONG Cheng I
World Team Table Tennis Championships Tokyo 2014,2014-04-28,WANG De Ying,MABROUK Fatima,3,0,"11,11,11|6,5,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,WANG De Ying (ESA),MABROUK Fatima (ALG),WANG De Ying
World Team Table Tennis Championships Tokyo 2014,2014-04-28,PEREZ Karla,BOUGADOUM Chahinez,3,2,"10,5,11,11,11|12,11,9,5,7",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,PEREZ Karla (ESA),BOUGADOUM Chahinez (ALG),PEREZ Karla
World Team Table Tennis Championships Tokyo 2014,2014-04-28,MABROUK Fatima,ARIAS Emme,3,1,"11,11,4,11|9,6,11,7",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,ARIAS Emme (ESA),MABROUK Fatima (ALG),MABROUK Fatima
World Team Table Tennis Championships Tokyo 2014,2014-04-28,WANG De Ying,BOUCLARAS Fatiha,3,1,"11,11,6,11|6,3,11,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,WANG De Ying (ESA),BOUCLARAS Fatiha (ALG),WANG De Ying
World Team Table Tennis Championships Tokyo 2014,2014-04-28,CAMINO Daniela,KIRICHENKO Anna,3,1,"11,8,11,15|9,11,9,13",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,CAMINO Daniela (ECU),KIRICHENKO Anna (FIN),CAMINO Daniela
World Team Table Tennis Championships Tokyo 2014,2014-04-28,ALMENDARIZ Tania,OKSANEN Jannika,3,1,"8,11,11,11|11,5,9,7",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,ALMENDARIZ Tania (ECU),OKSANEN Jannika (FIN),ALMENDARIZ Tania
World Team Table Tennis Championships Tokyo 2014,2014-04-28,KIRICHENKO Anna,DURAZNO Sandra,3,1,"12,11,7,11|10,6,11,4",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,DURAZNO Sandra (ECU),KIRICHENKO Anna (FIN),KIRICHENKO Anna
World Team Table Tennis Championships Tokyo 2014,2014-04-28,CAMINO Daniela,ERIKSSON Pinja,3,2,"8,11,3,11,12|11,5,11,4,10",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,CAMINO Daniela (ECU),ERIKSSON Pinja (FIN),CAMINO Daniela
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BRITO Eva,FLAWS Lynda,3,1,"4,11,11,11|11,4,5,7",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,FLAWS Lynda (SCO),BRITO Eva (DOM),BRITO Eva
World Team Table Tennis Championships Tokyo 2014,2014-04-28,WHITAKER Corinna,VILA Lineth,3,2,"8,11,12,9,11|11,7,10,11,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,WHITAKER Corinna (SCO),VILA Lineth (DOM),WHITAKER Corinna
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BRITO Eva,EDWARDS Gillian,3,0,"14,11,11|12,9,6",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,EDWARDS Gillian (SCO),BRITO Eva (DOM),BRITO Eva
World Team Table Tennis Championships Tokyo 2014,2014-04-28,ORTIZ Yasiris,FLAWS Lynda,3,2,"11,11,4,7,11|9,9,11,11,6",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,FLAWS Lynda (SCO),ORTIZ Yasiris (DOM),ORTIZ Yasiris
World Team Table Tennis Championships Tokyo 2014,2014-04-28,U Sio Mei,SEIDALIEVA Burulai,3,0,"11,11,13|2,5,11",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,U Sio Mei (MAC),SEIDALIEVA Burulai (KGZ),U Sio Mei
World Team Table Tennis Championships Tokyo 2014,2014-04-28,MA Chao In,MODUBASHOVA Elina,3,0,"11,11,11|2,5,6",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,MA Chao In (MAC),MODUBASHOVA Elina (KGZ),MA Chao In
World Team Table Tennis Championships Tokyo 2014,2014-04-28,CHEONG Cheng I,MASHANLOEVA Kamila,3,0,"11,11,11|1,6,4",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,CHEONG Cheng I (MAC),MASHANLOEVA Kamila (KGZ),CHEONG Cheng I
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BOUGADOUM Chahinez,JANJEVA Amare,3,2,"11,2,4,11,11|6,11,11,8,7",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,BOUGADOUM Chahinez (ALG),JANJEVA Amare (KOS),BOUGADOUM Chahinez
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BOUCLARAS Fatiha,MALOKU Vlona,3,1,"10,11,11,13|12,6,8,11",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,BOUCLARAS Fatiha (ALG),MALOKU Vlona (KOS),BOUCLARAS Fatiha
World Team Table Tennis Championships Tokyo 2014,2014-04-28,MABROUK Fatima,HALITI Ilirjana,3,1,"6,12,11,12|11,10,4,10",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,MABROUK Fatima (ALG),HALITI Ilirjana (KOS),MABROUK Fatima
World Team Table Tennis Championships Tokyo 2014,2014-04-28,SALAZAR Astrid,LAI VAN Lea,3,1,"6,11,11,11|11,9,6,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,SALAZAR Astrid (ECU),LAI VAN Lea (NCL),SALAZAR Astrid
World Team Table Tennis Championships Tokyo 2014,2014-04-28,DURAZNO Sandra,BOUTEILLE Ornella,3,0,"11,11,11|8,8,6",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,DURAZNO Sandra (ECU),BOUTEILLE Ornella (NCL),DURAZNO Sandra
World Team Table Tennis Championships Tokyo 2014,2014-04-28,CAMINO Daniela,GAUTHIER Cathy,3,0,"11,12,11|3,10,7",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,CAMINO Daniela (ECU),GAUTHIER Cathy (NCL),CAMINO Daniela
World Team Table Tennis Championships Tokyo 2014,2014-04-28,FLAWS Lynda,GULIYEVA Rufat,3,0,"11,11,11|4,6,4",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,FLAWS Lynda (SCO),GULIYEVA Rufat (AZE),FLAWS Lynda
World Team Table Tennis Championships Tokyo 2014,2014-04-28,WHITAKER Corinna,MAMMADOVA Dinara,3,0,"11,11,12|3,8,10",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,WHITAKER Corinna (SCO),MAMMADOVA Dinara (AZE),WHITAKER Corinna
World Team Table Tennis Championships Tokyo 2014,2014-04-28,EDWARDS Gillian,GULIYEVA Rufat,3,1,"11,11,8,11|3,5,11,7",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,EDWARDS Gillian (SCO),GULIYEVA Rufat (AZE),EDWARDS Gillian
World Team Table Tennis Championships Tokyo 2014,2014-04-28,IMANOVA Maryam,FLAWS Lynda,3,1,"8,11,11,13|11,3,8,11",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,FLAWS Lynda (SCO),IMANOVA Maryam (AZE),IMANOVA Maryam
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BATBAYAR Doljinzuu,FERNANDO Chamathsara,3,0,"11,11,11|4,5,9",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,BATBAYAR Doljinzuu (MGL),FERNANDO Chamathsara (SRI),BATBAYAR Doljinzuu
World Team Table Tennis Championships Tokyo 2014,2014-04-28,MERGEN Delgermaa,MADURANGI Ishara,3,0,"11,11,11|9,7,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,MERGEN Delgermaa (MGL),MADURANGI Ishara (SRI),MERGEN Delgermaa
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BATSAIKHAN Batkhishig,KAPUGEEKIYANA Hansani,3,1,"9,11,11,11|11,7,6,6",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,BATSAIKHAN Batkhishig (MGL),KAPUGEEKIYANA Hansani (SRI),BATSAIKHAN Batkhishig
World Team Table Tennis Championships Tokyo 2014,2014-04-28,PETROVA Valeria,ENRIQUEZ Mabelyn,3,1,"4,14,11,11|11,12,9,9",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,ENRIQUEZ Mabelyn (GUA),PETROVA Valeria (EST),PETROVA Valeria
World Team Table Tennis Championships Tokyo 2014,2014-04-28,ESTRADA Andrea,KETSKO Olesja,3,0,"11,13,11|6,11,1",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,ESTRADA Andrea (GUA),KETSKO Olesja (EST),ESTRADA Andrea
World Team Table Tennis Championships Tokyo 2014,2014-04-28,LATT Katlin,MONTUFAR Andrea,3,1,"9,11,11,11|11,5,4,3",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,MONTUFAR Andrea (GUA),LATT Katlin (EST),LATT Katlin
World Team Table Tennis Championships Tokyo 2014,2014-04-28,KETSKO Olesja,ENRIQUEZ Mabelyn,3,0,"11,11,11|8,9,3",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,ENRIQUEZ Mabelyn (GUA),KETSKO Olesja (EST),KETSKO Olesja
World Team Table Tennis Championships Tokyo 2014,2014-04-28,ESTRADA Andrea,PETROVA Valeria,3,2,"11,9,11,9,11|8,11,9,11,9",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,ESTRADA Andrea (GUA),PETROVA Valeria (EST),ESTRADA Andrea
World Team Table Tennis Championships Tokyo 2014,2014-04-28,LI Chunli,SILVA Yadira,3,2,"11,13,12,8,11|6,15,10,11,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,LI Chunli (NZL),SILVA Yadira (MEX),LI Chunli
World Team Table Tennis Championships Tokyo 2014,2014-04-28,YANG Annie,SERRANO Monica,3,0,"11,11,11|5,4,4",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,YANG Annie (NZL),SERRANO Monica (MEX),YANG Annie
World Team Table Tennis Championships Tokyo 2014,2014-04-28,SILVA Yadira,LI Karen,3,0,"11,11,11|4,6,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,LI Karen (NZL),SILVA Yadira (MEX),SILVA Yadira
World Team Table Tennis Championships Tokyo 2014,2014-04-28,LI Chunli,MADRID Mercedes,3,0,"11,11,11|4,7,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,LI Chunli (NZL),MADRID Mercedes (MEX),LI Chunli
World Team Table Tennis Championships Tokyo 2014,2014-04-28,LI Chunli,BLIZNET Olga,3,0,"13,11,11|11,8,6",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,LI Chunli (NZL),BLIZNET Olga (MDA),LI Chunli
World Team Table Tennis Championships Tokyo 2014,2014-04-28,YANG Annie,SMIGANOVSCAIA Ecaterina,3,1,"11,8,11,11|6,11,3,6",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,YANG Annie (NZL),SMIGANOVSCAIA Ecaterina (MDA),YANG Annie
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BLIZNET Olga,LI Karen,3,1,"11,8,11,11|5,11,8,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,LI Karen (NZL),BLIZNET Olga (MDA),BLIZNET Olga
World Team Table Tennis Championships Tokyo 2014,2014-04-28,LI Chunli,SANDUL Alina,3,0,"11,11,11|9,5,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,LI Chunli (NZL),SANDUL Alina (MDA),LI Chunli
World Team Table Tennis Championships Tokyo 2014,2014-04-28,SILVA Yadira,SLADKOVA Nataliya,3,1,"11,8,11,11|3,11,1,6",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,SILVA Yadira (MEX),SLADKOVA Nataliya (KAZ),SILVA Yadira
World Team Table Tennis Championships Tokyo 2014,2014-04-28,SERRANO Monica,GATS Yuliya,3,2,"4,11,11,6,14|11,6,7,11,12",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,SERRANO Monica (MEX),GATS Yuliya (KAZ),SERRANO Monica
World Team Table Tennis Championships Tokyo 2014,2014-04-28,SLADKOVA Nataliya,MADRID Mercedes,3,0,"11,11,11|3,5,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,MADRID Mercedes (MEX),SLADKOVA Nataliya (KAZ),SLADKOVA Nataliya
World Team Table Tennis Championships Tokyo 2014,2014-04-28,SILVA Yadira,PILIPENKO Yelena,3,2,"14,5,11,7,11|12,11,9,11,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,SILVA Yadira (MEX),PILIPENKO Yelena (KAZ),SILVA Yadira
World Team Table Tennis Championships Tokyo 2014,2014-04-28,SMIGANOVSCAIA Ecaterina,HARIMA Maia,3,1,"9,11,11,11|11,2,9,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,HARIMA Maia (ARG),SMIGANOVSCAIA Ecaterina (MDA),SMIGANOVSCAIA Ecaterina
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BLIZNET Olga,IWASA Agustina,3,0,"11,11,12|9,5,10",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,IWASA Agustina (ARG),BLIZNET Olga (MDA),BLIZNET Olga
World Team Table Tennis Championships Tokyo 2014,2014-04-28,SANDUL Alina,CODINA Ana,3,1,"7,11,11,12|11,4,9,10",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,CODINA Ana (ARG),SANDUL Alina (MDA),SANDUL Alina
World Team Table Tennis Championships Tokyo 2014,2014-04-28,LI Chunli,FITRIA Mira,3,0,"11,11,11|9,4,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,LI Chunli (NZL),FITRIA Mira (INA),LI Chunli
World Team Table Tennis Championships Tokyo 2014,2014-04-28,PALIT Stella,YANG Annie,3,0,"12,11,11|10,9,6",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,YANG Annie (NZL),PALIT Stella (INA),PALIT Stella
World Team Table Tennis Championships Tokyo 2014,2014-04-28,LI Karen,FITRIA Mira,3,1,"5,11,11,12|11,8,5,10",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,LI Karen (NZL),FITRIA Mira (INA),LI Karen
World Team Table Tennis Championships Tokyo 2014,2014-04-28,LI Chunli,SINTYA Rina,3,1,"13,9,11,11|11,11,5,3",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,LI Chunli (NZL),SINTYA Rina (INA),LI Chunli
World Team Table Tennis Championships Tokyo 2014,2014-04-28,SILVA Yadira,SHAHSAVARI Neda,3,1,"11,11,6,11|6,7,11,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,SILVA Yadira (MEX),SHAHSAVARI Neda (IRI),SILVA Yadira
World Team Table Tennis Championships Tokyo 2014,2014-04-28,SERRANO Monica,SAMET Maryam,3,2,"8,15,11,7,11|11,13,6,11,6",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,SERRANO Monica (MEX),SAMET Maryam (IRI),SERRANO Monica
World Team Table Tennis Championships Tokyo 2014,2014-04-28,SHAHSAVARI Neda,MADRID Mercedes,3,2,"8,11,8,11,11|11,8,11,5,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,MADRID Mercedes (MEX),SHAHSAVARI Neda (IRI),SHAHSAVARI Neda
World Team Table Tennis Championships Tokyo 2014,2014-04-28,SILVA Yadira,OMRANI Mahjobeh,3,0,"11,11,11|3,8,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,SILVA Yadira (MEX),OMRANI Mahjobeh (IRI),SILVA Yadira
World Team Table Tennis Championships Tokyo 2014,2014-04-28,SLADKOVA Nataliya,MAFUTA-IVOSO Jolie,3,0,"11,11,11|5,3,1",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,MAFUTA-IVOSO Jolie (CGO),SLADKOVA Nataliya (KAZ),SLADKOVA Nataliya
World Team Table Tennis Championships Tokyo 2014,2014-04-28,HAN Xing,PILIPENKO Yelena,3,1,"11,9,11,11|4,11,4,3",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,HAN Xing (CGO),PILIPENKO Yelena (KAZ),HAN Xing
World Team Table Tennis Championships Tokyo 2014,2014-04-28,GATS Yuliya,NWACHUKWU Onyinyechi,3,0,"11,12,11|5,10,9",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,NWACHUKWU Onyinyechi (CGO),GATS Yuliya (KAZ),GATS Yuliya
World Team Table Tennis Championships Tokyo 2014,2014-04-28,PILIPENKO Yelena,MAFUTA-IVOSO Jolie,3,0,"11,11,11|4,2,9",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,MAFUTA-IVOSO Jolie (CGO),PILIPENKO Yelena (KAZ),PILIPENKO Yelena
World Team Table Tennis Championships Tokyo 2014,2014-04-28,HAN Xing,SLADKOVA Nataliya,3,0,"11,11,11|1,5,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,HAN Xing (CGO),SLADKOVA Nataliya (KAZ),HAN Xing
World Team Table Tennis Championships Tokyo 2014,2014-04-28,CODINA Ana,MADURANGI Ishara,3,0,"13,11,11|11,5,6",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,MADURANGI Ishara (SRI),CODINA Ana (ARG),CODINA Ana
World Team Table Tennis Championships Tokyo 2014,2014-04-28,IWASA Agustina,FERNANDO Chamathsara,3,0,"11,11,12|6,5,10",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,FERNANDO Chamathsara (SRI),IWASA Agustina (ARG),IWASA Agustina
World Team Table Tennis Championships Tokyo 2014,2014-04-28,CODINA Ana,WARUSAWITHANA Erandi,3,0,"11,11,11|4,6,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,WARUSAWITHANA Erandi (SRI),CODINA Ana (ARG),CODINA Ana
World Team Table Tennis Championships Tokyo 2014,2014-04-28,MADURANGI Ishara,HARIMA Maia,3,0,"11,11,12|6,2,10",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,MADURANGI Ishara (SRI),HARIMA Maia (ARG),MADURANGI Ishara
World Team Table Tennis Championships Tokyo 2014,2014-04-28,FITRIA Mira,BATSAIKHAN Batkhishig,3,1,"11,7,12,11|6,11,10,4",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,FITRIA Mira (INA),BATSAIKHAN Batkhishig (MGL),FITRIA Mira
World Team Table Tennis Championships Tokyo 2014,2014-04-28,PALIT Stella,BATBAYAR Doljinzuu,3,0,"11,11,11|7,5,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,PALIT Stella (INA),BATBAYAR Doljinzuu (MGL),PALIT Stella
World Team Table Tennis Championships Tokyo 2014,2014-04-28,BATSAIKHAN Batkhishig,SINTYA Rina,3,1,"11,11,5,11|7,6,11,6",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,SINTYA Rina (INA),BATSAIKHAN Batkhishig (MGL),BATSAIKHAN Batkhishig
World Team Table Tennis Championships Tokyo 2014,2014-04-28,FITRIA Mira,MERGEN Delgermaa,3,0,"11,12,11|7,10,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,FITRIA Mira (INA),MERGEN Delgermaa (MGL),FITRIA Mira
World Team Table Tennis Championships Tokyo 2014,2014-04-28,SILVA Yadira,ESTRADA Andrea,3,0,"11,11,11|9,8,7",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,SILVA Yadira (MEX),ESTRADA Andrea (GUA),SILVA Yadira
World Team Table Tennis Championships Tokyo 2014,2014-04-28,SERRANO Monica,LOPEZ Analdy,3,1,"11,11,8,11|3,9,11,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,SERRANO Monica (MEX),LOPEZ Analdy (GUA),SERRANO Monica
World Team Table Tennis Championships Tokyo 2014,2014-04-28,ESTRADA Andrea,MADRID Mercedes,3,2,"13,11,11,11,11|15,7,13,8,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,MADRID Mercedes (MEX),ESTRADA Andrea (GUA),ESTRADA Andrea
World Team Table Tennis Championships Tokyo 2014,2014-04-28,SILVA Yadira,ENRIQUEZ Mabelyn,3,1,"11,10,11,11|7,12,5,4",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,SILVA Yadira (MEX),ENRIQUEZ Mabelyn (GUA),SILVA Yadira
World Team Table Tennis Championships Tokyo 2014,2014-04-28,HAN Xing,LATT Katlin,3,1,"11,11,5,11|5,5,11,6",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,HAN Xing (CGO),LATT Katlin (EST),HAN Xing
World Team Table Tennis Championships Tokyo 2014,2014-04-28,NWACHUKWU Onyinyechi,KETSKO Olesja,3,0,"11,11,11|4,6,6",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,NWACHUKWU Onyinyechi (CGO),KETSKO Olesja (EST),NWACHUKWU Onyinyechi
World Team Table Tennis Championships Tokyo 2014,2014-04-28,LATT Katlin,MAFUTA-IVOSO Jolie,3,0,"11,11,11|9,8,3",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,MAFUTA-IVOSO Jolie (CGO),LATT Katlin (EST),LATT Katlin
World Team Table Tennis Championships Tokyo 2014,2014-04-28,HAN Xing,PETROVA Valeria,3,0,"11,11,11|2,4,6",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,HAN Xing (CGO),PETROVA Valeria (EST),HAN Xing
World Team Table Tennis Championships Tokyo 2014,2014-04-28,ASCHWANDEN Rahel,RIDOLFI Lisa,3,0,"11,11,11|9,7,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,RIDOLFI Lisa (ITA),ASCHWANDEN Rahel (SUI),ASCHWANDEN Rahel
World Team Table Tennis Championships Tokyo 2014,2014-04-28,MORET Rachel,VIVARELLI Debora,3,1,"11,6,11,11|8,11,5,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,VIVARELLI Debora (ITA),MORET Rachel (SUI),MORET Rachel
World Team Table Tennis Championships Tokyo 2014,2014-04-28,COLANTONI Chiara,REUST Celine,3,1,"11,3,11,11|8,11,5,7",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,COLANTONI Chiara (ITA),REUST Celine (SUI),COLANTONI Chiara
World Team Table Tennis Championships Tokyo 2014,2014-04-28,MORET Rachel,RIDOLFI Lisa,3,0,"11,11,11|5,7,7",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,RIDOLFI Lisa (ITA),MORET Rachel (SUI),MORET Rachel
World Team Table Tennis Championships Tokyo 2014,2014-04-28,VIVARELLI Debora,ASCHWANDEN Rahel,3,1,"11,5,11,11|8,11,9,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,VIVARELLI Debora (ITA),ASCHWANDEN Rahel (SUI),VIVARELLI Debora
World Team Table Tennis Championships Tokyo 2014,2014-04-28,OSHONAIKE Olufunke,SHOIFER Neli,3,1,"11,11,9,11|8,6,11,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,SHOIFER Neli (ISR),OSHONAIKE Olufunke (NGR),OSHONAIKE Olufunke
World Team Table Tennis Championships Tokyo 2014,2014-04-28,TROSMAN Nicole,EDEM Offiong,3,1,"6,11,12,11|11,9,10,7",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,TROSMAN Nicole (ISR),EDEM Offiong (NGR),TROSMAN Nicole
World Team Table Tennis Championships Tokyo 2014,2014-04-28,AKPAN Cecilia,GELMAN Shelli,3,2,"9,12,6,11,11|11,10,11,4,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,GELMAN Shelli (ISR),AKPAN Cecilia (NGR),AKPAN Cecilia
World Team Table Tennis Championships Tokyo 2014,2014-04-28,EDEM Offiong,SHOIFER Neli,3,1,"7,11,11,11|11,6,7,9",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,SHOIFER Neli (ISR),EDEM Offiong (NGR),EDEM Offiong
World Team Table Tennis Championships Tokyo 2014,2014-04-28,TROSMAN Nicole,OSHONAIKE Olufunke,3,0,"11,11,11|9,7,7",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,TROSMAN Nicole (ISR),OSHONAIKE Olufunke (NGR),TROSMAN Nicole
World Team Table Tennis Championships Tokyo 2014,2014-04-28,REUST Celine,RIOS Daniely,3,2,"4,11,11,9,11|11,8,5,11,6",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,RIOS Daniely (PUR),REUST Celine (SUI),REUST Celine
World Team Table Tennis Championships Tokyo 2014,2014-04-28,MORET Rachel,DIAZ Melanie,3,0,"11,11,11|9,5,9",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,DIAZ Melanie (PUR),MORET Rachel (SUI),MORET Rachel
World Team Table Tennis Championships Tokyo 2014,2014-04-28,ASCHWANDEN Rahel,CORDERO Carelyn,3,2,"9,8,11,11,11|11,11,9,6,5",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,CORDERO Carelyn (PUR),ASCHWANDEN Rahel (SUI),ASCHWANDEN Rahel
World Team Table Tennis Championships Tokyo 2014,2014-04-28,COLANTONI Chiara,CAREY Charlotte,3,1,"10,11,11,11|12,7,8,8",,WORLD_CHAMPIONSHIPS,WT,277,Main Draw,COLANTONI Chiara (ITA),CAREY Charlotte (WAL),COLANTONI Chiara
