tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
11th African Games Brazzaville 2015,2015-09-10,INGIL Miguel,ALASSANI Soudes,4,0,"12,11,11,11|10,1,7,7",R128,OTHER,MS,250,Main Draw,ALASSANI Soudes (TOG),INGIL Miguel (MRI),INGIL Miguel
11th African Games Brazzaville 2015,2015-09-10,ARUNA Quadri,ASSAR Khalid,4,0,"11,11,11,11|9,6,9,8",SF,OTHER,MS,250,Main Draw,ASSAR Khalid (EGY),ARUNA Quadri (NGR),ARUNA Quadri
11th African Games Brazzaville 2015,2015-09-10,ASSAR Omar,ARUNA Quadri,4,1,"11,11,16,11,11|8,6,18,6,6",F,OTHER,MS,250,Main Draw,ASSAR Omar (EGY),ARUNA Quadri (NGR),ASSAR Omar
11th African Games Brazzaville 2015,2015-09-10,LITOBAKA Ammadine,OGUNDELE Rashidat,4,3,"11,11,6,7,11,9,11|6,9,11,11,8,11,6",QF,OTHER,WS,250,Main Draw,LITOBAKA Ammadine (COD),OGUNDELE Rashidat (NGR),LITOBAKA Ammadine
11th African Games Brazzaville 2015,2015-09-10,LAGSIR Sannah,MAZOMBO Sabrina,4,1,"11,11,6,11,11|7,5,11,5,3",QF,OTHER,WS,250,Main Draw,MAZOMBO Sabrina (CGO),LAGSIR Sannah (MON),LAGSIR Sannah
11th African Games Brazzaville 2015,2015-09-10,MESHREF Dina,LI Yuheng,4,0,"11,14,11,11|6,12,7,5",R16,OTHER,WS,250,Main Draw,MESHREF Dina (EGY),LI Yuheng (CGO),MESHREF Dina
11th African Games Brazzaville 2015,2015-09-10,EDEM Offiong,LOGHRAIBI Lynda,4,0,"11,11,11,11|4,4,8,4",R16,OTHER,WS,250,Main Draw,LOGHRAIBI Lynda (ALG),EDEM Offiong (NGR),EDEM Offiong
11th African Games Brazzaville 2015,2015-09-10,ABDELAZIZ Farah,LITOBAKA Ammadine,4,1,"7,11,11,11,11|11,3,7,3,3",R16,OTHER,WS,250,Main Draw,ABDELAZIZ Farah (EGY),LITOBAKA Ammadine (COD),ABDELAZIZ Farah
11th African Games Brazzaville 2015,2015-09-10,HAN Xing,OGUNDELE Rashidat,4,0,"11,11,11,11|3,5,7,5",R16,OTHER,WS,250,Main Draw,OGUNDELE Rashidat (NGR),HAN Xing (CGO),HAN Xing
11th African Games Brazzaville 2015,2015-09-10,OSHONAIKE Olufunke,MAZOMBO Sabrina,4,0,"11,11,11,11|2,7,0,2",R16,OTHER,WS,250,Main Draw,OSHONAIKE Olufunke (NGR),MAZOMBO Sabrina (CGO),OSHONAIKE Olufunke
11th African Games Brazzaville 2015,2015-09-10,HELMY Yousra,LAGSIR Sannah,4,2,"10,10,11,11,11,11|12,12,3,3,9,7",R16,OTHER,WS,250,Main Draw,LAGSIR Sannah (MON),HELMY Yousra (EGY),HELMY Yousra
11th African Games Brazzaville 2015,2015-09-10,AKPAN Cecilia,BENSTRONG Anniesa,4,0,"11,11,11,11|5,7,6,5",R16,OTHER,WS,250,Main Draw,AKPAN Cecilia (NGR),BENSTRONG Anniesa (SEY),AKPAN Cecilia
11th African Games Brazzaville 2015,2015-09-10,ELDAWLATLY Nadeen,LAID Islem,4,0,"11,12,11,11|5,10,9,6",R16,OTHER,WS,250,Main Draw,LAID Islem (ALG),ELDAWLATLY Nadeen (EGY),ELDAWLATLY Nadeen
11th African Games Brazzaville 2015,2015-09-10,MESHREF Dina,EDEM Offiong,4,2,"11,11,8,11,10,11|9,2,11,8,12,7",QF,OTHER,WS,250,Main Draw,MESHREF Dina (EGY),EDEM Offiong (NGR),MESHREF Dina
11th African Games Brazzaville 2015,2015-09-10,HAN Xing,ABDELAZIZ Farah,4,1,"11,11,11,11,13|6,8,13,7,11",QF,OTHER,WS,250,Main Draw,ABDELAZIZ Farah (EGY),HAN Xing (CGO),HAN Xing
11th African Games Brazzaville 2015,2015-09-10,OSHONAIKE Olufunke,HELMY Yousra,4,2,"11,5,8,11,11,11|7,11,11,6,8,6",QF,OTHER,WS,250,Main Draw,OSHONAIKE Olufunke (NGR),HELMY Yousra (EGY),OSHONAIKE Olufunke
11th African Games Brazzaville 2015,2015-09-10,ELDAWLATLY Nadeen,AKPAN Cecilia,4,0,"11,12,11,11|7,10,8,9",QF,OTHER,WS,250,Main Draw,AKPAN Cecilia (NGR),ELDAWLATLY Nadeen (EGY),ELDAWLATLY Nadeen
11th African Games Brazzaville 2015,2015-09-10,MESHREF Dina,HAN Xing,4,2,"9,11,11,11,11,11|11,7,13,9,4,8",SF,OTHER,WS,250,Main Draw,MESHREF Dina (EGY),HAN Xing (CGO),MESHREF Dina
11th African Games Brazzaville 2015,2015-09-10,ELDAWLATLY Nadeen,OSHONAIKE Olufunke,4,2,"4,11,11,11,11,12|11,8,9,13,5,10",SF,OTHER,WS,250,Main Draw,OSHONAIKE Olufunke (NGR),ELDAWLATLY Nadeen (EGY),ELDAWLATLY Nadeen
11th African Games Brazzaville 2015,2015-09-10,MESHREF Dina,ELDAWLATLY Nadeen,4,1,"7,11,11,14,11|11,8,6,12,9",F,OTHER,WS,250,Main Draw,MESHREF Dina (EGY),ELDAWLATLY Nadeen (EGY),MESHREF Dina
11th African Games Brazzaville 2015,2015-09-10,KHOURTA Idir/LAGSIR Sannah,BIZAKU Jonathan/MONGONDI Dacha,3,0,"11,11,11|7,7,5",R32,OTHER,XD,250,Main Draw,KHOURTA Idir (ALG) / LAGSIR Sannah (MON),BIZAKU Jonathan (COD) / MONGONDI Dacha (COD),KHOURTA Idir
11th African Games Brazzaville 2015,2015-09-10,WANG Jianan/LI Yuheng,BOURIAH Larbi/LAID Islem,3,0,"11,11,11|6,6,9",R32,OTHER,XD,250,Main Draw,WANG Jianan (CGO) / LI Yuheng (CGO),BOURIAH Larbi (ALG) / LAID Islem (ALG),WANG Jianan
11th African Games Brazzaville 2015,2015-09-10,SALEH Ahmed/ABDELAZIZ Farah,KHEROUF Sami/KESSACI Katia,3,1,"14,11,8,11|12,8,11,3",R32,OTHER,XD,250,Main Draw,SALEH Ahmed (EGY) / ABDELAZIZ Farah (EGY),KHEROUF Sami (ALG) / KESSACI Katia (ALG),SALEH Ahmed
11th African Games Brazzaville 2015,2015-09-10,HU Bin/HAN Xing,KHOURTA Idir/LAGSIR Sannah,3,0,"11,11,11|4,9,8",R16,OTHER,XD,250,Main Draw,HU Bin (CGO) / HAN Xing (CGO),KHOURTA Idir (ALG) / LAGSIR Sannah (MON),HU Bin
11th African Games Brazzaville 2015,2015-09-10,KHOURTA Idir/KHEROUF Sami,FARAH Abdourazack/ABDOULKADER Mohamed,3,0,"11,11,11|7,3,3",R32,OTHER,MD,250,Main Draw,KHOURTA Idir (ALG) / KHEROUF Sami (ALG),FARAH Abdourazack (DJI) / ABDOULKADER Mohamed (DJI),KHOURTA Idir
11th African Games Brazzaville 2015,2015-09-10,HMAM Adam/MAMIA Thameur,KHOURTA Idir/KHEROUF Sami,3,2,"9,11,11,9,11|11,8,4,11,9",R16,OTHER,MD,250,Main Draw,HMAM Adam (TUN) / MAMIA Thameur (TUN),KHOURTA Idir (ALG) / KHEROUF Sami (ALG),HMAM Adam
11th African Games Brazzaville 2015,2015-09-10,LOGHRAIBI Lynda/KESSACI Katia,NWACHUKWU Onyinyechi/MAZOMBO Sabrina,3,1,"11,11,6,11|9,3,11,8",R16,OTHER,WD,250,Main Draw,LOGHRAIBI Lynda (ALG) / KESSACI Katia (ALG),NWACHUKWU Onyinyechi (CGO) / MAZOMBO Sabrina (CGO),LOGHRAIBI Lynda
11th African Games Brazzaville 2015,2015-09-10,MAPHANGA Zodwa/MADLALA Khanyisile,LAGSIR Sannah/LAID Islem,3,2,"11,4,12,3,11|9,11,10,11,9",R16,OTHER,WD,250,Main Draw,MAPHANGA Zodwa (RSA) / MADLALA Khanyisile (RSA),LAGSIR Sannah (MON) / LAID Islem (ALG),MAPHANGA Zodwa
11th African Games Brazzaville 2015,2015-09-10,ANTONIO Alessio/TAVARES Ruth,WANDERA Josiah/NOAH Everlyn,3,0,"11,11,11|3,6,6",R64,OTHER,XD,250,Main Draw,ANTONIO Alessio (ANG) / TAVARES Ruth (ANG),WANDERA Josiah (KEN) / NOAH Everlyn (KEN),ANTONIO Alessio
11th African Games Brazzaville 2015,2015-09-10,HU Bin/HAN Xing,ANTONIO Alessio/TAVARES Ruth,3,0,"11,11,11|2,3,1",R32,OTHER,XD,250,Main Draw,HU Bin (CGO) / HAN Xing (CGO),ANTONIO Alessio (ANG) / TAVARES Ruth (ANG),HU Bin
11th African Games Brazzaville 2015,2015-09-10,ANDRE Elizandro/ANTONIO Alessio,FREZER Meshesha/FARIS Aden,3,0,"11,12,11|5,10,9",R32,OTHER,MD,250,Main Draw,ANDRE Elizandro (ANG) / ANTONIO Alessio (ANG),FREZER Meshesha (ETH) / FARIS Aden (ETH),ANDRE Elizandro
11th African Games Brazzaville 2015,2015-09-10,ANDRE Elizandro/ALBINO Isabel,MATLHATSI Thobo/BUTALE Boitshwarelo,3,0,"12,11,12|10,6,10",R64,OTHER,XD,250,Main Draw,ANDRE Elizandro (ANG) / ALBINO Isabel (ANG),MATLHATSI Thobo (BOT) / BUTALE Boitshwarelo (BOT),ANDRE Elizandro
11th African Games Brazzaville 2015,2015-09-10,AGBETOGLO Mawussi/FANNY Kokou,MATLHATSI Thobo/MABOTE Bonolo,3,0,"13,11,11|11,3,6",R32,OTHER,MD,250,Main Draw,AGBETOGLO Mawussi (TOG) / FANNY Kokou (TOG),MATLHATSI Thobo (BOT) / MABOTE Bonolo (BOT),AGBETOGLO Mawussi
11th African Games Brazzaville 2015,2015-09-10,BUTALE Boitshwarelo/REBATENNE Tshepiso,FARAH Safa/HOUSSEIN Rahma,3,1,"1,12,11,11|11,10,3,2",R32,OTHER,WD,250,Main Draw,BUTALE Boitshwarelo (BOT) / REBATENNE Tshepiso (BOT),FARAH Safa (DJI) / HOUSSEIN Rahma (DJI),BUTALE Boitshwarelo
11th African Games Brazzaville 2015,2015-09-10,WANG Jianan/LI Yuheng,MABOTE Bonolo/REBATENNE Tshepiso,3,0,"11,11,11|2,4,8",R64,OTHER,XD,250,Main Draw,WANG Jianan (CGO) / LI Yuheng (CGO),MABOTE Bonolo (BOT) / REBATENNE Tshepiso (BOT),WANG Jianan
11th African Games Brazzaville 2015,2015-09-10,KASSA Gedeon/LITOBAKA Ammadine,SAKA Suraju/MAZOMBO Sabrina,3,0,"11,11,11|6,2,3",R32,OTHER,XD,250,Main Draw,KASSA Gedeon (COD) / LITOBAKA Ammadine (COD),SAKA Suraju (CGO) / MAZOMBO Sabrina (CGO),KASSA Gedeon
11th African Games Brazzaville 2015,2015-09-10,IDOWU Saheed/NWACHUKWU Onyinyechi,FARIS Aden/GULTI Marta,3,0,"11,11,11|4,6,4",R32,OTHER,XD,250,Main Draw,IDOWU Saheed (CGO) / NWACHUKWU Onyinyechi (CGO),FARIS Aden (ETH) / GULTI Marta (ETH),IDOWU Saheed
11th African Games Brazzaville 2015,2015-09-10,ELBEIALI Mohamed/ELDAWLATLY Nadeen,IDOWU Saheed/NWACHUKWU Onyinyechi,3,1,"9,11,11,11|11,2,9,6",R16,OTHER,XD,250,Main Draw,ELBEIALI Mohamed (EGY) / ELDAWLATLY Nadeen (EGY),IDOWU Saheed (CGO) / NWACHUKWU Onyinyechi (CGO),ELBEIALI Mohamed
11th African Games Brazzaville 2015,2015-09-10,WANG Jianan/LI Yuheng,ONAOLAPO Ojo/OSHONAIKE Olufunke,3,0,"11,11,14|2,6,12",F,OTHER,XD,250,Main Draw,WANG Jianan (CGO) / LI Yuheng (CGO),ONAOLAPO Ojo (NGR) / OSHONAIKE Olufunke (NGR),WANG Jianan
11th African Games Brazzaville 2015,2015-09-10,HU Bin/WANG Jianan,FLEIDL Heiko/TAIT Fabian,3,0,"11,11,11|4,6,1",R32,OTHER,MD,250,Main Draw,HU Bin (CGO) / WANG Jianan (CGO),FLEIDL Heiko (NAM) / TAIT Fabian (NAM),HU Bin
11th African Games Brazzaville 2015,2015-09-10,SAKA Suraju/IDOWU Saheed,GREEN Wayne Marlon/STANLEY Reinhardt,3,0,"11,11,11|4,9,6",R32,OTHER,MD,250,Main Draw,SAKA Suraju (CGO) / IDOWU Saheed (CGO),GREEN Wayne Marlon (NAM) / STANLEY Reinhardt (NAM),SAKA Suraju
11th African Games Brazzaville 2015,2015-09-10,HU Bin/WANG Jianan,ARUNA Quadri/AJETUNMOBI Seun,3,0,"14,11,11|12,8,6",R16,OTHER,MD,250,Main Draw,HU Bin (CGO) / WANG Jianan (CGO),ARUNA Quadri (NGR) / AJETUNMOBI Seun (NGR),HU Bin
11th African Games Brazzaville 2015,2015-09-10,SAKA Suraju/IDOWU Saheed,ANDRE Elizandro/ANTONIO Alessio,3,1,"11,11,7,11|7,4,11,6",R16,OTHER,MD,250,Main Draw,SAKA Suraju (CGO) / IDOWU Saheed (CGO),ANDRE Elizandro (ANG) / ANTONIO Alessio (ANG),SAKA Suraju
11th African Games Brazzaville 2015,2015-09-10,SAKA Suraju/IDOWU Saheed,LARTEY Felix/ABREFA Derek,3,1,"6,11,11,11|11,5,8,7",QF,OTHER,MD,250,Main Draw,SAKA Suraju (CGO) / IDOWU Saheed (CGO),LARTEY Felix (GHA) / ABREFA Derek (GHA),SAKA Suraju
11th African Games Brazzaville 2015,2015-09-10,SAKA Suraju/IDOWU Saheed,ASSAR Omar/ASSAR Khalid,3,1,"3,17,11,12|11,15,5,10",SF,OTHER,MD,250,Main Draw,SAKA Suraju (CGO) / IDOWU Saheed (CGO),ASSAR Omar (EGY) / ASSAR Khalid (EGY),SAKA Suraju
11th African Games Brazzaville 2015,2015-09-10,HU Bin/WANG Jianan,SAKA Suraju/IDOWU Saheed,3,0,"11,11,11|5,9,1",F,OTHER,MD,250,Main Draw,HU Bin (CGO) / WANG Jianan (CGO),SAKA Suraju (CGO) / IDOWU Saheed (CGO),HU Bin
11th African Games Brazzaville 2015,2015-09-10,LI Yuheng/HAN Xing,LUKAAYA Amina/KIBONE Amina,3,0,"11,11,11|1,5,7",R16,OTHER,WD,250,Main Draw,LI Yuheng (CGO) / HAN Xing (CGO),LUKAAYA Amina (UGA) / KIBONE Amina (UGA),LI Yuheng
11th African Games Brazzaville 2015,2015-09-10,LI Yuheng/HAN Xing,ABDELAZIZ Farah/HELMY Yousra,3,2,"11,5,2,11,11|5,11,11,6,9",QF,OTHER,WD,250,Main Draw,LI Yuheng (CGO) / HAN Xing (CGO),ABDELAZIZ Farah (EGY) / HELMY Yousra (EGY),LI Yuheng
11th African Games Brazzaville 2015,2015-09-10,LI Yuheng/HAN Xing,EDEM Offiong/AKPAN Cecilia,3,1,"11,11,14,11|13,6,12,6",SF,OTHER,WD,250,Main Draw,LI Yuheng (CGO) / HAN Xing (CGO),EDEM Offiong (NGR) / AKPAN Cecilia (NGR),LI Yuheng
11th African Games Brazzaville 2015,2015-09-10,NTUMBA NGELEKA Christian/NZANGANI Cyntia,FREZER Meshesha/MEKURIA Meron,3,0,"11,11,11|4,8,8",R32,OTHER,XD,250,Main Draw,NTUMBA NGELEKA Christian (COD) / NZANGANI Cyntia (COD),FREZER Meshesha (ETH) / MEKURIA Meron (ETH),NTUMBA NGELEKA Christian
11th African Games Brazzaville 2015,2015-09-10,SALEH Ahmed/ABDELAZIZ Farah,KASSA Gedeon/LITOBAKA Ammadine,3,1,"11,5,11,11|7,11,4,4",R16,OTHER,XD,250,Main Draw,SALEH Ahmed (EGY) / ABDELAZIZ Farah (EGY),KASSA Gedeon (COD) / LITOBAKA Ammadine (COD),SALEH Ahmed
11th African Games Brazzaville 2015,2015-09-10,COMMEY Emmanuel/SAM Bernard,KASSA Gedeon/LUKATIKISU Beni,3,1,"11,9,11,11|7,11,8,8",R32,OTHER,MD,250,Main Draw,COMMEY Emmanuel (GHA) / SAM Bernard (GHA),KASSA Gedeon (COD) / LUKATIKISU Beni (COD),COMMEY Emmanuel
11th African Games Brazzaville 2015,2015-09-10,EDEM Offiong/AKPAN Cecilia,NZANGANI Cyntia/MKUNDA Ruth,3,0,"11,11,11|5,6,9",R16,OTHER,WD,250,Main Draw,EDEM Offiong (NGR) / AKPAN Cecilia (NGR),NZANGANI Cyntia (COD) / MKUNDA Ruth (COD),EDEM Offiong
11th African Games Brazzaville 2015,2015-09-10,OSHONAIKE Olufunke/OGUNDELE Rashidat,LITOBAKA Ammadine/MONGONDI Dacha,3,0,"11,11,11|5,6,7",QF,OTHER,WD,250,Main Draw,OSHONAIKE Olufunke (NGR) / OGUNDELE Rashidat (NGR),LITOBAKA Ammadine (COD) / MONGONDI Dacha (COD),OSHONAIKE Olufunke
11th African Games Brazzaville 2015,2015-09-10,KASSA Gedeon/LITOBAKA Ammadine,ABDOULKADER Mohamed/ATTEYEH Oumalkaire,3,0,"11,11,11|6,3,3",R64,OTHER,XD,250,Main Draw,KASSA Gedeon (COD) / LITOBAKA Ammadine (COD),ABDOULKADER Mohamed (DJI) / ATTEYEH Oumalkaire (DJI),KASSA Gedeon
11th African Games Brazzaville 2015,2015-09-10,LASHIN Elsayed/HELMY Yousra,PONTOISE Jason/CHOWREE Isabelle,3,0,"11,11,11|7,6,4",R32,OTHER,XD,250,Main Draw,LASHIN Elsayed (EGY) / HELMY Yousra (EGY),PONTOISE Jason (MRI) / CHOWREE Isabelle (MRI),LASHIN Elsayed
11th African Games Brazzaville 2015,2015-09-10,ASSAR Omar/MESHREF Dina,HMAM Adam/SAIDANI Safa,3,0,"11,11,11|3,8,4",R16,OTHER,XD,250,Main Draw,ASSAR Omar (EGY) / MESHREF Dina (EGY),HMAM Adam (TUN) / SAIDANI Safa (TUN),ASSAR Omar
11th African Games Brazzaville 2015,2015-09-10,LASHIN Elsayed/HELMY Yousra,NTUMBA NGELEKA Christian/NZANGANI Cyntia,3,0,"12,11,11|10,4,6",R16,OTHER,XD,250,Main Draw,LASHIN Elsayed (EGY) / HELMY Yousra (EGY),NTUMBA NGELEKA Christian (COD) / NZANGANI Cyntia (COD),LASHIN Elsayed
11th African Games Brazzaville 2015,2015-09-10,ASSAR Omar/MESHREF Dina,HU Bin/HAN Xing,3,2,"11,8,11,4,11|6,11,9,11,5",QF,OTHER,XD,250,Main Draw,ASSAR Omar (EGY) / MESHREF Dina (EGY),HU Bin (CGO) / HAN Xing (CGO),ASSAR Omar
11th African Games Brazzaville 2015,2015-09-10,WANG Jianan/LI Yuheng,LASHIN Elsayed/HELMY Yousra,3,0,"11,11,11|6,5,9",QF,OTHER,XD,250,Main Draw,WANG Jianan (CGO) / LI Yuheng (CGO),LASHIN Elsayed (EGY) / HELMY Yousra (EGY),WANG Jianan
11th African Games Brazzaville 2015,2015-09-10,WANG Jianan/LI Yuheng,ASSAR Omar/MESHREF Dina,3,0,"11,16,13|9,14,11",SF,OTHER,XD,250,Main Draw,WANG Jianan (CGO) / LI Yuheng (CGO),ASSAR Omar (EGY) / MESHREF Dina (EGY),WANG Jianan
11th African Games Brazzaville 2015,2015-09-10,ONAOLAPO Ojo/OSHONAIKE Olufunke,SALEH Ahmed/ABDELAZIZ Farah,3,1,"11,6,11,11|8,11,5,3",SF,OTHER,XD,250,Main Draw,ONAOLAPO Ojo (NGR) / OSHONAIKE Olufunke (NGR),SALEH Ahmed (EGY) / ABDELAZIZ Farah (EGY),ONAOLAPO Ojo
11th African Games Brazzaville 2015,2015-09-10,LASHIN Elsayed/SALEH Ahmed,ABUSHUWASHI Adir/LARIFI Hisham,3,0,"11,11,11|5,2,8",R16,OTHER,MD,250,Main Draw,LASHIN Elsayed (EGY) / SALEH Ahmed (EGY),ABUSHUWASHI Adir (LBA) / LARIFI Hisham (LBA),LASHIN Elsayed
11th African Games Brazzaville 2015,2015-09-10,LASHIN Elsayed/SALEH Ahmed,COMMEY Emmanuel/SAM Bernard,3,0,"11,11,11|4,6,4",QF,OTHER,MD,250,Main Draw,LASHIN Elsayed (EGY) / SALEH Ahmed (EGY),COMMEY Emmanuel (GHA) / SAM Bernard (GHA),LASHIN Elsayed
11th African Games Brazzaville 2015,2015-09-10,HU Bin/WANG Jianan,LASHIN Elsayed/SALEH Ahmed,3,1,"16,11,11,11|18,6,9,6",SF,OTHER,MD,250,Main Draw,HU Bin (CGO) / WANG Jianan (CGO),LASHIN Elsayed (EGY) / SALEH Ahmed (EGY),HU Bin
11th African Games Brazzaville 2015,2015-09-10,MESHREF Dina/ELDAWLATLY Nadeen,BUTALE Boitshwarelo/REBATENNE Tshepiso,3,0,"11,11,11|1,8,3",R16,OTHER,WD,250,Main Draw,MESHREF Dina (EGY) / ELDAWLATLY Nadeen (EGY),BUTALE Boitshwarelo (BOT) / REBATENNE Tshepiso (BOT),MESHREF Dina
11th African Games Brazzaville 2015,2015-09-10,MESHREF Dina/ELDAWLATLY Nadeen,LOGHRAIBI Lynda/KESSACI Katia,3,1,"11,9,11,11|3,11,3,5",QF,OTHER,WD,250,Main Draw,MESHREF Dina (EGY) / ELDAWLATLY Nadeen (EGY),LOGHRAIBI Lynda (ALG) / KESSACI Katia (ALG),MESHREF Dina
11th African Games Brazzaville 2015,2015-09-10,MESHREF Dina/ELDAWLATLY Nadeen,OSHONAIKE Olufunke/OGUNDELE Rashidat,3,0,"11,11,11|6,5,8",SF,OTHER,WD,250,Main Draw,MESHREF Dina (EGY) / ELDAWLATLY Nadeen (EGY),OSHONAIKE Olufunke (NGR) / OGUNDELE Rashidat (NGR),MESHREF Dina
11th African Games Brazzaville 2015,2015-09-10,LI Yuheng/HAN Xing,MESHREF Dina/ELDAWLATLY Nadeen,3,2,"11,8,4,11,11|6,11,11,7,6",F,OTHER,WD,250,Main Draw,LI Yuheng (CGO) / HAN Xing (CGO),MESHREF Dina (EGY) / ELDAWLATLY Nadeen (EGY),LI Yuheng
11th African Games Brazzaville 2015,2015-09-10,LITOBAKA Ammadine/MONGONDI Dacha,GULTI Marta/MEKURIA Meron,3,1,"9,11,11,11|11,7,9,1",R16,OTHER,WD,250,Main Draw,LITOBAKA Ammadine (COD) / MONGONDI Dacha (COD),GULTI Marta (ETH) / MEKURIA Meron (ETH),LITOBAKA Ammadine
11th African Games Brazzaville 2015,2015-09-10,COMMEY Emmanuel/BORQUAYE Bernice,FARAH Abdourazack/FARAH Safa,3,0,"11,11,11|2,9,6",R64,OTHER,XD,250,Main Draw,COMMEY Emmanuel (GHA) / BORQUAYE Bernice (GHA),FARAH Abdourazack (DJI) / FARAH Safa (DJI),COMMEY Emmanuel
11th African Games Brazzaville 2015,2015-09-10,HMAM Adam/SAIDANI Safa,LARTEY Felix/ANNOR Linda,3,1,"11,5,11,11|6,11,5,5",R32,OTHER,XD,250,Main Draw,HMAM Adam (TUN) / SAIDANI Safa (TUN),LARTEY Felix (GHA) / ANNOR Linda (GHA),HMAM Adam
11th African Games Brazzaville 2015,2015-09-10,TORIOLA Segun/EDEM Offiong,COMMEY Emmanuel/BORQUAYE Bernice,3,0,"11,11,11|2,3,5",R32,OTHER,XD,250,Main Draw,TORIOLA Segun (NGR) / EDEM Offiong (NGR),COMMEY Emmanuel (GHA) / BORQUAYE Bernice (GHA),TORIOLA Segun
11th African Games Brazzaville 2015,2015-09-10,LARTEY Felix/ABREFA Derek,MOHED Osama/SALAH Mohamed,3,0,"11,11,12|5,7,10",R32,OTHER,MD,250,Main Draw,LARTEY Felix (GHA) / ABREFA Derek (GHA),MOHED Osama (SUD) / SALAH Mohamed (SUD),LARTEY Felix
11th African Games Brazzaville 2015,2015-09-10,COMMEY Emmanuel/SAM Bernard,AGBETOGLO Mawussi/FANNY Kokou,3,2,"6,11,1,11,11|11,3,11,9,4",R16,OTHER,MD,250,Main Draw,COMMEY Emmanuel (GHA) / SAM Bernard (GHA),AGBETOGLO Mawussi (TOG) / FANNY Kokou (TOG),COMMEY Emmanuel
11th African Games Brazzaville 2015,2015-09-10,LARTEY Felix/ABREFA Derek,ARNACHELLUM Allan/PONTOISE Jason,3,2,"7,7,11,11,11|11,11,3,2,3",R16,OTHER,MD,250,Main Draw,LARTEY Felix (GHA) / ABREFA Derek (GHA),ARNACHELLUM Allan (MRI) / PONTOISE Jason (MRI),LARTEY Felix
11th African Games Brazzaville 2015,2015-09-10,PONTOISE Jason/CHOWREE Isabelle,RINGUI Anthony/NJANI Della,3,0,"11,11,11|4,8,8",R64,OTHER,XD,250,Main Draw,PONTOISE Jason (MRI) / CHOWREE Isabelle (MRI),RINGUI Anthony (KEN) / NJANI Della (KEN),PONTOISE Jason
11th African Games Brazzaville 2015,2015-09-10,CREA Mick/BENSTRONG Anniesa,ALI Kazia/RUFINA Bahati,3,0,"11,11,11|5,9,9",R64,OTHER,XD,250,Main Draw,CREA Mick (SEY) / BENSTRONG Anniesa (SEY),ALI Kazia (KEN) / RUFINA Bahati (KEN),CREA Mick
11th African Games Brazzaville 2015,2015-09-10,ABREFA Derek/OWUSU-AGYEI Efua Oforiwah,MUTURI Peter/THAKKAR Sejal,3,1,"11,9,11,12|9,11,3,10",R32,OTHER,XD,250,Main Draw,ABREFA Derek (GHA) / OWUSU-AGYEI Efua Oforiwah (GHA),MUTURI Peter (KEN) / THAKKAR Sejal (KEN),ABREFA Derek
11th African Games Brazzaville 2015,2015-09-10,HMAM Adam/MAMIA Thameur,RINGUI Anthony/MUTURI Peter,3,2,"10,8,11,11,11|12,11,5,7,4",R32,OTHER,MD,250,Main Draw,HMAM Adam (TUN) / MAMIA Thameur (TUN),RINGUI Anthony (KEN) / MUTURI Peter (KEN),HMAM Adam
11th African Games Brazzaville 2015,2015-09-10,ASSAR Omar/ASSAR Khalid,WANDERA Josiah/ALI Kazia,3,0,"11,11,12|1,5,10",R32,OTHER,MD,250,Main Draw,ASSAR Omar (EGY) / ASSAR Khalid (EGY),WANDERA Josiah (KEN) / ALI Kazia (KEN),ASSAR Omar
11th African Games Brazzaville 2015,2015-09-10,LITOBAKA Ammadine/MONGONDI Dacha,NOAH Everlyn/RUFINA Bahati,3,0,"11,11,11|6,9,5",R32,OTHER,WD,250,Main Draw,LITOBAKA Ammadine (COD) / MONGONDI Dacha (COD),NOAH Everlyn (KEN) / RUFINA Bahati (KEN),LITOBAKA Ammadine
11th African Games Brazzaville 2015,2015-09-10,NZANGANI Cyntia/MKUNDA Ruth,THAKKAR Sejal/NJANI Della,3,2,"11,12,11,6,11|2,14,5,11,6",R32,OTHER,WD,250,Main Draw,NZANGANI Cyntia (COD) / MKUNDA Ruth (COD),THAKKAR Sejal (KEN) / NJANI Della (KEN),NZANGANI Cyntia
11th African Games Brazzaville 2015,2015-09-10,ARNACHELLUM Allan/GUKHOOL Widaad,LUKATIKISU Beni/MKUNDA Ruth,3,0,"11,11,11|6,7,3",R64,OTHER,XD,250,Main Draw,ARNACHELLUM Allan (MRI) / GUKHOOL Widaad (MRI),LUKATIKISU Beni (COD) / MKUNDA Ruth (COD),ARNACHELLUM Allan
11th African Games Brazzaville 2015,2015-09-10,BOUDJADJA Sofiene/LOGHRAIBI Lynda,ARNACHELLUM Allan/GUKHOOL Widaad,3,0,"11,11,11|6,6,8",R32,OTHER,XD,250,Main Draw,BOUDJADJA Sofiene (ALG) / LOGHRAIBI Lynda (ALG),ARNACHELLUM Allan (MRI) / GUKHOOL Widaad (MRI),BOUDJADJA Sofiene
11th African Games Brazzaville 2015,2015-09-10,ARNACHELLUM Allan/PONTOISE Jason,BOURIAH Larbi/BOUDJADJA Sofiene,3,2,"6,12,8,11,13|11,10,11,8,11",R32,OTHER,MD,250,Main Draw,ARNACHELLUM Allan (MRI) / PONTOISE Jason (MRI),BOURIAH Larbi (ALG) / BOUDJADJA Sofiene (ALG),ARNACHELLUM Allan
