tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,TURRINI Rafael,YOKOTA Gustavo,4,1,"11,11,4,11,11|9,8,11,8,7",,OLYMPICS,MS,466,Qualification,TURRINI Rafael (BRA),YOKOTA Gustavo (BRA),TURRINI Rafael
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,ALMEIDA Siddharta,YOKOTA Gustavo,4,1,"8,11,11,11,11|11,5,5,8,7",,OLYMPICS,MS,466,Qualification,ALMEIDA Siddharta (BRA),YOKOTA Gustavo (BRA),ALMEIDA Siddharta
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,ALMEIDA Siddharta,TURRINI Rafael,4,2,"6,14,5,11,11,11|11,12,11,8,4,7",,OLYMPICS,MS,466,Qualification,ALMEIDA Siddharta (BRA),TURRINI Rafael (BRA),ALMEIDA Siddharta
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,KOHATSU Massao,YOKOTA Gustavo,4,2,"6,10,11,11,11,11|11,12,6,4,4,7",,OLYMPICS,MS,466,Qualification,YOKOTA Gustavo (BRA),KOHATSU Massao (BRA),KOHATSU Massao
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,LANDRIEU Andrea,TEODORO Guilherme,3,0,"11,11,11|7,3,4",QF,OLYMPICS,U21MS,466,Main Draw,LANDRIEU Andrea (FRA),TEODORO Guilherme (BRA),LANDRIEU Andrea
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,ALMEIDA Siddharta,KOHATSU Massao,3,2,"8,5,11,11,11|11,11,9,5,5",QF,OLYMPICS,U21MS,466,Main Draw,KOHATSU Massao (BRA),ALMEIDA Siddharta (BRA),ALMEIDA Siddharta
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,TOMOIKE Eduardo,ISHIDA Carlos,3,1,"11,11,7,11|5,4,11,7",QF,OLYMPICS,U21MS,466,Main Draw,ISHIDA Carlos (BRA),TOMOIKE Eduardo (BRA),TOMOIKE Eduardo
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,LAMADRID Juan,ANJOS Luiz,3,2,"11,11,12,7,11|9,6,14,11,4",QF,OLYMPICS,U21MS,466,Main Draw,ANJOS Luiz (BRA),LAMADRID Juan (CHI),LAMADRID Juan
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,LANDRIEU Andrea,ALMEIDA Siddharta,3,0,"11,11,12|7,9,10",SF,OLYMPICS,U21MS,466,Main Draw,LANDRIEU Andrea (FRA),ALMEIDA Siddharta (BRA),LANDRIEU Andrea
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,LAMADRID Juan,TOMOIKE Eduardo,3,1,"4,11,11,11|11,6,9,1",SF,OLYMPICS,U21MS,466,Main Draw,TOMOIKE Eduardo (BRA),LAMADRID Juan (CHI),LAMADRID Juan
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,LANDRIEU Andrea,LAMADRID Juan,3,0,"11,11,11|2,5,4",F,OLYMPICS,U21MS,466,Main Draw,LANDRIEU Andrea (FRA),LAMADRID Juan (CHI),LANDRIEU Andrea
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,SZOCS Bernadette,LIMA Livia,4,1,"6,11,11,11,11|11,8,2,4,8",QF,OLYMPICS,WS,466,Main Draw,SZOCS Bernadette (ROU),LIMA Livia (BRA),SZOCS Bernadette
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,TAKAHASHI Bruna,KUMAHARA Luca,4,2,"11,10,11,11,7,11|7,12,5,9,11,9",QF,OLYMPICS,WS,466,Main Draw,TAKAHASHI Bruna (BRA),KUMAHARA Luca (BRA),TAKAHASHI Bruna
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,ZARIF Audrey,KOHATSU Martina,4,0,"11,11,11,16|2,4,6,14",QF,OLYMPICS,WS,466,Main Draw,ZARIF Audrey (FRA),KOHATSU Martina (BRA),ZARIF Audrey
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,GUI Lin,VEGA Paulina,4,3,"11,11,11,7,9,8,14|8,8,5,11,11,11,12",QF,OLYMPICS,WS,466,Main Draw,VEGA Paulina (CHI),GUI Lin (BRA),GUI Lin
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,SZOCS Bernadette,TAKAHASHI Bruna,4,1,"11,7,11,13,11|4,11,6,11,3",SF,OLYMPICS,WS,466,Main Draw,SZOCS Bernadette (ROU),TAKAHASHI Bruna (BRA),SZOCS Bernadette
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,ZARIF Audrey,GUI Lin,4,3,"11,10,12,11,9,11,11|7,12,10,5,11,13,7",SF,OLYMPICS,WS,466,Main Draw,ZARIF Audrey (FRA),GUI Lin (BRA),ZARIF Audrey
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,SZOCS Bernadette,ZARIF Audrey,4,0,"11,11,11,11|7,9,7,7",F,OLYMPICS,WS,466,Main Draw,SZOCS Bernadette (ROU),ZARIF Audrey (FRA),SZOCS Bernadette
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,CALDERANO Hugo,KEINATH Thomas,4,3,"11,9,11,9,11,11,14|7,11,7,11,8,13,12",R16,OLYMPICS,MS,466,Main Draw,CALDERANO Hugo (BRA),KEINATH Thomas (SVK),CALDERANO Hugo
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,LANDRIEU Andrea,ISHIDA Carlos,4,0,"11,11,11,11|7,4,8,5",R16,OLYMPICS,MS,466,Main Draw,ISHIDA Carlos (BRA),LANDRIEU Andrea (FRA),LANDRIEU Andrea
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,TSUBOI Gustavo,GOMEZ Gustavo,4,1,"11,11,6,11,11|8,6,11,7,5",R16,OLYMPICS,MS,466,Main Draw,TSUBOI Gustavo (BRA),GOMEZ Gustavo (CHI),TSUBOI Gustavo
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,JOUTI Eric,GHOSH Soumyajit,4,1,"7,11,11,11,11|11,6,9,9,7",R16,OLYMPICS,MS,466,Main Draw,JOUTI Eric (BRA),GHOSH Soumyajit (IND),JOUTI Eric
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,SZOCS Hunor,LAMADRID Juan,4,1,"11,8,11,11,11|5,11,6,6,5",R16,OLYMPICS,MS,466,Main Draw,SZOCS Hunor (ROU),LAMADRID Juan (CHI),SZOCS Hunor
ITTF Challenge Brazil Open Sao Paulo 2017,2017-05-03,ANTHONY Amalraj,KOHATSU Massao,4,1,"11,12,11,8,11|4,10,6,11,6",R16,OLYMPICS,MS,466,Main Draw,KOHATSU Massao (BRA),ANTHONY Amalraj (IND),ANTHONY Amalraj
