tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour Australian Open Gold Coast 2017,2017-07-02,CHO Seungmin,XU Fred,3,0,"11,11,11|2,1,3",R16,GRAND_SLAM,U21MS,460,Main Draw,XU Fred (AUS),CHO Seungmin (KOR),CHO Seungmin
World Tour Australian Open Gold Coast 2017,2017-07-02,LIM Jonghoon,SUN Chia-Hung,3,1,"11,6,11,11|9,11,3,6",QF,GRAND_SLAM,U21MS,460,Main Draw,LIM Jonghoon (KOR),SUN Chia-Hung (TPE),LIM Jonghoon
World Tour Australian Open Gold Coast 2017,2017-07-02,KIM Minhyeok,LIN Xuqi,3,0,"11,11,11|6,5,7",QF,GRAND_SLAM,U21MS,460,Main Draw,LIN Xuqi (AUS),KIM Minhyeok (KOR),KIM Minhyeok
World Tour Australian Open Gold Coast 2017,2017-07-02,PARK Ganghyeon,SHU Dean,3,0,"11,11,11|2,6,6",QF,GRAND_SLAM,U21MS,460,Main Draw,PARK Ganghyeon (KOR),SHU Dean (NZL),PARK Ganghyeon
World Tour Australian Open Gold Coast 2017,2017-07-02,CHO Seungmin,TANAKA Yuta,3,1,"11,5,11,12|5,11,7,10",QF,GRAND_SLAM,U21MS,460,Main Draw,TANAKA Yuta (JPN),CHO Seungmin (KOR),CHO Seungmin
World Tour Australian Open Gold Coast 2017,2017-07-02,KIM Minhyeok,LIM Jonghoon,3,1,"6,11,12,11|11,9,10,7",SF,GRAND_SLAM,U21MS,460,Main Draw,LIM Jonghoon (KOR),KIM Minhyeok (KOR),KIM Minhyeok
World Tour Australian Open Gold Coast 2017,2017-07-02,PARK Ganghyeon,CHO Seungmin,3,2,"11,12,9,8,11|9,10,11,11,3",SF,GRAND_SLAM,U21MS,460,Main Draw,PARK Ganghyeon (KOR),CHO Seungmin (KOR),PARK Ganghyeon
World Tour Australian Open Gold Coast 2017,2017-07-02,PARK Ganghyeon,KIM Minhyeok,3,2,"11,7,7,11,11|5,11,11,4,8",F,GRAND_SLAM,U21MS,460,Main Draw,KIM Minhyeok (KOR),PARK Ganghyeon (KOR),PARK Ganghyeon
World Tour Australian Open Gold Coast 2017,2017-07-02,LI Yu-Jhun,TOWNSEND Danni Elle,3,0,"11,11,11|5,3,4",R32,GRAND_SLAM,U21WS,460,Main Draw,TOWNSEND Danni Elle (AUS),LI Yu-Jhun (TPE),LI Yu-Jhun
World Tour Australian Open Gold Coast 2017,2017-07-02,CHOI Hyojoo,LI Yu-Jhun,3,2,"11,10,9,11,11|5,12,11,8,7",R16,GRAND_SLAM,U21WS,460,Main Draw,CHOI Hyojoo (KOR),LI Yu-Jhun (TPE),CHOI Hyojoo
World Tour Australian Open Gold Coast 2017,2017-07-02,CAREY Charlotte,WU Michelle,3,0,"11,11,11|3,5,8",R16,GRAND_SLAM,U21WS,460,Main Draw,WU Michelle (AUS),CAREY Charlotte (WAL),CAREY Charlotte
World Tour Australian Open Gold Coast 2017,2017-07-02,FANG Sih-Han,ALEXANDERSSON Matilda,3,0,"11,11,11|9,7,8",R16,GRAND_SLAM,U21WS,460,Main Draw,FANG Sih-Han (TPE),ALEXANDERSSON Matilda (AUS),FANG Sih-Han
World Tour Australian Open Gold Coast 2017,2017-07-02,SHIOMI Maki,KAUR Parleen,3,0,"11,11,11|2,4,4",R16,GRAND_SLAM,U21WS,460,Main Draw,KAUR Parleen (AUS),SHIOMI Maki (JPN),SHIOMI Maki
World Tour Australian Open Gold Coast 2017,2017-07-02,CHIU Ssu-Hua,MAEDA Miyu,3,0,"11,11,11|7,6,9",R16,GRAND_SLAM,U21WS,460,Main Draw,MAEDA Miyu (JPN),CHIU Ssu-Hua (TPE),CHIU Ssu-Hua
World Tour Australian Open Gold Coast 2017,2017-07-02,LIN Ye,REUST Celine,3,0,"11,11,11|9,1,5",R16,GRAND_SLAM,U21WS,460,Main Draw,REUST Celine (SUI),LIN Ye (CAN),LIN Ye
World Tour Australian Open Gold Coast 2017,2017-07-02,WU Jiamuwa,TAN Sarah,3,0,"11,11,11|8,4,7",R16,GRAND_SLAM,U21WS,460,Main Draw,WU Jiamuwa (AUS),TAN Sarah (AUS),WU Jiamuwa
World Tour Australian Open Gold Coast 2017,2017-07-02,SHIBATA Saki,STANLEY Rebekah,3,0,"11,11,11|3,5,1",R16,GRAND_SLAM,U21WS,460,Main Draw,STANLEY Rebekah (AUS),SHIBATA Saki (JPN),SHIBATA Saki
World Tour Australian Open Gold Coast 2017,2017-07-02,CHOI Hyojoo,CAREY Charlotte,3,0,"11,11,11|5,5,4",QF,GRAND_SLAM,U21WS,460,Main Draw,CHOI Hyojoo (KOR),CAREY Charlotte (WAL),CHOI Hyojoo
World Tour Australian Open Gold Coast 2017,2017-07-02,SHIOMI Maki,FANG Sih-Han,3,0,"11,11,11|4,8,4",QF,GRAND_SLAM,U21WS,460,Main Draw,FANG Sih-Han (TPE),SHIOMI Maki (JPN),SHIOMI Maki
World Tour Australian Open Gold Coast 2017,2017-07-02,LIN Ye,CHIU Ssu-Hua,3,0,"11,11,11|8,3,7",QF,GRAND_SLAM,U21WS,460,Main Draw,CHIU Ssu-Hua (TPE),LIN Ye (CAN),LIN Ye
World Tour Australian Open Gold Coast 2017,2017-07-02,SHIBATA Saki,WU Jiamuwa,3,1,"6,11,11,11|11,3,2,4",QF,GRAND_SLAM,U21WS,460,Main Draw,WU Jiamuwa (AUS),SHIBATA Saki (JPN),SHIBATA Saki
World Tour Australian Open Gold Coast 2017,2017-07-02,SHIBATA Saki,LIN Ye,3,1,"2,12,11,12|11,10,8,10",SF,GRAND_SLAM,U21WS,460,Main Draw,LIN Ye (CAN),SHIBATA Saki (JPN),SHIBATA Saki
World Tour Australian Open Gold Coast 2017,2017-07-02,SHIBATA Saki,SHIOMI Maki,3,1,"11,11,10,11|9,8,12,2",F,GRAND_SLAM,U21WS,460,Main Draw,SHIOMI Maki (JPN),SHIBATA Saki (JPN),SHIBATA Saki
World Tour Australian Open Gold Coast 2017,2017-07-02,REUST Celine,TAN Sarah,4,2,"11,11,5,15,7,11|8,6,11,13,11,4",,GRAND_SLAM,WS,460,Qualification,REUST Celine (SUI),TAN Sarah (AUS),REUST Celine
World Tour Australian Open Gold Coast 2017,2017-07-02,MORI Sakura,TAN Sarah,4,0,"11,11,11,11|9,2,8,8",,GRAND_SLAM,WS,460,Qualification,MORI Sakura (JPN),TAN Sarah (AUS),MORI Sakura
World Tour Australian Open Gold Coast 2017,2017-07-02,MORI Sakura,REUST Celine,4,0,"11,11,11,11|1,3,1,9",,GRAND_SLAM,WS,460,Qualification,MORI Sakura (JPN),REUST Celine (SUI),MORI Sakura
World Tour Australian Open Gold Coast 2017,2017-07-02,LI Yu-Jhun,WU Jiamuwa,4,0,"11,13,11,11|6,11,8,6",,GRAND_SLAM,WS,460,Qualification,WU Jiamuwa (AUS),LI Yu-Jhun (TPE),LI Yu-Jhun
World Tour Australian Open Gold Coast 2017,2017-07-02,LI Yu-Jhun,MORIZONO Misaki,4,1,"8,11,11,11,11|11,9,8,8,8",,GRAND_SLAM,WS,460,Qualification,MORIZONO Misaki (JPN),LI Yu-Jhun (TPE),LI Yu-Jhun
World Tour Australian Open Gold Coast 2017,2017-07-02,MORIZONO Misaki,WU Jiamuwa,4,0,"11,11,11,11|7,6,9,5",,GRAND_SLAM,WS,460,Qualification,MORIZONO Misaki (JPN),WU Jiamuwa (AUS),MORIZONO Misaki
World Tour Australian Open Gold Coast 2017,2017-07-02,ZHANG Qiang,TAPPER Melissa,4,0,"11,11,11,11|5,7,1,4",,GRAND_SLAM,WS,460,Qualification,TAPPER Melissa (AUS),ZHANG Qiang (CHN),ZHANG Qiang
