tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,OIKAWA Mizuki/MATSUSHIMA Sora,LIANG Jishan/NARESH Nandan,3,0,"11,11,19|5,6,17",,WTT_CONTENDER,MD,2691,Qualification,OIKAWA Mizuki/MATSUSHIMA Sora (JPN),LIANG Jishan/NARESH Nandan (USA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,LAKATOS Tamas/HODAEI Amir Hossein,BOULOUSSA Mehdi/DIAW Ibrahima,3,0,"12,12,12|10,10,10",,WTT_CONTENDER,MD,2691,Qualification,LAKATOS Tamas/HODAEI Amir Hossein (HUN/IRI),BOULOUSSA Mehdi/DIAW Ibrahima (ALG/SEN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,AIDA Satoshi/JIN Takuya,ZELINKA Jakub/ESSID Wassim,3,0,"11,11,11|7,3,9",,WTT_CONTENDER,MD,2691,Qualification,AIDA Satoshi/JIN Takuya (JPN),ZELINKA Jakub/ESSID Wassim (SVK/TUN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,XU Haidong/SUN Wen,KHEROUF Sami/CHAICHI Abdelbasset,3,0,"11,11,11|6,6,7",,WTT_CONTENDER,MD,2691,Qualification,XU Haidong/SUN Wen (CHN),KHEROUF Sami/CHAICHI Abdelbasset (ALG)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,KIM Nayeong/RYU Hanna,KIM Seoyun/YOON Hyobin,3,2,"11,5,9,11,11|7,11,11,6,8",,WTT_CONTENDER,WD,2691,Qualification,KIM Nayeong/RYU Hanna (KOR),KIM Seoyun/YOON Hyobin (KOR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,LI Yake/WANG Xiaotong,GUISNEL Oceane/LOEUILLETTE Stephanie,3,1,"11,10,11,11|6,12,7,6",,WTT_CONTENDER,WD,2691,Qualification,LI Yake/WANG Xiaotong (CHN),GUISNEL Oceane/LOEUILLETTE Stephanie (FRA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,LIU Weishan/GUO Yuhan,JEGER Mateja/RAKOVAC Lea,3,0,"11,11,11|4,6,3",,WTT_CONTENDER,WD,2691,Qualification,LIU Weishan/GUO Yuhan (CHN),JEGER Mateja/RAKOVAC Lea (CRO)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,LI Ching Wan/ZHU Chengzhu,BARANI Arianna/RONCALLO Valentina,3,0,"11,11,12|4,5,10",,WTT_CONTENDER,WD,2691,Qualification,LI Ching Wan/ZHU Chengzhu (HKG),BARANI Arianna/RONCALLO Valentina (ITA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,SUN Wen,REMBERT Bastien,3,1,"11,11,10,11|9,7,12,8",,WTT_CONTENDER,MS,2691,Qualification,SUN Wen (CHN),REMBERT Bastien (FRA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,OH Junsung,BARDET Lilian,3,1,"11,5,11,11|8,11,9,6",,WTT_CONTENDER,MS,2691,Qualification,OH Junsung (KOR),BARDET Lilian (FRA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,MENG Fanbo,KAO Cheng-Jui,3,2,"11,13,6,9,17|7,11,11,11,15",,WTT_CONTENDER,MS,2691,Qualification,MENG Fanbo (GER),KAO Cheng-Jui (TPE)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,RAKOVAC Lea,LUTZ Camille,3,2,"12,9,12,11,11|14,11,10,8,6",,WTT_CONTENDER,WS,2691,Qualification,RAKOVAC Lea (CRO),LUTZ Camille (FRA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,CHO Daeseong,KOJIC Frane,3,0,"11,11,11|6,6,9",,WTT_CONTENDER,MS,2691,Qualification,CHO Daeseong (KOR),KOJIC Frane (CRO)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,KIM Seoyun,MUKHERJEE Sutirtha,3,2,"11,7,12,11,11|5,11,14,7,9",,WTT_CONTENDER,WS,2691,Qualification,KIM Seoyun (KOR),MUKHERJEE Sutirtha (IND)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,SUNG Rachel,JEGER Mateja,3,0,"11,11,11|7,9,8",,WTT_CONTENDER,WS,2691,Qualification,SUNG Rachel (USA),JEGER Mateja (CRO)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,YANG Yiyun,SCHREINER Franziska,3,0,"11,11,11|7,5,7",,WTT_CONTENDER,WS,2691,Qualification,YANG Yiyun (CHN),SCHREINER Franziska (GER)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,SEYFRIED Joe,YIGENLER Abdullah,3,0,"12,11,11|10,8,5",,WTT_CONTENDER,MS,2691,Qualification,SEYFRIED Joe (FRA),YIGENLER Abdullah (TUR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,HUANG Yan-Cheng,LIAO Cheng-Ting,3,2,"11,2,9,11,11|8,11,11,9,6",,WTT_CONTENDER,MS,2691,Qualification,HUANG Yan-Cheng (TPE),LIAO Cheng-Ting (TPE)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,LIANG Jishan,NARESH Nandan,3,1,"11,4,11,11|9,11,6,5",,WTT_CONTENDER,MS,2691,Qualification,LIANG Jishan (USA),NARESH Nandan (USA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,MEISSNER Cedric,MATSUSHIMA Sora,3,1,"11,11,4,11|7,8,11,4",,WTT_CONTENDER,MS,2691,Qualification,MEISSNER Cedric (GER),MATSUSHIMA Sora (JPN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,ZANG Xiaotong,TENNISON Reeth,3,0,"11,12,11|4,10,8",,WTT_CONTENDER,WS,2691,Qualification,ZANG Xiaotong (CHN),TENNISON Reeth (IND)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,ZARIF Audrey,GONDERINGER Tessy,3,1,"14,10,12,11|12,12,10,6",,WTT_CONTENDER,WS,2691,Qualification,ZARIF Audrey (FRA),GONDERINGER Tessy (LUX)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,YANG Ha Eun,LI Ching Wan,3,0,"11,11,14|7,3,12",,WTT_CONTENDER,WS,2691,Qualification,YANG Ha Eun (KOR),LI Ching Wan (HKG)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,YOON Hyobin,RYU Hanna,3,0,"11,13,11|6,11,8",,WTT_CONTENDER,WS,2691,Qualification,YOON Hyobin (KOR),RYU Hanna (KOR)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,LAMBIET Florent,STUMPER Kay,3,1,"11,11,12,11|5,7,14,9",,WTT_CONTENDER,MS,2691,Qualification,LAMBIET Florent (BEL),STUMPER Kay (GER)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,DIAW Ibrahima,SHULAYBI Abdulaziz BU,3,0,"11,11,11|5,4,7",,WTT_CONTENDER,MS,2691,Qualification,DIAW Ibrahima (SEN),SHULAYBI Abdulaziz BU (KSA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,CHITALE Diya Parag,ZOGHLAMI Maram,3,0,"11,11,11|6,7,2",,WTT_CONTENDER,WS,2691,Qualification,CHITALE Diya Parag (IND),ZOGHLAMI Maram (TUN)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,MUKHERJEE Ayhika,BARANI Arianna,3,2,"12,7,11,6,11|10,11,9,11,1",,WTT_CONTENDER,WS,2691,Qualification,MUKHERJEE Ayhika (IND),BARANI Arianna (ITA)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,CHASSELIN Pauline,NG Wing Lam,3,2,"10,11,9,11,11|12,5,11,8,5",,WTT_CONTENDER,WS,2691,Qualification,CHASSELIN Pauline (FRA),NG Wing Lam (HKG)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,COK Isa,LOGHRAIBI Lynda,3,0,"11,11,11|8,3,8",,WTT_CONTENDER,WS,2691,Qualification,COK Isa (FRA),LOGHRAIBI Lynda (ALG)
WTT Contender Tunis 2023 Presented by KIA,2023-06-21,JOUTI Eric,WOO Hyeonggyu,3,0,"11,12,11|7,10,5",,WTT_CONTENDER,MS,2691,Qualification,JOUTI Eric (BRA),WOO Hyeonggyu (KOR)
