tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Greece Open Athens 2004,2004-01-29,MA Lin,JOVER Sebastien,4,2,"11,14,5,11,5,11|8,12,11,8,11,6",R64,GRAND_SLAM,MS,1649,Main Draw,MA Lin (CHN),JOVER Sebastien (FRA),MA Lin
Greece Open Athens 2004,2004-01-29,LENGEROV Kostadin,BITZIGEIO Jorg,4,2,"11,11,10,11,7,11|7,8,12,2,11,6",QR2,GRAND_SLAM,MS,1649,Qualification,LENGEROV Kostadin (AUT),BITZIGEIO Jorg (GER),LENGEROV Kostadin
Greece Open Athens 2004,2004-01-29,LENGEROV Kostadin,MOLDOVAN Istvan,4,2,"11,11,11,6,5,11|7,3,9,11,11,6",3,GRAND_SLAM,MS,1649,Qualification,LENGEROV Kostadin (AUT),MOLDOVAN Istvan (NOR),LENGEROV Kostadin
Greece Open Athens 2004,2004-01-29,KOSOWSKI Jakub,PICHLER Michael,4,2,"8,13,10,11,14,11|11,11,12,9,12,6",,GRAND_SLAM,MS,1649,Qualification,KOSOWSKI Jakub (POL),PICHLER Michael (AUT),KOSOWSKI Jakub
Greece Open Athens 2004,2004-01-29,ERLANDSEN Geir,PICHLER Michael,4,2,"11,11,13,8,9,11|7,9,11,11,11,6",QR2,GRAND_SLAM,MS,1649,Qualification,ERLANDSEN Geir (NOR),PICHLER Michael (AUT),ERLANDSEN Geir
Greece Open Athens 2004,2004-01-29,ERLANDSEN Geir,KOSOWSKI Jakub,4,0,"11,11,11,11|7,9,6,5",3,GRAND_SLAM,MS,1649,Qualification,ERLANDSEN Geir (NOR),KOSOWSKI Jakub (POL),ERLANDSEN Geir
Greece Open Athens 2004,2004-01-29,CABESTANY Cedrik,RINIOTIS Anastasios,4,0,"11,11,11,11|7,8,5,5",,GRAND_SLAM,MS,1649,Qualification,CABESTANY Cedrik (FRA),RINIOTIS Anastasios (GRE),CABESTANY Cedrik
Greece Open Athens 2004,2004-01-29,KEINATH Thomas,RINIOTIS Anastasios,4,0,"11,11,11,11|7,9,5,6",QR2,GRAND_SLAM,MS,1649,Qualification,KEINATH Thomas (SVK),RINIOTIS Anastasios (GRE),KEINATH Thomas
Greece Open Athens 2004,2004-01-29,CABESTANY Cedrik,KEINATH Thomas,4,3,"11,11,20,11,8,8,11|5,6,22,9,11,11,8",3,GRAND_SLAM,MS,1649,Qualification,CABESTANY Cedrik (FRA),KEINATH Thomas (SVK),CABESTANY Cedrik
Greece Open Athens 2004,2004-01-29,MONTEIRO Thiago,HABESOHN Mathias,4,3,"6,4,11,11,11,12,11|11,11,8,3,4,14,9",,GRAND_SLAM,MS,1649,Qualification,MONTEIRO Thiago (BRA),HABESOHN Mathias (AUT),MONTEIRO Thiago
Greece Open Athens 2004,2004-01-29,HABESOHN Mathias,MUNOZ Guillermo,4,1,"11,11,12,7,11|3,8,10,11,7",QR2,GRAND_SLAM,MS,1649,Qualification,HABESOHN Mathias (AUT),MUNOZ Guillermo (MEX),HABESOHN Mathias
Greece Open Athens 2004,2004-01-29,MONTEIRO Thiago,MUNOZ Guillermo,4,0,"11,11,11,11|7,6,6,5",3,GRAND_SLAM,MS,1649,Qualification,MONTEIRO Thiago (BRA),MUNOZ Guillermo (MEX),MONTEIRO Thiago
Greece Open Athens 2004,2004-01-29,PIACENTINI Valentino,LAGOGIANNIS Konstantinos,4,3,"4,11,11,7,11,11,14|11,8,5,11,13,9,12",,GRAND_SLAM,MS,1649,Qualification,PIACENTINI Valentino (ITA),LAGOGIANNIS Konstantinos (GRE),PIACENTINI Valentino
Greece Open Athens 2004,2004-01-29,GARDOS Robert,LAGOGIANNIS Konstantinos,4,1,"11,4,11,11,11|6,11,4,8,9",QR2,GRAND_SLAM,MS,1649,Qualification,GARDOS Robert (AUT),LAGOGIANNIS Konstantinos (GRE),GARDOS Robert
Greece Open Athens 2004,2004-01-29,GARDOS Robert,PIACENTINI Valentino,4,2,"11,11,8,10,12,11|7,8,11,12,10,7",3,GRAND_SLAM,MS,1649,Qualification,GARDOS Robert (AUT),PIACENTINI Valentino (ITA),GARDOS Robert
Greece Open Athens 2004,2004-01-29,OLEJNIK Martin,PAPADIMITRIOU Dimitrios,4,0,"11,12,12,11|9,10,10,2",,GRAND_SLAM,MS,1649,Qualification,OLEJNIK Martin (CZE),PAPADIMITRIOU Dimitrios (GRE),OLEJNIK Martin
Greece Open Athens 2004,2004-01-29,FLOREA Vasile,PAPADIMITRIOU Dimitrios,4,3,"11,10,11,7,11,6,11|6,12,4,11,9,11,9",QR2,GRAND_SLAM,MS,1649,Qualification,FLOREA Vasile (ROU),PAPADIMITRIOU Dimitrios (GRE),FLOREA Vasile
Greece Open Athens 2004,2004-01-29,OLEJNIK Martin,FLOREA Vasile,4,0,"11,11,11,11|8,5,9,8",3,GRAND_SLAM,MS,1649,Qualification,OLEJNIK Martin (CZE),FLOREA Vasile (ROU),OLEJNIK Martin
Greece Open Athens 2004,2004-01-29,TUGWELL Finn,VLOTINOS Ioannis,4,0,"11,11,11,11|4,4,8,5",3,GRAND_SLAM,MS,1649,Qualification,TUGWELL Finn (DEN),VLOTINOS Ioannis (GRE),TUGWELL Finn
Greece Open Athens 2004,2004-01-29,JOVER Sebastien,AL-HAMMADI Abdulla,4,0,"11,11,13,11|7,8,11,6",,GRAND_SLAM,MS,1649,Qualification,JOVER Sebastien (FRA),AL-HAMMADI Abdulla (QAT),JOVER Sebastien
Greece Open Athens 2004,2004-01-29,CIOTI Constantin,AL-HAMMADI Abdulla,4,0,"11,11,11,11|7,5,5,7",QR2,GRAND_SLAM,MS,1649,Qualification,CIOTI Constantin (ROU),AL-HAMMADI Abdulla (QAT),CIOTI Constantin
Greece Open Athens 2004,2004-01-29,JOVER Sebastien,CIOTI Constantin,4,3,"12,7,11,3,11,7,11|10,11,7,11,5,11,9",3,GRAND_SLAM,MS,1649,Qualification,JOVER Sebastien (FRA),CIOTI Constantin (ROU),JOVER Sebastien
Greece Open Athens 2004,2004-01-29,JINDRAK Karl,AL-RUMEIHI Mohamed,4,0,"11,11,11,11|9,4,7,7",,GRAND_SLAM,MS,1649,Qualification,JINDRAK Karl (AUT),AL-RUMEIHI Mohamed (QAT),JINDRAK Karl
Greece Open Athens 2004,2004-01-29,PLACHY Josef,AL-RUMEIHI Mohamed,4,0,"11,11,11,11|7,4,7,6",QR2,GRAND_SLAM,MS,1649,Qualification,PLACHY Josef (CZE),AL-RUMEIHI Mohamed (QAT),PLACHY Josef
Greece Open Athens 2004,2004-01-29,PLACHY Josef,JINDRAK Karl,4,1,"9,11,11,11,11|11,9,6,9,2",3,GRAND_SLAM,MS,1649,Qualification,PLACHY Josef (CZE),JINDRAK Karl (AUT),PLACHY Josef
Greece Open Athens 2004,2004-01-29,TORRES Daniel,AL-JUMAN Mohamed,4,1,"11,14,11,9,11|4,12,2,11,2",,GRAND_SLAM,MS,1649,Qualification,TORRES Daniel (ESP),AL-JUMAN Mohamed (QAT),TORRES Daniel
Greece Open Athens 2004,2004-01-29,LIU Song,AL-JUMAN Mohamed,4,0,"11,11,11,11|5,3,2,3",QR2,GRAND_SLAM,MS,1649,Qualification,LIU Song (ARG),AL-JUMAN Mohamed (QAT),LIU Song
Greece Open Athens 2004,2004-01-29,LIU Song,TORRES Daniel,4,1,"11,13,11,12,12|6,11,4,14,10",3,GRAND_SLAM,MS,1649,Qualification,LIU Song (ARG),TORRES Daniel (ESP),LIU Song
Greece Open Athens 2004,2004-01-29,MONDELLO Massimiliano,AL-MOHANNADI Ahmad Khalil,4,0,"11,11,11,11|8,2,7,3",,GRAND_SLAM,MS,1649,Qualification,MONDELLO Massimiliano (ITA),AL-MOHANNADI Ahmad Khalil (QAT),MONDELLO Massimiliano
Greece Open Athens 2004,2004-01-29,PAZSY Ferenc,AL-MOHANNADI Ahmad Khalil,4,0,"11,11,15,11|9,3,13,7",QR2,GRAND_SLAM,MS,1649,Qualification,PAZSY Ferenc (HUN),AL-MOHANNADI Ahmad Khalil (QAT),PAZSY Ferenc
Greece Open Athens 2004,2004-01-29,MONDELLO Massimiliano,PAZSY Ferenc,4,1,"11,12,12,11,12|9,10,10,13,10",3,GRAND_SLAM,MS,1649,Qualification,MONDELLO Massimiliano (ITA),PAZSY Ferenc (HUN),MONDELLO Massimiliano
Greece Open Athens 2004,2004-01-29,YOON Jaeyoung,DAVID Petr,4,1,"11,11,11,5,11|8,8,1,11,3",,GRAND_SLAM,MS,1649,Qualification,YOON Jaeyoung (KOR),DAVID Petr (CZE),YOON Jaeyoung
Greece Open Athens 2004,2004-01-29,KUSINSKI Marcin,DAVID Petr,4,2,"11,4,7,11,11,11|4,11,11,9,8,8",QR2,GRAND_SLAM,MS,1649,Qualification,KUSINSKI Marcin (POL),DAVID Petr (CZE),KUSINSKI Marcin
Greece Open Athens 2004,2004-01-29,KUSINSKI Marcin,YOON Jaeyoung,4,3,"11,5,11,11,10,1,13|7,11,6,9,12,11,11",3,GRAND_SLAM,MS,1649,Qualification,KUSINSKI Marcin (POL),YOON Jaeyoung (KOR),KUSINSKI Marcin
Greece Open Athens 2004,2004-01-29,FILIMON Andrei,MAGYAR Laszlo,4,1,"11,9,11,11,14|6,11,6,5,12",,GRAND_SLAM,MS,1649,Qualification,FILIMON Andrei (ROU),MAGYAR Laszlo (HUN),FILIMON Andrei
Greece Open Athens 2004,2004-01-29,VYBORNY Richard,MAGYAR Laszlo,4,0,"11,11,11,11|4,7,5,2",QR2,GRAND_SLAM,MS,1649,Qualification,VYBORNY Richard (CZE),MAGYAR Laszlo (HUN),VYBORNY Richard
Greece Open Athens 2004,2004-01-29,FILIMON Andrei,VYBORNY Richard,4,1,"11,11,11,11,11|8,8,9,13,5",3,GRAND_SLAM,MS,1649,Qualification,FILIMON Andrei (ROU),VYBORNY Richard (CZE),FILIMON Andrei
Greece Open Athens 2004,2004-01-29,YUZAWA Ryo,MUSKO Peter,4,1,"11,11,15,4,11|5,4,13,11,8",,GRAND_SLAM,MS,1649,Qualification,YUZAWA Ryo (JPN),MUSKO Peter (HUN),YUZAWA Ryo
Greece Open Athens 2004,2004-01-29,KLASEK Marek,MUSKO Peter,4,0,"11,11,11,11|0,6,3,3",QR2,GRAND_SLAM,MS,1649,Qualification,KLASEK Marek (CZE),MUSKO Peter (HUN),KLASEK Marek
Greece Open Athens 2004,2004-01-29,KLASEK Marek,YUZAWA Ryo,4,0,"11,11,11,11|7,6,9,4",3,GRAND_SLAM,MS,1649,Qualification,KLASEK Marek (CZE),YUZAWA Ryo (JPN),KLASEK Marek
Greece Open Athens 2004,2004-01-29,VARIN Eric,GAVLAS Antonin,4,1,"11,11,6,11,11|7,3,11,3,6",,GRAND_SLAM,MS,1649,Qualification,VARIN Eric (FRA),GAVLAS Antonin (CZE),VARIN Eric
Greece Open Athens 2004,2004-01-29,SUCH Bartosz,GAVLAS Antonin,4,3,"7,11,9,11,7,11,11|11,4,11,8,11,8,8",QR2,GRAND_SLAM,MS,1649,Qualification,SUCH Bartosz (POL),GAVLAS Antonin (CZE),SUCH Bartosz
Greece Open Athens 2004,2004-01-29,VARIN Eric,SUCH Bartosz,4,3,"11,11,10,11,8,9,12|4,7,12,7,11,11,10",3,GRAND_SLAM,MS,1649,Qualification,VARIN Eric (FRA),SUCH Bartosz (POL),VARIN Eric
Greece Open Athens 2004,2004-01-29,VITSEK Ivan,PAVELKA Tomas,4,3,"8,11,4,11,7,11,11|11,6,11,7,11,9,9",,GRAND_SLAM,MS,1649,Qualification,VITSEK Ivan (HUN),PAVELKA Tomas (CZE),VITSEK Ivan
Greece Open Athens 2004,2004-01-29,VITSEK Ivan,JIANG Weizhong,4,0,"13,11,13,11|11,8,11,9",QR2,GRAND_SLAM,MS,1649,Qualification,VITSEK Ivan (HUN),JIANG Weizhong (CRO),VITSEK Ivan
Greece Open Athens 2004,2004-01-29,JIANG Weizhong,PAVELKA Tomas,4,1,"11,12,11,11,11|8,14,6,5,7",3,GRAND_SLAM,MS,1649,Qualification,JIANG Weizhong (CRO),PAVELKA Tomas (CZE),JIANG Weizhong
Greece Open Athens 2004,2004-01-29,GIONIS Panagiotis,ALHAJJAI Waled Nasser,4,0,"11,11,11,11|6,4,4,2",,GRAND_SLAM,MS,1649,Qualification,GIONIS Panagiotis (GRE),ALHAJJAI Waled Nasser (QAT),GIONIS Panagiotis
Greece Open Athens 2004,2004-01-29,MONRAD Martin,ALHAJJAI Waled Nasser,4,0,"11,11,11,11|1,1,7,5",QR2,GRAND_SLAM,MS,1649,Qualification,MONRAD Martin (DEN),ALHAJJAI Waled Nasser (QAT),MONRAD Martin
Greece Open Athens 2004,2004-01-29,MONRAD Martin,GIONIS Panagiotis,4,1,"11,11,13,9,11|2,9,11,11,3",3,GRAND_SLAM,MS,1649,Qualification,MONRAD Martin (DEN),GIONIS Panagiotis (GRE),MONRAD Martin
Greece Open Athens 2004,2004-01-29,TOSIC Roko,SUSS Christian,4,0,"11,12,12,11|5,10,10,8",3,GRAND_SLAM,MS,1649,Qualification,TOSIC Roko (CRO),SUSS Christian (GER),TOSIC Roko
Greece Open Athens 2004,2004-01-29,ZHANG Yining,MOON Hyunjung,4,0,"11,11,11,11|5,6,3,8",R64,GRAND_SLAM,WS,1649,Main Draw,ZHANG Yining (CHN),MOON Hyunjung (KOR),ZHANG Yining
Greece Open Athens 2004,2004-01-29,STRUSE Nicole,LI Yun Fei,4,1,"10,11,11,12,13|12,7,8,10,11",R64,GRAND_SLAM,WS,1649,Main Draw,STRUSE Nicole (GER),LI Yun Fei (BEL),STRUSE Nicole
Greece Open Athens 2004,2004-01-29,KERTAI Rita,MIROU Maria,4,3,"10,11,11,11,9,11,11|12,8,13,5,11,8,8",R64,GRAND_SLAM,WS,1649,Main Draw,KERTAI Rita (HUN),MIROU Maria (GRE),KERTAI Rita
Greece Open Athens 2004,2004-01-29,UMEMURA Aya,KASABOVA Asya,4,0,"11,11,11,11|5,2,9,9",R64,GRAND_SLAM,WS,1649,Main Draw,UMEMURA Aya (JPN),KASABOVA Asya (BUL),UMEMURA Aya
Greece Open Athens 2004,2004-01-29,WANG Chen,KO Somi,4,0,"11,11,11,11|5,7,3,7",R64,GRAND_SLAM,WS,1649,Main Draw,WANG Chen (USA),KO Somi (KOR),WANG Chen
Greece Open Athens 2004,2004-01-29,STEFANOVA Nikoleta,ROBERTSON Laura,4,1,"11,11,6,11,11|6,7,11,4,5",R64,GRAND_SLAM,WS,1649,Main Draw,STEFANOVA Nikoleta (ITA),ROBERTSON Laura (GER),STEFANOVA Nikoleta
Greece Open Athens 2004,2004-01-29,LI Qiangbing,PAVLOVICH Viktoria,4,3,"4,11,11,11,11,4,12|11,6,7,13,6,11,10",R64,GRAND_SLAM,WS,1649,Main Draw,LI Qiangbing (AUT),PAVLOVICH Viktoria (BLR),LI Qiangbing
Greece Open Athens 2004,2004-01-29,GUO Yue,VACENOVSKA Iveta,4,0,"11,11,11,11|2,1,7,2",R64,GRAND_SLAM,WS,1649,Main Draw,GUO Yue (CHN),VACENOVSKA Iveta (CZE),GUO Yue
Greece Open Athens 2004,2004-01-29,KIM Kyungah,WANG Yu (YOB=1981),4,1,"11,11,15,7,11|2,8,13,11,7",R64,GRAND_SLAM,WS,1649,Main Draw,KIM Kyungah (KOR),WANG Yu (YOB=1981) (ITA),KIM Kyungah
Greece Open Athens 2004,2004-01-29,JING Junhong,JEON Hyekyung,4,3,"16,7,12,12,6,11,11|18,11,10,10,11,5,8",R64,GRAND_SLAM,WS,1649,Main Draw,JING Junhong (SGP),JEON Hyekyung (KOR),JING Junhong
Greece Open Athens 2004,2004-01-29,BATORFI Csilla,PAVLOVICH Veronika,4,1,"11,11,7,11,11|7,8,11,5,9",R64,GRAND_SLAM,WS,1649,Main Draw,BATORFI Csilla (HUN),PAVLOVICH Veronika (BLR),BATORFI Csilla
Greece Open Athens 2004,2004-01-29,FUKUHARA Ai,WAGGERMAYER Elena,4,0,"11,11,11,11|7,6,4,4",R64,GRAND_SLAM,WS,1649,Main Draw,FUKUHARA Ai (JPN),WAGGERMAYER Elena (AUT),FUKUHARA Ai
Greece Open Athens 2004,2004-01-29,LI Jiawei,LOGATSKAYA Olga,4,1,"6,11,11,11,11|11,8,1,5,8",R64,GRAND_SLAM,WS,1649,Main Draw,LI Jiawei (SGP),LOGATSKAYA Olga (BLR),LI Jiawei
Greece Open Athens 2004,2004-01-29,GANINA Svetlana,LANG Kristin,4,3,"11,10,7,11,7,11,12|7,12,11,5,11,9,10",R64,GRAND_SLAM,WS,1649,Main Draw,GANINA Svetlana (RUS),LANG Kristin (GER),GANINA Svetlana
Greece Open Athens 2004,2004-01-29,SUK Eunmi,KRAMER Tanja,4,2,"7,8,11,11,11,11|11,11,3,8,6,7",R64,GRAND_SLAM,WS,1649,Main Draw,SUK Eunmi (KOR),KRAMER Tanja (GER),SUK Eunmi
Greece Open Athens 2004,2004-01-29,GUO Yan (1982),KIM Kyungha,4,2,"11,12,6,7,11,11|4,10,11,11,5,3",R64,GRAND_SLAM,WS,1649,Main Draw,GUO Yan (1982) (CHN),KIM Kyungha (KOR),GUO Yan (1982)
Greece Open Athens 2004,2004-01-29,NIU Jianfeng,GOURIN Anne-Sophie,4,3,"9,11,6,11,11,10,11|11,9,11,9,7,12,3",R64,GRAND_SLAM,WS,1649,Main Draw,NIU Jianfeng (CHN),GOURIN Anne-Sophie (FRA),NIU Jianfeng
Greece Open Athens 2004,2004-01-29,PASKAUSKIENE Ruta,ZHANG Xueling,4,3,"11,9,9,13,9,11,11|7,11,11,11,11,6,5",R64,GRAND_SLAM,WS,1649,Main Draw,PASKAUSKIENE Ruta (LTU),ZHANG Xueling (SGP),PASKAUSKIENE Ruta
Greece Open Athens 2004,2004-01-29,FUJINUMA Ai,GOBEL Jessica,4,0,"13,11,11,11|11,8,7,8",R64,GRAND_SLAM,WS,1649,Main Draw,FUJINUMA Ai (JPN),GOBEL Jessica (GER),FUJINUMA Ai
Greece Open Athens 2004,2004-01-29,TOTH Krisztina,JONSSON Carina,4,0,"11,11,11,12|6,6,5,10",R64,GRAND_SLAM,WS,1649,Main Draw,TOTH Krisztina (HUN),JONSSON Carina (SWE),TOTH Krisztina
Greece Open Athens 2004,2004-01-29,XU Yan,VOLAKAKI Archontoula,4,1,"11,11,11,11,11|8,7,13,6,7",R64,GRAND_SLAM,WS,1649,Main Draw,XU Yan (SGP),VOLAKAKI Archontoula (GRE),XU Yan
Greece Open Athens 2004,2004-01-29,TANIGUCHI Naoko,FAZEKAS Maria,4,3,"4,11,11,8,7,11,11|11,9,6,11,11,6,9",R64,GRAND_SLAM,WS,1649,Main Draw,TANIGUCHI Naoko (JPN),FAZEKAS Maria (HUN),TANIGUCHI Naoko
Greece Open Athens 2004,2004-01-29,LI Ju,KIM Mookyo,4,0,"11,13,11,11|7,11,9,8",R64,GRAND_SLAM,WS,1649,Main Draw,LI Ju (CHN),KIM Mookyo (KOR),LI Ju
Greece Open Athens 2004,2004-01-29,BOROS Tamara,MOLNAR Zita,4,0,"11,11,11,11|3,9,6,7",R64,GRAND_SLAM,WS,1649,Main Draw,BOROS Tamara (CRO),MOLNAR Zita (HUN),BOROS Tamara
Greece Open Athens 2004,2004-01-29,TAN Wenling,HIURA Reiko,4,1,"11,11,3,11,11|5,4,11,8,4",R64,GRAND_SLAM,WS,1649,Main Draw,TAN Wenling (ITA),HIURA Reiko (JPN),TAN Wenling
Greece Open Athens 2004,2004-01-29,KOSTROMINA Tatyana (1973),MOLNAR Cornelia,4,3,"5,12,7,12,9,11,12|11,10,11,10,11,9,10",R64,GRAND_SLAM,WS,1649,Main Draw,KOSTROMINA Tatyana (1973) (BLR),MOLNAR Cornelia (CRO),KOSTROMINA Tatyana (1973)
Greece Open Athens 2004,2004-01-29,FUJII Hiroko,LIU Jia,4,2,"11,11,11,7,11,11|7,9,8,11,13,9",R64,GRAND_SLAM,WS,1649,Main Draw,FUJII Hiroko (JPN),LIU Jia (AUT),FUJII Hiroko
Greece Open Athens 2004,2004-01-29,SCHOPP Jie,TAN Paey Fern,4,1,"11,10,11,11,11|8,12,5,5,6",R64,GRAND_SLAM,WS,1649,Main Draw,SCHOPP Jie (GER),TAN Paey Fern (SGP),SCHOPP Jie
Greece Open Athens 2004,2004-01-29,RATHER Jasna,KRAVCHENKO Marina,4,2,"6,11,4,12,13,11|11,8,11,10,11,9",R64,GRAND_SLAM,WS,1649,Main Draw,RATHER Jasna (USA),KRAVCHENKO Marina (ISR),RATHER Jasna
Greece Open Athens 2004,2004-01-29,NEGRISOLI Laura,POTA Georgina,4,1,"13,10,11,11,11|11,12,7,7,8",R64,GRAND_SLAM,WS,1649,Main Draw,NEGRISOLI Laura (ITA),POTA Georgina (HUN),NEGRISOLI Laura
Greece Open Athens 2004,2004-01-29,WANG Nan,PARK Kyungae (II),4,2,"5,11,8,11,13,11|11,9,11,6,11,3",R64,GRAND_SLAM,WS,1649,Main Draw,WANG Nan (CHN),PARK Kyungae (II) (KOR),WANG Nan
Greece Open Athens 2004,2004-01-29,STRUSE Nicole,ZHANG Yining,4,3,"7,4,11,11,11,11,11|11,11,6,13,7,9,9",R32,GRAND_SLAM,WS,1649,Main Draw,STRUSE Nicole (GER),ZHANG Yining (CHN),STRUSE Nicole
Greece Open Athens 2004,2004-01-29,UMEMURA Aya,KERTAI Rita,4,2,"8,11,8,11,11,11|11,4,11,8,6,8",R32,GRAND_SLAM,WS,1649,Main Draw,UMEMURA Aya (JPN),KERTAI Rita (HUN),UMEMURA Aya
Greece Open Athens 2004,2004-01-29,WANG Chen,STEFANOVA Nikoleta,4,1,"11,9,11,12,11|9,11,5,10,9",R32,GRAND_SLAM,WS,1649,Main Draw,WANG Chen (USA),STEFANOVA Nikoleta (ITA),WANG Chen
Greece Open Athens 2004,2004-01-29,GUO Yue,LI Qiangbing,4,3,"9,9,11,11,9,11,11|11,11,4,9,11,5,8",R32,GRAND_SLAM,WS,1649,Main Draw,GUO Yue (CHN),LI Qiangbing (AUT),GUO Yue
Greece Open Athens 2004,2004-01-29,KIM Kyungah,JING Junhong,4,1,"11,11,9,11,11|8,3,11,6,2",R32,GRAND_SLAM,WS,1649,Main Draw,KIM Kyungah (KOR),JING Junhong (SGP),KIM Kyungah
Greece Open Athens 2004,2004-01-29,FUKUHARA Ai,BATORFI Csilla,4,0,"11,11,11,11|5,6,6,8",R32,GRAND_SLAM,WS,1649,Main Draw,FUKUHARA Ai (JPN),BATORFI Csilla (HUN),FUKUHARA Ai
Greece Open Athens 2004,2004-01-29,LI Jiawei,GANINA Svetlana,4,0,"11,11,11,11|5,6,8,7",R32,GRAND_SLAM,WS,1649,Main Draw,LI Jiawei (SGP),GANINA Svetlana (RUS),LI Jiawei
Greece Open Athens 2004,2004-01-29,GUO Yan (1982),SUK Eunmi,4,0,"11,11,11,11|7,6,6,4",R32,GRAND_SLAM,WS,1649,Main Draw,GUO Yan (1982) (CHN),SUK Eunmi (KOR),GUO Yan (1982)
Greece Open Athens 2004,2004-01-29,NIU Jianfeng,ELLO Vivien,4,1,"11,12,11,5,11|4,10,9,11,8",R32,GRAND_SLAM,WS,1649,Main Draw,NIU Jianfeng (CHN),ELLO Vivien (HUN),NIU Jianfeng
Greece Open Athens 2004,2004-01-29,PASKAUSKIENE Ruta,FUJINUMA Ai,4,0,"13,16,11,11|11,14,3,7",R32,GRAND_SLAM,WS,1649,Main Draw,PASKAUSKIENE Ruta (LTU),FUJINUMA Ai (JPN),PASKAUSKIENE Ruta
Greece Open Athens 2004,2004-01-29,XU Yan,TOTH Krisztina,4,2,"11,8,11,5,11,11|9,11,6,11,5,6",R32,GRAND_SLAM,WS,1649,Main Draw,XU Yan (SGP),TOTH Krisztina (HUN),XU Yan
Greece Open Athens 2004,2004-01-29,LI Ju,TANIGUCHI Naoko,4,1,"11,11,9,11,11|5,6,11,7,8",R32,GRAND_SLAM,WS,1649,Main Draw,LI Ju (CHN),TANIGUCHI Naoko (JPN),LI Ju
Greece Open Athens 2004,2004-01-29,BOROS Tamara,TAN Wenling,4,1,"11,11,11,11,11|13,6,5,4,7",R32,GRAND_SLAM,WS,1649,Main Draw,BOROS Tamara (CRO),TAN Wenling (ITA),BOROS Tamara
Greece Open Athens 2004,2004-01-29,FUJII Hiroko,KOSTROMINA Tatyana (1973),4,3,"11,8,11,11,9,8,11|9,11,4,9,11,11,4",R32,GRAND_SLAM,WS,1649,Main Draw,FUJII Hiroko (JPN),KOSTROMINA Tatyana (1973) (BLR),FUJII Hiroko
Greece Open Athens 2004,2004-01-29,SCHOPP Jie,RATHER Jasna,4,0,"12,12,11,11|10,10,7,6",R32,GRAND_SLAM,WS,1649,Main Draw,SCHOPP Jie (GER),RATHER Jasna (USA),SCHOPP Jie
Greece Open Athens 2004,2004-01-29,WANG Nan,NEGRISOLI Laura,4,1,"11,7,13,11,11|4,11,11,1,3",R32,GRAND_SLAM,WS,1649,Main Draw,WANG Nan (CHN),NEGRISOLI Laura (ITA),WANG Nan
Greece Open Athens 2004,2004-01-29,UMEMURA Aya,STRUSE Nicole,4,2,"11,5,8,11,11,12|9,11,11,6,8,10",R16,GRAND_SLAM,WS,1649,Main Draw,UMEMURA Aya (JPN),STRUSE Nicole (GER),UMEMURA Aya
Greece Open Athens 2004,2004-01-29,GUO Yue,WANG Chen,4,1,"11,5,11,11,11|7,11,7,9,2",R16,GRAND_SLAM,WS,1649,Main Draw,GUO Yue (CHN),WANG Chen (USA),GUO Yue
Greece Open Athens 2004,2004-01-29,KIM Kyungah,FUKUHARA Ai,4,3,"7,11,8,12,9,11,11|11,8,11,10,11,8,9",R16,GRAND_SLAM,WS,1649,Main Draw,KIM Kyungah (KOR),FUKUHARA Ai (JPN),KIM Kyungah
Greece Open Athens 2004,2004-01-29,GUO Yan (1982),LI Jiawei,4,1,"11,11,13,9,11|5,4,11,11,9",R16,GRAND_SLAM,WS,1649,Main Draw,GUO Yan (1982) (CHN),LI Jiawei (SGP),GUO Yan (1982)
Greece Open Athens 2004,2004-01-29,PASKAUSKIENE Ruta,NIU Jianfeng,4,3,"11,14,11,9,0,7,12|9,12,8,11,11,11,10",R16,GRAND_SLAM,WS,1649,Main Draw,PASKAUSKIENE Ruta (LTU),NIU Jianfeng (CHN),PASKAUSKIENE Ruta
Greece Open Athens 2004,2004-01-29,LI Ju,XU Yan,4,0,"11,11,11,11|3,3,8,3",R16,GRAND_SLAM,WS,1649,Main Draw,LI Ju (CHN),XU Yan (SGP),LI Ju
Greece Open Athens 2004,2004-01-29,BOROS Tamara,FUJII Hiroko,4,0,"11,11,11,11|4,5,7,5",R16,GRAND_SLAM,WS,1649,Main Draw,BOROS Tamara (CRO),FUJII Hiroko (JPN),BOROS Tamara
Greece Open Athens 2004,2004-01-29,WANG Nan,SCHOPP Jie,4,3,"4,11,10,12,3,11,11|11,4,12,10,11,8,9",R16,GRAND_SLAM,WS,1649,Main Draw,WANG Nan (CHN),SCHOPP Jie (GER),WANG Nan
Greece Open Athens 2004,2004-01-29,GUO Yue,UMEMURA Aya,4,0,"11,11,11,12|8,8,6,10",QF,GRAND_SLAM,WS,1649,Main Draw,GUO Yue (CHN),UMEMURA Aya (JPN),GUO Yue
Greece Open Athens 2004,2004-01-29,GUO Yan (1982),KIM Kyungah,4,0,"11,11,11,13|5,8,2,11",QF,GRAND_SLAM,WS,1649,Main Draw,GUO Yan (1982) (CHN),KIM Kyungah (KOR),GUO Yan (1982)
Greece Open Athens 2004,2004-01-29,LI Ju,PASKAUSKIENE Ruta,4,1,"9,11,11,11,11|11,8,5,5,6",QF,GRAND_SLAM,WS,1649,Main Draw,LI Ju (CHN),PASKAUSKIENE Ruta (LTU),LI Ju
