tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,SATO Hitomi,ZENG Jian,3,1,"11,8,11,11|9,11,8,9",F,GRAND_SLAM,U21WS,11,Main Draw,ZENG Jian (SGP),SATO Hitomi (JPN),SATO Hitomi
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,KALLBERG Anton,MACHI Asuka,4,0,"11,11,11,11|7,9,7,8",QR64,GRAND_SLAM,MS,11,Qualification,KALLBERG Anton (SWE),MACHI Asuka (JPN),KALLBERG Anton
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,KARLSSON Mattias,JANG Woojin,4,1,"7,11,11,17,11|11,9,7,15,6",QR64,GRAND_SLAM,MS,11,Qualification,JANG Woojin (KOR),KARLSSON Mattias (SWE),KARLSSON Mattias
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,LI Ping,SUN Chia-Hung,4,0,"11,11,11,11|5,7,7,7",QR64,GRAND_SLAM,MS,11,Qualification,SUN Chia-Hung (TPE),LI Ping (QAT),LI Ping
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,SHIONO Masato,YANG Heng-Wei,4,1,"11,7,11,11,11|6,11,8,7,5",QR64,GRAND_SLAM,MS,11,Qualification,SHIONO Masato (JPN),YANG Heng-Wei (TPE),SHIONO Masato
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,LORENTZ Romain,PENG Wang-Wei,4,0,"11,11,11,11|8,4,3,8",QR64,GRAND_SLAM,MS,11,Qualification,PENG Wang-Wei (TPE),LORENTZ Romain (FRA),LORENTZ Romain
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,LI Ahmet,WANG LI Chung-Yi,4,1,"11,11,12,11,11|8,3,14,8,3",QR64,GRAND_SLAM,MS,11,Qualification,LI Ahmet (TUR),WANG LI Chung-Yi (TPE),LI Ahmet
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,LIAO Cheng-Ting,CHO Eonrae,4,3,"6,11,12,4,11,11,11|11,7,14,11,9,9,5",QR64,GRAND_SLAM,MS,11,Qualification,LIAO Cheng-Ting (TPE),CHO Eonrae (KOR),LIAO Cheng-Ting
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,MORIZONO Masataka,LEE Chia-Sheng,4,3,"13,9,6,11,12,5,11|11,11,11,8,10,11,5",QR64,GRAND_SLAM,MS,11,Qualification,MORIZONO Masataka (JPN),LEE Chia-Sheng (TPE),MORIZONO Masataka
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,GERELL Par,YANG Zi,4,0,"11,11,11,11|8,9,8,7",QR64,GRAND_SLAM,MS,11,Qualification,YANG Zi (SGP),GERELL Par (SWE),GERELL Par
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,WU Zhikang,LEE Chun-Lin,4,3,"8,11,9,11,6,11,14|11,2,11,3,11,4,12",QR64,GRAND_SLAM,MS,11,Qualification,WU Zhikang (SGP),LEE Chun-Lin (TPE),WU Zhikang
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,JIANG Tianyi,HUNG Tzu-Hsiang,4,1,"11,11,10,11,11|4,4,12,9,4",QR64,GRAND_SLAM,MS,11,Qualification,HUNG Tzu-Hsiang (TPE),JIANG Tianyi (HKG),JIANG Tianyi
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,RANEFUR Elias,OSHIMA Yuya,4,3,"11,11,5,11,8,4,11|9,8,11,8,11,11,9",QR64,GRAND_SLAM,MS,11,Qualification,OSHIMA Yuya (JPN),RANEFUR Elias (SWE),RANEFUR Elias
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,AKERSTROM Fabian,KANG Dongsoo,4,3,"7,13,2,11,5,11,11|11,11,11,5,11,5,4",QR64,GRAND_SLAM,MS,11,Qualification,AKERSTROM Fabian (SWE),KANG Dongsoo (KOR),AKERSTROM Fabian
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,MATSUDAIRA Kenji,KARIA Devesh,4,1,"9,11,11,11,11|11,8,9,7,8",QR64,GRAND_SLAM,MS,11,Qualification,MATSUDAIRA Kenji (JPN),KARIA Devesh (IND),MATSUDAIRA Kenji
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,WANG Eugene,JIN Takuya,4,2,"9,11,7,14,11,12|11,7,11,12,6,10",QR64,GRAND_SLAM,MS,11,Qualification,JIN Takuya (JPN),WANG Eugene (CAN),WANG Eugene
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,TAKAKIWA Taku,WEN Wei-Chieh,4,1,"11,14,6,12,11|5,12,11,10,9",QR64,GRAND_SLAM,MS,11,Qualification,TAKAKIWA Taku (JPN),WEN Wei-Chieh (TPE),TAKAKIWA Taku
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,VLASOV Grigory,CHEW Clarence,4,2,"13,11,8,11,11,11|15,6,11,9,2,4",QR64,GRAND_SLAM,MS,11,Qualification,CHEW Clarence (SGP),VLASOV Grigory (RUS),VLASOV Grigory
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,LIVENTSOV Alexey,WALKER Samuel,4,2,"11,11,11,9,5,11|7,7,5,11,11,7",QR64,GRAND_SLAM,MS,11,Qualification,LIVENTSOV Alexey (RUS),WALKER Samuel (ENG),LIVENTSOV Alexey
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,WANG Tai-Wei,GHOSH Soumyajit,4,2,"11,8,8,11,14,11|4,11,11,2,12,7",QR64,GRAND_SLAM,MS,11,Qualification,WANG Tai-Wei (TPE),GHOSH Soumyajit (IND),WANG Tai-Wei
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,HUANG Sheng-Sheng,ANGLES Enzo,4,0,"11,11,17,11|8,3,15,7",QR64,GRAND_SLAM,MS,11,Qualification,HUANG Sheng-Sheng (TPE),ANGLES Enzo (FRA),HUANG Sheng-Sheng
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,YOSHIMURA Maharu,SODERLUND Hampus,4,1,"11,11,11,11,11|8,13,9,4,8",QR64,GRAND_SLAM,MS,11,Qualification,SODERLUND Hampus (SWE),YOSHIMURA Maharu (JPN),YOSHIMURA Maharu
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,CHEN Feng,KIM Donghyun,4,1,"11,7,11,11,11|8,11,7,4,3",QR64,GRAND_SLAM,MS,11,Qualification,KIM Donghyun (KOR),CHEN Feng (SGP),CHEN Feng
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,WU Chih-Chi,BROSSIER Benjamin,4,0,"11,11,11,11|8,5,1,8",QR64,GRAND_SLAM,MS,11,Qualification,WU Chih-Chi (TPE),BROSSIER Benjamin (FRA),WU Chih-Chi
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,CHIANG Hung-Chieh,PARK Jeongwoo,4,3,"9,9,11,11,11,7,11|11,11,6,8,7,11,2",QR64,GRAND_SLAM,MS,11,Qualification,CHIANG Hung-Chieh (TPE),PARK Jeongwoo (KOR),CHIANG Hung-Chieh
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,SHANG Kun,KISHIKAWA Seiya,4,1,"12,14,11,6,13|10,12,7,11,11",QR64,GRAND_SLAM,MS,11,Qualification,SHANG Kun (CHN),KISHIKAWA Seiya (JPN),SHANG Kun
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,YANG Tzu-Yi,YOSHIDA Masaki,4,2,"11,11,11,8,9,11|5,6,9,11,11,5",QR64,GRAND_SLAM,MS,11,Qualification,YOSHIDA Masaki (JPN),YANG Tzu-Yi (TPE),YANG Tzu-Yi
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,HO Kwan Kit,HUANG Chien-Tu,4,0,"11,11,11,11|4,6,8,4",QR64,GRAND_SLAM,MS,11,Qualification,HUANG Chien-Tu (TPE),HO Kwan Kit (HKG),HO Kwan Kit
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,TAN Ruiwu,KUZMIN Fedor,4,0,"11,12,12,12|8,10,10,10",QR64,GRAND_SLAM,MS,11,Qualification,TAN Ruiwu (CRO),KUZMIN Fedor (RUS),TAN Ruiwu
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,LEE Sang Su,KALLBERG Anton,4,3,"11,8,11,11,7,8,11|9,11,7,1,11,11,8",QR32,GRAND_SLAM,MS,11,Qualification,LEE Sang Su (KOR),KALLBERG Anton (SWE),LEE Sang Su
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,LI Ping,KARLSSON Mattias,4,1,"6,11,11,12,11|11,9,7,10,3",QR32,GRAND_SLAM,MS,11,Qualification,KARLSSON Mattias (SWE),LI Ping (QAT),LI Ping
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,LORENTZ Romain,SHIONO Masato,4,3,"11,11,11,3,12,8,11|5,8,7,11,14,11,6",QR32,GRAND_SLAM,MS,11,Qualification,SHIONO Masato (JPN),LORENTZ Romain (FRA),LORENTZ Romain
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,LI Ahmet,LIAO Cheng-Ting,4,0,"11,11,11,11|8,5,4,4",QR32,GRAND_SLAM,MS,11,Qualification,LI Ahmet (TUR),LIAO Cheng-Ting (TPE),LI Ahmet
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,MORIZONO Masataka,GERELL Par,4,1,"6,11,11,11,11|11,8,7,2,9",QR32,GRAND_SLAM,MS,11,Qualification,MORIZONO Masataka (JPN),GERELL Par (SWE),MORIZONO Masataka
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,JIANG Tianyi,WU Zhikang,4,3,"10,11,11,8,11,12,11|12,7,6,11,8,14,9",QR32,GRAND_SLAM,MS,11,Qualification,WU Zhikang (SGP),JIANG Tianyi (HKG),JIANG Tianyi
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,RANEFUR Elias,AKERSTROM Fabian,4,1,"2,11,13,12,11|11,9,11,10,6",QR32,GRAND_SLAM,MS,11,Qualification,RANEFUR Elias (SWE),AKERSTROM Fabian (SWE),RANEFUR Elias
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,MATSUDAIRA Kenji,CHEN Chien-An,4,1,"11,12,10,11,11|8,10,12,7,8",QR32,GRAND_SLAM,MS,11,Qualification,MATSUDAIRA Kenji (JPN),CHEN Chien-An (TPE),MATSUDAIRA Kenji
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,WANG Eugene,KIM Minseok,4,1,"11,12,11,9,12|8,10,8,11,10",QR32,GRAND_SLAM,MS,11,Qualification,KIM Minseok (KOR),WANG Eugene (CAN),WANG Eugene
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,VLASOV Grigory,TAKAKIWA Taku,4,0,"11,11,11,11|9,8,9,7",QR32,GRAND_SLAM,MS,11,Qualification,TAKAKIWA Taku (JPN),VLASOV Grigory (RUS),VLASOV Grigory
GAC Group World Tour Japan Open Kobe 2015,2015-06-24,LIVENTSOV Alexey,WANG Tai-Wei,4,0,"11,13,11,11|5,11,4,9",QR32,GRAND_SLAM,MS,11,Qualification,LIVENTSOV Alexey (RUS),WANG Tai-Wei (TPE),LIVENTSOV Alexey
