tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,CHAU Wing Sze,ZHANG Wanling,4,2,"11,11,11,3,4,11|9,8,7,11,11,8",,OTHER,JGS,861,Main Draw,CHAU Wing Sze (HKG),ZHANG Wanling (SGP),CHAU Wing Sze
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,SAWETTABUT Jinnipa,CHAU Wing Sze,4,1,"12,11,9,11,11|10,7,11,5,5",,OTHER,JGS,861,Main Draw,SAWETTABUT Jinnipa (THA),CHAU Wing Sze (HKG),SAWETTABUT Jinnipa
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,SU Pei-Ling,ASHTARI Mahshid,4,1,"11,11,11,3,11|7,5,4,11,2",,OTHER,JGS,861,Main Draw,SU Pei-Ling (TPE),ASHTARI Mahshid (IRI),SU Pei-Ling
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,KAMATH Archana,ASHTARI Mahshid,4,0,"12,11,11,11|10,4,5,5",,OTHER,JGS,861,Main Draw,KAMATH Archana (IND),ASHTARI Mahshid (IRI),KAMATH Archana
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,SU Pei-Ling,KAMATH Archana,4,0,"11,11,11,11|7,8,3,6",,OTHER,JGS,861,Main Draw,SU Pei-Ling (TPE),KAMATH Archana (IND),SU Pei-Ling
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,NAYRE Jann Mari,AHMADIAN Amin,4,3,"11,10,11,7,7,11,12|4,12,5,11,11,9,10",SF,OTHER,JBS,861,Main Draw,AHMADIAN Amin (IRI),NAYRE Jann Mari (PHI),NAYRE Jann Mari
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,THAKKAR Manav,NAYRE Jann Mari,4,1,"14,11,11,5,11|12,6,5,11,4",F,OTHER,JBS,861,Main Draw,THAKKAR Manav (IND),NAYRE Jann Mari (PHI),THAKKAR Manav
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,PANAGITGUN Yanapong,AHMADIAN Amin,4,2,"11,7,11,8,13,12|8,11,9,11,11,10",F,OTHER,JBS,861,Main Draw,PANAGITGUN Yanapong (THA),AHMADIAN Amin (IRI),PANAGITGUN Yanapong
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,KAMATH Archana,CHAU Wing Sze,4,2,"12,11,10,11,11,11|14,3,12,8,8,4",F,OTHER,JGS,861,Main Draw,CHAU Wing Sze (HKG),KAMATH Archana (IND),KAMATH Archana
YOG Asia Continental Qualification Greater Noida 2017,2017-11-03,LEE Daeun,KHALIKOVA Kamila,4,2,"11,11,10,4,11,11|5,3,12,11,5,7",F,OTHER,JGS,861,Main Draw,KHALIKOVA Kamila (UZB),LEE Daeun (KOR),LEE Daeun
