tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,HWANG Minha,DYJAS Jakub,4,3,"8,11,11,11,7,4,11|11,9,7,7,11,11,9",QR64,GRAND_SLAM,MS,2021,Qualification,DYJAS Jakub (POL),HWANG Minha (KOR),HWANG Minha
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHUANG Chih-Yuan,MENGEL Steffen,4,0,"11,11,11,11|5,6,8,9",QR64,GRAND_SLAM,MS,2021,Qualification,MENGEL Steffen (GER),CHUANG Chih-Yuan (TPE),CHUANG Chih-Yuan
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,ASSAR Omar,DESAI Harmeet,4,3,"8,11,11,5,11,6,11|11,9,8,11,4,11,5",QR64,GRAND_SLAM,MS,2021,Qualification,DESAI Harmeet (IND),ASSAR Omar (EGY),ASSAR Omar
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,YOSHIDA Masaki,MORIZONO Masataka,4,1,"11,8,11,11,11|3,11,3,5,9",QR64,GRAND_SLAM,MS,2021,Qualification,YOSHIDA Masaki (JPN),MORIZONO Masataka (JPN),YOSHIDA Masaki
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,KANG Dongsoo,UEDA Jin,4,2,"11,11,11,6,6,11|8,7,7,11,11,8",QR64,GRAND_SLAM,MS,2021,Qualification,UEDA Jin (JPN),KANG Dongsoo (KOR),KANG Dongsoo
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,ZHENG Peifeng,LAM Siu Hang,4,1,"11,11,11,7,11|8,7,7,11,7",QR64,GRAND_SLAM,MS,2021,Qualification,ZHENG Peifeng (CHN),LAM Siu Hang (HKG),ZHENG Peifeng
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LIU Dingshuo,LIAO Cheng-Ting,4,0,"11,11,11,11|3,8,5,8",QR64,GRAND_SLAM,MS,2021,Qualification,LIU Dingshuo (CHN),LIAO Cheng-Ting (TPE),LIU Dingshuo
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,PENG Wang-Wei,GIONIS Panagiotis,4,3,"12,11,11,11,6,3,11|14,8,8,6,11,11,8",QR64,GRAND_SLAM,MS,2021,Qualification,PENG Wang-Wei (TPE),GIONIS Panagiotis (GRE),PENG Wang-Wei
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,QIU Dang,CHO Daeseong,4,2,"10,11,12,11,9,11|12,5,10,9,11,9",QR64,GRAND_SLAM,MS,2021,Qualification,QIU Dang (GER),CHO Daeseong (KOR),QIU Dang
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,JIN Takuya,WANG Yang,4,1,"12,11,10,11,11|10,8,12,3,4",QR64,GRAND_SLAM,MS,2021,Qualification,JIN Takuya (JPN),WANG Yang (SVK),JIN Takuya
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,TOKIC Bojan,LIVENTSOV Alexey,4,3,"11,7,13,11,5,5,11|5,11,11,9,11,11,6",QR64,GRAND_SLAM,MS,2021,Qualification,LIVENTSOV Alexey (RUS),TOKIC Bojan (SLO),TOKIC Bojan
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,ZHANG Yudong,MATSUDAIRA Kenta,4,2,"11,11,9,11,9,11|6,8,11,2,11,8",QR64,GRAND_SLAM,MS,2021,Qualification,MATSUDAIRA Kenta (JPN),ZHANG Yudong (CHN),ZHANG Yudong
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,XU Chenhao,UDA Yukiya,4,2,"11,9,11,11,9,11|7,11,9,8,11,6",QR64,GRAND_SLAM,MS,2021,Qualification,UDA Yukiya (JPN),XU Chenhao (CHN),XU Chenhao
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,ZHAO Zihao,ACHANTA Sharath,4,0,"11,11,11,11|6,6,6,5",QR64,GRAND_SLAM,MS,2021,Qualification,ZHAO Zihao (CHN),ACHANTA Sharath (IND),ZHAO Zihao
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,OIKAWA Mizuki,HO Kwan Kit,4,0,"11,11,11,11|8,5,4,8",QR64,GRAND_SLAM,MS,2021,Qualification,OIKAWA Mizuki (JPN),HO Kwan Kit (HKG),OIKAWA Mizuki
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,YOSHIMURA Kazuhiro,IGARASHI Fumiya,4,1,"11,11,11,11,12|8,7,13,5,10",QR64,GRAND_SLAM,MS,2021,Qualification,YOSHIMURA Kazuhiro (JPN),IGARASHI Fumiya (JPN),YOSHIMURA Kazuhiro
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,PARK Ganghyeon,YANG Tzu-Yi,4,1,"11,11,11,13,11|9,4,7,15,6",QR64,GRAND_SLAM,MS,2021,Qualification,YANG Tzu-Yi (TPE),PARK Ganghyeon (KOR),PARK Ganghyeon
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,FILUS Ruwen,KARAKASEVIC Aleksandar,4,1,"13,14,6,11,11|11,12,11,8,4",QR64,GRAND_SLAM,MS,2021,Qualification,FILUS Ruwen (GER),KARAKASEVIC Aleksandar (SRB),FILUS Ruwen
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,GNANASEKARAN Sathiyan,WANG Tai-Wei,4,2,"9,11,13,11,7,11|11,8,11,8,11,8",QR64,GRAND_SLAM,MS,2021,Qualification,WANG Tai-Wei (TPE),GNANASEKARAN Sathiyan (IND),GNANASEKARAN Sathiyan
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,HAYATA Hina,MUKHERJEE Ayhika,4,0,"11,11,11,11|1,6,1,8",QR64,GRAND_SLAM,WS,2021,Qualification,MUKHERJEE Ayhika (IND),HAYATA Hina (JPN),HAYATA Hina
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,SUN Yingsha,MATSUDAIRA Shiho,4,1,"11,11,8,11,11|4,7,11,6,4",QR64,GRAND_SLAM,WS,2021,Qualification,SUN Yingsha (CHN),MATSUDAIRA Shiho (JPN),SUN Yingsha
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,ZENG Jian,MORIZONO Mizuki,4,1,"11,11,10,11,11|6,9,12,3,8",QR64,GRAND_SLAM,WS,2021,Qualification,ZENG Jian (SGP),MORIZONO Mizuki (JPN),ZENG Jian
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,GU Yuting,LIN Chia-Hsuan,4,0,"11,11,11,11|8,6,5,7",QR64,GRAND_SLAM,WS,2021,Qualification,GU Yuting (CHN),LIN Chia-Hsuan (TPE),GU Yuting
