tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LEVIS Bruno,MANCINI Eric,4,1,"11,11,5,12,11|9,9,11,10,7",,GRAND_SLAM,MS,768,Qualification,LEVIS Bruno (CHI),MANCINI Eric (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,HAN Jimin,UEDA Jin,4,1,"7,13,11,11,11|11,11,8,8,9",QuarterFinal,GRAND_SLAM,U21MS,768,Main Draw,HAN Jimin (KOR),UEDA Jin (JPN)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LEBESSON Emmanuel,MATSUDAIRA Kenji,4,1,"11,11,11,11,11|13,6,6,9,7",QuarterFinal,GRAND_SLAM,U21MS,768,Main Draw,LEBESSON Emmanuel (FRA),MATSUDAIRA Kenji (JPN)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,HUANG Sheng-Sheng,KIM Kyungmin,4,3,"11,11,5,11,8,11,11|9,5,11,13,11,6,3",SemiFinal,GRAND_SLAM,U21MS,768,Main Draw,HUANG Sheng-Sheng (TPE),KIM Kyungmin (KOR)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,HAN Jimin,LEBESSON Emmanuel,4,2,"11,11,6,6,13,11|5,7,11,11,11,9",SemiFinal,GRAND_SLAM,U21MS,768,Main Draw,HAN Jimin (KOR),LEBESSON Emmanuel (FRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,HUANG Sheng-Sheng,HAN Jimin,4,0,"11,11,11,12|7,7,8,10",Final,GRAND_SLAM,U21MS,768,Main Draw,HUANG Sheng-Sheng (TPE),HAN Jimin (KOR)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,ISHIGAKI Yuka,KAWAI Katia,4,0,"11,11,11,11|7,5,1,1",,GRAND_SLAM,WS,768,Qualification,ISHIGAKI Yuka (JPN),KAWAI Katia (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,ISHIGAKI Yuka,DURAN Blanca,4,0,"11,11,11,11|5,3,4,8",,GRAND_SLAM,WS,768,Qualification,ISHIGAKI Yuka (JPN),DURAN Blanca (CHI)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,DURAN Blanca,KAWAI Katia,4,2,"9,11,9,11,11,11|11,6,11,9,3,6",,GRAND_SLAM,WS,768,Qualification,DURAN Blanca (CHI),KAWAI Katia (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LEE I-Chen,AGATA Leine,4,0,"11,11,11,11|2,5,5,5",,GRAND_SLAM,WS,768,Qualification,LEE I-Chen (TPE),AGATA Leine (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LEE I-Chen,YAMADA Jessica,4,0,"11,11,11,11|6,5,5,6",,GRAND_SLAM,WS,768,Qualification,LEE I-Chen (TPE),YAMADA Jessica (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,YAMADA Jessica,AGATA Leine,4,2,"12,7,11,6,11,11|6,11,1,11,7,9",,GRAND_SLAM,WS,768,Qualification,YAMADA Jessica (BRA),AGATA Leine (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,WAKAMIYA Misako,DA SILVA RODRIGUES Lizie,4,0,"11,11,11,11|7,9,2,5",,GRAND_SLAM,WS,768,Qualification,WAKAMIYA Misako (JPN),DA SILVA RODRIGUES Lizie (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,WAKAMIYA Misako,MIZOBUCHI Livia,4,0,"11,11,11,11|3,4,5,5",,GRAND_SLAM,WS,768,Qualification,WAKAMIYA Misako (JPN),MIZOBUCHI Livia (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,MIZOBUCHI Livia,DA SILVA RODRIGUES Lizie,4,2,"13,10,11,9,11,11|10,12,6,11,3,5",,GRAND_SLAM,WS,768,Qualification,MIZOBUCHI Livia (BRA),DA SILVA RODRIGUES Lizie (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,YU Mei-Ju,DIAS Priscila,4,0,"11,11,11,11|5,3,2,1",,GRAND_SLAM,WS,768,Qualification,YU Mei-Ju (TPE),DIAS Priscila (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,YU Mei-Ju,FUKUSHIMA Karin,4,0,"11,11,11,11|6,3,5,5",,GRAND_SLAM,WS,768,Qualification,YU Mei-Ju (TPE),FUKUSHIMA Karin (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,FUKUSHIMA Karin,DIAS Priscila,4,0,"12,11,11,11|6,7,6,9",,GRAND_SLAM,WS,768,Qualification,FUKUSHIMA Karin (BRA),DIAS Priscila (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,SILVA Ligia,FONTANA Livia,4,1,"9,11,11,11,11|11,6,2,6,8",,GRAND_SLAM,WS,768,Qualification,SILVA Ligia (BRA),FONTANA Livia (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,SILVA Ligia,CHAKRABORTY Kasturi,4,0,"11,11,11,11|6,6,7,7",,GRAND_SLAM,WS,768,Qualification,SILVA Ligia (BRA),CHAKRABORTY Kasturi (IND)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,CHAKRABORTY Kasturi,FONTANA Livia,4,0,"12,11,11,11|8,7,7,7",,GRAND_SLAM,WS,768,Qualification,CHAKRABORTY Kasturi (IND),FONTANA Livia (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,HSU Hui-Tsun,GUI Lin,4,0,"11,11,11,11|5,6,9,4",,GRAND_SLAM,WS,768,Qualification,HSU Hui-Tsun (TPE),GUI Lin (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,HSU Hui-Tsun,MURASHIGE Carina,4,2,"11,2,11,9,11,12|9,11,2,11,4,10",,GRAND_SLAM,WS,768,Qualification,HSU Hui-Tsun (TPE),MURASHIGE Carina (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,GUI Lin,MURASHIGE Carina,4,0,"11,11,11,11|6,9,8,4",,GRAND_SLAM,WS,768,Qualification,GUI Lin (BRA),MURASHIGE Carina (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KUMARESAN Shamini,KUMAHARA Luca,4,0,"11,11,11,11|8,3,8,2",,GRAND_SLAM,WS,768,Qualification,KUMARESAN Shamini (IND),KUMAHARA Luca (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KUMARESAN Shamini,IKEIZUMI Claudia,4,1,"11,20,12,14,11|9,18,10,16,9",,GRAND_SLAM,WS,768,Qualification,KUMARESAN Shamini (IND),IKEIZUMI Claudia (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,IKEIZUMI Claudia,KUMAHARA Luca,4,0,"12,11,11,11|2,5,3,7",,GRAND_SLAM,WS,768,Qualification,IKEIZUMI Claudia (BRA),KUMAHARA Luca (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,SAKO Karin,RODRIGUES Jane,4,0,"11,11,11,11|6,5,6,5",,GRAND_SLAM,WS,768,Qualification,SAKO Karin (BRA),RODRIGUES Jane (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,SAKO Karin,ROJAS Karen,4,0,"11,11,11,11|2,8,4,6",,GRAND_SLAM,WS,768,Qualification,SAKO Karin (BRA),ROJAS Karen (CHI)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,ROJAS Karen,RODRIGUES Jane,4,1,"7,11,11,11,11|11,8,6,9,7",,GRAND_SLAM,WS,768,Qualification,ROJAS Karen (CHI),RODRIGUES Jane (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,DIAS Priscila,YAMADA Jessica,3,2,"6,10,11,11,11|12,12,9,5,9",,GRAND_SLAM,U21WS,768,Qualification,DIAS Priscila (BRA),YAMADA Jessica (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,AGATA Leine,DIAS Priscila,3,1,"11,11,6,11|3,8,11,8",,GRAND_SLAM,U21WS,768,Qualification,AGATA Leine (BRA),DIAS Priscila (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,FONTANA Livia,FUKUSHIMA Karin,3,1,"9,11,11,11|12,6,2,7",,GRAND_SLAM,U21WS,768,Qualification,FONTANA Livia (BRA),FUKUSHIMA Karin (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,FUKUSHIMA Karin,KAWAI Katia,3,0,"11,12,11|3,10,8",,GRAND_SLAM,U21WS,768,Qualification,FUKUSHIMA Karin (BRA),KAWAI Katia (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,FONTANA Livia,KAWAI Katia,3,1,"11,10,12,12|8,12,10,10",,GRAND_SLAM,U21WS,768,Qualification,FONTANA Livia (BRA),KAWAI Katia (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,GUI Lin,MIZOBUCHI Livia,3,1,"9,11,11,11|12,3,6,7",,GRAND_SLAM,U21WS,768,Qualification,GUI Lin (BRA),MIZOBUCHI Livia (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,MIZOBUCHI Livia,DURAN Blanca,3,2,"7,11,11,10,14|11,6,9,12,12",,GRAND_SLAM,U21WS,768,Qualification,MIZOBUCHI Livia (BRA),DURAN Blanca (CHI)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,DURAN Blanca,GUI Lin,3,1,"11,4,11,11|6,11,3,8",,GRAND_SLAM,U21WS,768,Qualification,DURAN Blanca (CHI),GUI Lin (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,ROJAS Karen,KUMAHARA Luca,3,0,"12,11,11|3,5,6",,GRAND_SLAM,U21WS,768,Qualification,ROJAS Karen (CHI),KUMAHARA Luca (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,ROJAS Karen,DA SILVA RODRIGUES Lizie,3,2,"11,7,13,8,11|8,11,11,11,6",,GRAND_SLAM,U21WS,768,Qualification,ROJAS Karen (CHI),DA SILVA RODRIGUES Lizie (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KUMAHARA Luca,DA SILVA RODRIGUES Lizie,3,1,"13,17,11,11|15,15,7,9",,GRAND_SLAM,U21WS,768,Qualification,KUMAHARA Luca (BRA),DA SILVA RODRIGUES Lizie (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,WANG Yuegu,IKEIZUMI Claudia,4,0,"11,11,11,11|9,5,7,5",R32,GRAND_SLAM,WS,768,Main Draw,WANG Yuegu (SGP),IKEIZUMI Claudia (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,HIURA Reiko,KUMARESAN Shamini,4,3,"11,10,11,9,11,11,11|9,12,13,11,6,9,5",R32,GRAND_SLAM,WS,768,Main Draw,HIURA Reiko (JPN),KUMARESAN Shamini (IND)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,PARK Miyoung,WAKAMIYA Misako,4,1,"11,11,9,11,11|5,8,11,3,7",R32,GRAND_SLAM,WS,768,Main Draw,PARK Miyoung (KOR),WAKAMIYA Misako (JPN)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KIM Kyungah,DURAN Blanca,4,0,"11,12,11,11|6,10,2,3",R32,GRAND_SLAM,WS,768,Main Draw,KIM Kyungah (KOR),DURAN Blanca (CHI)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,FENG Tianwei,ROJAS Karen,4,0,"11,11,11,11|4,1,7,3",R32,GRAND_SLAM,WS,768,Main Draw,FENG Tianwei (SGP),ROJAS Karen (CHI)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,YU Mengyu,YU Mei-Ju,4,1,"12,11,9,12,11|10,6,11,10,3",R32,GRAND_SLAM,WS,768,Main Draw,YU Mengyu (SGP),YU Mei-Ju (TPE)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,WANG Chen,SAKO Karin,4,0,"11,11,11,12|7,5,4,10",R32,GRAND_SLAM,WS,768,Main Draw,WANG Chen (USA),SAKO Karin (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,JIANG Huajun,YAMADA Jessica,4,0,"11,11,11,11|7,4,6,5",R32,GRAND_SLAM,WS,768,Main Draw,JIANG Huajun (HKG),YAMADA Jessica (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,TIE Yana,FUKUSHIMA Karin,4,1,"11,11,8,11,11|8,2,11,3,3",R32,GRAND_SLAM,WS,768,Main Draw,TIE Yana (HKG),FUKUSHIMA Karin (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,ISHIGAKI Yuka,NONAKA Mariany,4,0,"11,11,11,11|3,7,4,6",R32,GRAND_SLAM,WS,768,Main Draw,ISHIGAKI Yuka (JPN),NONAKA Mariany (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,ETSUZAKI Ayumi,SILVA Ligia,4,0,"11,11,11,11|5,6,8,1",R32,GRAND_SLAM,WS,768,Main Draw,ETSUZAKI Ayumi (JPN),SILVA Ligia (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,SUN Beibei,GUI Lin,4,0,"11,11,11,11|9,5,8,7",R32,GRAND_SLAM,WS,768,Main Draw,SUN Beibei (SGP),GUI Lin (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,HIRANO Sayaka,CHAKRABORTY Kasturi,4,1,"11,11,11,9,12|8,7,7,11,10",R32,GRAND_SLAM,WS,768,Main Draw,HIRANO Sayaka (JPN),CHAKRABORTY Kasturi (IND)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,JEON Hyekyung,HSU Hui-Tsun,4,3,"11,4,12,9,11,8,11|6,11,10,11,5,11,8",R32,GRAND_SLAM,WS,768,Main Draw,JEON Hyekyung (KOR),HSU Hui-Tsun (TPE)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KONISHI An,LEE I-Chen,4,0,"11,11,11,11|9,8,8,9",R32,GRAND_SLAM,WS,768,Main Draw,KONISHI An (JPN),LEE I-Chen (TPE)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LI Jiawei,MIZOBUCHI Livia,4,0,"11,11,11,11|2,6,3,3",R32,GRAND_SLAM,WS,768,Main Draw,LI Jiawei (SGP),MIZOBUCHI Livia (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,WANG Yuegu,HIURA Reiko,4,0,"11,11,11,11|5,8,9,6",R16,GRAND_SLAM,WS,768,Main Draw,WANG Yuegu (SGP),HIURA Reiko (JPN)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KIM Kyungah,PARK Miyoung,4,2,"14,11,14,10,11,11|12,3,16,12,5,7",R16,GRAND_SLAM,WS,768,Main Draw,KIM Kyungah (KOR),PARK Miyoung (KOR)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,YU Mengyu,FENG Tianwei,4,2,"11,11,13,6,7,11|4,9,11,11,11,7",R16,GRAND_SLAM,WS,768,Main Draw,YU Mengyu (SGP),FENG Tianwei (SGP)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,WANG Chen,JIANG Huajun,4,3,"11,10,11,11,9,7,11|4,12,7,7,11,11,4",R16,GRAND_SLAM,WS,768,Main Draw,WANG Chen (USA),JIANG Huajun (HKG)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,ISHIGAKI Yuka,TIE Yana,4,3,"11,7,5,11,11,7,11|8,11,11,7,6,11,6",R16,GRAND_SLAM,WS,768,Main Draw,ISHIGAKI Yuka (JPN),TIE Yana (HKG)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,SUN Beibei,ETSUZAKI Ayumi,4,1,"11,7,11,11,11|5,11,3,5,9",R16,GRAND_SLAM,WS,768,Main Draw,SUN Beibei (SGP),ETSUZAKI Ayumi (JPN)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,HIRANO Sayaka,JEON Hyekyung,4,0,"12,11,11,11|10,6,9,6",R16,GRAND_SLAM,WS,768,Main Draw,HIRANO Sayaka (JPN),JEON Hyekyung (KOR)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LI Jiawei,KONISHI An,4,0,"12,11,11,11|10,7,5,8",R16,GRAND_SLAM,WS,768,Main Draw,LI Jiawei (SGP),KONISHI An (JPN)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,WANG Yuegu,KIM Kyungah,4,1,"12,18,22,11,11|10,20,20,6,5",QuarterFinal,GRAND_SLAM,WS,768,Main Draw,WANG Yuegu (SGP),KIM Kyungah (KOR)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,WANG Chen,YU Mengyu,4,3,"7,11,11,8,7,11,11|11,7,8,11,11,9,4",QuarterFinal,GRAND_SLAM,WS,768,Main Draw,WANG Chen (USA),YU Mengyu (SGP)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,ISHIGAKI Yuka,SUN Beibei,4,3,"12,11,11,10,7,9,11|10,8,9,12,11,11,8",QuarterFinal,GRAND_SLAM,WS,768,Main Draw,ISHIGAKI Yuka (JPN),SUN Beibei (SGP)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LI Jiawei,HIRANO Sayaka,4,2,"6,11,11,11,5,11|11,9,3,6,11,9",QuarterFinal,GRAND_SLAM,WS,768,Main Draw,LI Jiawei (SGP),HIRANO Sayaka (JPN)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,WANG Yuegu,WANG Chen,4,0,"11,11,11,11|6,9,8,9",SemiFinal,GRAND_SLAM,WS,768,Main Draw,WANG Yuegu (SGP),WANG Chen (USA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LI Jiawei,ISHIGAKI Yuka,4,0,"11,11,11,11|6,4,8,9",SemiFinal,GRAND_SLAM,WS,768,Main Draw,LI Jiawei (SGP),ISHIGAKI Yuka (JPN)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,WANG Yuegu,LI Jiawei,4,1,"11,6,11,13,11|1,11,9,11,2",Final,GRAND_SLAM,WS,768,Main Draw,WANG Yuegu (SGP),LI Jiawei (SGP)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,YU Mengyu,FUKUSHIMA Karin,4,0,"11,12,11,11|6,10,5,6",R16,GRAND_SLAM,U21WS,768,Main Draw,YU Mengyu (SGP),FUKUSHIMA Karin (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KUMARESAN Shamini,YAMADA Jessica,4,2,"11,8,6,11,12,11|9,11,11,6,10,8",R16,GRAND_SLAM,U21WS,768,Main Draw,KUMARESAN Shamini (IND),YAMADA Jessica (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,WAKAMIYA Misako,GUI Lin,4,3,"11,7,11,8,9,11,12|4,11,6,11,11,6,10",R16,GRAND_SLAM,U21WS,768,Main Draw,WAKAMIYA Misako (JPN),GUI Lin (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,HSU Hui-Tsun,FONTANA Livia,4,0,"11,11,11,13|6,4,5,11",R16,GRAND_SLAM,U21WS,768,Main Draw,HSU Hui-Tsun (TPE),FONTANA Livia (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,NONAKA Mariany,DURAN Blanca,4,0,,R16,GRAND_SLAM,U21WS,768,Main Draw,NONAKA Mariany (BRA),DURAN Blanca (CHI)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,ISHIGAKI Yuka,KUMAHARA Luca,4,0,"11,11,11,11|3,4,5,2",R16,GRAND_SLAM,U21WS,768,Main Draw,ISHIGAKI Yuka (JPN),KUMAHARA Luca (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,YU Mengyu,SAKO Karin,4,1,"11,9,11,11,11|8,11,1,4,8",QuarterFinal,GRAND_SLAM,U21WS,768,Main Draw,YU Mengyu (SGP),SAKO Karin (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LEE I-Chen,KUMARESAN Shamini,4,1,"11,13,11,11,11|6,15,4,6,8",QuarterFinal,GRAND_SLAM,U21WS,768,Main Draw,LEE I-Chen (TPE),KUMARESAN Shamini (IND)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,WAKAMIYA Misako,HSU Hui-Tsun,4,3,"9,11,6,11,11,7,11|11,8,11,7,5,11,9",QuarterFinal,GRAND_SLAM,U21WS,768,Main Draw,WAKAMIYA Misako (JPN),HSU Hui-Tsun (TPE)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,YU Mengyu,LEE I-Chen,4,2,"11,16,11,6,11,11|8,18,9,11,3,7",SemiFinal,GRAND_SLAM,U21WS,768,Main Draw,YU Mengyu (SGP),LEE I-Chen (TPE)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,ISHIGAKI Yuka,WAKAMIYA Misako,4,3,"6,8,11,6,11,11,11|11,11,4,11,7,7,2",SemiFinal,GRAND_SLAM,U21WS,768,Main Draw,ISHIGAKI Yuka (JPN),WAKAMIYA Misako (JPN)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,ISHIGAKI Yuka,YU Mengyu,4,0,"11,11,11,11|4,6,3,5",Final,GRAND_SLAM,U21WS,768,Main Draw,ISHIGAKI Yuka (JPN),YU Mengyu (SGP)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LEVIS Bruno/SALAZAR Sergio,PAULINO Lucas de Medeiros/ROGIERS Benjamin,3,0,"11,11,11|9,3,7",QR32,GRAND_SLAM,MD,768,Qualification,LEVIS Bruno (CHI) / SALAZAR Sergio (CHI),PAULINO Lucas de Medeiros (BRA) / ROGIERS Benjamin (BEL)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,JOVER Sebastien/SALIFOU Abdel-Kader,MADRID Marcos/VOSTES Yannick,3,0,"11,11,11|7,8,3",QR16,GRAND_SLAM,MD,768,Qualification,JOVER Sebastien (FRA) / SALIFOU Abdel-Kader (BEN),MADRID Marcos (MEX) / VOSTES Yannick (BEL)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,HOYAMA Hugo/MATSUMOTO Cazuo,JEONG Sangeun/LEE Sang Su,3,1,"8,11,11,11|11,8,6,2",QR32,GRAND_SLAM,MD,768,Qualification,HOYAMA Hugo (BRA) / MATSUMOTO Cazuo (BRA),JEONG Sangeun (KOR) / LEE Sang Su (KOR)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,BARRETO Israel/VIEIRA LEAO Mario Julio,SCHAIBLE Rene/VITTA Kilomo,3,0,"12,11,11|8,6,4",QR32,GRAND_SLAM,MD,768,Qualification,BARRETO Israel (BRA) / VIEIRA LEAO Mario Julio (BRA),SCHAIBLE Rene (PAN) / VITTA Kilomo (BEL)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,JOVER Sebastien/SALIFOU Abdel-Kader,TOMIOKA Douglas/YAMAZATO Fernando,3,1,"13,11,11,11|16,6,5,6",QR32,GRAND_SLAM,MD,768,Qualification,JOVER Sebastien (FRA) / SALIFOU Abdel-Kader (BEN),TOMIOKA Douglas (BRA) / YAMAZATO Fernando (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,MANCINI Eric/MANHANI Humberto,SHMYREV Maxim/TIAPKIN Sergei,3,0,,QR32,GRAND_SLAM,MD,768,Qualification,MANCINI Eric (BRA) / MANHANI Humberto (BRA),SHMYREV Maxim (RUS) / TIAPKIN Sergei (RUS)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,MATSUDAIRA Kenji/OYA Hidetoshi,CASTRO Lidney/VENTURA DOS ANJOS Bruno,3,0,"11,12,11|9,10,6",QR16,GRAND_SLAM,MD,768,Qualification,MATSUDAIRA Kenji (JPN) / OYA Hidetoshi (JPN),CASTRO Lidney (USA) / VENTURA DOS ANJOS Bruno (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,HOYAMA Hugo/MATSUMOTO Cazuo,ANTHONY Amalraj/MEHTA Pathik,3,0,"12,11,11|9,9,7",QR16,GRAND_SLAM,MD,768,Qualification,HOYAMA Hugo (BRA) / MATSUMOTO Cazuo (BRA),ANTHONY Amalraj (IND) / MEHTA Pathik (IND)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KAN Yo/YOSHIDA Kaii,BARRETO Israel/VIEIRA LEAO Mario Julio,3,0,"11,11,11|5,3,7",QR16,GRAND_SLAM,MD,768,Qualification,KAN Yo (JPN) / YOSHIDA Kaii (JPN),BARRETO Israel (BRA) / VIEIRA LEAO Mario Julio (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,GACINA Andrej/PRIMORAC Zoran,MANCINI Eric/MANHANI Humberto,3,0,"11,11,11|7,5,6",QR16,GRAND_SLAM,MD,768,Qualification,GACINA Andrej (CRO) / PRIMORAC Zoran (CRO),MANCINI Eric (BRA) / MANHANI Humberto (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,JIANG Tianyi/TANG Peng,HOYAMA Hugo/MATSUMOTO Cazuo,4,2,"11,8,8,11,11,11|9,11,11,8,5,6",R16,GRAND_SLAM,MD,768,Main Draw,JIANG Tianyi (HKG) / TANG Peng (HKG),HOYAMA Hugo (BRA) / MATSUMOTO Cazuo (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,CHUANG Chih-Yuan/WU Chih-Chi,MONTEIRO Thiago/TSUBOI Gustavo,4,3,"8,6,6,11,11,11,16|11,11,11,8,4,5,14",SemiFinal,GRAND_SLAM,MD,768,Main Draw,CHUANG Chih-Yuan (TPE) / WU Chih-Chi (TPE),MONTEIRO Thiago (BRA) / TSUBOI Gustavo (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LEBESSON Emmanuel/MATTENET Adrien,GACINA Andrej/PRIMORAC Zoran,4,1,"11,6,16,14,11|4,11,14,12,9",R16,GRAND_SLAM,MD,768,Main Draw,LEBESSON Emmanuel (FRA) / MATTENET Adrien (FRA),GACINA Andrej (CRO) / PRIMORAC Zoran (CRO)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,MATSUDAIRA Kenji/OYA Hidetoshi,CARNEROS Alfredo/HE Zhiwen,4,3,"8,11,11,8,10,11,11|11,8,7,11,12,6,4",R16,GRAND_SLAM,MD,768,Main Draw,MATSUDAIRA Kenji (JPN) / OYA Hidetoshi (JPN),CARNEROS Alfredo (ESP) / HE Zhiwen (ESP)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,CHUANG Chih-Yuan/WU Chih-Chi,JOVER Sebastien/SALIFOU Abdel-Kader,4,3,"8,8,11,11,11,7,11|11,11,8,7,5,11,7",R16,GRAND_SLAM,MD,768,Main Draw,CHUANG Chih-Yuan (TPE) / WU Chih-Chi (TPE),JOVER Sebastien (FRA) / SALIFOU Abdel-Kader (BEN)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,MONTEIRO Thiago/TSUBOI Gustavo,ACHANTA Sharath/SAHA Subhajit,4,1,"11,9,11,11,11|6,11,1,5,9",R16,GRAND_SLAM,MD,768,Main Draw,MONTEIRO Thiago (BRA) / TSUBOI Gustavo (BRA),ACHANTA Sharath (IND) / SAHA Subhajit (IND)
