tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Brazilian Open Sao Paulo 2002,2002-07-11,COELLO Geovanny,CAVALCANTE Andre,4,2,"4,11,11,7,11,11|11,7,8,11,7,9",,GRAND_SLAM,MS,1318,Qualification,COELLO Geovanny (ECU),CAVALCANTE Andre (BRA),COELLO Geovanny
Brazilian Open Sao Paulo 2002,2002-07-11,JINDRAK Karl/SCHLAGER Werner,HOYAMA Hugo/MONTEIRO Thiago,3,1,"6,11,11,11|11,9,9,8",R16,GRAND_SLAM,MD,1318,Main Draw,JINDRAK Karl (AUT) / SCHLAGER Werner (AUT),HOYAMA Hugo (BRA) / MONTEIRO Thiago (BRA),JINDRAK Karl
Brazilian Open Sao Paulo 2002,2002-07-11,KIHO Shinnosuke/SANADA Koji,COELLO Geovanny/PAPIC Juan,3,0,"11,11,11|5,7,4",14,GRAND_SLAM,MD,1318,Qualification,KIHO Shinnosuke (JPN) / SANADA Koji (JPN),COELLO Geovanny (ECU) / PAPIC Juan (CHI),KIHO Shinnosuke
Brazilian Open Sao Paulo 2002,2002-07-11,MAZE Michael/MONRAD Martin,VENTURA DOS ANJOS Bruno/MATSUMOTO Cazuo,3,0,"11,11,11|9,6,9",R16,GRAND_SLAM,MD,1318,Main Draw,MAZE Michael (DEN) / MONRAD Martin (DEN),VENTURA DOS ANJOS Bruno (BRA) / MATSUMOTO Cazuo (BRA),MAZE Michael
Brazilian Open Sao Paulo 2002,2002-07-11,FEJER-KONNERTH Zoltan/WOSIK Torben,MAZE Michael/MONRAD Martin,4,3,"11,7,12,11,7,9,11|1,11,10,4,11,11,8",SF,GRAND_SLAM,MD,1318,Main Draw,FEJER-KONNERTH Zoltan (GER) / WOSIK Torben (GER),MAZE Michael (DEN) / MONRAD Martin (DEN),FEJER-KONNERTH Zoltan
Brazilian Open Sao Paulo 2002,2002-07-11,BITZIGEIO Jorg/WEITZ Daniel,HANASHIRO Hugo/TSUBOI Gustavo,3,2,"10,8,11,11,11|12,11,8,6,5",14,GRAND_SLAM,MD,1318,Qualification,BITZIGEIO Jorg (GER) / WEITZ Daniel (GER),HANASHIRO Hugo (BRA) / TSUBOI Gustavo (BRA),BITZIGEIO Jorg
Brazilian Open Sao Paulo 2002,2002-07-11,FEJER-KONNERTH Zoltan/WOSIK Torben,LEE Chulseung/RYU Seungmin,3,2,"11,11,6,5,11|7,9,11,11,6",QF,GRAND_SLAM,MD,1318,Main Draw,FEJER-KONNERTH Zoltan (GER) / WOSIK Torben (GER),LEE Chulseung (KOR) / RYU Seungmin (KOR),FEJER-KONNERTH Zoltan
Brazilian Open Sao Paulo 2002,2002-07-11,KISHIKAWA Seiya/SAKAMOTO Ryusuke,TAKAYAMA Thiago/YAMAMOTO Reinaldo,3,0,"11,11,11|8,9,8",14,GRAND_SLAM,MD,1318,Qualification,KISHIKAWA Seiya (JPN) / SAKAMOTO Ryusuke (JPN),TAKAYAMA Thiago (BRA) / YAMAMOTO Reinaldo (BRA),KISHIKAWA Seiya
Brazilian Open Sao Paulo 2002,2002-07-11,FEJER-KONNERTH Zoltan/WOSIK Torben,KIHO Shinnosuke/SANADA Koji,3,1,"11,7,11,11|9,11,7,9",R16,GRAND_SLAM,MD,1318,Main Draw,FEJER-KONNERTH Zoltan (GER) / WOSIK Torben (GER),KIHO Shinnosuke (JPN) / SANADA Koji (JPN),FEJER-KONNERTH Zoltan
Brazilian Open Sao Paulo 2002,2002-07-11,KISHIKAWA Seiya/SAKAMOTO Ryusuke,HEISTER Danny/KEEN Trinko,3,0,"11,12,12|9,10,10",R16,GRAND_SLAM,MD,1318,Main Draw,KISHIKAWA Seiya (JPN) / SAKAMOTO Ryusuke (JPN),HEISTER Danny (NED) / KEEN Trinko (NED),KISHIKAWA Seiya
Brazilian Open Sao Paulo 2002,2002-07-11,TANIGUCHI Yuji/TASAKI Toshio,FETH Stefan/KEINATH Thomas,3,1,"11,4,11,11|8,11,6,9",R16,GRAND_SLAM,MD,1318,Main Draw,TANIGUCHI Yuji (JPN) / TASAKI Toshio (JPN),FETH Stefan (GER) / KEINATH Thomas (SVK),TANIGUCHI Yuji
Brazilian Open Sao Paulo 2002,2002-07-11,MAZE Michael/MONRAD Martin,KISHIKAWA Seiya/SAKAMOTO Ryusuke,3,1,"4,11,11,11|11,4,6,7",QF,GRAND_SLAM,MD,1318,Main Draw,MAZE Michael (DEN) / MONRAD Martin (DEN),KISHIKAWA Seiya (JPN) / SAKAMOTO Ryusuke (JPN),MAZE Michael
Brazilian Open Sao Paulo 2002,2002-07-11,LEE Chulseung/RYU Seungmin,BITZIGEIO Jorg/WEITZ Daniel,3,0,"11,11,11|4,4,3",R16,GRAND_SLAM,MD,1318,Main Draw,LEE Chulseung (KOR) / RYU Seungmin (KOR),BITZIGEIO Jorg (GER) / WEITZ Daniel (GER),LEE Chulseung
Brazilian Open Sao Paulo 2002,2002-07-11,OH Sangeun/SMIRNOV Alexey,ARAI Shu/TAKAMORI Hidero,3,1,"11,4,11,11|9,11,7,2",R16,GRAND_SLAM,MD,1318,Main Draw,OH Sangeun (KOR) / SMIRNOV Alexey (RUS),ARAI Shu (JPN) / TAKAMORI Hidero (JPN),OH Sangeun
Brazilian Open Sao Paulo 2002,2002-07-11,FETH Stefan/KEINATH Thomas,CAVALCANTE Andre,3,0,"11,11,11|4,6,7",14,GRAND_SLAM,MD,1318,Qualification,FETH Stefan (GER) / KEINATH Thomas (SVK),CAVALCANTE Andre (BRA),FETH Stefan
Brazilian Open Sao Paulo 2002,2002-07-11,KRAMER Tanja/LIU Jia,FERNANDES Simone/SILVA Ligia,3,0,"11,11,11|3,4,8",R16,GRAND_SLAM,WD,1318,Main Draw,KRAMER Tanja (GER) / LIU Jia (AUT),FERNANDES Simone (BRA) / SILVA Ligia (BRA),KRAMER Tanja
Brazilian Open Sao Paulo 2002,2002-07-11,LEE Eunsil/SUK Eunmi,HASEGAVA Thais/SAKO Karin,3,0,"11,11,11|3,6,5",R16,GRAND_SLAM,WD,1318,Main Draw,LEE Eunsil (KOR) / SUK Eunmi (KOR),HASEGAVA Thais (BRA) / SAKO Karin (BRA),LEE Eunsil
Brazilian Open Sao Paulo 2002,2002-07-11,STRUSE Nicole/SCHALL Elke,BARREIRA Nathalia/NONAKA Mariany,3,0,"11,11,11|8,5,5",R16,GRAND_SLAM,WD,1318,Main Draw,STRUSE Nicole (GER) / SCHALL Elke (GER),BARREIRA Nathalia (BRA) / NONAKA Mariany (BRA),STRUSE Nicole
Brazilian Open Sao Paulo 2002,2002-07-11,NISHII Yuka/NISHII Miyuki,IKEIZUMI Claudia/SHIWA Silvia,3,0,"11,11,11|4,3,6",R16,GRAND_SLAM,WD,1318,Main Draw,NISHII Yuka (JPN) / NISHII Miyuki (JPN),IKEIZUMI Claudia (BRA) / SHIWA Silvia (BRA),NISHII Yuka
Brazilian Open Sao Paulo 2002,2002-07-11,KISHIDA Satoko/UMEMURA Aya,KIM Mookyo/RYU Jihae,3,1,"8,11,11,11|11,7,7,5",QF,GRAND_SLAM,WD,1318,Main Draw,KISHIDA Satoko (JPN) / UMEMURA Aya (JPN),KIM Mookyo (KOR) / RYU Jihae (KOR),KISHIDA Satoko
Brazilian Open Sao Paulo 2002,2002-07-11,STRUSE Nicole/SCHALL Elke,FUKUHARA Ai/TASEI Mikie,3,1,"11,11,3,11|7,6,11,9",QF,GRAND_SLAM,WD,1318,Main Draw,STRUSE Nicole (GER) / SCHALL Elke (GER),FUKUHARA Ai (JPN) / TASEI Mikie (JPN),STRUSE Nicole
Brazilian Open Sao Paulo 2002,2002-07-11,KIM Mookyo/RYU Jihae,KOCK Luciana/SOUZA Caroline,3,0,"11,11,11|1,2,6",R16,GRAND_SLAM,WD,1318,Main Draw,KIM Mookyo (KOR) / RYU Jihae (KOR),KOCK Luciana (BRA) / SOUZA Caroline (BRA),KIM Mookyo
Brazilian Open Sao Paulo 2002,2002-07-11,LEE Eunsil/SUK Eunmi,NISHII Yuka/NISHII Miyuki,3,0,"11,11,12|7,3,10",QF,GRAND_SLAM,WD,1318,Main Draw,LEE Eunsil (KOR) / SUK Eunmi (KOR),NISHII Yuka (JPN) / NISHII Miyuki (JPN),LEE Eunsil
Brazilian Open Sao Paulo 2002,2002-07-11,LEE Eunsil/SUK Eunmi,STRUSE Nicole/SCHALL Elke,4,1,"4,11,11,11,11|11,4,5,4,2",SF,GRAND_SLAM,WD,1318,Main Draw,LEE Eunsil (KOR) / SUK Eunmi (KOR),STRUSE Nicole (GER) / SCHALL Elke (GER),LEE Eunsil
Brazilian Open Sao Paulo 2002,2002-07-11,LEE Eunsil/SUK Eunmi,HAN Kwangsun/NEMES Olga,4,1,"11,12,5,11,11|5,10,11,6,8",F,GRAND_SLAM,WD,1318,Main Draw,LEE Eunsil (KOR) / SUK Eunmi (KOR),HAN Kwangsun (KOR) / NEMES Olga (ROU),LEE Eunsil
Brazilian Open Sao Paulo 2002,2002-07-11,HAN Kwangsun/NEMES Olga,FUJINUMA Ai/HIURA Reiko,3,2,"6,11,11,11,11|11,13,9,2,6",R16,GRAND_SLAM,WD,1318,Main Draw,HAN Kwangsun (KOR) / NEMES Olga (ROU),FUJINUMA Ai (JPN) / HIURA Reiko (JPN),HAN Kwangsun
Brazilian Open Sao Paulo 2002,2002-07-11,HAN Kwangsun/NEMES Olga,KRAMER Tanja/LIU Jia,3,1,"7,11,11,11|11,7,7,7",QF,GRAND_SLAM,WD,1318,Main Draw,HAN Kwangsun (KOR) / NEMES Olga (ROU),KRAMER Tanja (GER) / LIU Jia (AUT),HAN Kwangsun
Brazilian Open Sao Paulo 2002,2002-07-11,HAN Kwangsun/NEMES Olga,KISHIDA Satoko/UMEMURA Aya,4,3,"11,14,3,7,11,8,11|6,12,11,11,9,11,6",SF,GRAND_SLAM,WD,1318,Main Draw,HAN Kwangsun (KOR) / NEMES Olga (ROU),KISHIDA Satoko (JPN) / UMEMURA Aya (JPN),HAN Kwangsun
