tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Table Tennis Championships Suzhou 2015,2015-04-26,KUZMIN Fedor/VLASOV Grigory,IDOWU Saheed/SAKA Suraju,4,2,"11,8,11,11,9,11|2,11,9,4,11,2",R64,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,KUZMIN Fedor (RUS) / VLASOV Grigory (RUS),IDOWU Saheed (CGO) / SAKA Suraju (CGO)
World Table Tennis Championships Suzhou 2015,2015-04-26,HAN Xing/NWACHUKWU Onyinyechi,MADURANGI Ishara/SHASHINI Tharunnya,4,0,"11,11,11,12|7,5,3,10",R64,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,HAN Xing (CGO) / NWACHUKWU Onyinyechi (CGO),MADURANGI Ishara (SRI) / SHASHINI Tharunnya (SRI)
World Table Tennis Championships Suzhou 2015,2015-04-26,KIM Hye Song/KIM Jong,HAN Xing/NWACHUKWU Onyinyechi,4,0,"11,11,11,11|3,5,5,6",R32,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,KIM Hye Song (PRK) / KIM Jong (PRK),HAN Xing (CGO) / NWACHUKWU Onyinyechi (CGO)
World Table Tennis Championships Suzhou 2015,2015-04-26,PENKAVOVA Katerina/STRBIKOVA Renata,IWASA Agustina/LOW Katherine,4,0,"11,11,11,14|8,8,4,12",R64,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,PENKAVOVA Katerina (CZE) / STRBIKOVA Renata (CZE),IWASA Agustina (ARG) / LOW Katherine (CHI)
World Table Tennis Championships Suzhou 2015,2015-04-26,CASTELLANO Natalia/VEGA Paulina,PETEK Petra/TIAN Yuan,4,3,"15,5,11,11,10,15,11|13,11,9,9,12,17,2",R64,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,CASTELLANO Natalia (CHI) / VEGA Paulina (CHI),PETEK Petra (CRO) / TIAN Yuan (CRO)
World Table Tennis Championships Suzhou 2015,2015-04-26,LIU Jia/VACENOVSKA Iveta,CASTELLANO Natalia/VEGA Paulina,4,0,"11,11,11,11|9,4,6,3",R32,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,LIU Jia (AUT) / VACENOVSKA Iveta (CZE),CASTELLANO Natalia (CHI) / VEGA Paulina (CHI)
World Table Tennis Championships Suzhou 2015,2015-04-26,BOLL Timo/MA Long,GUNDUZ Ibrahim/MENGE Gencay,4,0,"11,11,11,11|4,9,3,5",R64,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,BOLL Timo (GER) / MA Long (CHN),GUNDUZ Ibrahim (TUR) / MENGE Gencay (TUR)
World Table Tennis Championships Suzhou 2015,2015-04-26,XU Xin/ZHANG Jike,BOLL Timo/MA Long,4,2,"9,7,11,11,11,11|11,11,6,4,8,9",R32,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,XU Xin (CHN) / ZHANG Jike (CHN),BOLL Timo (GER) / MA Long (CHN)
World Table Tennis Championships Suzhou 2015,2015-04-26,FAN Zhendong/ZHOU Yu,JEOUNG Youngsik/KIM Minseok,4,0,"15,13,11,11|13,11,5,8",QF,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,FAN Zhendong (CHN) / ZHOU Yu (CHN),JEOUNG Youngsik (KOR) / KIM Minseok (KOR)
World Table Tennis Championships Suzhou 2015,2015-04-26,XU Xin/ZHANG Jike,LEE Sang Su/SEO Hyundeok,4,2,"9,11,11,11,4,11|11,6,9,6,11,3",SF,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,XU Xin (CHN) / ZHANG Jike (CHN),LEE Sang Su (KOR) / SEO Hyundeok (KOR)
