tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Danish Open Farum 2002,2002-11-21,HENZELL William,KRIVIC Jakov,4,3,"9,11,11,9,8,11,11|11,8,5,11,11,6,7",,GRAND_SLAM,MS,1508,Qualification,HENZELL William (AUS),KRIVIC Jakov (CRO),HENZELL William
Danish Open Farum 2002,2002-11-21,MAZE Michael,ZOOGLING Mikael,4,0,"13,11,11,11|11,6,7,9",R64,GRAND_SLAM,MS,1508,Main Draw,MAZE Michael (DEN),ZOOGLING Mikael (SWE),MAZE Michael
Danish Open Farum 2002,2002-11-21,SMIRNOV Alexey,GARDOS Robert,4,0,"11,11,11,11|9,7,8,9",R64,GRAND_SLAM,MS,1508,Main Draw,SMIRNOV Alexey (RUS),GARDOS Robert (AUT),SMIRNOV Alexey
Danish Open Farum 2002,2002-11-21,LUNDQVIST Jens,KOSOWSKI Jakub,4,1,"11,11,11,10,11|1,4,6,12,9",R64,GRAND_SLAM,MS,1508,Main Draw,LUNDQVIST Jens (SWE),KOSOWSKI Jakub (POL),LUNDQVIST Jens
Danish Open Farum 2002,2002-11-21,MOLIN Magnus,SANADA Koji,4,3,"9,7,13,3,11,11,11|11,11,11,11,5,1,2",R64,GRAND_SLAM,MS,1508,Main Draw,MOLIN Magnus (SWE),SANADA Koji (JPN),MOLIN Magnus
Danish Open Farum 2002,2002-11-21,WANG Liqin,FEJER-KONNERTH Zoltan,4,0,"11,11,11,11|7,5,8,5",R64,GRAND_SLAM,MS,1508,Main Draw,WANG Liqin (CHN),FEJER-KONNERTH Zoltan (GER),WANG Liqin
Danish Open Farum 2002,2002-11-21,MA Lin,BENTSEN Allan,4,0,"11,11,11,11|9,4,4,3",R32,GRAND_SLAM,MS,1508,Main Draw,MA Lin (CHN),BENTSEN Allan (DEN),MA Lin
Danish Open Farum 2002,2002-11-21,CRISAN Adrian,BLASZCZYK Lucjan,4,2,"11,7,5,11,11,11|6,11,11,9,9,8",R32,GRAND_SLAM,MS,1508,Main Draw,CRISAN Adrian (ROU),BLASZCZYK Lucjan (POL),CRISAN Adrian
Danish Open Farum 2002,2002-11-21,TASAKI Toshio,CHILA Patrick,4,3,"11,13,9,10,11,7,11|9,11,11,12,8,11,9",R32,GRAND_SLAM,MS,1508,Main Draw,TASAKI Toshio (JPN),CHILA Patrick (FRA),TASAKI Toshio
Danish Open Farum 2002,2002-11-21,RYU Seungmin,TANG Peng,4,2,"11,3,9,11,11,12|7,11,11,4,7,10",R32,GRAND_SLAM,MS,1508,Main Draw,RYU Seungmin (KOR),TANG Peng (HKG),RYU Seungmin
Danish Open Farum 2002,2002-11-21,TOKIC Bojan,OH Sangeun,4,1,"13,11,11,8,11|11,8,7,11,3",R32,GRAND_SLAM,MS,1508,Main Draw,TOKIC Bojan (SLO),OH Sangeun (KOR),TOKIC Bojan
Danish Open Farum 2002,2002-11-21,KARLSSON Peter,MANSSON Magnus,4,1,"11,14,9,11,11|9,12,11,6,4",R32,GRAND_SLAM,MS,1508,Main Draw,KARLSSON Peter (SWE),MANSSON Magnus (SWE),KARLSSON Peter
Danish Open Farum 2002,2002-11-21,GRUJIC Slobodan,ELOI Damien,4,3,"11,9,11,6,11,10,11|5,11,9,11,8,12,8",R32,GRAND_SLAM,MS,1508,Main Draw,GRUJIC Slobodan (SRB),ELOI Damien (FRA),GRUJIC Slobodan
Danish Open Farum 2002,2002-11-21,SCHLAGER Werner,KARAKASEVIC Aleksandar,4,1,"11,11,6,11,11|3,6,11,9,9",R32,GRAND_SLAM,MS,1508,Main Draw,SCHLAGER Werner (AUT),KARAKASEVIC Aleksandar (SRB),SCHLAGER Werner
Danish Open Farum 2002,2002-11-21,BOLL Timo,QIN Zhijian,4,3,"9,11,11,11,8,10,11|11,8,5,6,11,12,8",R32,GRAND_SLAM,MS,1508,Main Draw,BOLL Timo (GER),QIN Zhijian (CHN),BOLL Timo
Danish Open Farum 2002,2002-11-21,SHMYREV Maxim,LEE Chulseung,4,0,"12,11,11,11|10,9,8,7",R32,GRAND_SLAM,MS,1508,Main Draw,SHMYREV Maxim (RUS),LEE Chulseung (KOR),SHMYREV Maxim
Danish Open Farum 2002,2002-11-21,WANG Jianfeng,LEGOUT Christophe,4,1,"11,5,11,11,11|9,11,7,6,9",R32,GRAND_SLAM,MS,1508,Main Draw,WANG Jianfeng (NOR),LEGOUT Christophe (FRA),WANG Jianfeng
Danish Open Farum 2002,2002-11-21,KONG Linghui,HIELSCHER Lars,4,0,"11,11,12,11|7,3,10,5",R32,GRAND_SLAM,MS,1508,Main Draw,KONG Linghui (CHN),HIELSCHER Lars (GER),KONG Linghui
Danish Open Farum 2002,2002-11-21,HEISTER Danny,WOSIK Torben,4,3,"11,12,9,11,9,11,11|7,14,11,9,11,2,8",R32,GRAND_SLAM,MS,1508,Main Draw,HEISTER Danny (NED),WOSIK Torben (GER),HEISTER Danny
Danish Open Farum 2002,2002-11-21,MAZE Michael,WANG Jianjun,4,1,"11,11,11,9,12|9,9,7,11,10",R32,GRAND_SLAM,MS,1508,Main Draw,MAZE Michael (DEN),WANG Jianjun (CHN),MAZE Michael
Danish Open Farum 2002,2002-11-21,LUNDQVIST Jens,SMIRNOV Alexey,4,3,"9,6,8,11,12,12,11|11,11,11,9,10,10,6",R32,GRAND_SLAM,MS,1508,Main Draw,LUNDQVIST Jens (SWE),SMIRNOV Alexey (RUS),LUNDQVIST Jens
Danish Open Farum 2002,2002-11-21,MOLIN Magnus,WANG Liqin,4,1,"11,11,11,8,11|9,6,8,11,5",R32,GRAND_SLAM,MS,1508,Main Draw,MOLIN Magnus (SWE),WANG Liqin (CHN),MOLIN Magnus
Danish Open Farum 2002,2002-11-21,MA Lin,CRISAN Adrian,4,1,"11,11,11,13,11|4,4,4,15,7",R16,GRAND_SLAM,MS,1508,Main Draw,MA Lin (CHN),CRISAN Adrian (ROU),MA Lin
Danish Open Farum 2002,2002-11-21,RYU Seungmin,TASAKI Toshio,4,0,"11,11,11,11|5,9,6,6",R16,GRAND_SLAM,MS,1508,Main Draw,RYU Seungmin (KOR),TASAKI Toshio (JPN),RYU Seungmin
Danish Open Farum 2002,2002-11-21,KARLSSON Peter,TOKIC Bojan,4,0,"11,11,11,11|7,7,7,8",R16,GRAND_SLAM,MS,1508,Main Draw,KARLSSON Peter (SWE),TOKIC Bojan (SLO),KARLSSON Peter
Danish Open Farum 2002,2002-11-21,SCHLAGER Werner,GRUJIC Slobodan,4,2,"8,11,13,10,11,11|11,1,11,12,7,4",R16,GRAND_SLAM,MS,1508,Main Draw,SCHLAGER Werner (AUT),GRUJIC Slobodan (SRB),SCHLAGER Werner
Danish Open Farum 2002,2002-11-21,BOLL Timo,SHMYREV Maxim,4,2,"11,11,9,9,11,11|2,9,11,11,3,8",R16,GRAND_SLAM,MS,1508,Main Draw,BOLL Timo (GER),SHMYREV Maxim (RUS),BOLL Timo
Danish Open Farum 2002,2002-11-21,KONG Linghui,WANG Jianfeng,4,1,"6,11,12,11,11|11,5,10,3,1",R16,GRAND_SLAM,MS,1508,Main Draw,KONG Linghui (CHN),WANG Jianfeng (NOR),KONG Linghui
Danish Open Farum 2002,2002-11-21,MAZE Michael,HEISTER Danny,4,1,"11,9,11,11,11|5,11,5,8,6",R16,GRAND_SLAM,MS,1508,Main Draw,MAZE Michael (DEN),HEISTER Danny (NED),MAZE Michael
Danish Open Farum 2002,2002-11-21,LUNDQVIST Jens,MOLIN Magnus,4,0,"11,11,11,11|7,7,8,5",R16,GRAND_SLAM,MS,1508,Main Draw,LUNDQVIST Jens (SWE),MOLIN Magnus (SWE),LUNDQVIST Jens
Danish Open Farum 2002,2002-11-21,MA Lin,RYU Seungmin,4,2,"11,7,11,12,11,11|6,11,6,14,8,6",QF,GRAND_SLAM,MS,1508,Main Draw,MA Lin (CHN),RYU Seungmin (KOR),MA Lin
Danish Open Farum 2002,2002-11-21,SCHLAGER Werner,KARLSSON Peter,4,3,"9,9,11,11,11,1,11|11,11,8,6,3,11,8",QF,GRAND_SLAM,MS,1508,Main Draw,SCHLAGER Werner (AUT),KARLSSON Peter (SWE),SCHLAGER Werner
Danish Open Farum 2002,2002-11-21,BOLL Timo,KONG Linghui,4,1,"11,12,11,6,11|9,10,8,11,4",QF,GRAND_SLAM,MS,1508,Main Draw,BOLL Timo (GER),KONG Linghui (CHN),BOLL Timo
Danish Open Farum 2002,2002-11-21,MAZE Michael,LUNDQVIST Jens,4,1,"11,9,11,11,11|9,11,6,8,6",QF,GRAND_SLAM,MS,1508,Main Draw,MAZE Michael (DEN),LUNDQVIST Jens (SWE),MAZE Michael
Danish Open Farum 2002,2002-11-21,MA Lin,SCHLAGER Werner,4,0,"11,11,11,11|7,4,5,7",SF,GRAND_SLAM,MS,1508,Main Draw,MA Lin (CHN),SCHLAGER Werner (AUT),MA Lin
Danish Open Farum 2002,2002-11-21,BOLL Timo,MAZE Michael,4,1,"9,11,12,11,11|11,7,10,1,6",SF,GRAND_SLAM,MS,1508,Main Draw,BOLL Timo (GER),MAZE Michael (DEN),BOLL Timo
Danish Open Farum 2002,2002-11-21,MA Lin,BOLL Timo,4,0,"11,11,12,11|6,7,10,7",F,GRAND_SLAM,MS,1508,Main Draw,MA Lin (CHN),BOLL Timo (GER),MA Lin
Danish Open Farum 2002,2002-11-21,CICHOCKA Magdalena,TAMBORINI Aurelie,4,2,"8,11,6,11,12,11|11,7,11,9,10,4",,GRAND_SLAM,WS,1508,Qualification,CICHOCKA Magdalena (POL),TAMBORINI Aurelie (FRA),CICHOCKA Magdalena
Danish Open Farum 2002,2002-11-21,KOSTROMINA Tatyana (1973),CICHOCKA Magdalena,4,0,"11,11,11,11|5,1,8,5",QR2,GRAND_SLAM,WS,1508,Qualification,KOSTROMINA Tatyana (1973) (BLR),CICHOCKA Magdalena (POL),KOSTROMINA Tatyana (1973)
Danish Open Farum 2002,2002-11-21,KOSTROMINA Tatyana (1973),TAMBORINI Aurelie,4,0,"11,11,15,11|2,7,13,6",3,GRAND_SLAM,WS,1508,Qualification,KOSTROMINA Tatyana (1973) (BLR),TAMBORINI Aurelie (FRA),KOSTROMINA Tatyana (1973)
Danish Open Farum 2002,2002-11-21,BURGAR Spela,SILVESTRE Julia,4,3,"11,7,7,5,11,11,12|9,11,11,11,8,8,10",,GRAND_SLAM,WS,1508,Qualification,BURGAR Spela (SLO),SILVESTRE Julia (FRA),BURGAR Spela
Danish Open Farum 2002,2002-11-21,NEGRISOLI Laura,SILVESTRE Julia,4,1,"11,5,11,11,11|6,11,8,9,7",QR2,GRAND_SLAM,WS,1508,Qualification,NEGRISOLI Laura (ITA),SILVESTRE Julia (FRA),NEGRISOLI Laura
Danish Open Farum 2002,2002-11-21,NEGRISOLI Laura,BURGAR Spela,4,0,"11,11,11,11|5,6,7,8",3,GRAND_SLAM,WS,1508,Qualification,NEGRISOLI Laura (ITA),BURGAR Spela (SLO),NEGRISOLI Laura
Danish Open Farum 2002,2002-11-21,BERGLUND Anna,KASABOVA Asya,4,2,"7,6,11,11,11,11|11,11,8,8,4,8",,GRAND_SLAM,WS,1508,Qualification,BERGLUND Anna (SWE),KASABOVA Asya (BUL),BERGLUND Anna
Danish Open Farum 2002,2002-11-21,LOGATZKAYA Tatyana,BERGLUND Anna,4,3,"12,11,8,8,11,12,11|14,3,11,11,7,10,6",QR2,GRAND_SLAM,WS,1508,Qualification,LOGATZKAYA Tatyana (BLR),BERGLUND Anna (SWE),LOGATZKAYA Tatyana
Danish Open Farum 2002,2002-11-21,LOGATZKAYA Tatyana,KASABOVA Asya,4,1,"8,11,11,11,11|11,8,8,6,7",3,GRAND_SLAM,WS,1508,Qualification,LOGATZKAYA Tatyana (BLR),KASABOVA Asya (BUL),LOGATZKAYA Tatyana
Danish Open Farum 2002,2002-11-21,PAVLOVICH Veronika,GLADIEUX Elisabeth,4,3,"11,8,10,8,11,11,11|4,11,12,11,9,9,7",3,GRAND_SLAM,WS,1508,Qualification,PAVLOVICH Veronika (BLR),GLADIEUX Elisabeth (FRA),PAVLOVICH Veronika
Danish Open Farum 2002,2002-11-21,GOROWSKA Magdalena,JONSSON Carina,4,3,"5,11,11,2,11,7,11|11,6,8,11,9,11,8",,GRAND_SLAM,WS,1508,Qualification,GOROWSKA Magdalena (POL),JONSSON Carina (SWE),GOROWSKA Magdalena
Danish Open Farum 2002,2002-11-21,FADEEVA Oxana,GOROWSKA Magdalena,4,3,"8,11,11,11,10,6,11|11,9,6,6,12,11,7",QR2,GRAND_SLAM,WS,1508,Qualification,FADEEVA Oxana (RUS),GOROWSKA Magdalena (POL),FADEEVA Oxana
Danish Open Farum 2002,2002-11-21,FADEEVA Oxana,JONSSON Carina,4,1,"11,13,11,6,12|5,11,9,11,10",3,GRAND_SLAM,WS,1508,Qualification,FADEEVA Oxana (RUS),JONSSON Carina (SWE),FADEEVA Oxana
Danish Open Farum 2002,2002-11-21,GAJIC Jelena,GRUNDISCH Carole,4,3,"11,11,15,6,9,5,11|2,8,13,11,11,11,7",,GRAND_SLAM,WS,1508,Qualification,GAJIC Jelena (SRB),GRUNDISCH Carole (FRA),GAJIC Jelena
Danish Open Farum 2002,2002-11-21,NISHII Miyuki,GRUNDISCH Carole,4,2,"11,9,11,11,5,11|8,11,9,6,11,3",QR2,GRAND_SLAM,WS,1508,Qualification,NISHII Miyuki (JPN),GRUNDISCH Carole (FRA),NISHII Miyuki
Danish Open Farum 2002,2002-11-21,NISHII Miyuki,GAJIC Jelena,4,0,"11,11,11,11|7,7,6,3",3,GRAND_SLAM,WS,1508,Qualification,NISHII Miyuki (JPN),GAJIC Jelena (SRB),NISHII Miyuki
Danish Open Farum 2002,2002-11-21,DING Yan,WIGOW Susanna,4,1,"11,12,11,9,11|6,10,9,11,8",,GRAND_SLAM,WS,1508,Qualification,DING Yan (ITA),WIGOW Susanna (SWE),DING Yan
Danish Open Farum 2002,2002-11-21,NORDENBERG Linda,SKOV Mie,4,3,"12,11,5,13,7,11,12|10,6,11,15,11,8,10",,GRAND_SLAM,WS,1508,Qualification,NORDENBERG Linda (SWE),SKOV Mie (DEN),NORDENBERG Linda
Danish Open Farum 2002,2002-11-21,GOURIN Anne-Sophie,SKOV Mie,4,0,"11,14,11,11|8,12,1,4",QR2,GRAND_SLAM,WS,1508,Qualification,GOURIN Anne-Sophie (FRA),SKOV Mie (DEN),GOURIN Anne-Sophie
Danish Open Farum 2002,2002-11-21,NORDENBERG Linda,GOURIN Anne-Sophie,4,1,"11,11,11,8,13|8,9,9,11,11",3,GRAND_SLAM,WS,1508,Qualification,NORDENBERG Linda (SWE),GOURIN Anne-Sophie (FRA),NORDENBERG Linda
Danish Open Farum 2002,2002-11-21,PHAI PANG Laurie,DAUNTON Bethan,4,2,"11,11,3,10,11,11|2,6,11,12,4,8",,GRAND_SLAM,WS,1508,Qualification,PHAI PANG Laurie (FRA),DAUNTON Bethan (WAL),PHAI PANG Laurie
Danish Open Farum 2002,2002-11-21,JOHANSSON Sandra,PHAI PANG Laurie,4,1,"11,8,11,12,11|7,11,9,10,5",QR2,GRAND_SLAM,WS,1508,Qualification,JOHANSSON Sandra (SWE),PHAI PANG Laurie (FRA),JOHANSSON Sandra
Danish Open Farum 2002,2002-11-21,JOHANSSON Sandra,DAUNTON Bethan,4,2,"16,11,11,6,8,11|14,7,7,11,11,5",3,GRAND_SLAM,WS,1508,Qualification,JOHANSSON Sandra (SWE),DAUNTON Bethan (WAL),JOHANSSON Sandra
Danish Open Farum 2002,2002-11-21,KIM Soongsil,OLSSON Marie,4,2,"11,8,11,11,13,11|13,11,7,4,11,6",,GRAND_SLAM,WS,1508,Qualification,KIM Soongsil (KOR),OLSSON Marie (SWE),KIM Soongsil
Danish Open Farum 2002,2002-11-21,GOBEL Jessica,KIM Soongsil,4,3,"11,9,9,11,11,11,11|13,11,11,9,7,4,3",QR2,GRAND_SLAM,WS,1508,Qualification,GOBEL Jessica (GER),KIM Soongsil (KOR),GOBEL Jessica
Danish Open Farum 2002,2002-11-21,OLSSON Marie,GOBEL Jessica,4,0,"12,11,11,12|10,4,4,10",3,GRAND_SLAM,WS,1508,Qualification,OLSSON Marie (SWE),GOBEL Jessica (GER),OLSSON Marie
Danish Open Farum 2002,2002-11-21,LUCZAKOWSKA Daria,JUNG Sunyong,4,2,"9,6,11,11,11,11|11,11,8,4,7,4",,GRAND_SLAM,WS,1508,Qualification,LUCZAKOWSKA Daria (POL),JUNG Sunyong (KOR),LUCZAKOWSKA Daria
Danish Open Farum 2002,2002-11-21,JUNG Sunyong,KRAMER Tanja,4,1,"9,11,11,11,12|11,7,5,9,10",QR2,GRAND_SLAM,WS,1508,Qualification,JUNG Sunyong (KOR),KRAMER Tanja (GER),JUNG Sunyong
Danish Open Farum 2002,2002-11-21,KRAMER Tanja,LUCZAKOWSKA Daria,4,1,"6,11,11,11,13|11,8,4,7,11",3,GRAND_SLAM,WS,1508,Qualification,KRAMER Tanja (GER),LUCZAKOWSKA Daria (POL),KRAMER Tanja
Danish Open Farum 2002,2002-11-21,LEE Soyoung,FERNANDES Sabrina,4,0,"11,12,11,11|9,10,9,3",,GRAND_SLAM,WS,1508,Qualification,LEE Soyoung (KOR),FERNANDES Sabrina (FRA),LEE Soyoung
Danish Open Farum 2002,2002-11-21,LEE Soyoung,STEFANOVA Nikoleta,4,2,"11,11,11,5,10,11|7,5,5,11,12,2",QR2,GRAND_SLAM,WS,1508,Qualification,LEE Soyoung (KOR),STEFANOVA Nikoleta (ITA),LEE Soyoung
Danish Open Farum 2002,2002-11-21,STEFANOVA Nikoleta,FERNANDES Sabrina,4,0,"11,11,11,11|7,5,6,9",3,GRAND_SLAM,WS,1508,Qualification,STEFANOVA Nikoleta (ITA),FERNANDES Sabrina (FRA),STEFANOVA Nikoleta
Danish Open Farum 2002,2002-11-21,LEE Myungae,CIGANKOVA Nataliya,4,3,"2,12,2,11,11,9,11|11,10,11,4,8,11,9",,GRAND_SLAM,WS,1508,Qualification,LEE Myungae (KOR),CIGANKOVA Nataliya (BLR),LEE Myungae
Danish Open Farum 2002,2002-11-21,XU Yan,LEE Myungae,4,2,"4,8,11,11,11,11|11,11,9,7,5,3",QR2,GRAND_SLAM,WS,1508,Qualification,XU Yan (SGP),LEE Myungae (KOR),XU Yan
Danish Open Farum 2002,2002-11-21,XU Yan,CIGANKOVA Nataliya,4,0,"16,11,11,11|14,7,5,7",3,GRAND_SLAM,WS,1508,Qualification,XU Yan (SGP),CIGANKOVA Nataliya (BLR),XU Yan
Danish Open Farum 2002,2002-11-21,JONSSON Susanne,JEONG Soyoung,4,2,"11,11,9,5,11,11|7,7,11,11,8,9",,GRAND_SLAM,WS,1508,Qualification,JONSSON Susanne (SWE),JEONG Soyoung (KOR),JONSSON Susanne
Danish Open Farum 2002,2002-11-21,STEFANSKA Kinga,JEONG Soyoung,4,0,"11,11,11,11|5,7,9,5",QR2,GRAND_SLAM,WS,1508,Qualification,STEFANSKA Kinga (POL),JEONG Soyoung (KOR),STEFANSKA Kinga
Danish Open Farum 2002,2002-11-21,STEFANSKA Kinga,JONSSON Susanne,4,2,"10,11,11,9,11,11|12,5,7,11,9,9",3,GRAND_SLAM,WS,1508,Qualification,STEFANSKA Kinga (POL),JONSSON Susanne (SWE),STEFANSKA Kinga
Danish Open Farum 2002,2002-11-21,ZHAO Danni,GOLIC Biljana,4,1,"11,9,11,12,11|6,11,9,10,3",,GRAND_SLAM,WS,1508,Qualification,ZHAO Danni (SGP),GOLIC Biljana (SRB),ZHAO Danni
Danish Open Farum 2002,2002-11-21,ZHAO Danni,WANG Yu (YOB=1981),4,3,"5,7,11,11,10,11,11|11,11,3,9,12,4,8",QR2,GRAND_SLAM,WS,1508,Qualification,ZHAO Danni (SGP),WANG Yu (YOB=1981) (ITA),ZHAO Danni
Danish Open Farum 2002,2002-11-21,GOLIC Biljana,WANG Yu (YOB=1981),4,3,"12,6,11,7,9,11,11|10,11,9,11,11,9,7",3,GRAND_SLAM,WS,1508,Qualification,GOLIC Biljana (SRB),WANG Yu (YOB=1981) (ITA),GOLIC Biljana
Danish Open Farum 2002,2002-11-21,SUK Solji,JOHANSSON Frida,4,1,"11,11,11,5,11|7,5,5,11,5",,GRAND_SLAM,WS,1508,Qualification,SUK Solji (KOR),JOHANSSON Frida (SWE),SUK Solji
Danish Open Farum 2002,2002-11-21,COSTES Agathe,JOHANSSON Frida,4,0,"11,11,11,11|9,3,9,3",QR2,GRAND_SLAM,WS,1508,Qualification,COSTES Agathe (FRA),JOHANSSON Frida (SWE),COSTES Agathe
Danish Open Farum 2002,2002-11-21,COSTES Agathe,SUK Solji,4,1,"11,11,9,11,12|9,9,11,8,10",3,GRAND_SLAM,WS,1508,Qualification,COSTES Agathe (FRA),SUK Solji (KOR),COSTES Agathe
Danish Open Farum 2002,2002-11-21,LEGAY Solene,BOMANN Anne-Cathrine,4,0,"11,11,11,11|5,5,4,3",,GRAND_SLAM,WS,1508,Qualification,LEGAY Solene (FRA),BOMANN Anne-Cathrine (DEN),LEGAY Solene
Danish Open Farum 2002,2002-11-21,LEE Hyangmi,BOMANN Anne-Cathrine,4,0,"11,11,11,11|5,2,6,2",QR2,GRAND_SLAM,WS,1508,Qualification,LEE Hyangmi (KOR),BOMANN Anne-Cathrine (DEN),LEE Hyangmi
Danish Open Farum 2002,2002-11-21,LEE Hyangmi,LEGAY Solene,4,1,"12,11,12,8,11|10,2,10,11,3",3,GRAND_SLAM,WS,1508,Qualification,LEE Hyangmi (KOR),LEGAY Solene (FRA),LEE Hyangmi
Danish Open Farum 2002,2002-11-21,DEMIENOVA Zuzana,CAHOREAU Nathalie,4,3,"11,11,11,9,9,2,11|7,3,4,11,11,11,6",,GRAND_SLAM,WS,1508,Qualification,DEMIENOVA Zuzana (SVK),CAHOREAU Nathalie (FRA),DEMIENOVA Zuzana
Danish Open Farum 2002,2002-11-21,RATHER Jasna,CAHOREAU Nathalie,4,2,"8,5,11,11,11,11|11,11,8,5,7,6",QR2,GRAND_SLAM,WS,1508,Qualification,RATHER Jasna (USA),CAHOREAU Nathalie (FRA),RATHER Jasna
Danish Open Farum 2002,2002-11-21,DEMIENOVA Zuzana,RATHER Jasna,4,1,"11,11,11,10,11|8,1,8,12,6",3,GRAND_SLAM,WS,1508,Qualification,DEMIENOVA Zuzana (SVK),RATHER Jasna (USA),DEMIENOVA Zuzana
Danish Open Farum 2002,2002-11-21,TAN Wenling,HALAS Helena,4,1,"11,11,11,10,11|7,3,7,12,8",,GRAND_SLAM,WS,1508,Qualification,TAN Wenling (ITA),HALAS Helena (SLO),TAN Wenling
Danish Open Farum 2002,2002-11-21,TAN Wenling,HIRANO Sayaka,4,1,"6,11,11,11,11|11,5,9,1,7",QR2,GRAND_SLAM,WS,1508,Qualification,TAN Wenling (ITA),HIRANO Sayaka (JPN),TAN Wenling
Danish Open Farum 2002,2002-11-21,HIRANO Sayaka,HALAS Helena,4,2,"11,11,14,2,11,18|4,13,12,11,6,16",3,GRAND_SLAM,WS,1508,Qualification,HIRANO Sayaka (JPN),HALAS Helena (SLO),HIRANO Sayaka
Danish Open Farum 2002,2002-11-21,ZHANG Yining,TAN Wenling,4,0,"11,12,11,11|8,10,7,8",R64,GRAND_SLAM,WS,1508,Main Draw,ZHANG Yining (CHN),TAN Wenling (ITA),ZHANG Yining
Danish Open Farum 2002,2002-11-21,NEMES Olga,DING Yan,4,1,"11,11,12,11,11|9,4,14,6,5",R64,GRAND_SLAM,WS,1508,Main Draw,NEMES Olga (ROU),DING Yan (ITA),NEMES Olga
Danish Open Farum 2002,2002-11-21,HIURA Reiko,NORDENBERG Linda,4,1,"10,11,11,11,11|12,6,8,3,4",R64,GRAND_SLAM,WS,1508,Main Draw,HIURA Reiko (JPN),NORDENBERG Linda (SWE),HIURA Reiko
Danish Open Farum 2002,2002-11-21,HIRANO Sayaka,BATORFI Csilla,4,3,"11,11,6,9,8,11,11|5,8,11,11,11,7,8",R64,GRAND_SLAM,WS,1508,Main Draw,HIRANO Sayaka (JPN),BATORFI Csilla (HUN),HIRANO Sayaka
Danish Open Farum 2002,2002-11-21,FUJINUMA Ai,STEFANOVA Nikoleta,4,2,"11,8,13,7,11,11|9,11,11,11,2,8",R64,GRAND_SLAM,WS,1508,Main Draw,FUJINUMA Ai (JPN),STEFANOVA Nikoleta (ITA),FUJINUMA Ai
Danish Open Farum 2002,2002-11-21,SONG Ah Sim,ZHAO Danni,4,2,"10,10,11,11,11,11|12,12,8,2,5,8",R64,GRAND_SLAM,WS,1508,Main Draw,SONG Ah Sim (HKG),ZHAO Danni (SGP),SONG Ah Sim
Danish Open Farum 2002,2002-11-21,KISHIDA Satoko,JOHANSSON Sandra,4,0,"11,11,11,11|7,7,7,7",R64,GRAND_SLAM,WS,1508,Main Draw,KISHIDA Satoko (JPN),JOHANSSON Sandra (SWE),KISHIDA Satoko
Danish Open Farum 2002,2002-11-21,RYU Jihae,WIGOW Susanna,4,0,"11,14,11,11|7,12,9,5",R64,GRAND_SLAM,WS,1508,Main Draw,RYU Jihae (KOR),WIGOW Susanna (SWE),RYU Jihae
Danish Open Farum 2002,2002-11-21,STEFF Mihaela,GOROWSKA Magdalena,4,0,"11,11,11,11|6,6,3,5",R64,GRAND_SLAM,WS,1508,Main Draw,STEFF Mihaela (ROU),GOROWSKA Magdalena (POL),STEFF Mihaela
Danish Open Farum 2002,2002-11-21,BADESCU Otilia,NEGRISOLI Laura,4,2,"6,11,9,11,11,11|11,7,11,7,4,8",R64,GRAND_SLAM,WS,1508,Main Draw,BADESCU Otilia (ROU),NEGRISOLI Laura (ITA),BADESCU Otilia
Danish Open Farum 2002,2002-11-21,LEE Soyoung,NISHII Yuka,4,3,"11,7,7,11,9,11,11|9,11,11,9,11,6,9",R64,GRAND_SLAM,WS,1508,Main Draw,LEE Soyoung (KOR),NISHII Yuka (JPN),LEE Soyoung
Danish Open Farum 2002,2002-11-21,KIM Kyungah,KRAMER Tanja,4,1,"11,8,11,11,11|7,11,5,5,8",R64,GRAND_SLAM,WS,1508,Main Draw,KIM Kyungah (KOR),KRAMER Tanja (GER),KIM Kyungah
Danish Open Farum 2002,2002-11-21,TOTH Krisztina,RATHER Jasna,4,1,"11,11,10,11,11|6,8,12,7,5",R64,GRAND_SLAM,WS,1508,Main Draw,TOTH Krisztina (HUN),RATHER Jasna (USA),TOTH Krisztina
Danish Open Farum 2002,2002-11-21,FADEEVA Oxana,TASEI Mikie,4,1,"11,11,11,6,11|9,8,7,11,7",R64,GRAND_SLAM,WS,1508,Main Draw,FADEEVA Oxana (RUS),TASEI Mikie (JPN),FADEEVA Oxana
Danish Open Farum 2002,2002-11-21,PASKAUSKIENE Ruta,COSTES Agathe,4,2,"11,7,16,3,15,11|6,11,14,11,13,4",R64,GRAND_SLAM,WS,1508,Main Draw,PASKAUSKIENE Ruta (LTU),COSTES Agathe (FRA),PASKAUSKIENE Ruta
Danish Open Farum 2002,2002-11-21,LIN Ling,GOURIN Anne-Sophie,4,1,"11,11,9,11,12|6,8,11,7,10",R64,GRAND_SLAM,WS,1508,Main Draw,LIN Ling (HKG),GOURIN Anne-Sophie (FRA),LIN Ling
Danish Open Farum 2002,2002-11-21,TIE Yana,SUK Solji,4,3,"9,11,13,11,8,7,11|11,8,11,8,11,11,7",R64,GRAND_SLAM,WS,1508,Main Draw,TIE Yana (HKG),SUK Solji (KOR),TIE Yana
Danish Open Farum 2002,2002-11-21,SUK Eunmi,STEFANSKA Kinga,4,0,"11,11,11,11|5,5,6,7",R64,GRAND_SLAM,WS,1508,Main Draw,SUK Eunmi (KOR),STEFANSKA Kinga (POL),SUK Eunmi
