tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,SATO Hitomi,ANDO Minami,4,1,"11,4,11,11,11|4,11,9,8,7",R16,GRAND_SLAM,WS,2024,Main Draw,SATO Hitomi (JPN),ANDO Minami (JPN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,ISHIKAWA Kasumi,SZOCS Bernadette,4,1,"13,11,11,9,11|11,8,4,11,7",R16,GRAND_SLAM,WS,2024,Main Draw,ISHIKAWA Kasumi (JPN),SZOCS Bernadette (ROU)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,JEON Jihee,HAYATA Hina,4,2,"3,11,11,13,6,11|11,7,9,11,11,7",R16,GRAND_SLAM,WS,2024,Main Draw,HAYATA Hina (JPN),JEON Jihee (KOR)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,CHEN Xingtong,HIRANO Miu,4,0,"11,11,11,11|9,5,3,9",R16,GRAND_SLAM,WS,2024,Main Draw,HIRANO Miu (JPN),CHEN Xingtong (CHN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,HE Zhuojia,MU Zi,4,2,"11,9,11,11,10,11|5,11,7,4,12,9",R16,GRAND_SLAM,WS,2024,Main Draw,MU Zi (CHN),HE Zhuojia (CHN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,JEOUNG Youngsik,XIA Yizheng,3,1,"7,11,13,11|11,6,11,8",SemiFinal,GRAND_SLAM,MD,2024,Main Draw,XIA Yizheng (CHN),JEOUNG Youngsik (KOR)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,UDA Yukiya,ALAMIAN Nima,3,0,"11,11,11|6,4,6",SemiFinal,GRAND_SLAM,MD,2024,Main Draw,UDA Yukiya (JPN),ALAMIAN Nima (IRI)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,HIRANO Miu,CHEN Xingtong,3,1,"11,5,11,11|3,11,6,8",SemiFinal,GRAND_SLAM,WD,2024,Main Draw,CHEN Xingtong (CHN),HIRANO Miu (JPN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,GU Yuting,POLCANOVA Sofia,3,1,"8,12,13,11|11,10,11,5",SemiFinal,GRAND_SLAM,WD,2024,Main Draw,GU Yuting (CHN),POLCANOVA Sofia (AUT)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,ZHAO Zihao,JORGIC Darko,4,2,"11,11,11,7,13,11|6,6,7,11,15,8",R16,GRAND_SLAM,MS,2024,Main Draw,JORGIC Darko (SLO),ZHAO Zihao (CHN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,CHUANG Chih-Yuan,PITCHFORD Liam,4,3,"5,11,11,8,11,7,11|11,9,9,11,8,11,5",R16,GRAND_SLAM,MS,2024,Main Draw,PITCHFORD Liam (ENG),CHUANG Chih-Yuan (TPE)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,ARUNA Quadri,WONG Chun Ting,4,3,"11,11,4,3,11,5,11|9,9,11,11,9,11,5",R16,GRAND_SLAM,MS,2024,Main Draw,ARUNA Quadri (NGR),WONG Chun Ting (HKG)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,JIN Takuya,TANAKA Yuta,4,3,"12,9,10,11,14,9,11|10,11,12,7,12,11,6",R16,GRAND_SLAM,MS,2024,Main Draw,JIN Takuya (JPN),TANAKA Yuta (JPN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,MIZUTANI Jun,HARIMOTO Tomokazu,3,0,"11,11,11|2,3,6",SemiFinal,GRAND_SLAM,XD,2024,Main Draw,HARIMOTO Tomokazu (JPN),MIZUTANI Jun (JPN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,MA Te,IONESCU Ovidiu,3,1,"11,11,7,11|4,3,11,5",SemiFinal,GRAND_SLAM,XD,2024,Main Draw,MA Te (CHN),IONESCU Ovidiu (ROU)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,OVTCHAROV Dimitrij,FILUS Ruwen,4,0,"11,11,11,11|8,7,8,7",R16,GRAND_SLAM,MS,2024,Main Draw,FILUS Ruwen (GER),OVTCHAROV Dimitrij (GER)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,FREITAS Marcos,PUCAR Tomislav,4,0,"0,0,0,0|0,0,0,0",R16,GRAND_SLAM,MS,2024,Main Draw,PUCAR Tomislav (CRO),FREITAS Marcos (POR)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,HARIMOTO Tomokazu,CHEN Chien-An,4,2,"11,11,8,8,11,11|8,5,11,11,2,6",R16,GRAND_SLAM,MS,2024,Main Draw,HARIMOTO Tomokazu (JPN),CHEN Chien-An (TPE)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,MIZUTANI Jun,MACHI Asuka,4,0,"0,0,0,0|0,0,0,0",R16,GRAND_SLAM,MS,2024,Main Draw,MIZUTANI Jun (JPN),MACHI Asuka (JPN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,HE Zhuojia,ISHIKAWA Kasumi,4,0,"12,11,11,11|10,5,9,4",QuarterFinal,GRAND_SLAM,WS,2024,Main Draw,ISHIKAWA Kasumi (JPN),HE Zhuojia (CHN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,WU Yang,SATO Hitomi,4,0,"0,0,0,0|0,0,0,0",QuarterFinal,GRAND_SLAM,WS,2024,Main Draw,SATO Hitomi (JPN),WU Yang (CHN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,ITO Mima,YU Mengyu,4,1,"11,11,6,11,11|5,8,11,6,8",QuarterFinal,GRAND_SLAM,WS,2024,Main Draw,YU Mengyu (SGP),ITO Mima (JPN)
