tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF European Championships Budapest 2016,2016-10-18,OVTCHAROV Dimitrij,DURAN Marc,4,0,"11,11,11,13|6,9,3,11",R64,OTHER,MS,376,Main Draw,OVTCHAROV Dimitrij (GER),DURAN Marc (ESP),OVTCHAROV Dimitrij
ITTF European Championships Budapest 2016,2016-10-18,YU Fu,MATELOVA Hana,4,3,"9,12,4,7,11,11,13|11,10,11,11,4,5,11",R32,OTHER,WS,376,Main Draw,MATELOVA Hana (CZE),YU Fu (POR),YU Fu
ITTF European Championships Budapest 2016,2016-10-18,DOLGIKH Maria,LI Fen,4,3,"5,11,12,6,8,11,11|11,9,10,11,11,7,6",R32,OTHER,WS,376,Main Draw,LI Fen (SWE),DOLGIKH Maria (RUS),DOLGIKH Maria
ITTF European Championships Budapest 2016,2016-10-18,SOLJA Petrissa,VARADY Barbora,4,0,"11,11,11,11|5,5,7,1",R32,OTHER,WS,376,Main Draw,VARADY Barbora (SVK),SOLJA Petrissa (GER),SOLJA Petrissa
ITTF European Championships Budapest 2016,2016-10-18,HAN Ying,DODEAN Daniela,4,1,"11,11,7,14,12|3,3,11,12,10",R16,OTHER,WS,376,Main Draw,HAN Ying (GER),DODEAN Daniela (ROU),HAN Ying
ITTF European Championships Budapest 2016,2016-10-18,HU Melek,MIKHAILOVA Polina,4,2,"7,9,11,11,11,11|11,11,5,4,9,9",R16,OTHER,WS,376,Main Draw,MIKHAILOVA Polina (RUS),HU Melek (TUR),HU Melek
ITTF European Championships Budapest 2016,2016-10-18,LI Jie,PAVLOVICH Viktoria,4,0,"11,11,11,11|6,8,3,8",R16,OTHER,WS,376,Main Draw,LI Jie (NED),PAVLOVICH Viktoria (BLR),LI Jie
ITTF European Championships Budapest 2016,2016-10-18,EKHOLM Matilda,SHAN Xiaona,4,2,"11,6,5,11,11,11|7,11,11,8,6,5",R16,OTHER,WS,376,Main Draw,EKHOLM Matilda (SWE),SHAN Xiaona (GER),EKHOLM Matilda
ITTF European Championships Budapest 2016,2016-10-18,LANG Kristin,NI Xia Lian,4,3,"6,7,11,8,11,11,11|11,11,8,11,2,9,7",R16,OTHER,WS,376,Main Draw,LANG Kristin (GER),NI Xia Lian (LUX),LANG Kristin
ITTF European Championships Budapest 2016,2016-10-18,SAMARA Elizabeta,WINTER Sabine,4,1,"10,11,11,11,11|12,5,9,8,9",R16,OTHER,WS,376,Main Draw,WINTER Sabine (GER),SAMARA Elizabeta (ROU),SAMARA Elizabeta
ITTF European Championships Budapest 2016,2016-10-18,YU Fu,POTA Georgina,4,3,"5,2,11,7,11,11,11|11,11,5,11,5,2,7",R16,OTHER,WS,376,Main Draw,POTA Georgina (HUN),YU Fu (POR),YU Fu
ITTF European Championships Budapest 2016,2016-10-18,SOLJA Petrissa,DOLGIKH Maria,4,0,"11,11,11,11|3,4,7,1",R16,OTHER,WS,376,Main Draw,DOLGIKH Maria (RUS),SOLJA Petrissa (GER),SOLJA Petrissa
ITTF European Championships Budapest 2016,2016-10-18,HU Melek,HAN Ying,4,2,"11,9,11,11,8,11|7,11,9,8,11,9",QF,OTHER,WS,376,Main Draw,HAN Ying (GER),HU Melek (TUR),HU Melek
ITTF European Championships Budapest 2016,2016-10-18,LI Jie,EKHOLM Matilda,4,3,"16,14,9,4,13,11,11|14,16,11,11,11,7,6",QF,OTHER,WS,376,Main Draw,LI Jie (NED),EKHOLM Matilda (SWE),LI Jie
ITTF European Championships Budapest 2016,2016-10-18,SAMARA Elizabeta,LANG Kristin,4,2,"5,11,11,11,15,13|11,13,9,7,13,11",QF,OTHER,WS,376,Main Draw,LANG Kristin (GER),SAMARA Elizabeta (ROU),SAMARA Elizabeta
ITTF European Championships Budapest 2016,2016-10-18,YU Fu,SOLJA Petrissa,4,3,"11,11,11,9,8,9,11|8,9,7,11,11,11,5",QF,OTHER,WS,376,Main Draw,YU Fu (POR),SOLJA Petrissa (GER),YU Fu
ITTF European Championships Budapest 2016,2016-10-18,HU Melek,LI Jie,4,0,"11,11,11,11|5,3,3,6",SF,OTHER,WS,376,Main Draw,HU Melek (TUR),LI Jie (NED),HU Melek
ITTF European Championships Budapest 2016,2016-10-18,YU Fu,SAMARA Elizabeta,4,3,"11,10,11,11,12,11,11|8,12,5,13,14,8,8",SF,OTHER,WS,376,Main Draw,SAMARA Elizabeta (ROU),YU Fu (POR),YU Fu
ITTF European Championships Budapest 2016,2016-10-18,HU Melek,YU Fu,4,1,"11,11,11,10,11|3,2,4,12,7",F,OTHER,WS,376,Main Draw,HU Melek (TUR),YU Fu (POR),HU Melek
ITTF European Championships Budapest 2016,2016-10-18,GRZYBOWSKA-FRANC Katarzyna/PARTYKA Natalia,MISCHEK-COLUCCI Karoline/SOLJA Amelie,4,2,"11,11,11,8,6,11|3,3,8,11,11,8",R32,OTHER,WD,376,Main Draw,GRZYBOWSKA-FRANC Katarzyna (POL) / PARTYKA Natalia (POL),MISCHEK-COLUCCI Karoline (AUT) / SOLJA Amelie (AUT),GRZYBOWSKA-FRANC Katarzyna
ITTF European Championships Budapest 2016,2016-10-18,GUISNEL Oceane/LOEUILLETTE Stephanie,LI Qiangbing/POLCANOVA Sofia,4,2,"3,11,13,12,4,11|11,5,11,10,11,8",R32,OTHER,WD,376,Main Draw,GUISNEL Oceane (FRA) / LOEUILLETTE Stephanie (FRA),LI Qiangbing (AUT) / POLCANOVA Sofia (AUT),GUISNEL Oceane
ITTF European Championships Budapest 2016,2016-10-18,DVORAK Galia/XIAO Maria,DENG Simeng/ZHOU Chuyi,4,0,"11,11,11,13|8,9,9,11",R32,OTHER,WD,376,Main Draw,DVORAK Galia (ESP) / XIAO Maria (ESP),DENG Simeng (AZE) / ZHOU Chuyi (AZE),DVORAK Galia
ITTF European Championships Budapest 2016,2016-10-18,GIONIS Panagiotis/WANG Yang,DEVOS Robin/NUYTINCK Cedric,4,2,"7,11,11,15,11,11|11,2,13,13,5,7",R32,OTHER,MD,376,Main Draw,GIONIS Panagiotis (GRE) / WANG Yang (SVK),DEVOS Robin (BEL) / NUYTINCK Cedric (BEL),GIONIS Panagiotis
ITTF European Championships Budapest 2016,2016-10-18,FRANZISKA Patrick/GROTH Jonathan,PLATONOV Pavel/SAMSONOV Vladimir,4,0,"11,14,11,11|9,12,6,4",R16,OTHER,MD,376,Main Draw,FRANZISKA Patrick (GER) / GROTH Jonathan (DEN),PLATONOV Pavel (BLR) / SAMSONOV Vladimir (BLR),FRANZISKA Patrick
ITTF European Championships Budapest 2016,2016-10-18,RAMIREZ Sara/ZHANG Sofia-Xuan,BILENKO Tetyana/PAVLOVICH Viktoria,4,2,"11,11,12,10,7,11|9,5,10,12,11,7",R32,OTHER,WD,376,Main Draw,RAMIREZ Sara (ESP) / ZHANG Sofia-Xuan (ESP),BILENKO Tetyana (UKR) / PAVLOVICH Viktoria (BLR),RAMIREZ Sara
ITTF European Championships Budapest 2016,2016-10-18,TROMER Laurens/EERLAND Britt,NAGY Krisztian/PAVLOVIC Andrea,3,2,"8,11,16,11,11|11,4,18,6,6",R32,OTHER,XD,376,Main Draw,TROMER Laurens (NED) / EERLAND Britt (NED),NAGY Krisztian (HUN) / PAVLOVIC Andrea (CRO),TROMER Laurens
ITTF European Championships Budapest 2016,2016-10-18,KOU Lei/LI Ahmet,KONECNY Tomas/PROKOPCOV Dmitrij,4,0,"11,11,11,12|4,4,9,10",R32,OTHER,MD,376,Main Draw,KOU Lei (UKR) / LI Ahmet (TUR),KONECNY Tomas (CZE) / PROKOPCOV Dmitrij (CZE),KOU Lei
ITTF European Championships Budapest 2016,2016-10-18,SHAN Xiaona/SOLJA Petrissa,VARADY Barbora/MATELOVA Hana,4,3,"4,11,9,9,11,11,11|11,6,11,11,7,8,8",QF,OTHER,WD,376,Main Draw,SHAN Xiaona (GER) / SOLJA Petrissa (GER),VARADY Barbora (SVK) / MATELOVA Hana (CZE),SHAN Xiaona
ITTF European Championships Budapest 2016,2016-10-18,GIONIS Panagiotis/BILENKO Tetyana,KONECNY Tomas/MATELOVA Hana,3,1,"16,11,9,11|14,8,11,7",R16,OTHER,XD,376,Main Draw,GIONIS Panagiotis (GRE) / BILENKO Tetyana (UKR),KONECNY Tomas (CZE) / MATELOVA Hana (CZE),GIONIS Panagiotis
ITTF European Championships Budapest 2016,2016-10-18,FRANZISKA Patrick/GROTH Jonathan,KARLSSON Kristian/KARLSSON Mattias,4,1,"11,11,11,11,13|4,6,6,13,11",SF,OTHER,MD,376,Main Draw,FRANZISKA Patrick (GER) / GROTH Jonathan (DEN),KARLSSON Kristian (SWE) / KARLSSON Mattias (SWE),FRANZISKA Patrick
ITTF European Championships Budapest 2016,2016-10-18,FRANZISKA Patrick/GROTH Jonathan,DYJAS Jakub/GORAK Daniel,4,2,"4,11,11,7,11,12|11,4,5,11,7,10",F,OTHER,MD,376,Main Draw,FRANZISKA Patrick (GER) / GROTH Jonathan (DEN),DYJAS Jakub (POL) / GORAK Daniel (POL),FRANZISKA Patrick
ITTF European Championships Budapest 2016,2016-10-18,DRINKHALL Paul/PITCHFORD Liam,ECSEKI Nandor/MAJOROS Bence,4,2,"9,11,11,9,11,11|11,7,8,11,9,7",R32,OTHER,MD,376,Main Draw,DRINKHALL Paul (ENG) / PITCHFORD Liam (ENG),ECSEKI Nandor (HUN) / MAJOROS Bence (HUN),DRINKHALL Paul
ITTF European Championships Budapest 2016,2016-10-18,DYJAS Jakub/GORAK Daniel,SZOCS Hunor/WALKER Samuel,4,1,"12,9,12,11,11|10,11,10,3,5",R32,OTHER,MD,376,Main Draw,DYJAS Jakub (POL) / GORAK Daniel (POL),SZOCS Hunor (ROU) / WALKER Samuel (ENG),DYJAS Jakub
ITTF European Championships Budapest 2016,2016-10-18,DYJAS Jakub/GORAK Daniel,DRINKHALL Paul/PITCHFORD Liam,4,2,"9,11,6,11,11,11|11,3,11,5,5,3",R16,OTHER,MD,376,Main Draw,DYJAS Jakub (POL) / GORAK Daniel (POL),DRINKHALL Paul (ENG) / PITCHFORD Liam (ENG),DYJAS Jakub
ITTF European Championships Budapest 2016,2016-10-18,PITCHFORD Liam/HO Tin-Tin,GERALDO Joao/YU Fu,3,2,"6,7,11,11,11|11,11,6,8,8",R32,OTHER,XD,376,Main Draw,PITCHFORD Liam (ENG) / HO Tin-Tin (ENG),GERALDO Joao (POR) / YU Fu (POR),PITCHFORD Liam
ITTF European Championships Budapest 2016,2016-10-18,KONECNY Tomas/MATELOVA Hana,DRINKHALL Paul/SIBLEY Kelly,3,0,,R32,OTHER,XD,376,Main Draw,KONECNY Tomas (CZE) / MATELOVA Hana (CZE),DRINKHALL Paul (ENG) / SIBLEY Kelly (ENG),KONECNY Tomas
ITTF European Championships Budapest 2016,2016-10-18,KARLSSON Mattias/EKHOLM Matilda,PITCHFORD Liam/HO Tin-Tin,3,0,"11,14,11|9,12,8",QF,OTHER,XD,376,Main Draw,KARLSSON Mattias (SWE) / EKHOLM Matilda (SWE),PITCHFORD Liam (ENG) / HO Tin-Tin (ENG),KARLSSON Mattias
ITTF European Championships Budapest 2016,2016-10-18,KARLSSON Kristian/KARLSSON Mattias,CANTERO Jesus/MACHADO Carlos,4,2,"11,6,11,9,11,11|3,11,4,11,8,9",R32,OTHER,MD,376,Main Draw,KARLSSON Kristian (SWE) / KARLSSON Mattias (SWE),CANTERO Jesus (ESP) / MACHADO Carlos (ESP),KARLSSON Kristian
ITTF European Championships Budapest 2016,2016-10-18,JEVTOVIC Marko/PETO Zsolt,KOJIC Frane/ROBLES Alvaro,4,0,"11,11,18,11|9,8,16,6",R32,OTHER,MD,376,Main Draw,JEVTOVIC Marko (SRB) / PETO Zsolt (SRB),KOJIC Frane (CRO) / ROBLES Alvaro (ESP),JEVTOVIC Marko
ITTF European Championships Budapest 2016,2016-10-18,NOSKOVA Yana/PROKHOROVA Yulia,RAMIREZ Sara/ZHANG Sofia-Xuan,4,1,"11,13,11,11,11|13,11,8,7,7",R16,OTHER,WD,376,Main Draw,NOSKOVA Yana (RUS) / PROKHOROVA Yulia (RUS),RAMIREZ Sara (ESP) / ZHANG Sofia-Xuan (ESP),NOSKOVA Yana
ITTF European Championships Budapest 2016,2016-10-18,CANTERO Jesus/XIAO Maria,GARDOS Robert/LIU Jia,3,1,"11,5,11,18|6,11,9,16",R32,OTHER,XD,376,Main Draw,CANTERO Jesus (ESP) / XIAO Maria (ESP),GARDOS Robert (AUT) / LIU Jia (AUT),CANTERO Jesus
ITTF European Championships Budapest 2016,2016-10-18,FRANZISKA Patrick/GROTH Jonathan,DURAN Marc/OLAH Benedek,4,1,"12,11,11,8,11|10,8,4,11,4",R32,OTHER,MD,376,Main Draw,FRANZISKA Patrick (GER) / GROTH Jonathan (DEN),DURAN Marc (ESP) / OLAH Benedek (FIN),FRANZISKA Patrick
ITTF European Championships Budapest 2016,2016-10-18,DUDA Benedikt/MENGEL Steffen,BROSSIER Benjamin/GAUZY Simon,4,0,"11,11,11,11|6,6,7,7",R32,OTHER,MD,376,Main Draw,DUDA Benedikt (GER) / MENGEL Steffen (GER),BROSSIER Benjamin (FRA) / GAUZY Simon (FRA),DUDA Benedikt
ITTF European Championships Budapest 2016,2016-10-18,SHAN Xiaona/SOLJA Petrissa,GUISNEL Oceane/LOEUILLETTE Stephanie,4,1,"11,11,8,11,15|5,4,11,6,13",R16,OTHER,WD,376,Main Draw,SHAN Xiaona (GER) / SOLJA Petrissa (GER),GUISNEL Oceane (FRA) / LOEUILLETTE Stephanie (FRA),SHAN Xiaona
ITTF European Championships Budapest 2016,2016-10-18,GERELL Par/KALLBERG Anton,DUDA Benedikt/MENGEL Steffen,4,0,"11,11,11,11|9,5,9,5",R16,OTHER,MD,376,Main Draw,GERELL Par (SWE) / KALLBERG Anton (SWE),DUDA Benedikt (GER) / MENGEL Steffen (GER),GERELL Par
ITTF European Championships Budapest 2016,2016-10-18,LANG Kristin/WINTER Sabine,LUPULESKU Izabela/TRIGOLOS Daria,4,0,"11,11,11,12|5,8,3,10",R32,OTHER,WD,376,Main Draw,LANG Kristin (GER) / WINTER Sabine (GER),LUPULESKU Izabela (SRB) / TRIGOLOS Daria (BLR),LANG Kristin
ITTF European Championships Budapest 2016,2016-10-18,LANG Kristin/WINTER Sabine,DVORAK Galia/XIAO Maria,4,1,"11,11,11,10,11|9,9,8,12,6",R16,OTHER,WD,376,Main Draw,LANG Kristin (GER) / WINTER Sabine (GER),DVORAK Galia (ESP) / XIAO Maria (ESP),LANG Kristin
ITTF European Championships Budapest 2016,2016-10-18,LANG Kristin/WINTER Sabine,GALIC Alex/MORET Rachel,4,1,"11,11,11,9,11|1,9,9,11,3",QF,OTHER,WD,376,Main Draw,LANG Kristin (GER) / WINTER Sabine (GER),GALIC Alex (SLO) / MORET Rachel (SUI),LANG Kristin
ITTF European Championships Budapest 2016,2016-10-18,LANG Kristin/WINTER Sabine,SHAN Xiaona/SOLJA Petrissa,4,3,"12,8,11,11,2,7,11|10,11,8,8,11,11,9",F,OTHER,WD,376,Main Draw,LANG Kristin (GER) / WINTER Sabine (GER),SHAN Xiaona (GER) / SOLJA Petrissa (GER),LANG Kristin
ITTF European Championships Budapest 2016,2016-10-18,KARLSSON Mattias/EKHOLM Matilda,DUDA Benedikt/WINTER Sabine,3,0,"11,11,11|7,9,6",R32,OTHER,XD,376,Main Draw,KARLSSON Mattias (SWE) / EKHOLM Matilda (SWE),DUDA Benedikt (GER) / WINTER Sabine (GER),KARLSSON Mattias
ITTF European Championships Budapest 2016,2016-10-18,MENGEL Steffen/LANG Kristin,KODJABASHEV Denislav/YOVKOVA Maria,3,0,"11,11,11|6,6,4",R32,OTHER,XD,376,Main Draw,MENGEL Steffen (GER) / LANG Kristin (GER),KODJABASHEV Denislav (BUL) / YOVKOVA Maria (BUL),MENGEL Steffen
ITTF European Championships Budapest 2016,2016-10-18,CANTERO Jesus/XIAO Maria,MENGEL Steffen/LANG Kristin,3,0,"11,11,11|7,7,5",R16,OTHER,XD,376,Main Draw,CANTERO Jesus (ESP) / XIAO Maria (ESP),MENGEL Steffen (GER) / LANG Kristin (GER),CANTERO Jesus
ITTF European Championships Budapest 2016,2016-10-18,EKHOLM Matilda/POTA Georgina,CAREY Charlotte/TROSMAN Nicole,4,0,"11,11,11,11|6,3,3,6",R32,OTHER,WD,376,Main Draw,EKHOLM Matilda (SWE) / POTA Georgina (HUN),CAREY Charlotte (WAL) / TROSMAN Nicole (ISR),EKHOLM Matilda
ITTF European Championships Budapest 2016,2016-10-18,VARADY Barbora/MATELOVA Hana,EKHOLM Matilda/POTA Georgina,4,2,"7,11,13,11,6,11|11,5,11,6,11,7",R16,OTHER,WD,376,Main Draw,VARADY Barbora (SVK) / MATELOVA Hana (CZE),EKHOLM Matilda (SWE) / POTA Georgina (HUN),VARADY Barbora
ITTF European Championships Budapest 2016,2016-10-18,LANG Kristin/WINTER Sabine,MADARASZ Dora/PERGEL Szandra,4,3,"7,8,11,6,11,11,11|11,11,8,11,8,6,9",SF,OTHER,WD,376,Main Draw,LANG Kristin (GER) / WINTER Sabine (GER),MADARASZ Dora (HUN) / PERGEL Szandra (HUN),LANG Kristin
ITTF European Championships Budapest 2016,2016-10-18,SZUDI Adam/PERGEL Szandra,CHEN Weixing/POLCANOVA Sofia,3,2,"11,11,9,9,11|3,6,11,11,4",R32,OTHER,XD,376,Main Draw,SZUDI Adam (HUN) / PERGEL Szandra (HUN),CHEN Weixing (AUT) / POLCANOVA Sofia (AUT),SZUDI Adam
ITTF European Championships Budapest 2016,2016-10-18,OLAH Benedek/POTA Georgina,BROSSIER Benjamin/LOEUILLETTE Stephanie,3,1,"11,11,9,11|8,9,11,8",R32,OTHER,XD,376,Main Draw,OLAH Benedek (FIN) / POTA Georgina (HUN),BROSSIER Benjamin (FRA) / LOEUILLETTE Stephanie (FRA),OLAH Benedek
ITTF European Championships Budapest 2016,2016-10-18,OLAH Benedek/POTA Georgina,LI Ahmet/HU Melek,3,2,"11,11,5,4,11|3,8,11,11,9",R16,OTHER,XD,376,Main Draw,OLAH Benedek (FIN) / POTA Georgina (HUN),LI Ahmet (TUR) / HU Melek (TUR),OLAH Benedek
ITTF European Championships Budapest 2016,2016-10-18,IONESCU Ovidiu/SZOCS Bernadette,STOYANOV Niagol/VIVARELLI Debora,3,0,"11,11,11|7,5,9",R16,OTHER,XD,376,Main Draw,IONESCU Ovidiu (ROU) / SZOCS Bernadette (ROU),STOYANOV Niagol (ITA) / VIVARELLI Debora (ITA),IONESCU Ovidiu
ITTF European Championships Budapest 2016,2016-10-18,SHAO Jieni/YU Fu,PASKAUSKIENE Ruta/STUCKYTE Egle,4,0,"11,11,11,11|7,1,7,7",R32,OTHER,WD,376,Main Draw,SHAO Jieni (POR) / YU Fu (POR),PASKAUSKIENE Ruta (LTU) / STUCKYTE Egle (LTU),SHAO Jieni
ITTF European Championships Budapest 2016,2016-10-18,KARAKASEVIC Aleksandar/PASKAUSKIENE Ruta,SKACHKOV Kirill/ODOROVA Eva,3,1,"11,11,9,11|9,7,11,6",R32,OTHER,XD,376,Main Draw,KARAKASEVIC Aleksandar (SRB) / PASKAUSKIENE Ruta (LTU),SKACHKOV Kirill (RUS) / ODOROVA Eva (SVK),KARAKASEVIC Aleksandar
ITTF European Championships Budapest 2016,2016-10-18,KARAKASEVIC Aleksandar/PASKAUSKIENE Ruta,SZUDI Adam/PERGEL Szandra,3,2,"13,5,11,11,11|15,11,7,7,7",R16,OTHER,XD,376,Main Draw,KARAKASEVIC Aleksandar (SRB) / PASKAUSKIENE Ruta (LTU),SZUDI Adam (HUN) / PERGEL Szandra (HUN),KARAKASEVIC Aleksandar
ITTF European Championships Budapest 2016,2016-10-18,KARAKASEVIC Aleksandar/PASKAUSKIENE Ruta,OLAH Benedek/POTA Georgina,3,1,"11,11,6,11|6,1,11,8",QF,OTHER,XD,376,Main Draw,KARAKASEVIC Aleksandar (SRB) / PASKAUSKIENE Ruta (LTU),OLAH Benedek (FIN) / POTA Georgina (HUN),KARAKASEVIC Aleksandar
ITTF European Championships Budapest 2016,2016-10-18,KARLSSON Mattias/EKHOLM Matilda,KARAKASEVIC Aleksandar/PASKAUSKIENE Ruta,3,1,"11,8,14,11|9,11,12,9",SF,OTHER,XD,376,Main Draw,KARLSSON Mattias (SWE) / EKHOLM Matilda (SWE),KARAKASEVIC Aleksandar (SRB) / PASKAUSKIENE Ruta (LTU),KARLSSON Mattias
ITTF European Championships Budapest 2016,2016-10-18,MADARASZ Dora/PERGEL Szandra,DE NUTTE Sarah/NI Xia Lian,4,3,"11,13,11,12,9,4,11|13,11,8,10,11,11,9",QF,OTHER,WD,376,Main Draw,MADARASZ Dora (HUN) / PERGEL Szandra (HUN),DE NUTTE Sarah (LUX) / NI Xia Lian (LUX),MADARASZ Dora
ITTF European Championships Budapest 2016,2016-10-18,IONESCU Ovidiu/SZOCS Bernadette,GLOD Eric/DE NUTTE Sarah,3,0,"11,11,11|8,4,7",R32,OTHER,XD,376,Main Draw,IONESCU Ovidiu (ROU) / SZOCS Bernadette (ROU),GLOD Eric (LUX) / DE NUTTE Sarah (LUX),IONESCU Ovidiu
ITTF European Championships Budapest 2016,2016-10-18,FLORE Tristan/LEBESSON Emmanuel,LEWANDOWSKI Tomasz/ZATOWKA Patryk,4,2,"11,13,11,6,9,16|8,11,7,11,11,14",R32,OTHER,MD,376,Main Draw,FLORE Tristan (FRA) / LEBESSON Emmanuel (FRA),LEWANDOWSKI Tomasz (POL) / ZATOWKA Patryk (POL),FLORE Tristan
ITTF European Championships Budapest 2016,2016-10-18,DYJAS Jakub/GORAK Daniel,APOLONIA Tiago/GERALDO Joao,4,2,"11,12,9,7,11,11|9,10,11,11,6,9",SF,OTHER,MD,376,Main Draw,DYJAS Jakub (POL) / GORAK Daniel (POL),APOLONIA Tiago (POR) / GERALDO Joao (POR),DYJAS Jakub
ITTF European Championships Budapest 2016,2016-10-18,NOSKOVA Yana/PROKHOROVA Yulia,BAJOR Natalia/KUSINSKA Klaudia,4,0,"11,11,11,11|7,6,7,5",R32,OTHER,WD,376,Main Draw,NOSKOVA Yana (RUS) / PROKHOROVA Yulia (RUS),BAJOR Natalia (POL) / KUSINSKA Klaudia (POL),NOSKOVA Yana
ITTF European Championships Budapest 2016,2016-10-18,DYJAS Jakub/GRZYBOWSKA-FRANC Katarzyna,ROBLES Alvaro/DVORAK Galia,3,0,"11,12,11|3,10,5",R32,OTHER,XD,376,Main Draw,DYJAS Jakub (POL) / GRZYBOWSKA-FRANC Katarzyna (POL),ROBLES Alvaro (ESP) / DVORAK Galia (ESP),DYJAS Jakub
ITTF European Championships Budapest 2016,2016-10-18,KARLSSON Mattias/EKHOLM Matilda,DYJAS Jakub/GRZYBOWSKA-FRANC Katarzyna,3,0,"12,11,11|10,4,8",R16,OTHER,XD,376,Main Draw,KARLSSON Mattias (SWE) / EKHOLM Matilda (SWE),DYJAS Jakub (POL) / GRZYBOWSKA-FRANC Katarzyna (POL),KARLSSON Mattias
ITTF European Championships Budapest 2016,2016-10-18,FEGERL Stefan/MONTEIRO Joao,GOMMERS Rajko/OOSTWOUDER Ewout,4,1,"7,11,11,11,11|11,8,4,9,9",R32,OTHER,MD,376,Main Draw,FEGERL Stefan (AUT) / MONTEIRO Joao (POR),GOMMERS Rajko (NED) / OOSTWOUDER Ewout (NED),FEGERL Stefan
ITTF European Championships Budapest 2016,2016-10-18,FEGERL Stefan/MONTEIRO Joao,LAKATOS Tamas/SZUDI Adam,4,2,"12,12,11,11,9,12|10,14,7,8,11,10",R16,OTHER,MD,376,Main Draw,FEGERL Stefan (AUT) / MONTEIRO Joao (POR),LAKATOS Tamas (HUN) / SZUDI Adam (HUN),FEGERL Stefan
ITTF European Championships Budapest 2016,2016-10-18,FRANZISKA Patrick/GROTH Jonathan,FEGERL Stefan/MONTEIRO Joao,4,3,"11,12,9,11,14,8,11|6,10,11,3,16,11,3",QF,OTHER,MD,376,Main Draw,FRANZISKA Patrick (GER) / GROTH Jonathan (DEN),FEGERL Stefan (AUT) / MONTEIRO Joao (POR),FRANZISKA Patrick
ITTF European Championships Budapest 2016,2016-10-18,APOLONIA Tiago/GERALDO Joao,GERELL Par/KALLBERG Anton,4,0,"12,11,11,11|10,5,3,8",QF,OTHER,MD,376,Main Draw,APOLONIA Tiago (POR) / GERALDO Joao (POR),GERELL Par (SWE) / KALLBERG Anton (SWE),APOLONIA Tiago
ITTF European Championships Budapest 2016,2016-10-18,DE NUTTE Sarah/NI Xia Lian,FINS Rita/OLIVEIRA Leila,4,0,"11,11,11,11|6,6,8,5",R32,OTHER,WD,376,Main Draw,DE NUTTE Sarah (LUX) / NI Xia Lian (LUX),FINS Rita (POR) / OLIVEIRA Leila (POR),DE NUTTE Sarah
ITTF European Championships Budapest 2016,2016-10-18,IACOB Camelia/SZOCS Bernadette,CECHOVA Dana/STRBIKOVA Renata,4,0,"11,11,11,11|9,5,5,5",R32,OTHER,WD,376,Main Draw,IACOB Camelia (ROU) / SZOCS Bernadette (ROU),CECHOVA Dana (CZE) / STRBIKOVA Renata (CZE),IACOB Camelia
ITTF European Championships Budapest 2016,2016-10-18,MADARASZ Dora/PERGEL Szandra,IACOB Camelia/SZOCS Bernadette,4,2,"11,11,11,11,10,11|4,4,13,9,12,1",R16,OTHER,WD,376,Main Draw,MADARASZ Dora (HUN) / PERGEL Szandra (HUN),IACOB Camelia (ROU) / SZOCS Bernadette (ROU),MADARASZ Dora
ITTF European Championships Budapest 2016,2016-10-18,DODEAN Daniela/SAMARA Elizabeta,SHAO Jieni/YU Fu,4,0,"11,11,11,11|4,3,8,7",R16,OTHER,WD,376,Main Draw,DODEAN Daniela (ROU) / SAMARA Elizabeta (ROU),SHAO Jieni (POR) / YU Fu (POR),DODEAN Daniela
ITTF European Championships Budapest 2016,2016-10-18,DODEAN Daniela/SAMARA Elizabeta,NOSKOVA Yana/PROKHOROVA Yulia,4,1,"11,5,11,12,11|5,11,4,10,8",QF,OTHER,WD,376,Main Draw,DODEAN Daniela (ROU) / SAMARA Elizabeta (ROU),NOSKOVA Yana (RUS) / PROKHOROVA Yulia (RUS),DODEAN Daniela
ITTF European Championships Budapest 2016,2016-10-18,SHAN Xiaona/SOLJA Petrissa,DODEAN Daniela/SAMARA Elizabeta,4,3,"14,10,11,3,9,11,11|12,12,4,11,11,9,8",SF,OTHER,WD,376,Main Draw,SHAN Xiaona (GER) / SOLJA Petrissa (GER),DODEAN Daniela (ROU) / SAMARA Elizabeta (ROU),SHAN Xiaona
ITTF European Championships Budapest 2016,2016-10-18,MONTEIRO Joao/DODEAN Daniela,SMIRNOV Aleksandr/KIRICHENKO Anna,3,0,"11,11,11|4,3,4",R32,OTHER,XD,376,Main Draw,MONTEIRO Joao (POR) / DODEAN Daniela (ROU),SMIRNOV Aleksandr (EST) / KIRICHENKO Anna (FIN),MONTEIRO Joao
ITTF European Championships Budapest 2016,2016-10-18,MONTEIRO Joao/DODEAN Daniela,TROMER Laurens/EERLAND Britt,3,0,"12,11,11|10,4,8",R16,OTHER,XD,376,Main Draw,MONTEIRO Joao (POR) / DODEAN Daniela (ROU),TROMER Laurens (NED) / EERLAND Britt (NED),MONTEIRO Joao
ITTF European Championships Budapest 2016,2016-10-18,IONESCU Ovidiu/SZOCS Bernadette,GIONIS Panagiotis/BILENKO Tetyana,3,0,"11,11,11|9,9,4",QF,OTHER,XD,376,Main Draw,IONESCU Ovidiu (ROU) / SZOCS Bernadette (ROU),GIONIS Panagiotis (GRE) / BILENKO Tetyana (UKR),IONESCU Ovidiu
