tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Tour Kuwait Open Kuwait City 2013,2013-02-14,STEGER Bastian,HUNG Tzu-Hsiang,4,0,"11,11,11,11|6,6,7,8",R16,GRAND_SLAM,MS,108,Main Draw,STEGER Bastian (GER),HUNG Tzu-Hsiang (TPE)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,ZHANG Jike,GAO Ning,4,0,"11,18,11,11|5,16,8,8",R16,GRAND_SLAM,MS,108,Main Draw,ZHANG Jike (CHN),GAO Ning (SGP)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,XU Xin,OVTCHAROV Dimitrij,4,1,"11,10,11,11,11|5,12,8,4,6",QF,GRAND_SLAM,MS,108,Main Draw,XU Xin (CHN),OVTCHAROV Dimitrij (GER)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,MA Long,MIZUTANI Jun,4,1,"9,11,11,11,12|11,2,6,6,10",QF,GRAND_SLAM,MS,108,Main Draw,MA Long (CHN),MIZUTANI Jun (JPN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,WANG Hao,CHUANG Chih-Yuan,4,0,"11,11,11,11|5,8,4,3",QF,GRAND_SLAM,MS,108,Main Draw,WANG Hao (CHN),CHUANG Chih-Yuan (TPE)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,ZHANG Jike,STEGER Bastian,4,2,"11,11,7,8,11,11|7,5,11,11,6,9",QF,GRAND_SLAM,MS,108,Main Draw,ZHANG Jike (CHN),STEGER Bastian (GER)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,MA Long,XU Xin,4,0,"11,11,11,11|5,8,6,2",SF,GRAND_SLAM,MS,108,Main Draw,MA Long (CHN),XU Xin (CHN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,ZHANG Jike,WANG Hao,4,1,"11,11,9,12,11|8,7,11,10,4",SF,GRAND_SLAM,MS,108,Main Draw,ZHANG Jike (CHN),WANG Hao (CHN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,ZHANG Jike,MA Long,4,1,"6,11,11,11,11|11,8,6,8,4",F,GRAND_SLAM,MS,108,Main Draw,ZHANG Jike (CHN),MA Long (CHN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,DING Ning,MORIZONO Misaki,4,0,"11,11,11,12|8,8,5,10",R32,GRAND_SLAM,WS,108,Main Draw,DING Ning (CHN),MORIZONO Misaki (JPN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,JIANG Huajun,NOSKOVA Yana,4,3,"11,8,5,11,11,11,12|6,11,11,13,7,8,10",R32,GRAND_SLAM,WS,108,Main Draw,JIANG Huajun (HKG),NOSKOVA Yana (RUS)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,FENG Yalan,SOLJA Petrissa,4,1,"11,11,11,14,11|9,9,7,16,9",R32,GRAND_SLAM,WS,108,Main Draw,FENG Yalan (CHN),SOLJA Petrissa (GER)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,SHEN Yanfei,LI Xue,4,3,"11,9,11,10,8,11,11|7,11,5,12,11,4,9",R32,GRAND_SLAM,WS,108,Main Draw,SHEN Yanfei (ESP),LI Xue (FRA)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,ISHIKAWA Kasumi,CHENG I-Ching,4,0,"11,12,11,11|7,10,8,7",R32,GRAND_SLAM,WS,108,Main Draw,ISHIKAWA Kasumi (JPN),CHENG I-Ching (TPE)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,YANG Ha Eun,HIRANO Sayaka,4,2,"13,11,2,11,10,11|11,6,11,9,12,2",R32,GRAND_SLAM,WS,108,Main Draw,YANG Ha Eun (KOR),HIRANO Sayaka (JPN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,PAVLOVICH Viktoria,HAPONOVA Hanna,4,1,"11,11,8,11,11|4,6,11,7,4",R32,GRAND_SLAM,WS,108,Main Draw,PAVLOVICH Viktoria (BLR),HAPONOVA Hanna (UKR)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,FENG Tianwei,KANG Misoon,4,2,"11,8,11,11,11,11|6,11,4,8,13,8",R32,GRAND_SLAM,WS,108,Main Draw,FENG Tianwei (SGP),KANG Misoon (KOR)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,LI Xiaoxia,BILENKO Tetyana,4,1,"11,11,8,11,11|9,4,11,4,7",R32,GRAND_SLAM,WS,108,Main Draw,LI Xiaoxia (CHN),BILENKO Tetyana (UKR)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,YU Mengyu,JEON Jihee,4,3,"11,11,11,6,10,4,11|6,5,6,11,12,11,9",R32,GRAND_SLAM,WS,108,Main Draw,YU Mengyu (SGP),JEON Jihee (KOR)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,ZHU Yuling,FUJII Hiroko,4,0,"11,11,11,11|6,4,4,6",R32,GRAND_SLAM,WS,108,Main Draw,ZHU Yuling (MAC),FUJII Hiroko (JPN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,CHEN Meng,HUANG Yi-Hua,4,0,"12,11,11,11|10,4,9,3",R32,GRAND_SLAM,WS,108,Main Draw,CHEN Meng (CHN),HUANG Yi-Hua (TPE)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,FUKUHARA Ai,PARK Youngsook,4,2,"8,11,11,5,11,11|11,8,6,11,6,3",R32,GRAND_SLAM,WS,108,Main Draw,FUKUHARA Ai (JPN),PARK Youngsook (KOR)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,SEOK Hajung,NONAKA Yuki,4,3,"11,11,11,7,7,7,11|8,6,9,11,11,11,3",R32,GRAND_SLAM,WS,108,Main Draw,SEOK Hajung (KOR),NONAKA Yuki (JPN)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,SUH Hyo Won,SAMARA Elizabeta,4,0,"11,11,11,13|5,9,5,11",R32,GRAND_SLAM,WS,108,Main Draw,SUH Hyo Won (KOR),SAMARA Elizabeta (ROU)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,LIU Shiwen,LEE Eunhee,4,1,"12,7,11,11,11|10,11,3,7,7",R32,GRAND_SLAM,WS,108,Main Draw,LIU Shiwen (CHN),LEE Eunhee (KOR)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,DING Ning,JIANG Huajun,4,0,"11,11,11,11|5,9,6,6",R16,GRAND_SLAM,WS,108,Main Draw,DING Ning (CHN),JIANG Huajun (HKG)
