tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Tour Kuwait Open Kuwait City 2013,2013-02-14,LAKEEV Vasily/VLASOV Grigory,DESAI Harmeet/GHOSH Soumyajit,3,0,"11,11,11|7,7,9",QR32,GRAND_SLAM,MD,108,Qualification,LAKEEV Vasily (RUS) / VLASOV Grigory (RUS),DESAI Harmeet (IND) / GHOSH Soumyajit (IND)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,KUZMIN Fedor/LIVENTSOV Alexey,JIANG Tianyi/TANG Peng,3,1,"10,12,11,11|12,10,9,9",QR32,GRAND_SLAM,MD,108,Qualification,KUZMIN Fedor (RUS) / LIVENTSOV Alexey (RUS),JIANG Tianyi (HKG) / TANG Peng (HKG)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,LAKEEV Vasily/VLASOV Grigory,LORENTZ Romain/ROBINOT Quentin,3,2,"11,11,8,7,15|9,8,11,11,13",QR16,GRAND_SLAM,MD,108,Qualification,LAKEEV Vasily (RUS) / VLASOV Grigory (RUS),LORENTZ Romain (FRA) / ROBINOT Quentin (FRA)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,JEON Jihee/YOO Eunchong,FENG Tianwei/YU Mengyu,3,1,"11,12,10,11|9,10,12,9",R16,GRAND_SLAM,WD,108,Main Draw,JEON Jihee (KOR) / YOO Eunchong (KOR),FENG Tianwei (SGP) / YU Mengyu (SGP)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,FENG Yalan/LIU Shiwen,LIN Ye/ZHOU Yihan,3,1,"9,11,11,11|11,3,7,5",QR16,GRAND_SLAM,WD,108,Qualification,FENG Yalan (CHN) / LIU Shiwen (CHN),LIN Ye (CAN) / ZHOU Yihan (SGP)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,KARLSSON Kristian/KARLSSON Mattias,LAKEEV Vasily/VLASOV Grigory,3,0,"14,11,15|12,5,13",R16,GRAND_SLAM,MD,108,Main Draw,KARLSSON Kristian (SWE) / KARLSSON Mattias (SWE),LAKEEV Vasily (RUS) / VLASOV Grigory (RUS)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,GAO Ning/LI Hu,KARLSSON Kristian/KARLSSON Mattias,3,0,"11,11,11|9,7,8",QF,GRAND_SLAM,MD,108,Main Draw,GAO Ning (SGP) / LI Hu (SGP),KARLSSON Kristian (SWE) / KARLSSON Mattias (SWE)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,HUNG Tzu-Hsiang/SODERLUND Hampus,GAUZY Simon/LEBESSON Emmanuel,3,0,"11,11,14|9,8,12",QR32,GRAND_SLAM,MD,108,Qualification,HUNG Tzu-Hsiang (TPE) / SODERLUND Hampus (SWE),GAUZY Simon (FRA) / LEBESSON Emmanuel (FRA)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,ISHIKAWA Kasumi/MORIZONO Misaki,CHENG I-Ching/HUANG Yi-Hua,3,2,"11,8,7,11,11|4,11,11,3,5",R16,GRAND_SLAM,WD,108,Main Draw,ISHIKAWA Kasumi (JPN) / MORIZONO Misaki (JPN),CHENG I-Ching (TPE) / HUANG Yi-Hua (TPE)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,CHEN Chien-An/CHUANG Chih-Yuan,CHEW Clarence/MA Liang,3,0,"11,11,11|1,9,7",QR32,GRAND_SLAM,MD,108,Qualification,CHEN Chien-An (TPE) / CHUANG Chih-Yuan (TPE),CHEW Clarence (SGP) / MA Liang (SGP)
World Tour Kuwait Open Kuwait City 2013,2013-02-14,CHEN Chien-An/CHUANG Chih-Yuan,DIDUKH Oleksandr/ZHMUDENKO Yaroslav,3,2,"11,7,11,8,11|9,11,6,11,4",QR16,GRAND_SLAM,MD,108,Qualification,CHEN Chien-An (TPE) / CHUANG Chih-Yuan (TPE),DIDUKH Oleksandr (UKR) / ZHMUDENKO Yaroslav (UKR)
