tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
GAC Group World Tour German Open Bremen 2015,2015-03-18,SAMBE Kohei,ZHAI Yujia,3,2,"11,11,5,4,11|9,7,11,11,9",R16,GRAND_SLAM,U21MS,5,Main Draw,ZHAI Yujia (DEN),SAMBE Kohei (JPN),SAMBE Kohei
GAC Group World Tour German Open Bremen 2015,2015-03-18,BROSSIER Benjamin,HO Kwan Kit,3,2,"1,7,11,11,11|11,11,8,8,7",R16,GRAND_SLAM,U21MS,5,Main Draw,HO Kwan Kit (HKG),BROSSIER Benjamin (FRA),BROSSIER Benjamin
GAC Group World Tour German Open Bremen 2015,2015-03-18,KIM Donghyun,KALLBERG Anton,3,0,"11,11,11|9,6,9",R16,GRAND_SLAM,U21MS,5,Main Draw,KALLBERG Anton (SWE),KIM Donghyun (KOR),KIM Donghyun
GAC Group World Tour German Open Bremen 2015,2015-03-18,KIM Minhyeok,SAKAI Asuka,3,1,"9,11,11,11|11,7,7,6",QF,GRAND_SLAM,U21MS,5,Main Draw,KIM Minhyeok (KOR),SAKAI Asuka (JPN),KIM Minhyeok
GAC Group World Tour German Open Bremen 2015,2015-03-18,DUDA Benedikt,YOSHIDA Masaki,3,2,"8,11,9,11,11|11,7,11,9,9",QF,GRAND_SLAM,U21MS,5,Main Draw,DUDA Benedikt (GER),YOSHIDA Masaki (JPN),DUDA Benedikt
GAC Group World Tour German Open Bremen 2015,2015-03-18,SAMBE Kohei,JANG Woojin,3,1,"11,12,9,11|5,10,11,9",QF,GRAND_SLAM,U21MS,5,Main Draw,JANG Woojin (KOR),SAMBE Kohei (JPN),SAMBE Kohei
GAC Group World Tour German Open Bremen 2015,2015-03-18,KIM Donghyun,BROSSIER Benjamin,3,2,"11,6,11,3,11|5,11,5,11,8",QF,GRAND_SLAM,U21MS,5,Main Draw,BROSSIER Benjamin (FRA),KIM Donghyun (KOR),KIM Donghyun
GAC Group World Tour German Open Bremen 2015,2015-03-18,KIM Minhyeok,DUDA Benedikt,3,2,"11,4,10,11,11|7,11,12,8,7",SF,GRAND_SLAM,U21MS,5,Main Draw,KIM Minhyeok (KOR),DUDA Benedikt (GER),KIM Minhyeok
GAC Group World Tour German Open Bremen 2015,2015-03-18,KIM Donghyun,SAMBE Kohei,3,1,"11,9,11,11|5,11,4,7",SF,GRAND_SLAM,U21MS,5,Main Draw,SAMBE Kohei (JPN),KIM Donghyun (KOR),KIM Donghyun
GAC Group World Tour German Open Bremen 2015,2015-03-18,KIM Donghyun,KIM Minhyeok,3,0,"11,14,11|6,12,7",F,GRAND_SLAM,U21MS,5,Main Draw,KIM Minhyeok (KOR),KIM Donghyun (KOR),KIM Donghyun
