tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour India Open New Delhi 2017,2017-02-14,LAM Siu Hang,MERCKX Jasper,4,1,"6,11,11,11,11|11,4,1,6,9",,GRAND_SLAM,MS,455,Qualification,LAM Siu Hang (HKG),MERCKX Jasper (BEL),LAM Siu Hang
World Tour India Open New Delhi 2017,2017-02-14,GNANASEKARAN Sathiyan,LAM Siu Hang,4,0,"11,11,16,15|8,9,14,13",,GRAND_SLAM,MS,455,Qualification,GNANASEKARAN Sathiyan (IND),LAM Siu Hang (HKG),GNANASEKARAN Sathiyan
World Tour India Open New Delhi 2017,2017-02-14,YADAV Abhishek,MERCKX Jasper,4,1,"11,9,11,11,11|4,11,4,8,5",,GRAND_SLAM,MS,455,Qualification,YADAV Abhishek (IND),MERCKX Jasper (BEL),YADAV Abhishek
World Tour India Open New Delhi 2017,2017-02-14,GNANASEKARAN Sathiyan,MERCKX Jasper,4,0,"11,11,11,11|6,2,7,5",,GRAND_SLAM,MS,455,Qualification,GNANASEKARAN Sathiyan (IND),MERCKX Jasper (BEL),GNANASEKARAN Sathiyan
World Tour India Open New Delhi 2017,2017-02-14,LAM Siu Hang,YADAV Abhishek,4,2,"10,11,9,11,11,11|12,6,11,9,8,7",,GRAND_SLAM,MS,455,Qualification,LAM Siu Hang (HKG),YADAV Abhishek (IND),LAM Siu Hang
World Tour India Open New Delhi 2017,2017-02-14,WALKER Samuel,BU SHULAYBI Abdulaziz,4,2,"11,11,11,10,11,11|7,3,13,12,3,6",,GRAND_SLAM,MS,455,Qualification,WALKER Samuel (ENG),BU SHULAYBI Abdulaziz (KSA),WALKER Samuel
World Tour India Open New Delhi 2017,2017-02-14,SALIFOU Abdel-Kader,KUMAR Jubin,4,0,"11,11,12,11|7,6,10,6",,GRAND_SLAM,MS,455,Qualification,SALIFOU Abdel-Kader (BEN),KUMAR Jubin (IND),SALIFOU Abdel-Kader
World Tour India Open New Delhi 2017,2017-02-14,WALKER Samuel,SALIFOU Abdel-Kader,4,2,"11,7,4,11,11,11|2,11,11,4,8,3",,GRAND_SLAM,MS,455,Qualification,WALKER Samuel (ENG),SALIFOU Abdel-Kader (BEN),WALKER Samuel
World Tour India Open New Delhi 2017,2017-02-14,BU SHULAYBI Abdulaziz,KUMAR Jubin,4,3,"8,11,11,4,4,11,11|11,5,5,11,11,7,7",,GRAND_SLAM,MS,455,Qualification,BU SHULAYBI Abdulaziz (KSA),KUMAR Jubin (IND),BU SHULAYBI Abdulaziz
World Tour India Open New Delhi 2017,2017-02-14,WALKER Samuel,KUMAR Jubin,4,1,"11,11,6,11,13|4,5,11,8,11",,GRAND_SLAM,MS,455,Qualification,WALKER Samuel (ENG),KUMAR Jubin (IND),WALKER Samuel
