tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Italy Open Courmayeur 2002,2002-05-02,TOKIC Bojan,QIN Zhijian,4,2,"12,11,7,11,10,12|10,8,11,5,12,10",,GRAND_SLAM,MS,1298,Qualification,TOKIC Bojan (SLO),QIN Zhijian (CHN),TOKIC Bojan
Italy Open Courmayeur 2002,2002-05-02,CHUANG Chih-Yuan,GATIEN Jean-Philippe,4,0,"14,11,11,11|12,5,9,8",R16,GRAND_SLAM,MS,1298,Main Draw,CHUANG Chih-Yuan (TPE),GATIEN Jean-Philippe (FRA),CHUANG Chih-Yuan
Italy Open Courmayeur 2002,2002-05-02,CHANG Yen-Shu,CHIANG Peng-Lung,4,3,"10,11,12,7,5,11,11|12,2,10,11,11,9,4",QF,GRAND_SLAM,MS,1298,Main Draw,CHANG Yen-Shu (TPE),CHIANG Peng-Lung (TPE),CHANG Yen-Shu
Italy Open Courmayeur 2002,2002-05-02,KARLSSON Peter,TASAKI Toshio,4,2,"11,11,5,9,11,11|2,9,11,11,5,6",QF,GRAND_SLAM,MS,1298,Main Draw,KARLSSON Peter (SWE),TASAKI Toshio (JPN),KARLSSON Peter
Italy Open Courmayeur 2002,2002-05-02,PRIMORAC Zoran,MANSSON Magnus,4,3,"5,11,11,11,8,7,11|11,9,6,5,11,11,7",QF,GRAND_SLAM,MS,1298,Main Draw,PRIMORAC Zoran (CRO),MANSSON Magnus (SWE),PRIMORAC Zoran
Italy Open Courmayeur 2002,2002-05-02,LEUNG Chu Yan,CHUANG Chih-Yuan,4,3,"6,11,7,11,11,8,11|11,3,11,6,7,11,7",QF,GRAND_SLAM,MS,1298,Main Draw,LEUNG Chu Yan (HKG),CHUANG Chih-Yuan (TPE),LEUNG Chu Yan
Italy Open Courmayeur 2002,2002-05-02,KARLSSON Peter,CHANG Yen-Shu,4,0,"12,11,13,11|10,8,11,4",SF,GRAND_SLAM,MS,1298,Main Draw,KARLSSON Peter (SWE),CHANG Yen-Shu (TPE),KARLSSON Peter
Italy Open Courmayeur 2002,2002-05-02,PRIMORAC Zoran,LEUNG Chu Yan,4,3,"10,7,11,11,14,11,11|12,11,6,8,16,6,6",SF,GRAND_SLAM,MS,1298,Main Draw,PRIMORAC Zoran (CRO),LEUNG Chu Yan (HKG),PRIMORAC Zoran
Italy Open Courmayeur 2002,2002-05-02,EKHOLM Matilda,JENSEN Janne,4,3,"11,7,4,11,7,11,11|6,11,11,5,11,4,9",,GRAND_SLAM,WS,1298,Qualification,EKHOLM Matilda (SWE),JENSEN Janne (DEN),EKHOLM Matilda
Italy Open Courmayeur 2002,2002-05-02,STEFANSKA Kinga,EKHOLM Matilda,4,0,"11,11,11,11|6,4,6,7",QR2,GRAND_SLAM,WS,1298,Qualification,STEFANSKA Kinga (POL),EKHOLM Matilda (SWE),STEFANSKA Kinga
Italy Open Courmayeur 2002,2002-05-02,STEFANSKA Kinga,JENSEN Janne,4,1,"3,11,11,11,11|11,8,1,2,6",3,GRAND_SLAM,WS,1298,Qualification,STEFANSKA Kinga (POL),JENSEN Janne (DEN),STEFANSKA Kinga
Italy Open Courmayeur 2002,2002-05-02,MOLNAR Cornelia,SILVESTRE Julia,4,0,"11,11,11,11|7,6,5,7",,GRAND_SLAM,WS,1298,Qualification,MOLNAR Cornelia (CRO),SILVESTRE Julia (FRA),MOLNAR Cornelia
Italy Open Courmayeur 2002,2002-05-02,IMAFUKU Kumi,SILVESTRE Julia,4,0,"11,11,11,12|9,6,9,10",QR2,GRAND_SLAM,WS,1298,Qualification,IMAFUKU Kumi (JPN),SILVESTRE Julia (FRA),IMAFUKU Kumi
Italy Open Courmayeur 2002,2002-05-02,IMAFUKU Kumi,MOLNAR Cornelia,4,2,"5,11,7,11,11,11|11,9,11,5,2,6",3,GRAND_SLAM,WS,1298,Qualification,IMAFUKU Kumi (JPN),MOLNAR Cornelia (CRO),IMAFUKU Kumi
Italy Open Courmayeur 2002,2002-05-02,TAMBORINI Aurelie,TOMAZINI Jana,4,1,"7,11,11,11,11|11,9,8,6,6",,GRAND_SLAM,WS,1298,Qualification,TAMBORINI Aurelie (FRA),TOMAZINI Jana (SLO),TAMBORINI Aurelie
Italy Open Courmayeur 2002,2002-05-02,HAN Kwangsun,TAMBORINI Aurelie,4,2,"11,11,8,9,11,11|9,9,11,11,1,5",QR2,GRAND_SLAM,WS,1298,Qualification,HAN Kwangsun (KOR),TAMBORINI Aurelie (FRA),HAN Kwangsun
Italy Open Courmayeur 2002,2002-05-02,HAN Kwangsun,TOMAZINI Jana,4,1,"7,11,11,11,11|11,7,7,5,7",3,GRAND_SLAM,WS,1298,Qualification,HAN Kwangsun (KOR),TOMAZINI Jana (SLO),HAN Kwangsun
Italy Open Courmayeur 2002,2002-05-02,BOBETIC Andrea,MIE Anne-Claire,4,0,"11,11,13,11|8,9,11,9",,GRAND_SLAM,WS,1298,Qualification,BOBETIC Andrea (CRO),MIE Anne-Claire (FRA),BOBETIC Andrea
Italy Open Courmayeur 2002,2002-05-02,MIE Anne-Claire,PETZNER Martina,4,0,"11,11,11,11|7,3,7,7",QR2,GRAND_SLAM,WS,1298,Qualification,MIE Anne-Claire (FRA),PETZNER Martina (AUT),MIE Anne-Claire
Italy Open Courmayeur 2002,2002-05-02,BOBETIC Andrea,PETZNER Martina,4,1,"11,4,14,11,11|8,11,12,7,6",3,GRAND_SLAM,WS,1298,Qualification,BOBETIC Andrea (CRO),PETZNER Martina (AUT),BOBETIC Andrea
Italy Open Courmayeur 2002,2002-05-02,CECHOVA Dana,KASABOVA Asya,4,3,"4,11,11,9,11,7,12|11,6,8,11,2,11,10",,GRAND_SLAM,WS,1298,Qualification,CECHOVA Dana (CZE),KASABOVA Asya (BUL),CECHOVA Dana
Italy Open Courmayeur 2002,2002-05-02,COSTES Agathe,CECHOVA Dana,4,3,"10,11,11,8,11,11,11|12,8,5,11,8,17,8",QR2,GRAND_SLAM,WS,1298,Qualification,COSTES Agathe (FRA),CECHOVA Dana (CZE),COSTES Agathe
Italy Open Courmayeur 2002,2002-05-02,KASABOVA Asya,COSTES Agathe,4,2,"11,11,7,5,11,12|7,5,11,11,8,10",3,GRAND_SLAM,WS,1298,Qualification,KASABOVA Asya (BUL),COSTES Agathe (FRA),KASABOVA Asya
Italy Open Courmayeur 2002,2002-05-02,BURGAR Spela,MAKHMUDOVA Saida,4,0,"11,11,11,11|6,6,6,5",,GRAND_SLAM,WS,1298,Qualification,BURGAR Spela (SLO),MAKHMUDOVA Saida (UZB),BURGAR Spela
Italy Open Courmayeur 2002,2002-05-02,YOON Jihye,MAKHMUDOVA Saida,4,0,"13,11,11,13|11,6,5,11",QR2,GRAND_SLAM,WS,1298,Qualification,YOON Jihye (KOR),MAKHMUDOVA Saida (UZB),YOON Jihye
Italy Open Courmayeur 2002,2002-05-02,YOON Jihye,BURGAR Spela,4,0,"12,11,11,11|10,2,8,6",3,GRAND_SLAM,WS,1298,Qualification,YOON Jihye (KOR),BURGAR Spela (SLO),YOON Jihye
Italy Open Courmayeur 2002,2002-05-02,PAOVIC Sandra,ROUSSY Marie-Christine,4,3,"11,5,11,10,7,11,17|4,11,8,12,11,9,15",,GRAND_SLAM,WS,1298,Qualification,PAOVIC Sandra (CRO),ROUSSY Marie-Christine (CAN),PAOVIC Sandra
Italy Open Courmayeur 2002,2002-05-02,ROUSSY Marie-Christine,SOTVOLDIEVA Nilufar,4,0,"11,11,11,11|8,7,3,6",QR2,GRAND_SLAM,WS,1298,Qualification,ROUSSY Marie-Christine (CAN),SOTVOLDIEVA Nilufar (UZB),ROUSSY Marie-Christine
Italy Open Courmayeur 2002,2002-05-02,PAOVIC Sandra,SOTVOLDIEVA Nilufar,4,2,"11,7,9,11,11,11|4,11,11,4,6,5",3,GRAND_SLAM,WS,1298,Qualification,PAOVIC Sandra (CRO),SOTVOLDIEVA Nilufar (UZB),PAOVIC Sandra
Italy Open Courmayeur 2002,2002-05-02,GLADIEUX Elisabeth,MARZOLLA Elisa,4,0,"11,11,11,11|9,3,6,5",,GRAND_SLAM,WS,1298,Qualification,GLADIEUX Elisabeth (FRA),MARZOLLA Elisa (ITA),GLADIEUX Elisabeth
Italy Open Courmayeur 2002,2002-05-02,SUGITA Sanae,GLADIEUX Elisabeth,4,0,"11,11,11,11|3,5,5,6",QR2,GRAND_SLAM,WS,1298,Qualification,SUGITA Sanae (JPN),GLADIEUX Elisabeth (FRA),SUGITA Sanae
Italy Open Courmayeur 2002,2002-05-02,SUGITA Sanae,MARZOLLA Elisa,4,0,"12,11,11,11|10,6,3,5",3,GRAND_SLAM,WS,1298,Qualification,SUGITA Sanae (JPN),MARZOLLA Elisa (ITA),SUGITA Sanae
Italy Open Courmayeur 2002,2002-05-02,GAJIC Jelena,PELLEGRINI Dana,4,0,"11,11,11,11|4,4,6,3",,GRAND_SLAM,WS,1298,Qualification,GAJIC Jelena (SRB),PELLEGRINI Dana (ITA),GAJIC Jelena
Italy Open Courmayeur 2002,2002-05-02,GAJIC Jelena,HERCZIG Judit,4,0,"11,14,11,11|4,12,2,4",QR2,GRAND_SLAM,WS,1298,Qualification,GAJIC Jelena (SRB),HERCZIG Judit (AUT),GAJIC Jelena
Italy Open Courmayeur 2002,2002-05-02,HERCZIG Judit,PELLEGRINI Dana,4,2,"11,8,8,11,11,11|7,11,11,3,8,5",3,GRAND_SLAM,WS,1298,Qualification,HERCZIG Judit (AUT),PELLEGRINI Dana (ITA),HERCZIG Judit
Italy Open Courmayeur 2002,2002-05-02,CADA Petra,AYUBOVA Madina,4,0,"11,11,11,11|2,7,8,5",,GRAND_SLAM,WS,1298,Qualification,CADA Petra (CAN),AYUBOVA Madina (UZB),CADA Petra
Italy Open Courmayeur 2002,2002-05-02,DING Yan,AYUBOVA Madina,4,1,"11,11,10,11,11|2,8,12,8,5",QR2,GRAND_SLAM,WS,1298,Qualification,DING Yan (ITA),AYUBOVA Madina (UZB),DING Yan
Italy Open Courmayeur 2002,2002-05-02,CADA Petra,DING Yan,4,2,"12,11,7,9,11,11|10,7,11,11,5,9",3,GRAND_SLAM,WS,1298,Qualification,CADA Petra (CAN),DING Yan (ITA),CADA Petra
Italy Open Courmayeur 2002,2002-05-02,OLSSON Marie,FRACCHIOLLA Marina,4,0,"11,11,11,11|7,1,4,4",,GRAND_SLAM,WS,1298,Qualification,OLSSON Marie (SWE),FRACCHIOLLA Marina (ITA),OLSSON Marie
Italy Open Courmayeur 2002,2002-05-02,OLSSON Marie,TODOROVIC Biljana,4,2,"11,11,9,13,9,11|5,6,11,11,11,4",QR2,GRAND_SLAM,WS,1298,Qualification,OLSSON Marie (SWE),TODOROVIC Biljana (SLO),OLSSON Marie
Italy Open Courmayeur 2002,2002-05-02,TODOROVIC Biljana,FRACCHIOLLA Marina,4,1,"11,7,11,11,11|6,11,5,4,2",3,GRAND_SLAM,WS,1298,Qualification,TODOROVIC Biljana (SLO),FRACCHIOLLA Marina (ITA),TODOROVIC Biljana
Italy Open Courmayeur 2002,2002-05-02,FINNEMANN Pia,COLLIA Sonia,4,0,"12,13,11,11|10,10,7,5",,GRAND_SLAM,WS,1298,Qualification,FINNEMANN Pia (DEN),COLLIA Sonia (ITA),FINNEMANN Pia
Italy Open Courmayeur 2002,2002-05-02,WON Youngah,FINNEMANN Pia,4,2,"5,11,11,12,9,11|11,6,5,10,11,7",QR2,GRAND_SLAM,WS,1298,Qualification,WON Youngah (KOR),FINNEMANN Pia (DEN),WON Youngah
Italy Open Courmayeur 2002,2002-05-02,WON Youngah,COLLIA Sonia,4,0,"11,11,11,11|5,3,3,7",3,GRAND_SLAM,WS,1298,Qualification,WON Youngah (KOR),COLLIA Sonia (ITA),WON Youngah
Italy Open Courmayeur 2002,2002-05-02,LEGAY Solene,HAAN Simone,4,2,"15,8,11,11,11,11|17,11,7,6,5,4",,GRAND_SLAM,WS,1298,Qualification,LEGAY Solene (FRA),HAAN Simone (LUX),LEGAY Solene
Italy Open Courmayeur 2002,2002-05-02,KISHI Mayu,LEGAY Solene,4,0,"11,11,11,11|2,9,8,7",QR2,GRAND_SLAM,WS,1298,Qualification,KISHI Mayu (JPN),LEGAY Solene (FRA),KISHI Mayu
Italy Open Courmayeur 2002,2002-05-02,KISHI Mayu,HAAN Simone,4,1,"11,11,8,11,11|2,7,11,6,2",3,GRAND_SLAM,WS,1298,Qualification,KISHI Mayu (JPN),HAAN Simone (LUX),KISHI Mayu
Italy Open Courmayeur 2002,2002-05-02,HIRANO Sayaka,REGENWETTER Peggy,4,3,"5,12,14,8,14,6,11|11,10,12,11,12,11,6",,GRAND_SLAM,WS,1298,Qualification,HIRANO Sayaka (JPN),REGENWETTER Peggy (LUX),HIRANO Sayaka
Italy Open Courmayeur 2002,2002-05-02,HIRANO Sayaka,JUN Hyunsil,4,1,"11,6,11,16,11|7,11,5,14,7",QR2,GRAND_SLAM,WS,1298,Qualification,HIRANO Sayaka (JPN),JUN Hyunsil (KOR),HIRANO Sayaka
Italy Open Courmayeur 2002,2002-05-02,REGENWETTER Peggy,JUN Hyunsil,4,3,"11,6,12,5,8,11,11|6,11,10,11,11,6,7",3,GRAND_SLAM,WS,1298,Qualification,REGENWETTER Peggy (LUX),JUN Hyunsil (KOR),REGENWETTER Peggy
Italy Open Courmayeur 2002,2002-05-02,HALAS Helena,FERNANDES Sabrina,4,1,"11,11,9,11,16|5,8,11,7,14",,GRAND_SLAM,WS,1298,Qualification,HALAS Helena (SLO),FERNANDES Sabrina (FRA),HALAS Helena
Italy Open Courmayeur 2002,2002-05-02,ZAVEDEEVA Olga,PILON Erica,4,1,"9,11,11,11,11|11,7,5,6,9",QR2,GRAND_SLAM,WS,1298,Qualification,ZAVEDEEVA Olga (RUS),PILON Erica (CAN),ZAVEDEEVA Olga
Italy Open Courmayeur 2002,2002-05-02,FERNANDES Sabrina,ZAVEDEEVA Olga,4,3,"10,12,10,11,8,11,13|12,10,12,6,11,9,11",3,GRAND_SLAM,WS,1298,Qualification,FERNANDES Sabrina (FRA),ZAVEDEEVA Olga (RUS),FERNANDES Sabrina
Italy Open Courmayeur 2002,2002-05-02,HALAS Helena,PILON Erica,4,1,"11,11,9,11,11|8,9,11,4,5",QR4,GRAND_SLAM,WS,1298,Qualification,HALAS Helena (SLO),PILON Erica (CAN),HALAS Helena
Italy Open Courmayeur 2002,2002-05-02,FERNANDES Sabrina,PILON Erica,4,0,"11,11,11,11|6,4,7,4",5,GRAND_SLAM,WS,1298,Qualification,FERNANDES Sabrina (FRA),PILON Erica (CAN),FERNANDES Sabrina
Italy Open Courmayeur 2002,2002-05-02,HALAS Helena,ZAVEDEEVA Olga,4,1,"11,7,11,11,11|7,11,8,4,8",6,GRAND_SLAM,WS,1298,Qualification,HALAS Helena (SLO),ZAVEDEEVA Olga (RUS),HALAS Helena
Italy Open Courmayeur 2002,2002-05-02,PARK Bokyung,SU Hsien-Ching,4,1,"11,5,11,11,13|5,11,2,5,11",,GRAND_SLAM,WS,1298,Qualification,PARK Bokyung (KOR),SU Hsien-Ching (TPE),PARK Bokyung
Italy Open Courmayeur 2002,2002-05-02,LUDVIK Jana,JONSSON Susanne,4,0,"11,11,11,11|6,7,8,9",QR2,GRAND_SLAM,WS,1298,Qualification,LUDVIK Jana (SLO),JONSSON Susanne (SWE),LUDVIK Jana
Italy Open Courmayeur 2002,2002-05-02,PARK Bokyung,JONSSON Susanne,4,1,"11,11,11,8,11|8,6,9,11,6",3,GRAND_SLAM,WS,1298,Qualification,PARK Bokyung (KOR),JONSSON Susanne (SWE),PARK Bokyung
Italy Open Courmayeur 2002,2002-05-02,SU Hsien-Ching,LUDVIK Jana,4,3,"11,2,13,6,15,11,11|8,11,15,11,13,6,7",QR4,GRAND_SLAM,WS,1298,Qualification,SU Hsien-Ching (TPE),LUDVIK Jana (SLO),SU Hsien-Ching
Italy Open Courmayeur 2002,2002-05-02,PARK Bokyung,LUDVIK Jana,4,0,"11,11,11,11|6,9,7,7",5,GRAND_SLAM,WS,1298,Qualification,PARK Bokyung (KOR),LUDVIK Jana (SLO),PARK Bokyung
Italy Open Courmayeur 2002,2002-05-02,JONSSON Susanne,SU Hsien-Ching,4,2,"8,12,9,11,11,11|11,10,11,8,9,7",6,GRAND_SLAM,WS,1298,Qualification,JONSSON Susanne (SWE),SU Hsien-Ching (TPE),JONSSON Susanne
Italy Open Courmayeur 2002,2002-05-02,BOROS Tamara,REGENWETTER Peggy,4,1,"11,11,9,17,11|7,2,11,15,9",R64,GRAND_SLAM,WS,1298,Main Draw,BOROS Tamara (CRO),REGENWETTER Peggy (LUX),BOROS Tamara
Italy Open Courmayeur 2002,2002-05-02,LEGAY Solene,STRBIKOVA Renata,4,2,"5,11,13,9,12,11|11,8,11,11,10,4",R64,GRAND_SLAM,WS,1298,Main Draw,LEGAY Solene (FRA),STRBIKOVA Renata (CZE),LEGAY Solene
Italy Open Courmayeur 2002,2002-05-02,JOHANSSON Sandra,DING Yan,4,1,"11,13,11,9,12|7,11,4,11,10",R64,GRAND_SLAM,WS,1298,Main Draw,JOHANSSON Sandra (SWE),DING Yan (ITA),JOHANSSON Sandra
Italy Open Courmayeur 2002,2002-05-02,TIE Yana,BURGAR Spela,4,0,"11,11,11,11|3,4,4,6",R64,GRAND_SLAM,WS,1298,Main Draw,TIE Yana (HKG),BURGAR Spela (SLO),TIE Yana
Italy Open Courmayeur 2002,2002-05-02,UMEMURA Aya,TODOROVIC Biljana,4,2,"11,11,12,6,6,11|3,8,10,11,11,4",R64,GRAND_SLAM,WS,1298,Main Draw,UMEMURA Aya (JPN),TODOROVIC Biljana (SLO),UMEMURA Aya
Italy Open Courmayeur 2002,2002-05-02,ZHANG Rui,EKHOLM Matilda,4,0,"13,11,11,11|11,0,3,2",R64,GRAND_SLAM,WS,1298,Main Draw,ZHANG Rui (HKG),EKHOLM Matilda (SWE),ZHANG Rui
Italy Open Courmayeur 2002,2002-05-02,WANG Yu (YOB=1981),GLADIEUX Elisabeth,4,1,"11,14,8,11,11|3,12,11,6,6",R64,GRAND_SLAM,WS,1298,Main Draw,WANG Yu (YOB=1981) (ITA),GLADIEUX Elisabeth (FRA),WANG Yu (YOB=1981)
Italy Open Courmayeur 2002,2002-05-02,LI Jiawei,FERNANDES Sabrina,4,1,"4,11,11,11,11|11,7,5,6,7",R64,GRAND_SLAM,WS,1298,Main Draw,LI Jiawei (SGP),FERNANDES Sabrina (FRA),LI Jiawei
Italy Open Courmayeur 2002,2002-05-02,JING Junhong,CADA Petra,4,0,"11,11,11,11|7,7,3,9",R64,GRAND_SLAM,WS,1298,Main Draw,JING Junhong (SGP),CADA Petra (CAN),JING Junhong
Italy Open Courmayeur 2002,2002-05-02,MOLNAR Cornelia,NEGRISOLI Laura,4,1,"11,11,11,8,12|8,8,6,11,10",R64,GRAND_SLAM,WS,1298,Main Draw,MOLNAR Cornelia (CRO),NEGRISOLI Laura (ITA),MOLNAR Cornelia
Italy Open Courmayeur 2002,2002-05-02,KWAK Bangbang,TAMBORINI Aurelie,4,0,"11,11,11,11|4,5,9,5",R64,GRAND_SLAM,WS,1298,Main Draw,KWAK Bangbang (KOR),TAMBORINI Aurelie (FRA),KWAK Bangbang
Italy Open Courmayeur 2002,2002-05-02,SONG Ah Sim,HAN Kwangsun,4,0,"11,11,11,11|5,5,9,9",R64,GRAND_SLAM,WS,1298,Main Draw,SONG Ah Sim (HKG),HAN Kwangsun (KOR),SONG Ah Sim
Italy Open Courmayeur 2002,2002-05-02,NEMES Olga,PARK Bokyung,4,3,"10,7,11,11,11,9,11|12,11,8,8,4,11,7",R64,GRAND_SLAM,WS,1298,Main Draw,NEMES Olga (ROU),PARK Bokyung (KOR),NEMES Olga
Italy Open Courmayeur 2002,2002-05-02,ODOROVA Eva,HIRANO Sayaka,4,3,"11,11,10,10,6,11,11|5,8,12,12,11,7,8",R64,GRAND_SLAM,WS,1298,Main Draw,ODOROVA Eva (SVK),HIRANO Sayaka (JPN),ODOROVA Eva
Italy Open Courmayeur 2002,2002-05-02,LIN Ling,SUGITA Sanae,4,0,"11,11,11,11|1,5,4,4",R64,GRAND_SLAM,WS,1298,Main Draw,LIN Ling (HKG),SUGITA Sanae (JPN),LIN Ling
Italy Open Courmayeur 2002,2002-05-02,STEFF Mihaela,ROUSSY Marie-Christine,4,0,"11,12,11,11|7,10,7,8",R64,GRAND_SLAM,WS,1298,Main Draw,STEFF Mihaela (ROU),ROUSSY Marie-Christine (CAN),STEFF Mihaela
Italy Open Courmayeur 2002,2002-05-02,WON Youngah,GOURIN Anne-Sophie,4,3,"11,11,7,10,8,11,11|8,4,11,12,11,7,6",R64,GRAND_SLAM,WS,1298,Main Draw,WON Youngah (KOR),GOURIN Anne-Sophie (FRA),WON Youngah
Italy Open Courmayeur 2002,2002-05-02,HIURA Reiko,OLSSON Marie,4,2,"11,7,11,11,7,11|5,11,5,9,11,7",R64,GRAND_SLAM,WS,1298,Main Draw,HIURA Reiko (JPN),OLSSON Marie (SWE),HIURA Reiko
Italy Open Courmayeur 2002,2002-05-02,HALAS Helena,SCHALL Elke,4,3,"15,11,4,11,7,8,11|13,8,11,9,11,11,5",R64,GRAND_SLAM,WS,1298,Main Draw,HALAS Helena (SLO),SCHALL Elke (GER),HALAS Helena
Italy Open Courmayeur 2002,2002-05-02,KIM Bokrae,FINNEMANN Pia,4,0,"11,11,11,11|8,4,6,8",R64,GRAND_SLAM,WS,1298,Main Draw,KIM Bokrae (KOR),FINNEMANN Pia (DEN),KIM Bokrae
Italy Open Courmayeur 2002,2002-05-02,GOBEL Jessica,KISHI Mayu,4,1,"11,10,11,11,11|5,12,6,7,7",R64,GRAND_SLAM,WS,1298,Main Draw,GOBEL Jessica (GER),KISHI Mayu (JPN),GOBEL Jessica
Italy Open Courmayeur 2002,2002-05-02,WONG Ching,PAOVIC Sandra,4,0,"11,11,12,11|7,4,10,4",R64,GRAND_SLAM,WS,1298,Main Draw,WONG Ching (HKG),PAOVIC Sandra (CRO),WONG Ching
Italy Open Courmayeur 2002,2002-05-02,LIU Jia,STEFANSKA Kinga,4,0,"11,11,11,11|2,9,7,7",R64,GRAND_SLAM,WS,1298,Main Draw,LIU Jia (AUT),STEFANSKA Kinga (POL),LIU Jia
Italy Open Courmayeur 2002,2002-05-02,KONISHI An,HERCZIG Judit,4,1,"7,11,11,11,11|11,7,7,8,7",R64,GRAND_SLAM,WS,1298,Main Draw,KONISHI An (JPN),HERCZIG Judit (AUT),KONISHI An
Italy Open Courmayeur 2002,2002-05-02,TAKEDA Akiko,KASABOVA Asya,4,0,"12,11,13,11|10,9,11,7",R64,GRAND_SLAM,WS,1298,Main Draw,TAKEDA Akiko (JPN),KASABOVA Asya (BUL),TAKEDA Akiko
Italy Open Courmayeur 2002,2002-05-02,ITO Midori,CECHOVA Dana,4,1,"5,11,11,11,11|11,8,7,8,9",R64,GRAND_SLAM,WS,1298,Main Draw,ITO Midori (JPN),CECHOVA Dana (CZE),ITO Midori
Italy Open Courmayeur 2002,2002-05-02,FUJINUMA Ai,MIE Anne-Claire,4,1,"11,12,12,12,11|4,10,10,14,9",R64,GRAND_SLAM,WS,1298,Main Draw,FUJINUMA Ai (JPN),MIE Anne-Claire (FRA),FUJINUMA Ai
Italy Open Courmayeur 2002,2002-05-02,LAU Sui Fei,GAJIC Jelena,4,2,"8,14,8,11,11,17|11,12,11,8,7,15",R64,GRAND_SLAM,WS,1298,Main Draw,LAU Sui Fei (HKG),GAJIC Jelena (SRB),LAU Sui Fei
Italy Open Courmayeur 2002,2002-05-02,STEFANOVA Nikoleta,LUDVIK Jana,4,1,"11,11,11,11,11|2,13,4,8,5",R64,GRAND_SLAM,WS,1298,Main Draw,STEFANOVA Nikoleta (ITA),LUDVIK Jana (SLO),STEFANOVA Nikoleta
Italy Open Courmayeur 2002,2002-05-02,YOON Jihye,FUKUHARA Ai,4,3,"7,11,11,9,10,11,11|11,9,7,11,12,1,7",R64,GRAND_SLAM,WS,1298,Main Draw,YOON Jihye (KOR),FUKUHARA Ai (JPN),YOON Jihye
Italy Open Courmayeur 2002,2002-05-02,RYU Jihae,IMAFUKU Kumi,4,1,"13,8,12,11,11|11,11,10,4,8",R64,GRAND_SLAM,WS,1298,Main Draw,RYU Jihae (KOR),IMAFUKU Kumi (JPN),RYU Jihae
Italy Open Courmayeur 2002,2002-05-02,BOROS Tamara,LEGAY Solene,4,1,"11,11,11,9,11|3,7,9,11,8",R32,GRAND_SLAM,WS,1298,Main Draw,BOROS Tamara (CRO),LEGAY Solene (FRA),BOROS Tamara
Italy Open Courmayeur 2002,2002-05-02,JOHANSSON Sandra,TIE Yana,4,2,"11,12,1,11,11,12|8,10,11,7,13,10",R32,GRAND_SLAM,WS,1298,Main Draw,JOHANSSON Sandra (SWE),TIE Yana (HKG),JOHANSSON Sandra
Italy Open Courmayeur 2002,2002-05-02,UMEMURA Aya,ZHANG Rui,4,0,"11,12,11,11|9,10,6,5",R32,GRAND_SLAM,WS,1298,Main Draw,UMEMURA Aya (JPN),ZHANG Rui (HKG),UMEMURA Aya
Italy Open Courmayeur 2002,2002-05-02,LI Jiawei,WANG Yu (YOB=1981),4,1,"11,11,4,11,11|6,6,11,3,4",R32,GRAND_SLAM,WS,1298,Main Draw,LI Jiawei (SGP),WANG Yu (YOB=1981) (ITA),LI Jiawei
Italy Open Courmayeur 2002,2002-05-02,JING Junhong,MOLNAR Cornelia,4,0,"11,11,11,12|6,9,5,10",R32,GRAND_SLAM,WS,1298,Main Draw,JING Junhong (SGP),MOLNAR Cornelia (CRO),JING Junhong
Italy Open Courmayeur 2002,2002-05-02,SONG Ah Sim,KWAK Bangbang,4,1,"13,12,11,11,11|15,10,7,9,8",R32,GRAND_SLAM,WS,1298,Main Draw,SONG Ah Sim (HKG),KWAK Bangbang (KOR),SONG Ah Sim
Italy Open Courmayeur 2002,2002-05-02,NEMES Olga,BOBETIC Andrea,4,0,"11,11,11,11|9,9,6,7",R32,GRAND_SLAM,WS,1298,Main Draw,NEMES Olga (ROU),BOBETIC Andrea (CRO),NEMES Olga
Italy Open Courmayeur 2002,2002-05-02,LIN Ling,ODOROVA Eva,4,2,"7,11,11,11,8,11|11,7,8,1,11,8",R32,GRAND_SLAM,WS,1298,Main Draw,LIN Ling (HKG),ODOROVA Eva (SVK),LIN Ling
Italy Open Courmayeur 2002,2002-05-02,STEFF Mihaela,WON Youngah,4,2,"7,11,11,9,11,11|11,8,0,11,8,4",R32,GRAND_SLAM,WS,1298,Main Draw,STEFF Mihaela (ROU),WON Youngah (KOR),STEFF Mihaela
Italy Open Courmayeur 2002,2002-05-02,HIURA Reiko,HALAS Helena,4,1,"11,11,6,11,11|6,5,11,6,6",R32,GRAND_SLAM,WS,1298,Main Draw,HIURA Reiko (JPN),HALAS Helena (SLO),HIURA Reiko
Italy Open Courmayeur 2002,2002-05-02,KIM Bokrae,GOBEL Jessica,4,0,"11,11,11,11|2,5,7,6",R32,GRAND_SLAM,WS,1298,Main Draw,KIM Bokrae (KOR),GOBEL Jessica (GER),KIM Bokrae
Italy Open Courmayeur 2002,2002-05-02,WONG Ching,LIU Jia,4,3,"4,8,11,11,11,6,11|11,11,8,8,7,11,9",R32,GRAND_SLAM,WS,1298,Main Draw,WONG Ching (HKG),LIU Jia (AUT),WONG Ching
Italy Open Courmayeur 2002,2002-05-02,KONISHI An,TAKEDA Akiko,4,0,"11,11,11,11|7,5,3,4",R32,GRAND_SLAM,WS,1298,Main Draw,KONISHI An (JPN),TAKEDA Akiko (JPN),KONISHI An
