tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,XU Xin,CHUANG Chih-Yuan,4,1,"11,11,8,11,11|8,7,11,6,3",SF,OTHER,MS,551,Main Draw,XU Xin (CHN),CHUANG Chih-Yuan (TPE)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,YAN An,ALAMIYAN Noshad,4,2,"11,11,10,12,11,11|5,4,12,14,7,6",SF,OTHER,MS,551,Main Draw,YAN An (CHN),ALAMIYAN Noshad (IRI)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,XU Xin,YAN An,4,2,"4,11,12,11,7,11|11,5,10,9,11,9",F,OTHER,MS,551,Main Draw,XU Xin (CHN),YAN An (CHN)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,KIM Hyok Bong,JIANG Tianyi,4,2,"11,11,7,11,7,11|5,9,11,4,11,8",5-8,OTHER,MS,551,Position Draw,KIM Hyok Bong (PRK),JIANG Tianyi (HKG)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,TANG Peng,CHEN Chien-An,4,3,"13,11,11,6,11,5,11|11,9,6,11,13,11,2",5-8,OTHER,MS,551,Position Draw,TANG Peng (HKG),CHEN Chien-An (TPE)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,TANG Peng,KIM Hyok Bong,4,2,"8,11,7,11,11,11|11,7,11,4,8,7",3RD,OTHER,MS,551,Position Draw,TANG Peng (HKG),KIM Hyok Bong (PRK)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,CHEN Chien-An,JIANG Tianyi,4,1,"11,12,11,11,11|9,10,13,4,4",3RD,OTHER,MS,551,Position Draw,CHEN Chien-An (TPE),JIANG Tianyi (HKG)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,CHUANG Chih-Yuan,ALAMIYAN Noshad,4,0,"11,11,11,11|9,7,3,7",3RD,OTHER,MS,551,Position Draw,CHUANG Chih-Yuan (TPE),ALAMIYAN Noshad (IRI)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,LIU Shiwen,JIANG Huajun,4,0,"11,11,12,13|8,6,10,11",QF,OTHER,WS,551,Main Draw,LIU Shiwen (CHN),JIANG Huajun (HKG)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,SEOK Hajung,YU Mengyu,4,1,"11,11,11,4,11|6,8,6,11,8",QF,OTHER,WS,551,Main Draw,SEOK Hajung (KOR),YU Mengyu (SGP)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,WU Yang,YANG Ha Eun,4,1,"11,11,3,11,11|8,8,11,6,5",QF,OTHER,WS,551,Main Draw,WU Yang (CHN),YANG Ha Eun (KOR)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,ISHIKAWA Kasumi,FENG Tianwei,4,1,"7,11,11,11,11|11,7,8,5,6",QF,OTHER,WS,551,Main Draw,ISHIKAWA Kasumi (JPN),FENG Tianwei (SGP)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,LIU Shiwen,SEOK Hajung,4,1,"11,7,11,11,11|5,11,6,8,3",5-8,OTHER,WS,551,Position Draw,LIU Shiwen (CHN),SEOK Hajung (KOR)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,LIU Shiwen,WU Yang,4,1,"11,11,15,3,11|3,6,13,11,6",3RD,OTHER,WS,551,Position Draw,LIU Shiwen (CHN),WU Yang (CHN)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,JIANG Huajun,YU Mengyu,4,2,"9,8,11,11,11,11|11,11,8,9,5,9",5-8,OTHER,WS,551,Position Draw,JIANG Huajun (HKG),YU Mengyu (SGP)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,FENG Tianwei,YANG Ha Eun,4,3,"5,10,5,11,12,11,12|11,12,11,6,10,5,10",5-8,OTHER,WS,551,Position Draw,FENG Tianwei (SGP),YANG Ha Eun (KOR)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,JIANG Huajun,FENG Tianwei,4,3,"11,5,9,5,11,11,11|7,11,11,11,8,6,8",3RD,OTHER,WS,551,Position Draw,JIANG Huajun (HKG),FENG Tianwei (SGP)
GAC Group 26th Table Tennis Asian Cup Hong Kong 2013,2013-04-12,ISHIKAWA Kasumi,SEOK Hajung,4,1,"11,12,11,4,11|9,10,3,11,7",3RD,OTHER,WS,551,Position Draw,ISHIKAWA Kasumi (JPN),SEOK Hajung (KOR)
