tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Table Tennis Championships Paris 2013,2013-05-13,SLATINSEK Uros/TOMAZINI Jana,MADRID Marcos/SILVA Yadira,4,2,"8,7,15,11,11,11|11,11,13,9,5,7",R128,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,SLATINSEK Uros (SLO) / TOMAZINI Jana (SLO),MADRID Marcos (MEX) / SILVA Yadira (MEX),SLATINSEK Uros
World Table Tennis Championships Paris 2013,2013-05-13,KIM Hyok Bong/PAK Sin Hyok,TOKIC Bojan/ZIBRAT Jan,4,2,"11,12,6,12,11,11|13,10,11,10,8,4",R64,WORLD_CHAMPIONSHIPS,MD,599,Main Draw,KIM Hyok Bong (PRK) / PAK Sin Hyok (PRK),TOKIC Bojan (SLO) / ZIBRAT Jan (SLO),KIM Hyok Bong
World Table Tennis Championships Paris 2013,2013-05-13,ANTHONY Amalraj/PATKAR Madhurika,MILOSEVIC Bojan/TODOROVIC Andrea,4,3,"9,11,10,11,9,11,11|11,8,12,6,11,5,4",R128,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,ANTHONY Amalraj (IND) / PATKAR Madhurika (IND),MILOSEVIC Bojan (SRB) / TODOROVIC Andrea (SRB),ANTHONY Amalraj
World Table Tennis Championships Paris 2013,2013-05-13,MOHLER Nicola/MORET Rachel,JEVTOVIC Marko/ERDELJI Anamaria,4,3,"12,7,11,5,6,11,11|10,11,7,11,11,6,6",R128,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,MOHLER Nicola (SUI) / MORET Rachel (SUI),JEVTOVIC Marko (SRB) / ERDELJI Anamaria (SRB),MOHLER Nicola
World Table Tennis Championships Paris 2013,2013-05-13,POUNGSRI Max/KHETKHUAN Tamolwan,PETO Zsolt/KNEZEVIC Monika,4,3,"11,11,11,9,2,4,11|9,1,3,11,11,11,7",R128,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,POUNGSRI Max (THA) / KHETKHUAN Tamolwan (THA),PETO Zsolt (SRB) / KNEZEVIC Monika (SRB),POUNGSRI Max
World Table Tennis Championships Paris 2013,2013-05-13,CHEN Chien-An/CHUANG Chih-Yuan,JEVTOVIC Marko/PETO Zsolt,4,0,"11,11,12,11|6,7,10,4",R32,WORLD_CHAMPIONSHIPS,MD,599,Main Draw,CHEN Chien-An (TPE) / CHUANG Chih-Yuan (TPE),JEVTOVIC Marko (SRB) / PETO Zsolt (SRB),CHEN Chien-An
World Table Tennis Championships Paris 2013,2013-05-13,TSUBOI Gustavo/YAMADA Jessica,SIRISENA Rohan/MADURANGI Ishara,4,0,"11,11,16,11|8,5,14,7",R128,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,TSUBOI Gustavo (BRA) / YAMADA Jessica (BRA),SIRISENA Rohan (SRI) / MADURANGI Ishara (SRI),TSUBOI Gustavo
World Table Tennis Championships Paris 2013,2013-05-13,SOLJA Petrissa/WINTER Sabine,ASCHWANDEN Rahel/MORET Rachel,4,1,"11,11,9,11,11|6,4,11,4,9",R64,WORLD_CHAMPIONSHIPS,WD,599,Main Draw,SOLJA Petrissa (GER) / WINTER Sabine (GER),ASCHWANDEN Rahel (SUI) / MORET Rachel (SUI),SOLJA Petrissa
World Table Tennis Championships Paris 2013,2013-05-13,LEE Sang Su/PARK Youngsook,MOHLER Nicola/MORET Rachel,4,2,"11,5,11,11,12,11|9,11,7,5,14,2",R64,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,LEE Sang Su (KOR) / PARK Youngsook (KOR),MOHLER Nicola (SUI) / MORET Rachel (SUI),LEE Sang Su
World Table Tennis Championships Paris 2013,2013-05-13,CHENG I-Ching/HUANG Yi-Hua,VARADY Barbora/TRUKSOVA Lucia,4,1,"9,11,11,11,11|11,3,7,4,3",R64,WORLD_CHAMPIONSHIPS,WD,599,Main Draw,CHENG I-Ching (TPE) / HUANG Yi-Hua (TPE),VARADY Barbora (SVK) / TRUKSOVA Lucia (SVK),CHENG I-Ching
World Table Tennis Championships Paris 2013,2013-05-13,PISTEJ Lubomir/VARADY Barbora,GAO Ning/FENG Tianwei,4,3,"9,11,11,7,5,11,14|11,5,8,11,11,4,12",R32,WORLD_CHAMPIONSHIPS,XD,599,Main Draw,PISTEJ Lubomir (SVK) / VARADY Barbora (SVK),GAO Ning (SGP) / FENG Tianwei (SGP),PISTEJ Lubomir
World Table Tennis Championships Paris 2013,2013-05-13,KARLSSON Kristian/KARLSSON Mattias,CANTERO Jesus/DURAN Marc,4,1,"9,11,13,11,11|11,6,11,5,4",R64,WORLD_CHAMPIONSHIPS,MD,599,Main Draw,KARLSSON Kristian (SWE) / KARLSSON Mattias (SWE),CANTERO Jesus (ESP) / DURAN Marc (ESP),KARLSSON Kristian
World Table Tennis Championships Paris 2013,2013-05-13,GERELL Par/LUNDQVIST Jens,JAKAB Janos/ZWICKL Daniel,4,2,"3,11,12,11,11,11|11,6,10,7,13,7",R64,WORLD_CHAMPIONSHIPS,MD,599,Main Draw,GERELL Par (SWE) / LUNDQVIST Jens (SWE),JAKAB Janos (HUN) / ZWICKL Daniel (HUN),GERELL Par
World Table Tennis Championships Paris 2013,2013-05-13,KARLSSON Kristian/KARLSSON Mattias,MONTEIRO Thiago/TSUBOI Gustavo,4,0,"11,11,11,12|4,3,5,10",R32,WORLD_CHAMPIONSHIPS,MD,599,Main Draw,KARLSSON Kristian (SWE) / KARLSSON Mattias (SWE),MONTEIRO Thiago (BRA) / TSUBOI Gustavo (BRA),KARLSSON Kristian
