tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Contender Muscat 2024,2024-10-30,XUE Fei,SHINOZUKA Hiroto,3,1,"11,5,11,11|8,11,6,6",R32,WTT_CONTENDER,MS,2997,Main Draw,XUE Fei (CHN),SHINOZUKA Hiroto (JPN),XUE Fei
WTT Contender Muscat 2024,2024-10-30,QIAN Tianyi,NG Wing Lam,3,1,"11,8,11,11|5,11,6,3",R32,WTT_CONTENDER,WS,2997,Main Draw,QIAN Tianyi (CHN),NG Wing Lam (HKG),QIAN Tianyi
WTT Contender Muscat 2024,2024-10-30,KUAI Man,ZHU Sibing,3,0,"11,11,13|7,9,11",R32,WTT_CONTENDER,WS,2997,Main Draw,KUAI Man (CHN),ZHU Sibing (CHN),KUAI Man
WTT Contender Muscat 2024,2024-10-30,HO Kwan Kit/YIU Kwan To,KWAN Man Ho/CHOY Chun Kit,3,0,"11,11,11|7,9,5",R16,WTT_CONTENDER,MD,2997,Main Draw,HO Kwan Kit/YIU Kwan To (HKG),KWAN Man Ho/CHOY Chun Kit (HKG),HO Kwan Kit/YIU Kwan To
WTT Contender Muscat 2024,2024-10-30,CHEW Zhe Yu Clarence/CHUA Josh Shao Han,WEN Ruibo/CHEN Yuanyu,3,1,"11,4,11,11|9,11,5,5",R16,WTT_CONTENDER,MD,2997,Main Draw,CHEW Zhe Yu Clarence/CHUA Josh Shao Han (SGP),WEN Ruibo/CHEN Yuanyu (CHN),CHEW Zhe Yu Clarence/CHUA Josh Shao Han
WTT Contender Muscat 2024,2024-10-30,XUE Fei/ZHOU Qihao,LAM Siu Hang/LI Hon Ming,3,2,"9,6,11,11,11|11,11,4,6,7",R16,WTT_CONTENDER,MD,2997,Main Draw,XUE Fei/ZHOU Qihao (CHN),LAM Siu Hang/LI Hon Ming (HKG),XUE Fei/ZHOU Qihao
WTT Contender Muscat 2024,2024-10-30,DIACONU Adina,LEE Hoi Man Karen,3,0,"15,11,11|13,6,4",R32,WTT_CONTENDER,WS,2997,Main Draw,DIACONU Adina (ROU),LEE Hoi Man Karen (HKG),DIACONU Adina
WTT Contender Muscat 2024,2024-10-30,KIM Nayeong,RAKOVAC Lea,3,0,"11,11,11|6,4,6",R32,WTT_CONTENDER,WS,2997,Main Draw,KIM Nayeong (KOR),RAKOVAC Lea (CRO),KIM Nayeong
WTT Contender Muscat 2024,2024-10-30,DOO Hoi Kem,SURJAN Sabina,3,0,"11,13,11|7,11,9",R32,WTT_CONTENDER,WS,2997,Main Draw,DOO Hoi Kem (HKG),SURJAN Sabina (SRB),DOO Hoi Kem
WTT Contender Muscat 2024,2024-10-30,HUANG Youzheng,QUEK Izaac,3,2,"12,7,11,4,11|10,11,7,11,9",R32,WTT_CONTENDER,MS,2997,Main Draw,HUANG Youzheng (CHN),QUEK Izaac (SGP),HUANG Youzheng
WTT Contender Muscat 2024,2024-10-30,FARAJI Benyamin/KESHAVARZI Amirmahdi,AL BALUSHI Muhannad/GHASSANI Ghassan AL,3,0,"11,14,11|1,12,9",R16,WTT_CONTENDER,MD,2997,Main Draw,FARAJI Benyamin/KESHAVARZI Amirmahdi (IRI),AL BALUSHI Muhannad/GHASSANI Ghassan AL (OMA),FARAJI Benyamin/KESHAVARZI Amirmahdi
WTT Contender Muscat 2024,2024-10-30,BALAZOVA Barbora/CHENG Hsien-Tzu,GHOSH Swastika/BAISYA Poymantee,3,1,"8,11,11,13|11,4,9,11",R16,WTT_CONTENDER,WD,2997,Main Draw,BALAZOVA Barbora/CHENG Hsien-Tzu (SVK/TPE),GHOSH Swastika/BAISYA Poymantee (IND),BALAZOVA Barbora/CHENG Hsien-Tzu
WTT Contender Muscat 2024,2024-10-30,YANG Yiyun/ZHU Sibing,ZONG Geman/LI Yake,3,2,"12,6,9,11,11|10,11,11,7,7",R16,WTT_CONTENDER,WD,2997,Main Draw,YANG Yiyun/ZHU Sibing (CHN),ZONG Geman/LI Yake (CHN),YANG Yiyun/ZHU Sibing
WTT Contender Muscat 2024,2024-10-30,UDA Yukiya,ISTRATE Andrei,3,1,"10,12,11,11|12,10,5,9",R32,WTT_CONTENDER,MS,2997,Main Draw,UDA Yukiya (JPN),ISTRATE Andrei (ROU),UDA Yukiya
WTT Contender Muscat 2024,2024-10-30,XIANG Peng,KARLSSON Kristian,3,2,"4,11,12,10,11|11,9,10,12,4",R32,WTT_CONTENDER,MS,2997,Main Draw,XIANG Peng (CHN),KARLSSON Kristian (SWE),XIANG Peng
WTT Contender Muscat 2024,2024-10-30,QIAN Tianyi/SHI Xunyao,KIM Nayeong/YANG Ha Eun,3,2,"13,9,11,11,11|15,11,9,2,9",R16,WTT_CONTENDER,WD,2997,Main Draw,QIAN Tianyi/SHI Xunyao (CHN),KIM Nayeong/YANG Ha Eun (KOR),QIAN Tianyi/SHI Xunyao
WTT Contender Muscat 2024,2024-10-30,IONESCU Eduard,LAM Siu Hang,3,0,"11,11,12|3,9,10",R32,WTT_CONTENDER,MS,2997,Main Draw,IONESCU Eduard (ROU),LAM Siu Hang (HKG),IONESCU Eduard
WTT Contender Muscat 2024,2024-10-30,ZHU Chengzhu,YOON Hyobin,3,2,"6,10,11,11,11|11,12,8,9,7",R32,WTT_CONTENDER,WS,2997,Main Draw,ZHU Chengzhu (HKG),YOON Hyobin (KOR),ZHU Chengzhu
WTT Contender Muscat 2024,2024-10-30,LIN Shidong,GNANASEKARAN Sathiyan,3,2,"10,3,11,11,11|12,11,8,1,5",R32,WTT_CONTENDER,MS,2997,Main Draw,LIN Shidong (CHN),GNANASEKARAN Sathiyan (IND),LIN Shidong
WTT Contender Muscat 2024,2024-10-30,HE Zhuojia,CHENG Hsien-Tzu,3,0,"11,11,11|9,6,7",R32,WTT_CONTENDER,WS,2997,Main Draw,HE Zhuojia (CHN),CHENG Hsien-Tzu (TPE),HE Zhuojia
WTT Contender Muscat 2024,2024-10-30,ZHOU Qihao,MENGEL Steffen,3,2,"10,11,11,5,11|12,9,6,11,3",R32,WTT_CONTENDER,MS,2997,Main Draw,ZHOU Qihao (CHN),MENGEL Steffen (GER),ZHOU Qihao
WTT Contender Muscat 2024,2024-10-30,CHEN Yuanyu,HO Kwan Kit,3,1,"11,11,11,11|13,2,9,7",R32,WTT_CONTENDER,MS,2997,Main Draw,CHEN Yuanyu (CHN),HO Kwan Kit (HKG),CHEN Yuanyu
WTT Contender Muscat 2024,2024-10-30,CHAN Baldwin,PANG Koen,3,2,"7,11,11,6,11|11,9,8,11,6",R32,WTT_CONTENDER,MS,2997,Main Draw,CHAN Baldwin (HKG),PANG Koen (SGP),CHAN Baldwin
