tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF Asian Championships Wuxi 2017,2017-04-09,PATKAR Madhurika,NYYAZGYLYJOVA Oguljennet,3,0,"11,11,11|6,2,5",R128,OTHER,WS,515,Main Draw,NYYAZGYLYJOVA Oguljennet (TKM),PATKAR Madhurika (IND)
ITTF Asian Championships Wuxi 2017,2017-04-09,YANG Heng-Wei,LEONG Chee Feng,3,1,"11,11,5,11|7,7,11,7",R128,OTHER,MS,515,Main Draw,YANG Heng-Wei (TPE),LEONG Chee Feng (MAS)
ITTF Asian Championships Wuxi 2017,2017-04-09,PASSARA Pattaratorn,YAKUBOV Davut,3,0,"11,11,11|3,6,6",R128,OTHER,MS,515,Main Draw,YAKUBOV Davut (TKM),PASSARA Pattaratorn (THA)
ITTF Asian Championships Wuxi 2017,2017-04-09,SULTONOV Islombek,JARGALSAIKHAN Munkhzorig,3,0,"11,11,11|3,6,8",R128,OTHER,MS,515,Main Draw,SULTONOV Islombek (UZB),JARGALSAIKHAN Munkhzorig (MGL)
ITTF Asian Championships Wuxi 2017,2017-04-09,CHOE Il,AL KHARUSI Said,3,0,"11,11,11|2,2,1",R128,OTHER,MS,515,Main Draw,CHOE Il (PRK),AL KHARUSI Said (OMA)
ITTF Asian Championships Wuxi 2017,2017-04-09,BHAGWANI Deepash,PARAG Masud Rana,3,0,"11,11,11|5,3,7",R128,OTHER,MS,515,Main Draw,BHAGWANI Deepash (INA),PARAG Masud Rana (BAN)
ITTF Asian Championships Wuxi 2017,2017-04-09,GHOSH Soumyajit,AHMEDOV Rashid,3,0,"11,11,11|2,3,6",R128,OTHER,MS,515,Main Draw,AHMEDOV Rashid (TKM),GHOSH Soumyajit (IND)
ITTF Asian Championships Wuxi 2017,2017-04-09,HO Kwan Kit,ALKHAMIS Sultan,3,0,"11,11,11|5,4,4",R128,OTHER,MS,515,Main Draw,HO Kwan Kit (HKG),ALKHAMIS Sultan (KSA)
ITTF Asian Championships Wuxi 2017,2017-04-09,KENJAEV Zokhid,ALBALOOSHI Abdulla,3,1,"11,8,11,11|9,11,5,8",R128,OTHER,MS,515,Main Draw,KENJAEV Zokhid (UZB),ALBALOOSHI Abdulla (UAE)
ITTF Asian Championships Wuxi 2017,2017-04-09,WONGSIRI Nikom,KENZHIGULOV Aidos,3,0,"11,11,15|7,6,13",R128,OTHER,MS,515,Main Draw,WONGSIRI Nikom (THA),KENZHIGULOV Aidos (KAZ)
ITTF Asian Championships Wuxi 2017,2017-04-09,GAO Ning,KHADER Khaled,3,0,"11,11,11|8,7,6",R128,OTHER,MS,515,Main Draw,KHADER Khaled (JOR),GAO Ning (SGP)
ITTF Asian Championships Wuxi 2017,2017-04-09,JANG Woojin,HARB Ahmad,3,0,"11,11,11|8,6,5",R128,OTHER,MS,515,Main Draw,JANG Woojin (KOR),HARB Ahmad (LBN)
ITTF Asian Championships Wuxi 2017,2017-04-09,POH Ethan,WANG Chun,3,0,"11,11,11|5,5,9",R128,OTHER,MS,515,Main Draw,POH Ethan (SGP),WANG Chun (MAC)
ITTF Asian Championships Wuxi 2017,2017-04-09,TAHERKHANI Hamidreza,TULGUUR Chinzorig,3,2,"9,11,11,11,11|11,13,5,8,5",R128,OTHER,MS,515,Main Draw,TAHERKHANI Hamidreza (IRI),TULGUUR Chinzorig (MGL)
ITTF Asian Championships Wuxi 2017,2017-04-09,HARIMOTO Tomokazu,DOAN Ba Tuan Anh,3,0,"11,11,11|3,5,7",R128,OTHER,MS,515,Main Draw,DOAN Ba Tuan Anh (VIE),HARIMOTO Tomokazu (JPN)
ITTF Asian Championships Wuxi 2017,2017-04-09,LIAO Cheng-Ting,IBRAHIM Muhd Shakirin,3,2,"11,11,8,13,11|5,3,11,15,6",R128,OTHER,MS,515,Main Draw,LIAO Cheng-Ting (TPE),IBRAHIM Muhd Shakirin (MAS)
ITTF Asian Championships Wuxi 2017,2017-04-09,SANGPAO Komgrit,AHMED Moosa,3,0,"11,11,11|5,7,8",R128,OTHER,MS,515,Main Draw,AHMED Moosa (MDV),SANGPAO Komgrit (THA)
ITTF Asian Championships Wuxi 2017,2017-04-09,JAYASINGHA Nirmala,SAGYNDYKOV Talgat,3,2,"11,8,9,11,12|9,11,11,5,10",R128,OTHER,MS,515,Main Draw,JAYASINGHA Nirmala (SRI),SAGYNDYKOV Talgat (KGZ)
ITTF Asian Championships Wuxi 2017,2017-04-09,ALDMAISY Zeyad,QURESHI Asim,3,0,"11,11,12|6,7,10",R128,OTHER,MS,515,Main Draw,QURESHI Asim (PAK),ALDMAISY Zeyad (JOR)
ITTF Asian Championships Wuxi 2017,2017-04-09,WAHID Habibie,HAIQAL Muhamad Ashraf,3,1,"13,11,8,11|11,7,11,7",R128,OTHER,MS,515,Main Draw,WAHID Habibie (INA),HAIQAL Muhamad Ashraf (MAS)
ITTF Asian Championships Wuxi 2017,2017-04-09,HUNG Tzu-Hsiang,CHOWDHURY Manash,3,0,"11,11,12|3,5,10",R128,OTHER,MS,515,Main Draw,CHOWDHURY Manash (BAN),HUNG Tzu-Hsiang (TPE)
ITTF Asian Championships Wuxi 2017,2017-04-09,NG Pak Nam,ALRAISI Asad,3,0,"11,11,11|1,6,8",R128,OTHER,MS,515,Main Draw,NG Pak Nam (HKG),ALRAISI Asad (OMA)
ITTF Asian Championships Wuxi 2017,2017-04-09,LOTFIJANABADI Miad,CHEONG Chi Chon,3,0,"11,11,12|3,7,10",R128,OTHER,MS,515,Main Draw,CHEONG Chi Chon (MAC),LOTFIJANABADI Miad (IRI)
ITTF Asian Championships Wuxi 2017,2017-04-09,TAY Ming Han Maxxe,DINH Quang Linh,3,2,"11,11,9,7,11|9,6,11,11,4",R128,OTHER,MS,515,Main Draw,DINH Quang Linh (VIE),TAY Ming Han Maxxe (SGP)
ITTF Asian Championships Wuxi 2017,2017-04-09,OSHIMA Yuya,BATKHISHIG Bilegt,3,0,"11,11,11|2,9,6",R128,OTHER,MS,515,Main Draw,BATKHISHIG Bilegt (MGL),OSHIMA Yuya (JPN)
ITTF Asian Championships Wuxi 2017,2017-04-09,LIN Gaoyuan,RANJANA Chalitha,3,0,"11,11,11|2,1,4",R128,OTHER,MS,515,Main Draw,LIN Gaoyuan (CHN),RANJANA Chalitha (SRI)
ITTF Asian Championships Wuxi 2017,2017-04-09,ROUINTANESFAHANI Mohammadali,IAKUPBAEV Alisher,3,0,"11,13,11|6,11,9",R128,OTHER,MS,515,Main Draw,ROUINTANESFAHANI Mohammadali (IRI),IAKUPBAEV Alisher (KGZ)
ITTF Asian Championships Wuxi 2017,2017-04-09,ALKHADRAWI Ali,LEVCHENKO Gennadiy,3,2,"12,4,11,3,11|10,11,4,11,6",R128,OTHER,MS,515,Main Draw,ALKHADRAWI Ali (KSA),LEVCHENKO Gennadiy (UZB)
ITTF Asian Championships Wuxi 2017,2017-04-09,DESAI Harmeet,ABDULLA Mohammed,3,0,"11,11,11|5,6,2",R128,OTHER,MS,515,Main Draw,ABDULLA Mohammed (UAE),DESAI Harmeet (IND)
ITTF Asian Championships Wuxi 2017,2017-04-09,KIM Minseok,PAK Sin Hyok,3,2,"8,11,11,10,11|11,1,6,12,7",R128,OTHER,MS,515,Main Draw,KIM Minseok (KOR),PAK Sin Hyok (PRK)
ITTF Asian Championships Wuxi 2017,2017-04-09,WISUTMAYTHANGKOON Supanut,ALMALKI Nawaf,3,0,"11,11,11|2,1,6",R128,OTHER,MS,515,Main Draw,ALMALKI Nawaf (QAT),WISUTMAYTHANGKOON Supanut (THA)
ITTF Asian Championships Wuxi 2017,2017-04-09,ALLANAZAROV Guychgeldi,SHAFFAN Mohamed,3,2,"11,11,8,9,11|6,8,11,11,9",R128,OTHER,MS,515,Main Draw,SHAFFAN Mohamed (MDV),ALLANAZAROV Guychgeldi (TKM)
ITTF Asian Championships Wuxi 2017,2017-04-09,ALBLOOSHI Essa,NURGELDIYEV Annaberdi,3,1,"11,7,11,11|2,11,7,8",R128,OTHER,MS,515,Main Draw,NURGELDIYEV Annaberdi (TKM),ALBLOOSHI Essa (UAE)
ITTF Asian Championships Wuxi 2017,2017-04-09,SANTOSO Ficky,AL QARANI Said,3,0,"11,11,11|3,5,2",R128,OTHER,MS,515,Main Draw,SANTOSO Ficky (INA),AL QARANI Said (OMA)
ITTF Asian Championships Wuxi 2017,2017-04-09,LAM Siu Hang,CHANG Hoi Wa,3,0,"11,11,11|5,5,9",R128,OTHER,MS,515,Main Draw,CHANG Hoi Wa (MAC),LAM Siu Hang (HKG)
ITTF Asian Championships Wuxi 2017,2017-04-09,RO Kwang Jin,TANVIRIYAVECHAKUL Padasak,3,0,"11,11,11|8,9,1",R128,OTHER,MS,515,Main Draw,TANVIRIYAVECHAKUL Padasak (THA),RO Kwang Jin (PRK)
ITTF Asian Championships Wuxi 2017,2017-04-09,ZHOLUDEV Denis,MIRZOKHIDOV Mirakbar,3,0,"11,11,11|1,1,3",R128,OTHER,MS,515,Main Draw,ZHOLUDEV Denis (KAZ),MIRZOKHIDOV Mirakbar (UZB)
ITTF Asian Championships Wuxi 2017,2017-04-09,ABO YAMAN Zaid,LIM Zheng Jie Edric,3,1,"5,11,11,11|11,9,7,9",R128,OTHER,MS,515,Main Draw,ABO YAMAN Zaid (JOR),LIM Zheng Jie Edric (SGP)
ITTF Asian Championships Wuxi 2017,2017-04-09,ACHANTA Sharath,NASEEM Mohamed,3,0,"11,11,11|7,6,6",R128,OTHER,MS,515,Main Draw,NASEEM Mohamed (MDV),ACHANTA Sharath (IND)
ITTF Asian Championships Wuxi 2017,2017-04-09,LEE Sang Su,CHOONG Javen,3,0,"11,11,14|4,9,12",R128,OTHER,MS,515,Main Draw,LEE Sang Su (KOR),CHOONG Javen (MAS)
ITTF Asian Championships Wuxi 2017,2017-04-09,AHMADIAN Amin,ALHOURANI Hasan,3,0,"12,11,11|10,5,5",R128,OTHER,MS,515,Main Draw,AHMADIAN Amin (IRI),ALHOURANI Hasan (JOR)
ITTF Asian Championships Wuxi 2017,2017-04-09,BU SHULAYBI Abdulaziz,SIRISENA Rohan,3,2,"8,11,11,5,11|11,5,4,11,9",R128,OTHER,MS,515,Main Draw,BU SHULAYBI Abdulaziz (KSA),SIRISENA Rohan (SRI)
ITTF Asian Championships Wuxi 2017,2017-04-09,SUN Chia-Hung,NGUYEN Duc Tuan,3,0,"11,11,11|6,5,6",R128,OTHER,MS,515,Main Draw,SUN Chia-Hung (TPE),NGUYEN Duc Tuan (VIE)
ITTF Asian Championships Wuxi 2017,2017-04-09,NEGARA Muhammad,AHMEDOV Ravil,3,0,"11,11,11|4,8,5",R128,OTHER,MS,515,Main Draw,AHMEDOV Ravil (TKM),NEGARA Muhammad (INA)
ITTF Asian Championships Wuxi 2017,2017-04-09,RAMEEZ Muhammad,CHINBAT Erdenebayar,3,0,"11,11,11|9,9,8",R128,OTHER,MS,515,Main Draw,CHINBAT Erdenebayar (MGL),RAMEEZ Muhammad (PAK)
ITTF Asian Championships Wuxi 2017,2017-04-09,MA Long,KANG Wi Hun,3,0,"11,11,11|5,3,6",R64,OTHER,MS,515,Main Draw,MA Long (CHN),KANG Wi Hun (PRK)
ITTF Asian Championships Wuxi 2017,2017-04-09,JEONG Sangeun,PANG Xue Jie,3,1,"11,11,11,11|6,13,8,4",R64,OTHER,MS,515,Main Draw,PANG Xue Jie (SGP),JEONG Sangeun (KOR)
ITTF Asian Championships Wuxi 2017,2017-04-09,JIANG Tianyi,KARUNARATHNA Milinda,3,0,"11,11,11|4,1,2",R64,OTHER,MS,515,Main Draw,JIANG Tianyi (HKG),KARUNARATHNA Milinda (SRI)
ITTF Asian Championships Wuxi 2017,2017-04-09,CHEN Chien-An,AJI Donny,3,0,"11,11,11|3,4,3",R64,OTHER,MS,515,Main Draw,AJI Donny (INA),CHEN Chien-An (TPE)
ITTF Asian Championships Wuxi 2017,2017-04-09,NGUYEN Anh Tu,GNANASEKARAN Sathiyan,3,2,"5,11,7,11,11|11,7,11,9,8",R64,OTHER,MS,515,Main Draw,NGUYEN Anh Tu (VIE),GNANASEKARAN Sathiyan (IND)
ITTF Asian Championships Wuxi 2017,2017-04-09,YANG Heng-Wei,PASSARA Pattaratorn,3,0,"11,11,11|6,9,4",R64,OTHER,MS,515,Main Draw,YANG Heng-Wei (TPE),PASSARA Pattaratorn (THA)
ITTF Asian Championships Wuxi 2017,2017-04-09,SULTONOV Islombek,AKHMEDZHANOV Mukhammed,3,1,"11,10,11,11|8,12,4,7",R64,OTHER,MS,515,Main Draw,SULTONOV Islombek (UZB),AKHMEDZHANOV Mukhammed (KGZ)
ITTF Asian Championships Wuxi 2017,2017-04-09,NIWA Koki,CHOE Il,3,2,"11,9,11,5,12|8,11,7,11,10",R64,OTHER,MS,515,Main Draw,NIWA Koki (JPN),CHOE Il (PRK)
ITTF Asian Championships Wuxi 2017,2017-04-09,GHOSH Soumyajit,BHAGWANI Deepash,3,0,"11,11,11|6,6,9",R64,OTHER,MS,515,Main Draw,BHAGWANI Deepash (INA),GHOSH Soumyajit (IND)
ITTF Asian Championships Wuxi 2017,2017-04-09,HO Kwan Kit,KENJAEV Zokhid,3,1,"11,11,2,13|8,5,11,11",R64,OTHER,MS,515,Main Draw,HO Kwan Kit (HKG),KENJAEV Zokhid (UZB)
ITTF Asian Championships Wuxi 2017,2017-04-09,GAO Ning,WONGSIRI Nikom,3,0,"11,11,11|3,5,4",R64,OTHER,MS,515,Main Draw,WONGSIRI Nikom (THA),GAO Ning (SGP)
ITTF Asian Championships Wuxi 2017,2017-04-09,JANG Woojin,POH Ethan,3,0,"11,11,11|4,6,6",R64,OTHER,MS,515,Main Draw,JANG Woojin (KOR),POH Ethan (SGP)
ITTF Asian Championships Wuxi 2017,2017-04-09,HARIMOTO Tomokazu,TAHERKHANI Hamidreza,3,0,"11,11,11|8,3,9",R64,OTHER,MS,515,Main Draw,TAHERKHANI Hamidreza (IRI),HARIMOTO Tomokazu (JPN)
ITTF Asian Championships Wuxi 2017,2017-04-09,LIAO Cheng-Ting,SANGPAO Komgrit,3,0,"11,11,11|7,5,8",R64,OTHER,MS,515,Main Draw,LIAO Cheng-Ting (TPE),SANGPAO Komgrit (THA)
ITTF Asian Championships Wuxi 2017,2017-04-09,XU Xin,JAYASINGHA Nirmala,3,0,"11,11,11|1,1,1",R64,OTHER,MS,515,Main Draw,JAYASINGHA Nirmala (SRI),XU Xin (CHN)
ITTF Asian Championships Wuxi 2017,2017-04-09,ZHANG Jike,ALDMAISY Zeyad,3,0,"11,11,11|5,3,6",R64,OTHER,MS,515,Main Draw,ZHANG Jike (CHN),ALDMAISY Zeyad (JOR)
ITTF Asian Championships Wuxi 2017,2017-04-09,HUNG Tzu-Hsiang,WAHID Habibie,3,2,"4,11,8,13,11|11,7,11,11,3",R64,OTHER,MS,515,Main Draw,WAHID Habibie (INA),HUNG Tzu-Hsiang (TPE)
ITTF Asian Championships Wuxi 2017,2017-04-09,NG Pak Nam,LOTFIJANABADI Miad,3,1,"9,11,11,11|11,5,3,7",R64,OTHER,MS,515,Main Draw,NG Pak Nam (HKG),LOTFIJANABADI Miad (IRI)
ITTF Asian Championships Wuxi 2017,2017-04-09,OSHIMA Yuya,TAY Ming Han Maxxe,3,0,"11,11,11|4,5,3",R64,OTHER,MS,515,Main Draw,TAY Ming Han Maxxe (SGP),OSHIMA Yuya (JPN)
ITTF Asian Championships Wuxi 2017,2017-04-09,LIN Gaoyuan,ROUINTANESFAHANI Mohammadali,3,1,"11,11,9,11|4,5,11,3",R64,OTHER,MS,515,Main Draw,LIN Gaoyuan (CHN),ROUINTANESFAHANI Mohammadali (IRI)
ITTF Asian Championships Wuxi 2017,2017-04-09,DESAI Harmeet,ALKHADRAWI Ali,3,0,"11,11,11|5,5,5",R64,OTHER,MS,515,Main Draw,ALKHADRAWI Ali (KSA),DESAI Harmeet (IND)
ITTF Asian Championships Wuxi 2017,2017-04-09,KIM Minseok,WISUTMAYTHANGKOON Supanut,3,0,"11,11,11|7,4,9",R64,OTHER,MS,515,Main Draw,KIM Minseok (KOR),WISUTMAYTHANGKOON Supanut (THA)
ITTF Asian Championships Wuxi 2017,2017-04-09,WONG Chun Ting,ALLANAZAROV Guychgeldi,3,0,"11,11,11|3,4,1",R64,OTHER,MS,515,Main Draw,ALLANAZAROV Guychgeldi (TKM),WONG Chun Ting (HKG)
ITTF Asian Championships Wuxi 2017,2017-04-09,MATSUDAIRA Kenta,ALBLOOSHI Essa,3,0,"11,11,11|4,3,5",R64,OTHER,MS,515,Main Draw,MATSUDAIRA Kenta (JPN),ALBLOOSHI Essa (UAE)
ITTF Asian Championships Wuxi 2017,2017-04-09,LAM Siu Hang,SANTOSO Ficky,3,2,"11,11,6,7,11|6,5,11,11,7",R64,OTHER,MS,515,Main Draw,SANTOSO Ficky (INA),LAM Siu Hang (HKG)
ITTF Asian Championships Wuxi 2017,2017-04-09,RO Kwang Jin,ZHOLUDEV Denis,3,1,"11,9,12,11|9,11,10,8",R64,OTHER,MS,515,Main Draw,RO Kwang Jin (PRK),ZHOLUDEV Denis (KAZ)
ITTF Asian Championships Wuxi 2017,2017-04-09,ACHANTA Sharath,ABO YAMAN Zaid,3,0,"13,11,11|11,6,7",R64,OTHER,MS,515,Main Draw,ABO YAMAN Zaid (JOR),ACHANTA Sharath (IND)
ITTF Asian Championships Wuxi 2017,2017-04-09,LEE Sang Su,AHMADIAN Amin,3,0,"11,12,11|7,10,6",R64,OTHER,MS,515,Main Draw,LEE Sang Su (KOR),AHMADIAN Amin (IRI)
ITTF Asian Championships Wuxi 2017,2017-04-09,SHETTY Sanil,BU SHULAYBI Abdulaziz,3,0,"11,11,11|4,5,9",R64,OTHER,MS,515,Main Draw,BU SHULAYBI Abdulaziz (KSA),SHETTY Sanil (IND)
ITTF Asian Championships Wuxi 2017,2017-04-09,SUN Chia-Hung,NEGARA Muhammad,3,1,"11,9,11,11|2,11,9,9",R64,OTHER,MS,515,Main Draw,SUN Chia-Hung (TPE),NEGARA Muhammad (INA)
ITTF Asian Championships Wuxi 2017,2017-04-09,FAN Zhendong,RAMEEZ Muhammad,3,0,"11,11,11|2,2,4",R64,OTHER,MS,515,Main Draw,RAMEEZ Muhammad (PAK),FAN Zhendong (CHN)
ITTF Asian Championships Wuxi 2017,2017-04-09,JEONG Sangeun,MA Long,3,1,"11,11,6,11|9,8,11,6",R32,OTHER,MS,515,Main Draw,MA Long (CHN),JEONG Sangeun (KOR)
ITTF Asian Championships Wuxi 2017,2017-04-09,JIANG Tianyi,CHEN Chien-An,3,1,"11,11,12,11|9,9,14,8",R32,OTHER,MS,515,Main Draw,JIANG Tianyi (HKG),CHEN Chien-An (TPE)
ITTF Asian Championships Wuxi 2017,2017-04-09,YOSHIMURA Maharu,NGUYEN Anh Tu,3,0,"11,11,11|6,6,9",R32,OTHER,MS,515,Main Draw,YOSHIMURA Maharu (JPN),NGUYEN Anh Tu (VIE)
ITTF Asian Championships Wuxi 2017,2017-04-09,YANG Heng-Wei,SULTONOV Islombek,3,0,"11,11,11|2,2,3",R32,OTHER,MS,515,Main Draw,YANG Heng-Wei (TPE),SULTONOV Islombek (UZB)
ITTF Asian Championships Wuxi 2017,2017-04-09,NIWA Koki,GHOSH Soumyajit,3,0,"11,11,11|3,4,5",R32,OTHER,MS,515,Main Draw,NIWA Koki (JPN),GHOSH Soumyajit (IND)
ITTF Asian Championships Wuxi 2017,2017-04-09,GAO Ning,HO Kwan Kit,3,1,"7,11,11,11|11,8,4,7",R32,OTHER,MS,515,Main Draw,HO Kwan Kit (HKG),GAO Ning (SGP)
ITTF Asian Championships Wuxi 2017,2017-04-09,JANG Woojin,HARIMOTO Tomokazu,3,1,"11,11,9,11|6,5,11,8",R32,OTHER,MS,515,Main Draw,JANG Woojin (KOR),HARIMOTO Tomokazu (JPN)
ITTF Asian Championships Wuxi 2017,2017-04-09,XU Xin,LIAO Cheng-Ting,3,0,"11,11,11|8,8,6",R32,OTHER,MS,515,Main Draw,LIAO Cheng-Ting (TPE),XU Xin (CHN)
ITTF Asian Championships Wuxi 2017,2017-04-09,ZHANG Jike,HUNG Tzu-Hsiang,3,1,"11,11,9,11|4,4,11,5",R32,OTHER,MS,515,Main Draw,ZHANG Jike (CHN),HUNG Tzu-Hsiang (TPE)
ITTF Asian Championships Wuxi 2017,2017-04-09,OSHIMA Yuya,NG Pak Nam,3,1,"11,8,11,11|9,11,9,6",R32,OTHER,MS,515,Main Draw,NG Pak Nam (HKG),OSHIMA Yuya (JPN)
ITTF Asian Championships Wuxi 2017,2017-04-09,LIN Gaoyuan,DESAI Harmeet,3,1,"11,8,12,11|9,11,10,4",R32,OTHER,MS,515,Main Draw,LIN Gaoyuan (CHN),DESAI Harmeet (IND)
ITTF Asian Championships Wuxi 2017,2017-04-09,WONG Chun Ting,KIM Minseok,3,2,"8,10,11,12,11|11,12,5,10,7",R32,OTHER,MS,515,Main Draw,KIM Minseok (KOR),WONG Chun Ting (HKG)
ITTF Asian Championships Wuxi 2017,2017-04-09,LAM Siu Hang,MATSUDAIRA Kenta,3,2,"5,5,11,11,11|11,11,8,6,9",R32,OTHER,MS,515,Main Draw,MATSUDAIRA Kenta (JPN),LAM Siu Hang (HKG)
ITTF Asian Championships Wuxi 2017,2017-04-09,ACHANTA Sharath,RO Kwang Jin,3,0,"11,11,14|5,7,12",R32,OTHER,MS,515,Main Draw,RO Kwang Jin (PRK),ACHANTA Sharath (IND)
ITTF Asian Championships Wuxi 2017,2017-04-09,LEE Sang Su,SHETTY Sanil,3,0,"12,11,11|10,8,6",R32,OTHER,MS,515,Main Draw,LEE Sang Su (KOR),SHETTY Sanil (IND)
ITTF Asian Championships Wuxi 2017,2017-04-09,FAN Zhendong,SUN Chia-Hung,3,0,"11,11,11|2,8,5",R32,OTHER,MS,515,Main Draw,SUN Chia-Hung (TPE),FAN Zhendong (CHN)
ITTF Asian Championships Wuxi 2017,2017-04-09,JEONG Sangeun,JIANG Tianyi,3,2,"6,11,7,11,11|11,6,11,8,9",R16,OTHER,MS,515,Main Draw,JEONG Sangeun (KOR),JIANG Tianyi (HKG)
ITTF Asian Championships Wuxi 2017,2017-04-09,YOSHIMURA Maharu,YANG Heng-Wei,3,1,"11,9,11,11|9,11,9,9",R16,OTHER,MS,515,Main Draw,YOSHIMURA Maharu (JPN),YANG Heng-Wei (TPE)
ITTF Asian Championships Wuxi 2017,2017-04-09,NIWA Koki,GAO Ning,3,1,"5,11,11,12|11,9,2,10",R16,OTHER,MS,515,Main Draw,NIWA Koki (JPN),GAO Ning (SGP)
ITTF Asian Championships Wuxi 2017,2017-04-09,XU Xin,JANG Woojin,3,1,"11,11,8,11|6,7,11,6",R16,OTHER,MS,515,Main Draw,JANG Woojin (KOR),XU Xin (CHN)
ITTF Asian Championships Wuxi 2017,2017-04-09,ZHANG Jike,OSHIMA Yuya,3,0,"11,11,11|9,5,3",R16,OTHER,MS,515,Main Draw,ZHANG Jike (CHN),OSHIMA Yuya (JPN)
ITTF Asian Championships Wuxi 2017,2017-04-09,LIN Gaoyuan,WONG Chun Ting,3,1,"11,9,11,11|9,11,3,8",R16,OTHER,MS,515,Main Draw,LIN Gaoyuan (CHN),WONG Chun Ting (HKG)
ITTF Asian Championships Wuxi 2017,2017-04-09,LAM Siu Hang,ACHANTA Sharath,3,2,"11,9,11,12,12|6,11,9,14,10",R16,OTHER,MS,515,Main Draw,LAM Siu Hang (HKG),ACHANTA Sharath (IND)
ITTF Asian Championships Wuxi 2017,2017-04-09,FAN Zhendong,LEE Sang Su,3,0,"11,11,11|9,9,6",R16,OTHER,MS,515,Main Draw,LEE Sang Su (KOR),FAN Zhendong (CHN)
ITTF Asian Championships Wuxi 2017,2017-04-09,JEONG Sangeun,YOSHIMURA Maharu,3,1,"8,15,11,11|11,13,9,9",QF,OTHER,MS,515,Main Draw,JEONG Sangeun (KOR),YOSHIMURA Maharu (JPN)
ITTF Asian Championships Wuxi 2017,2017-04-09,NIWA Koki,XU Xin,3,1,"12,5,11,11|10,11,8,7",QF,OTHER,MS,515,Main Draw,NIWA Koki (JPN),XU Xin (CHN)
ITTF Asian Championships Wuxi 2017,2017-04-09,ZHANG Jike,LIN Gaoyuan,3,2,"11,6,12,7,11|7,11,10,11,7",QF,OTHER,MS,515,Main Draw,ZHANG Jike (CHN),LIN Gaoyuan (CHN)
ITTF Asian Championships Wuxi 2017,2017-04-09,FAN Zhendong,LAM Siu Hang,3,0,"11,11,11|3,4,8",QF,OTHER,MS,515,Main Draw,LAM Siu Hang (HKG),FAN Zhendong (CHN)
ITTF Asian Championships Wuxi 2017,2017-04-09,JEONG Sangeun,NIWA Koki,3,2,"6,9,11,11,13|11,11,5,7,11",SF,OTHER,MS,515,Main Draw,JEONG Sangeun (KOR),NIWA Koki (JPN)
ITTF Asian Championships Wuxi 2017,2017-04-09,FAN Zhendong,ZHANG Jike,3,1,"12,11,5,11|10,4,11,4",SF,OTHER,MS,515,Main Draw,ZHANG Jike (CHN),FAN Zhendong (CHN)
ITTF Asian Championships Wuxi 2017,2017-04-09,FAN Zhendong,JEONG Sangeun,3,0,"11,11,11|5,5,8",F,OTHER,MS,515,Main Draw,JEONG Sangeun (KOR),FAN Zhendong (CHN)
ITTF Asian Championships Wuxi 2017,2017-04-09,BILLAH Mahbub/ALAM Moumita,RAHIM Abdul/FARYAL Sobia,3,0,"11,11,11|7,3,6",R64,OTHER,XD,515,Main Draw,BILLAH Mahbub (BAN) / ALAM Moumita (BAN),RAHIM Abdul (PAK) / FARYAL Sobia (PAK)
ITTF Asian Championships Wuxi 2017,2017-04-09,LEE Sang Su/YANG Ha Eun,BILLAH Mahbub/ALAM Moumita,3,0,"11,11,11|1,1,1",R32,OTHER,XD,515,Main Draw,LEE Sang Su (KOR) / YANG Ha Eun (KOR),BILLAH Mahbub (BAN) / ALAM Moumita (BAN)
ITTF Asian Championships Wuxi 2017,2017-04-09,BILLAH Mahbub/CHOWDHURY Manash,IAKUPBAEV Alisher/SAGYNDYKOV Talgat,3,2,"8,11,7,11,11|11,8,11,9,7",R64,OTHER,MD,515,Main Draw,BILLAH Mahbub (BAN) / CHOWDHURY Manash (BAN),IAKUPBAEV Alisher (KGZ) / SAGYNDYKOV Talgat (KGZ)
ITTF Asian Championships Wuxi 2017,2017-04-09,GHOSH Soumyajit/DESAI Harmeet,BILLAH Mahbub/CHOWDHURY Manash,3,0,"11,11,11|7,9,6",R32,OTHER,MD,515,Main Draw,GHOSH Soumyajit (IND) / DESAI Harmeet (IND),BILLAH Mahbub (BAN) / CHOWDHURY Manash (BAN)
ITTF Asian Championships Wuxi 2017,2017-04-09,FANG Bo/WANG Manyu,KENZHIGULOV Aidos/AKASHEVA Zauresh,3,0,"11,11,11|5,1,6",R32,OTHER,XD,515,Main Draw,FANG Bo (KAZ) / WANG Manyu (CHN),KENZHIGULOV Aidos (KAZ) / AKASHEVA Zauresh (KAZ)
ITTF Asian Championships Wuxi 2017,2017-04-09,FANG Bo/WANG Manyu,POH Ethan/WONG Xin Ru,3,0,"11,11,11|3,7,4",R16,OTHER,XD,515,Main Draw,FANG Bo (KAZ) / WANG Manyu (CHN),POH Ethan (SGP) / WONG Xin Ru (SGP)
ITTF Asian Championships Wuxi 2017,2017-04-09,FANG Bo/WANG Manyu,JIANG Tianyi/LEE Ho Ching,3,1,"8,11,11,11|11,6,9,7",QF,OTHER,XD,515,Main Draw,FANG Bo (KAZ) / WANG Manyu (CHN),JIANG Tianyi (HKG) / LEE Ho Ching (HKG)
