tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,BELKADI Aissa,ABREFA Derek,4,0,"11,11,11,11|2,5,9,8",R16,OLYMPICS,MS,158,Main Draw,ABREFA Derek (GHA),BELKADI Aissa (ALG),BELKADI Aissa
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,NATIVEL Jonathan,KHEROUF Sami,4,0,"11,11,11,11|8,9,8,9",R16,OLYMPICS,MS,158,Main Draw,NATIVEL Jonathan (MAD),KHEROUF Sami (ALG),NATIVEL Jonathan
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,AGBETOGLO Mawussi,ALI Kanate,4,1,"11,11,6,11,11|9,6,11,7,6",R16,OLYMPICS,MS,158,Main Draw,ALI Kanate (CIV),AGBETOGLO Mawussi (TOG),AGBETOGLO Mawussi
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,HMAM Adam,ABUSHUWASHI Adir,4,0,"11,12,11,11|4,10,4,8",R16,OLYMPICS,MS,158,Main Draw,HMAM Adam (TUN),ABUSHUWASHI Adir (LBA),HMAM Adam
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,TIRSELT Mounaim,FARAH Abdourazack,4,2,"6,11,11,7,11,11|11,9,9,11,6,8",R16,OLYMPICS,MS,158,Main Draw,FARAH Abdourazack (DJI),TIRSELT Mounaim (MAR),TIRSELT Mounaim
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,BEN YAHIA Kerem,HUSSIN Abdelgadir,4,1,"11,11,11,6,11|9,5,8,11,7",R16,OLYMPICS,MS,158,Main Draw,HUSSIN Abdelgadir (SUD),BEN YAHIA Kerem (TUN),BEN YAHIA Kerem
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,SAKA Suraju,LARTEY Felix,4,1,"8,15,11,11,12|11,13,9,7,10",R16,OLYMPICS,MS,158,Main Draw,LARTEY Felix (GHA),SAKA Suraju (CGO),SAKA Suraju
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,TORIOLA Segun,BELKADI Aissa,4,1,"11,11,14,9,11|2,5,12,11,5",QF,OLYMPICS,MS,158,Main Draw,TORIOLA Segun (NGR),BELKADI Aissa (ALG),TORIOLA Segun
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,AGBETOGLO Mawussi,NATIVEL Jonathan,4,3,"12,7,6,15,16,8,11|10,11,11,13,14,11,7",QF,OLYMPICS,MS,158,Main Draw,NATIVEL Jonathan (MAD),AGBETOGLO Mawussi (TOG),AGBETOGLO Mawussi
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,HMAM Adam,TIRSELT Mounaim,4,0,"12,11,11,19|10,4,9,17",QF,OLYMPICS,MS,158,Main Draw,HMAM Adam (TUN),TIRSELT Mounaim (MAR),HMAM Adam
