tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Islamic Solidarity Games Riyadh 2025,2025-11-08,HARAC Ece,BILLINGY Jasmine,4,0,"11,11,11,11|2,4,3,7",R32,OTHER,WS,3456,Main Draw,HARAC Ece (TUR),BILLINGY Jasmine (GUY),HARAC Ece
Islamic Solidarity Games Riyadh 2025,2025-11-08,ALKHADRAWI Ali,BRITTON Shemar,4,0,"11,11,11,11|6,6,5,6",R32,OTHER,MS,3456,Main Draw,ALKHADRAWI Ali (KSA),BRITTON Shemar (GUY),ALKHADRAWI Ali
Islamic Solidarity Games Riyadh 2025,2025-11-08,RASHED Rashed,KHAN Taimur,4,1,"11,11,8,11,11|8,6,11,6,9",R32,OTHER,MS,3456,Main Draw,KHAN Taimur (PAK),RASHED Rashed (UAE),RASHED Rashed
Islamic Solidarity Games Riyadh 2025,2025-11-08,KURMANGALIYEV Alan,MOUSAVI TAHER Mohammad,4,1,"7,11,11,11,11|11,9,6,3,7",R32,OTHER,MS,3456,Main Draw,KURMANGALIYEV Alan (KAZ),MOUSAVI TAHER Mohammad (IRI),KURMANGALIYEV Alan
Islamic Solidarity Games Riyadh 2025,2025-11-08,ABDULWAHHAB Mohammed,BOURHAN Abdourazak Abdallah,4,0,"11,11,11,11|6,2,1,9",R32,OTHER,MS,3456,Main Draw,BOURHAN Abdourazak Abdallah (DJI),ABDULWAHHAB Mohammed (QAT),ABDULWAHHAB Mohammed
Islamic Solidarity Games Riyadh 2025,2025-11-08,JELLOULI Milhane,MAGAYA Joshua,4,0,"11,11,11,11|5,3,4,8",R32,OTHER,MS,3456,Main Draw,JELLOULI Milhane (ALG),MAGAYA Joshua (UGA),JELLOULI Milhane
Islamic Solidarity Games Riyadh 2025,2025-11-08,GUNDUZ Ibrahim,ALAJAEBI Habeb,4,0,"11,11,11,11|3,4,5,6",R32,OTHER,MS,3456,Main Draw,ALAJAEBI Habeb (LBA),GUNDUZ Ibrahim (TUR),GUNDUZ Ibrahim
Islamic Solidarity Games Riyadh 2025,2025-11-08,ASSAR Omar,HABACH SaadEddine,4,0,"11,11,11,11|9,2,3,6",R32,OTHER,MS,3456,Main Draw,ASSAR Omar (EGY),HABACH SaadEddine (LBN),ASSAR Omar
Islamic Solidarity Games Riyadh 2025,2025-11-08,HELMY Yousra,ISMAILOVA Dinara,4,2,"5,11,11,11,10,11|11,3,8,8,12,2",R32,OTHER,WS,3456,Main Draw,ISMAILOVA Dinara (TJK),HELMY Yousra (EGY),HELMY Yousra
Islamic Solidarity Games Riyadh 2025,2025-11-08,SAI Khoy,MAHMOUD Kenda,4,2,"11,11,17,7,11,11|7,6,19,11,6,5",R32,OTHER,WS,3456,Main Draw,SAI Khoy (BAN),MAHMOUD Kenda (BRN),SAI Khoy
Islamic Solidarity Games Riyadh 2025,2025-11-08,KUDUSOVA Saida,AMAH Ayoko Fanida,4,0,"11,11,11,11|4,6,4,5",R32,OTHER,WS,3456,Main Draw,AMAH Ayoko Fanida (TOG),KUDUSOVA Saida (KGZ),KUDUSOVA Saida
Islamic Solidarity Games Riyadh 2025,2025-11-08,NAKAWALA Jemimah,FAWAD Hoor,4,2,"10,11,8,11,11,11|12,8,11,7,6,7",R32,OTHER,WS,3456,Main Draw,NAKAWALA Jemimah (UGA),FAWAD Hoor (PAK),NAKAWALA Jemimah
Islamic Solidarity Games Riyadh 2025,2025-11-08,SHAHSAVARI Neda,CHIRI Bissan,4,0,"11,11,11,11|3,9,3,5",R32,OTHER,WS,3456,Main Draw,CHIRI Bissan (LBN),SHAHSAVARI Neda (IRI),SHAHSAVARI Neda
Islamic Solidarity Games Riyadh 2025,2025-11-08,ALQAHTANI Nihal,OUMAR Nassima,4,0,"11,11,11,11|5,4,8,8",R32,OTHER,WS,3456,Main Draw,ALQAHTANI Nihal (KSA),OUMAR Nassima (DJI),ALQAHTANI Nihal
Islamic Solidarity Games Riyadh 2025,2025-11-08,ALI Fathimath,MIKAYILOVA Zemfira,4,2,"11,11,9,11,11,11|7,13,11,4,8,2",R32,OTHER,WS,3456,Main Draw,MIKAYILOVA Zemfira (AZE),ALI Fathimath (MDV),ALI Fathimath
Islamic Solidarity Games Riyadh 2025,2025-11-08,GERASSIMENKO Kirill,BU SHULAYBI Abdulaziz,4,0,"11,11,11,13|3,5,9,11",QF,OTHER,MS,3456,Main Draw,BU SHULAYBI Abdulaziz (KSA),GERASSIMENKO Kirill (KAZ),GERASSIMENKO Kirill
Islamic Solidarity Games Riyadh 2025,2025-11-08,SAFAEI Shima/SHAHSAVARI Neda,NAKAWALA Jemimah/NANGONZI Judith,3,1,"9,11,11,11|11,3,2,8",SF,OTHER,WD,3456,Main Draw,SAFAEI Shima (IRI) / SHAHSAVARI Neda (IRI),NAKAWALA Jemimah (UGA) / NANGONZI Judith (UGA),SAFAEI Shima
Islamic Solidarity Games Riyadh 2025,2025-11-08,YILMAZ Ozge/HARAC Ece,NAZIM Aishath/ALI Fathimath,3,1,"11,11,7,11|7,5,11,6",SF,OTHER,WD,3456,Main Draw,YILMAZ Ozge (TUR) / HARAC Ece (TUR),NAZIM Aishath (MDV) / ALI Fathimath (MDV),YILMAZ Ozge
Islamic Solidarity Games Riyadh 2025,2025-11-08,YIGENLER Abdullah/GUNDUZ Ibrahim,FARAJI Benyamin/HODAEI Amir Hossein,3,1,"12,9,11,12|10,11,9,10",SF,OTHER,MD,3456,Main Draw,YIGENLER Abdullah (TUR) / GUNDUZ Ibrahim (TUR),FARAJI Benyamin (IRI) / HODAEI Amir Hossein (IRI),YIGENLER Abdullah
Islamic Solidarity Games Riyadh 2025,2025-11-08,BELLA Maheidine/JELLOULI Milhane,BU SHULAYBI Abdulaziz/ALKHADRAWI Ali,3,0,"11,11,11|9,9,9",SF,OTHER,MD,3456,Main Draw,BELLA Maheidine (ALG) / JELLOULI Milhane (ALG),BU SHULAYBI Abdulaziz (KSA) / ALKHADRAWI Ali (KSA),BELLA Maheidine
Islamic Solidarity Games Riyadh 2025,2025-11-08,GUNDUZ Ibrahim/ALTINKAYA Sibel,AHMADZADA Adil/NURMATOVA Marziyya,3,0,"11,11,11|3,8,8",SF,OTHER,XD,3456,Main Draw,GUNDUZ Ibrahim (TUR) / ALTINKAYA Sibel (TUR),AHMADZADA Adil (AZE) / NURMATOVA Marziyya (AZE),GUNDUZ Ibrahim
Islamic Solidarity Games Riyadh 2025,2025-11-08,AHMED Md Javed/SAI Khoy,RASHED Rashed/MAHMOUD Kenda,3,1,"13,7,12,11|11,11,10,3",SF,OTHER,XD,3456,Main Draw,AHMED Md Javed (BAN) / SAI Khoy (BAN),RASHED Rashed (UAE) / MAHMOUD Kenda (BRN),AHMED Md Javed
Islamic Solidarity Games Riyadh 2025,2025-11-08,ZAZA Hend,ALTINKAYA Sibel,4,3,"5,11,11,11,4,5,11|11,7,7,5,11,11,8",SF,OTHER,WS,3456,Main Draw,ALTINKAYA Sibel (TUR),ZAZA Hend (SYR),ZAZA Hend
Islamic Solidarity Games Riyadh 2025,2025-11-08,SHAHSAVARI Neda,HELMY Yousra,4,2,"11,9,12,12,11,13|6,11,10,10,13,11",SF,OTHER,WS,3456,Main Draw,SHAHSAVARI Neda (IRI),HELMY Yousra (EGY),SHAHSAVARI Neda
Islamic Solidarity Games Riyadh 2025,2025-11-08,ASSAR Omar,ISMAILOV Sadi,4,0,"11,11,11,11|3,4,4,6",SF,OTHER,MS,3456,Main Draw,ASSAR Omar (EGY),ISMAILOV Sadi (AIN),ASSAR Omar
Islamic Solidarity Games Riyadh 2025,2025-11-08,GERASSIMENKO Kirill,BOULOUSSA Mehdi,4,0,"11,11,13,11|7,6,11,3",SF,OTHER,MS,3456,Main Draw,BOULOUSSA Mehdi (ALG),GERASSIMENKO Kirill (KAZ),GERASSIMENKO Kirill
Islamic Solidarity Games Riyadh 2025,2025-11-08,GUNDUZ Ibrahim/ALTINKAYA Sibel,AHMED Md Javed/SAI Khoy,3,0,"11,11,11|5,8,6",F,OTHER,XD,3456,Main Draw,GUNDUZ Ibrahim (TUR) / ALTINKAYA Sibel (TUR),AHMED Md Javed (BAN) / SAI Khoy (BAN),GUNDUZ Ibrahim
Islamic Solidarity Games Riyadh 2025,2025-11-08,SAFAEI Shima/SHAHSAVARI Neda,YILMAZ Ozge/HARAC Ece,3,1,"9,11,11,11|11,6,9,8",F,OTHER,WD,3456,Main Draw,SAFAEI Shima (IRI) / SHAHSAVARI Neda (IRI),YILMAZ Ozge (TUR) / HARAC Ece (TUR),SAFAEI Shima
Islamic Solidarity Games Riyadh 2025,2025-11-08,YIGENLER Abdullah/GUNDUZ Ibrahim,BELLA Maheidine/JELLOULI Milhane,3,2,"11,8,11,7,11|7,11,7,11,8",F,OTHER,MD,3456,Main Draw,YIGENLER Abdullah (TUR) / GUNDUZ Ibrahim (TUR),BELLA Maheidine (ALG) / JELLOULI Milhane (ALG),YIGENLER Abdullah
Islamic Solidarity Games Riyadh 2025,2025-11-08,SHAHSAVARI Neda,ZAZA Hend,4,2,"7,10,11,11,11,13|11,12,9,9,8,11",F,OTHER,WS,3456,Main Draw,ZAZA Hend (SYR),SHAHSAVARI Neda (IRI),SHAHSAVARI Neda
Islamic Solidarity Games Riyadh 2025,2025-11-08,GERASSIMENKO Kirill,ASSAR Omar,4,1,"11,11,6,13,11|5,8,11,11,3",F,OTHER,MS,3456,Main Draw,ASSAR Omar (EGY),GERASSIMENKO Kirill (KAZ),GERASSIMENKO Kirill
