tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Star Contender São José dos Campos 2026,2026-07-22,PICARD Vincent/ABRAAMIAN Elizabet,FUJII Davi/SHIRAY Karina,3,1,"11,11,7,11|5,7,11,8",QR1,WTT_STAR_CONTENDER,XD,3244,Qualification,PICARD Vincent/ABRAAMIAN Elizabet (FRA/AIN),FUJII Davi/SHIRAY Karina (BRA),PICARD Vincent/ABRAAMIAN Elizabet
WTT Star Contender São José dos Campos 2026,2026-07-22,LAM Siu Hang/YIU Kwan To,SHIM Joon/TURRINI Rafael,3,2,"11,19,11,7,11|7,21,5,11,3",QR1,WTT_STAR_CONTENDER,MD,3244,Qualification,LAM Siu Hang/YIU Kwan To (HKG),SHIM Joon/TURRINI Rafael (BRA),LAM Siu Hang/YIU Kwan To
WTT Star Contender São José dos Campos 2026,2026-07-22,JARVIS Tom/JHA Kanak,HAUG Borgar/KARLSSON Mattias,3,0,"11,11,11|6,8,7",QR1,WTT_STAR_CONTENDER,MD,3244,Qualification,JARVIS Tom/JHA Kanak (ENG/USA),HAUG Borgar/KARLSSON Mattias (NOR/SWE),JARVIS Tom/JHA Kanak
WTT Star Contender São José dos Campos 2026,2026-07-22,VOS Eusebio/OLIVARES Felipe,CRUZ Theo/GUEDES Afonso,3,1,"9,11,11,11|11,6,8,8",QR1,WTT_STAR_CONTENDER,MD,3244,Qualification,VOS Eusebio/OLIVARES Felipe (CHI),CRUZ Theo/GUEDES Afonso (BRA),VOS Eusebio/OLIVARES Felipe
WTT Star Contender São José dos Campos 2026,2026-07-22,LY Edward/KOURAICHI Alexis,FERREIRA Leandro/POLETTO Antonio,3,0,"11,11,11|3,7,5",QR1,WTT_STAR_CONTENDER,MD,3244,Qualification,LY Edward/KOURAICHI Alexis (CAN/FRA),FERREIRA Leandro/POLETTO Antonio (BRA),LY Edward/KOURAICHI Alexis
WTT Star Contender São José dos Campos 2026,2026-07-22,SARDA Mahayla/AGNONE MAIARA,FRANCO Mariana/SILVA Daiane,3,2,"6,11,11,11,11|11,5,6,13,8",QR1,WTT_STAR_CONTENDER,WD,3244,Qualification,SARDA Mahayla/AGNONE MAIARA (BRA),FRANCO Mariana/SILVA Daiane (BRA),SARDA Mahayla/AGNONE MAIARA
WTT Star Contender São José dos Campos 2026,2026-07-22,BORGES Bianca/FONTANIVE Luiza,AMORIM Isabel/ZAGO Gabriella,3,1,"11,10,11,11|7,12,5,8",QR1,WTT_STAR_CONTENDER,WD,3244,Qualification,BORGES Bianca/FONTANIVE Luiza (BRA),AMORIM Isabel/ZAGO Gabriella (BRA),BORGES Bianca/FONTANIVE Luiza
WTT Star Contender São José dos Campos 2026,2026-07-22,LAMBIET Florent,OKANO Felipe,3,1,"11,12,11,11|8,14,3,8",QR2,WTT_STAR_CONTENDER,MS,3244,Qualification,LAMBIET Florent (BEL),OKANO Felipe (BRA),LAMBIET Florent
WTT Star Contender São José dos Campos 2026,2026-07-22,OTALVARO Emanuel,PAIVA Lucas,3,0,"11,11,11|8,6,6",QR2,WTT_STAR_CONTENDER,MS,3244,Qualification,OTALVARO Emanuel (COL),PAIVA Lucas (BRA),OTALVARO Emanuel
WTT Star Contender São José dos Campos 2026,2026-07-22,NARANJO Angel,PANINI Breno,3,0,"11,11,11|7,7,7",QR2,WTT_STAR_CONTENDER,MS,3244,Qualification,NARANJO Angel (PUR),PANINI Breno (BRA),NARANJO Angel
