tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
Qatar Open Doha 2003,2003-03-03,AL-ABBAD Abdulaziz,AL-MOHANNADI Ahmad Khalil,4,0,"11,11,13,11|6,7,11,2",,GRAND_SLAM,MS,1520,Qualification,AL-ABBAD Abdulaziz (KSA),AL-MOHANNADI Ahmad Khalil (QAT),AL-ABBAD Abdulaziz
Qatar Open Doha 2003,2003-03-03,KREANGA Kalinikos/ROSSKOPF Jorg,JINDRAK Karl/SCHLAGER Werner,4,2,"9,11,12,11,3,12|11,9,10,4,11,10",F,GRAND_SLAM,MD,1520,Main Draw,KREANGA Kalinikos (GRE) / ROSSKOPF Jorg (GER),JINDRAK Karl (AUT) / SCHLAGER Werner (AUT),KREANGA Kalinikos
Qatar Open Doha 2003,2003-03-03,CHUMAKOU Dmitry/SAMSONOV Vladimir,BLASZCZYK Lucjan/KRZESZEWSKI Tomasz,4,3,"8,9,11,11,9,11,12|11,11,7,9,11,6,10",R16,GRAND_SLAM,MD,1520,Main Draw,CHUMAKOU Dmitry (BLR) / SAMSONOV Vladimir (BLR),BLASZCZYK Lucjan (POL) / KRZESZEWSKI Tomasz (POL),CHUMAKOU Dmitry
Qatar Open Doha 2003,2003-03-03,LUNDQVIST Jens/PERSSON Jorgen,CSABA Bence/KASSAM Faazil,4,2,"11,9,9,11,11,11|8,11,11,7,4,4",R16,GRAND_SLAM,MD,1520,Main Draw,LUNDQVIST Jens (SWE) / PERSSON Jorgen (SWE),CSABA Bence (CAN) / KASSAM Faazil (CAN),LUNDQVIST Jens
Qatar Open Doha 2003,2003-03-03,AL-MOHANNADI Ahmad Khalil/ALHAJJAI Waled Nasser,JIN Enhua/WING Ei,3,0,"11,11,11|4,1,9",QR16,GRAND_SLAM,MD,1520,Qualification,AL-MOHANNADI Ahmad Khalil (QAT) / ALHAJJAI Waled Nasser (QAT),JIN Enhua (CHN) / WING Ei (CHN),AL-MOHANNADI Ahmad Khalil
Qatar Open Doha 2003,2003-03-03,BENTSEN Allan/PRIMORAC Zoran,SALEH Ahmed/LASHIN Elsayed,4,0,"11,11,11,11|5,9,5,4",R16,GRAND_SLAM,MD,1520,Main Draw,BENTSEN Allan (DEN) / PRIMORAC Zoran (CRO),SALEH Ahmed (EGY) / LASHIN Elsayed (EGY),BENTSEN Allan
Qatar Open Doha 2003,2003-03-03,FEJER-KONNERTH Zoltan/WOSIK Torben,BENTSEN Allan/PRIMORAC Zoran,4,0,"11,11,11,11|9,9,3,9",QF,GRAND_SLAM,MD,1520,Main Draw,FEJER-KONNERTH Zoltan (GER) / WOSIK Torben (GER),BENTSEN Allan (DEN) / PRIMORAC Zoran (CRO),FEJER-KONNERTH Zoltan
Qatar Open Doha 2003,2003-03-03,LASHIN Aly/NADIM Ahmed,CHAKRABORTY Sourav/ACHANTA Sharath,3,2,"5,18,13,5,11|11,16,11,11,5",QR32,GRAND_SLAM,MD,1520,Qualification,LASHIN Aly (EGY) / NADIM Ahmed (EGY),CHAKRABORTY Sourav (IND) / ACHANTA Sharath (IND),LASHIN Aly
Qatar Open Doha 2003,2003-03-03,FEJER-KONNERTH Zoltan/WOSIK Torben,LASHIN Aly/NADIM Ahmed,4,0,"13,13,11,11|11,11,5,5",R16,GRAND_SLAM,MD,1520,Main Draw,FEJER-KONNERTH Zoltan (GER) / WOSIK Torben (GER),LASHIN Aly (EGY) / NADIM Ahmed (EGY),FEJER-KONNERTH Zoltan
Qatar Open Doha 2003,2003-03-03,ISMAIL Hesham/MUELLER Frank,SAIVE Jean-Michel/SAIVE Philippe,3,1,"11,12,8,11|3,10,11,9",QR16,GRAND_SLAM,MD,1520,Qualification,ISMAIL Hesham (EGY) / MUELLER Frank (FRA),SAIVE Jean-Michel (BEL) / SAIVE Philippe (BEL),ISMAIL Hesham
Qatar Open Doha 2003,2003-03-03,KREANGA Kalinikos/ROSSKOPF Jorg,CHUMAKOU Dmitry/SAMSONOV Vladimir,4,2,"11,10,11,12,13,12|7,12,3,14,11,10",QF,GRAND_SLAM,MD,1520,Main Draw,KREANGA Kalinikos (GRE) / ROSSKOPF Jorg (GER),CHUMAKOU Dmitry (BLR) / SAMSONOV Vladimir (BLR),KREANGA Kalinikos
Qatar Open Doha 2003,2003-03-03,LASHIN Aly/NADIM Ahmed,AL-ABBAD Abdulaziz/AL-HARBI Khaled,3,2,"11,9,11,2,12|8,11,4,11,10",QR16,GRAND_SLAM,MD,1520,Qualification,LASHIN Aly (EGY) / NADIM Ahmed (EGY),AL-ABBAD Abdulaziz (KSA) / AL-HARBI Khaled (KSA),LASHIN Aly
Qatar Open Doha 2003,2003-03-03,SALEH Ahmed/LASHIN Elsayed,EL-SHARKAWI Mohamed/NAJEM Alfred,3,1,"11,11,9,11|7,8,11,6",QR16,GRAND_SLAM,MD,1520,Qualification,SALEH Ahmed (EGY) / LASHIN Elsayed (EGY),EL-SHARKAWI Mohamed (LBN) / NAJEM Alfred (LBN),SALEH Ahmed
Qatar Open Doha 2003,2003-03-03,AL-HAMMADI Hamad/AL-RUMEIHI Mohamed,DIAA Sherif/MOSELHY Emad,3,0,"11,11,11|3,7,9",QR32,GRAND_SLAM,MD,1520,Qualification,AL-HAMMADI Hamad (QAT) / AL-RUMEIHI Mohamed (QAT),DIAA Sherif (EGY) / MOSELHY Emad (EGY),AL-HAMMADI Hamad
Qatar Open Doha 2003,2003-03-03,AL-MOHANNADI Ahmad Khalil/ALHAJJAI Waled Nasser,EL BOUBOU Rachid/EL HABECH Mohamad,3,0,"11,11,11|4,1,9",QR32,GRAND_SLAM,MD,1520,Qualification,AL-MOHANNADI Ahmad Khalil (QAT) / ALHAJJAI Waled Nasser (QAT),EL BOUBOU Rachid (LBN) / EL HABECH Mohamad (LBN),AL-MOHANNADI Ahmad Khalil
Qatar Open Doha 2003,2003-03-03,ISMAIL Hesham/MUELLER Frank,AL-MOGASSIB Talal/AL-REYAHI Omar,3,1,"11,12,8,11|3,10,11,9",QR32,GRAND_SLAM,MD,1520,Qualification,ISMAIL Hesham (EGY) / MUELLER Frank (FRA),AL-MOGASSIB Talal (QAT) / AL-REYAHI Omar (QAT),ISMAIL Hesham
Qatar Open Doha 2003,2003-03-03,KARAKASEVIC Aleksandar/TOKIC Bojan,ALAWLAQI Ahmed/ALYAFEI Mohammed,3,0,"11,11,11|3,5,7",QR16,GRAND_SLAM,MD,1520,Qualification,KARAKASEVIC Aleksandar (SRB) / TOKIC Bojan (SLO),ALAWLAQI Ahmed (QAT) / ALYAFEI Mohammed (QAT),KARAKASEVIC Aleksandar
Qatar Open Doha 2003,2003-03-03,KARAKASEVIC Aleksandar/TOKIC Bojan,KUZMIN Fedor/SMIRNOV Alexey,4,1,"11,11,11,3,11|6,4,9,11,7",R16,GRAND_SLAM,MD,1520,Main Draw,KARAKASEVIC Aleksandar (SRB) / TOKIC Bojan (SLO),KUZMIN Fedor (RUS) / SMIRNOV Alexey (RUS),KARAKASEVIC Aleksandar
Qatar Open Doha 2003,2003-03-03,FETH Stefan/KEINATH Thomas,AL-HAMMADI Hamad/AL-RUMEIHI Mohamed,3,1,"5,11,11,11|11,1,7,6",QR16,GRAND_SLAM,MD,1520,Qualification,FETH Stefan (GER) / KEINATH Thomas (SVK),AL-HAMMADI Hamad (QAT) / AL-RUMEIHI Mohamed (QAT),FETH Stefan
Qatar Open Doha 2003,2003-03-03,HAKANSSON Fredrik/KARLSSON Peter,EL BOUBOU Rachid/EL HABECH Mohamad,4,0,"11,11,11,11|4,6,7,1",R16,GRAND_SLAM,MD,1520,Main Draw,HAKANSSON Fredrik (SWE) / KARLSSON Peter (SWE),EL BOUBOU Rachid (LBN) / EL HABECH Mohamad (LBN),HAKANSSON Fredrik
Qatar Open Doha 2003,2003-03-03,HAKANSSON Fredrik/KARLSSON Peter,LUNDQVIST Jens/PERSSON Jorgen,4,3,"11,9,5,6,11,11,12|8,11,11,11,7,5,10",QF,GRAND_SLAM,MD,1520,Main Draw,HAKANSSON Fredrik (SWE) / KARLSSON Peter (SWE),LUNDQVIST Jens (SWE) / PERSSON Jorgen (SWE),HAKANSSON Fredrik
Qatar Open Doha 2003,2003-03-03,KREANGA Kalinikos/ROSSKOPF Jorg,HAKANSSON Fredrik/KARLSSON Peter,4,1,"6,11,16,11,14|11,6,14,8,12",SF,GRAND_SLAM,MD,1520,Main Draw,KREANGA Kalinikos (GRE) / ROSSKOPF Jorg (GER),HAKANSSON Fredrik (SWE) / KARLSSON Peter (SWE),KREANGA Kalinikos
Qatar Open Doha 2003,2003-03-03,CHUMAKOU Dmitry/SAMSONOV Vladimir,AL-MOGASSIB Fahad,3,0,"11,11,11|3,4,1",QR16,GRAND_SLAM,MD,1520,Qualification,CHUMAKOU Dmitry (BLR) / SAMSONOV Vladimir (BLR),AL-MOGASSIB Fahad (QAT),CHUMAKOU Dmitry
Qatar Open Doha 2003,2003-03-03,CSABA Bence/KASSAM Faazil,AL-AWAMI Aman,3,1,"4,11,11,11|11,4,2,7",QR16,GRAND_SLAM,MD,1520,Qualification,CSABA Bence (CAN) / KASSAM Faazil (CAN),AL-AWAMI Aman (KSA),CSABA Bence
Qatar Open Doha 2003,2003-03-03,NEGRISOLI Laura/TAN Wenling,KOSTROMINA Tatyana (1973)/PAVLOVICH Viktoria,4,1,"6,11,11,11,11|11,7,8,6,9",QF,GRAND_SLAM,WD,1520,Main Draw,NEGRISOLI Laura (ITA) / TAN Wenling (ITA),KOSTROMINA Tatyana (1973) (BLR) / PAVLOVICH Viktoria (BLR),NEGRISOLI Laura
Qatar Open Doha 2003,2003-03-03,LOGATZKAYA Tatyana/PAVLOVICH Veronika,DING Yan/WANG Chen,4,1,"11,11,9,11,11|7,7,11,7,5",F,GRAND_SLAM,WD,1520,Main Draw,LOGATZKAYA Tatyana (BLR) / PAVLOVICH Veronika (BLR),DING Yan (ITA) / WANG Chen (USA),LOGATZKAYA Tatyana
Qatar Open Doha 2003,2003-03-03,DAS Mouma/GHATAK Poulomi,ASHRAF Ayatollah/SAMIR Samar,4,2,"11,8,11,7,11,11|9,11,3,11,6,7",R16,GRAND_SLAM,WD,1520,Main Draw,DAS Mouma (IND) / GHATAK Poulomi (IND),ASHRAF Ayatollah (EGY) / SAMIR Samar (EGY),DAS Mouma
Qatar Open Doha 2003,2003-03-03,KRAMER Tanja/SCHALL Elke,DAS Mouma/GHATAK Poulomi,4,0,"12,11,11,11|10,7,4,8",QF,GRAND_SLAM,WD,1520,Main Draw,KRAMER Tanja (GER) / SCHALL Elke (GER),DAS Mouma (IND) / GHATAK Poulomi (IND),KRAMER Tanja
Qatar Open Doha 2003,2003-03-03,LOGATZKAYA Tatyana/PAVLOVICH Veronika,KRAMER Tanja/SCHALL Elke,4,3,"9,6,12,11,10,11,11|11,11,10,7,12,9,9",SF,GRAND_SLAM,WD,1520,Main Draw,LOGATZKAYA Tatyana (BLR) / PAVLOVICH Veronika (BLR),KRAMER Tanja (GER) / SCHALL Elke (GER),LOGATZKAYA Tatyana
Qatar Open Doha 2003,2003-03-03,LOGATZKAYA Tatyana/PAVLOVICH Veronika,STEFANOVA Nikoleta/WANG Yu (YOB=1981),4,2,"14,11,12,11,10,11|16,8,10,8,12,2",QF,GRAND_SLAM,WD,1520,Main Draw,LOGATZKAYA Tatyana (BLR) / PAVLOVICH Veronika (BLR),STEFANOVA Nikoleta (ITA) / WANG Yu (YOB=1981) (ITA),LOGATZKAYA Tatyana
Qatar Open Doha 2003,2003-03-03,DING Yan/WANG Chen,NEGRISOLI Laura/TAN Wenling,4,0,"11,11,12,11|7,7,10,6",SF,GRAND_SLAM,WD,1520,Main Draw,DING Yan (ITA) / WANG Chen (USA),NEGRISOLI Laura (ITA) / TAN Wenling (ITA),DING Yan
Qatar Open Doha 2003,2003-03-03,DING Yan/WANG Chen,OSMAN Bacent/SMIRNOVA Natalia,4,0,"11,11,11,11|3,9,2,7",R16,GRAND_SLAM,WD,1520,Main Draw,DING Yan (ITA) / WANG Chen (USA),OSMAN Bacent (EGY) / SMIRNOVA Natalia (RUS),DING Yan
Qatar Open Doha 2003,2003-03-03,DING Yan/WANG Chen,PASKAUSKIENE Ruta/MELNIK Galina,4,1,"11,8,11,11,11|6,11,9,8,5",QF,GRAND_SLAM,WD,1520,Main Draw,DING Yan (ITA) / WANG Chen (USA),PASKAUSKIENE Ruta (LTU) / MELNIK Galina (RUS),DING Yan
