tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour Philippines Open Subic Bay 2014,2014-05-15,SUN Chia-Hung,LEONG Chee Feng,3,1,"11,8,11,11|6,11,2,7",,GRAND_SLAM,U21MS,132,Qualification,SUN Chia-Hung (TPE),LEONG Chee Feng (MAS),SUN Chia-Hung
World Tour Philippines Open Subic Bay 2014,2014-05-15,HO Kwan Kit,LEDESMA Walden,3,0,"11,11,11|7,7,8",,GRAND_SLAM,U21MS,132,Qualification,HO Kwan Kit (HKG),LEDESMA Walden (PHI),HO Kwan Kit
World Tour Philippines Open Subic Bay 2014,2014-05-15,HO Kwan Kit,LEONG Chee Feng,3,0,"11,11,11|8,9,6",,GRAND_SLAM,U21MS,132,Qualification,LEONG Chee Feng (MAS),HO Kwan Kit (HKG),HO Kwan Kit
World Tour Philippines Open Subic Bay 2014,2014-05-15,TSUBOI Yuma,HAIQAL Muhamad Ashraf,3,1,"11,8,11,11|4,11,8,8",,GRAND_SLAM,U21MS,132,Qualification,HAIQAL Muhamad Ashraf (MAS),TSUBOI Yuma (JPN),TSUBOI Yuma
World Tour Philippines Open Subic Bay 2014,2014-05-15,CHEW Clarence,HAIQAL Muhamad Ashraf,3,1,"11,11,9,11|8,7,11,5",,GRAND_SLAM,U21MS,132,Qualification,CHEW Clarence (SGP),HAIQAL Muhamad Ashraf (MAS),CHEW Clarence
World Tour Philippines Open Subic Bay 2014,2014-05-15,TSUBOI Yuma,CHEW Clarence,3,2,"9,11,10,11,12|11,7,12,8,10",,GRAND_SLAM,U21MS,132,Qualification,CHEW Clarence (SGP),TSUBOI Yuma (JPN),TSUBOI Yuma
World Tour Philippines Open Subic Bay 2014,2014-05-15,PENG Wang-Wei,AKBAR Awang,3,0,"11,11,11|5,5,4",,GRAND_SLAM,U21MS,132,Qualification,PENG Wang-Wei (TPE),AKBAR Awang (INA),PENG Wang-Wei
World Tour Philippines Open Subic Bay 2014,2014-05-15,POUNGSRI Max,NAYRE Jann Mari,3,1,"11,11,10,11|7,8,12,7",,GRAND_SLAM,U21MS,132,Qualification,POUNGSRI Max (THA),NAYRE Jann Mari (PHI),POUNGSRI Max
World Tour Philippines Open Subic Bay 2014,2014-05-15,PENG Wang-Wei,NAYRE Jann Mari,3,1,"18,11,6,11|16,6,11,5",,GRAND_SLAM,U21MS,132,Qualification,PENG Wang-Wei (TPE),NAYRE Jann Mari (PHI),PENG Wang-Wei
World Tour Philippines Open Subic Bay 2014,2014-05-15,POUNGSRI Max,AKBAR Awang,3,0,"11,11,11|3,5,2",,GRAND_SLAM,U21MS,132,Qualification,POUNGSRI Max (THA),AKBAR Awang (INA),POUNGSRI Max
World Tour Philippines Open Subic Bay 2014,2014-05-15,KATO Miyu,HO Ying,3,0,"11,11,11|7,8,5",,GRAND_SLAM,U21WS,132,Qualification,KATO Miyu (JPN),HO Ying (MAS),KATO Miyu
World Tour Philippines Open Subic Bay 2014,2014-05-15,KATO Miyu,LARIBA Ian,3,0,"11,11,12|7,1,10",,GRAND_SLAM,U21WS,132,Qualification,KATO Miyu (JPN),LARIBA Ian (PHI),KATO Miyu
World Tour Philippines Open Subic Bay 2014,2014-05-15,LARIBA Ian,HO Ying,3,0,"16,11,11|14,8,9",,GRAND_SLAM,U21WS,132,Qualification,LARIBA Ian (PHI),HO Ying (MAS),LARIBA Ian
World Tour Philippines Open Subic Bay 2014,2014-05-15,SO Eka,HAYATA Hina,3,0,"12,11,11|10,9,4",,GRAND_SLAM,U21WS,132,Qualification,SO Eka (JPN),HAYATA Hina (JPN),SO Eka
World Tour Philippines Open Subic Bay 2014,2014-05-15,SO Eka,LEE Rou You,3,1,"11,11,11,11|13,7,5,3",,GRAND_SLAM,U21WS,132,Qualification,SO Eka (JPN),LEE Rou You (MAS),SO Eka
World Tour Philippines Open Subic Bay 2014,2014-05-15,HAYATA Hina,LEE Rou You,3,0,"11,11,11|7,8,4",,GRAND_SLAM,U21WS,132,Qualification,LEE Rou You (MAS),HAYATA Hina (JPN),HAYATA Hina
World Tour Philippines Open Subic Bay 2014,2014-05-15,SATO Hitomi,AUDYRA Riri,3,0,"11,11,11|3,3,3",,GRAND_SLAM,U21WS,132,Qualification,SATO Hitomi (JPN),AUDYRA Riri (INA),SATO Hitomi
World Tour Philippines Open Subic Bay 2014,2014-05-15,SATO Hitomi,WU Yi,3,0,"11,11,11|8,4,9",,GRAND_SLAM,U21WS,132,Qualification,SATO Hitomi (JPN),WU Yi (SGP),SATO Hitomi
World Tour Philippines Open Subic Bay 2014,2014-05-15,WU Yi,AUDYRA Riri,3,0,"11,11,11|6,3,9",,GRAND_SLAM,U21WS,132,Qualification,WU Yi (SGP),AUDYRA Riri (INA),WU Yi
World Tour Philippines Open Subic Bay 2014,2014-05-15,MAEDA Miyu,DAEL Emy Rose,3,0,"11,11,11|5,3,5",,GRAND_SLAM,U21WS,132,Qualification,MAEDA Miyu (JPN),DAEL Emy Rose (PHI),MAEDA Miyu
World Tour Philippines Open Subic Bay 2014,2014-05-15,LI Isabelle Siyun,MAEDA Miyu,3,2,"7,4,11,11,11|11,11,8,9,9",,GRAND_SLAM,U21WS,132,Qualification,MAEDA Miyu (JPN),LI Isabelle Siyun (SGP),LI Isabelle Siyun
World Tour Philippines Open Subic Bay 2014,2014-05-15,LI Isabelle Siyun,DAEL Emy Rose,3,0,"11,11,11|3,5,5",,GRAND_SLAM,U21WS,132,Qualification,LI Isabelle Siyun (SGP),DAEL Emy Rose (PHI),LI Isabelle Siyun
