tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,CHANDRA Jeet,ALMUTAIRI Turki,4,0,"11,11,11,11|5,9,3,5",QUAL,WTT_CONTENDER,MS,2484,Qualification,CHANDRA Jeet (IND),ALMUTAIRI Turki (KSA),CHANDRA Jeet
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,ZAKHAROV Vladislav/SMIRNOVA Alexandra,AKIMALI Bakdaulet/KOSHKUMBAYEVA Zhanerke,3,0,"12,11,11|10,8,6",R16,WTT_CONTENDER,XD,2484,Main Draw,ZAKHAROV Vladislav (KAZ) / SMIRNOVA Alexandra (KAZ),AKIMALI Bakdaulet (KAZ) / KOSHKUMBAYEVA Zhanerke (KAZ),ZAKHAROV Vladislav
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,RAITER Erik/ASHKEYEVA Aray,ANORBOEV Abdulaziz/KHADJIEVA Rozalina,3,0,"11,11,11|9,9,6",R16,WTT_CONTENDER,XD,2484,Main Draw,RAITER Erik (KAZ) / ASHKEYEVA Aray (KAZ),ANORBOEV Abdulaziz (UZB) / KHADJIEVA Rozalina (UZB),RAITER Erik
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,UKTAMBOEV Mukhammad/MADALIEVA Sugdiyona,KHARKI Iskender/TSVIGUN Alissa,3,1,"6,11,14,11|11,5,12,7",R16,WTT_CONTENDER,XD,2484,Main Draw,UKTAMBOEV Mukhammad (UZB) / MADALIEVA Sugdiyona (UZB),KHARKI Iskender (KAZ) / TSVIGUN Alissa (KAZ),UKTAMBOEV Mukhammad
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KURMANGALIYEV Alan/AKASHEVA Zauresh,SHEVNIN Semen/STEPANOVA Mariia,3,1,"11,11,6,11|8,6,11,8",R16,WTT_CONTENDER,XD,2484,Main Draw,KURMANGALIYEV Alan (KAZ) / AKASHEVA Zauresh (KAZ),SHEVNIN Semen (RUS) / STEPANOVA Mariia (RUS),KURMANGALIYEV Alan
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KIM Temirlan/ROMANOVSKAYA Angelina,ZHOLUDEV Denis/ALIMBAYEVA Aiya,3,0,"11,11,11|6,5,6",R16,WTT_CONTENDER,XD,2484,Main Draw,KIM Temirlan (KAZ) / ROMANOVSKAYA Angelina (KAZ),ZHOLUDEV Denis (KAZ) / ALIMBAYEVA Aiya (KAZ),KIM Temirlan
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KHOLIKOV Elmurod/KHALIKOVA Kamila,KENZHIGULOV Dastan/SAPAROVA Alsu,3,1,"11,11,6,11|8,8,11,7",R16,WTT_CONTENDER,XD,2484,Main Draw,KHOLIKOV Elmurod (UZB) / KHALIKOVA Kamila (UZB),KENZHIGULOV Dastan (KAZ) / SAPAROVA Alsu (KAZ),KHOLIKOV Elmurod
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,OKHOTNIKOVA Ekaterina,LAVROVA Anastassiya,4,1,"11,11,9,11,11|9,6,11,9,5",R16,WTT_CONTENDER,WS,2484,Main Draw,OKHOTNIKOVA Ekaterina (RUS),LAVROVA Anastassiya (KAZ),OKHOTNIKOVA Ekaterina
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,MIRKADIROVA Sarvinoz,NORKULOVA Mekhriniso,4,3,"4,11,11,17,11,7,11|11,5,8,15,13,11,2",R16,WTT_CONTENDER,WS,2484,Main Draw,MIRKADIROVA Sarvinoz (KAZ),NORKULOVA Mekhriniso (UZB),MIRKADIROVA Sarvinoz
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,NATH Kaushani,KHALIKOVA Kamila,4,1,"11,3,11,11,11|9,11,7,5,7",R16,WTT_CONTENDER,WS,2484,Main Draw,NATH Kaushani (IND),KHALIKOVA Kamila (UZB),NATH Kaushani
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,SHCHERBATYKH Valeriia,DAS Ankita,4,2,"7,11,7,11,11,11|11,8,11,7,4,6",R16,WTT_CONTENDER,WS,2484,Main Draw,SHCHERBATYKH Valeriia (RUS),DAS Ankita (IND),SHCHERBATYKH Valeriia
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,SEN Prapti,AKASHEVA Zauresh,4,2,"12,6,10,11,11,15|10,11,12,8,4,13",R16,WTT_CONTENDER,WS,2484,Main Draw,SEN Prapti (IND),AKASHEVA Zauresh (KAZ),SEN Prapti
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,ALIMBAYEVA Aiya,KHADJIEVA Rozalina,4,1,"11,11,11,8,11|8,6,5,11,8",R16,WTT_CONTENDER,WS,2484,Main Draw,ALIMBAYEVA Aiya (KAZ),KHADJIEVA Rozalina (UZB),ALIMBAYEVA Aiya
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KOTSIUR Valeriia,BATBAYAR Doljinzuu,4,0,"0,0,0,0|0,0,0,0",R16,WTT_CONTENDER,WS,2484,Main Draw,KOTSIUR Valeriia (RUS),BATBAYAR Doljinzuu (MGL),KOTSIUR Valeriia
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,SHADRINA Daria,SELVAKUMAR Selena,4,2,"8,11,11,11,6,11|11,7,4,7,11,3",R16,WTT_CONTENDER,WS,2484,Main Draw,SHADRINA Daria (RUS),SELVAKUMAR Selena (IND),SHADRINA Daria
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,GERASSIMENKO Kirill,KUNATS Heorhi,4,0,"11,11,11,11|5,8,7,8",R16,WTT_CONTENDER,MS,2484,Main Draw,GERASSIMENKO Kirill (KAZ),KUNATS Heorhi (BLR),GERASSIMENKO Kirill
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KABURKIN Maksim,BU SHULAYBI Abdulaziz,4,3,"11,8,14,11,6,8,11|7,11,12,3,11,11,7",R16,WTT_CONTENDER,MS,2484,Main Draw,KABURKIN Maksim (RUS),BU SHULAYBI Abdulaziz (KSA),KABURKIN Maksim
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,CHEN Alexander,RAITER Erik,4,2,"13,9,11,11,13,11|11,11,4,7,15,9",R16,WTT_CONTENDER,MS,2484,Main Draw,CHEN Alexander (AUT),RAITER Erik (KAZ),CHEN Alexander
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,AL-JADAI Naif,DANI Mudit,4,0,"11,11,11,11|3,5,5,9",R16,WTT_CONTENDER,MS,2484,Main Draw,AL-JADAI Naif (KSA),DANI Mudit (IND),AL-JADAI Naif
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,ALKHADRAWI Ali,PANDE Siddhesh,4,3,"8,12,8,11,9,11,11|11,10,11,2,11,4,6",R16,WTT_CONTENDER,MS,2484,Main Draw,ALKHADRAWI Ali (KSA),PANDE Siddhesh (IND),ALKHADRAWI Ali
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,SURAVAJJULA Snehit,KHARKI Iskender,4,0,"11,11,11,12|5,6,8,10",R16,WTT_CONTENDER,MS,2484,Main Draw,SURAVAJJULA Snehit (IND),KHARKI Iskender (KAZ),SURAVAJJULA Snehit
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,GROVER Sudhanshu,KENZHIGULOV Aidos,4,3,"8,7,11,8,11,11,11|11,11,9,11,5,3,2",R16,WTT_CONTENDER,MS,2484,Main Draw,GROVER Sudhanshu (IND),KENZHIGULOV Aidos (KAZ),GROVER Sudhanshu
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,PLATONOV Pavel,CHANDRA Jeet,4,2,"11,12,11,10,11,11|9,14,8,12,8,5",R16,WTT_CONTENDER,MS,2484,Main Draw,PLATONOV Pavel (BLR),CHANDRA Jeet (IND),PLATONOV Pavel
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,OKHOTNIKOVA Ekaterina/SHADRINA Daria,SANDYBAYEVA Malika/TSVIGUN Alissa,3,0,"11,11,11|3,8,7",R16,WTT_CONTENDER,WD,2484,Main Draw,OKHOTNIKOVA Ekaterina (RUS) / SHADRINA Daria (RUS),SANDYBAYEVA Malika (KAZ) / TSVIGUN Alissa (KAZ),OKHOTNIKOVA Ekaterina
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,BAKHYT Anel/ROMANOVSKAYA Angelina,KHADJIEVA Rozalina/MADALIEVA Sugdiyona,3,1,"11,13,4,11|5,11,11,9",R16,WTT_CONTENDER,WD,2484,Main Draw,BAKHYT Anel (KAZ) / ROMANOVSKAYA Angelina (KAZ),KHADJIEVA Rozalina (UZB) / MADALIEVA Sugdiyona (UZB),BAKHYT Anel
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,SEN Prapti/NATH Kaushani,ASHKEYEVA Aray/KOSHKUMBAYEVA Zhanerke,3,0,"11,11,11|8,3,4",R16,WTT_CONTENDER,WD,2484,Main Draw,SEN Prapti (IND) / NATH Kaushani (IND),ASHKEYEVA Aray (KAZ) / KOSHKUMBAYEVA Zhanerke (KAZ),SEN Prapti
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KHOLIKOV Elmurod/TYAN Stanislav,BELAKON Viachaslau/RAKHIMBERGANOV Jamshchid,3,0,"11,11,11|7,9,7",R16,WTT_CONTENDER,MD,2484,Main Draw,KHOLIKOV Elmurod (UZB) / TYAN Stanislav (UZB),BELAKON Viachaslau (BLR) / RAKHIMBERGANOV Jamshchid (UZB),KHOLIKOV Elmurod
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,ALKHADRAWI Ali/BU SHULAYBI Abdulaziz,ANORBOEV Abdulaziz/UKTAMBOEV Mukhammad,3,1,"11,8,11,11|7,11,7,1",R16,WTT_CONTENDER,MD,2484,Main Draw,ALKHADRAWI Ali (KSA) / BU SHULAYBI Abdulaziz (KSA),ANORBOEV Abdulaziz (UZB) / UKTAMBOEV Mukhammad (UZB),ALKHADRAWI Ali
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,DANI Mudit/PANDE Siddhesh,RAITER Erik/ZAKHAROV Vladislav,3,1,"14,11,7,11|12,9,11,5",R16,WTT_CONTENDER,MD,2484,Main Draw,DANI Mudit (IND) / PANDE Siddhesh (IND),RAITER Erik (KAZ) / ZAKHAROV Vladislav (KAZ),DANI Mudit
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,GROVER Sudhanshu/SURAVAJJULA Snehit,KENZHIGULOV Dastan/KIM Temirlan,3,1,"11,11,10,11|9,8,12,9",R16,WTT_CONTENDER,MD,2484,Main Draw,GROVER Sudhanshu (IND) / SURAVAJJULA Snehit (IND),KENZHIGULOV Dastan (KAZ) / KIM Temirlan (KAZ),GROVER Sudhanshu
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KENZHIGULOV Aidos/KHARKI Iskender,KUNATS Heorhi/TSYHANOUSKI Mikhail,3,2,"11,6,11,7,11|8,11,8,11,5",R16,WTT_CONTENDER,MD,2484,Main Draw,KENZHIGULOV Aidos (KAZ) / KHARKI Iskender (KAZ),KUNATS Heorhi (BLR) / TSYHANOUSKI Mikhail (BLR),KENZHIGULOV Aidos
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,GERASSIMENKO Kirill/KURMANGALIYEV Alan,KABURKIN Maksim/SHEVNIN Semen,3,1,"10,11,11,11|12,6,5,8",R16,WTT_CONTENDER,MD,2484,Main Draw,GERASSIMENKO Kirill (KAZ) / KURMANGALIYEV Alan (KAZ),KABURKIN Maksim (RUS) / SHEVNIN Semen (RUS),GERASSIMENKO Kirill
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,CHEN Alexander/PLATONOV Pavel,AKIMALI Bakdaulet/ARTUKMETOV Irisbek,3,0,"11,11,11|6,3,4",R16,WTT_CONTENDER,MD,2484,Main Draw,CHEN Alexander (AUT) / PLATONOV Pavel (BLR),AKIMALI Bakdaulet (KAZ) / ARTUKMETOV Irisbek (KAZ),CHEN Alexander
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,RAITER Erik/ASHKEYEVA Aray,ZAKHAROV Vladislav/SMIRNOVA Alexandra,3,0,"11,11,11|7,9,3",QF,WTT_CONTENDER,XD,2484,Main Draw,RAITER Erik (KAZ) / ASHKEYEVA Aray (KAZ),ZAKHAROV Vladislav (KAZ) / SMIRNOVA Alexandra (KAZ),RAITER Erik
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KABURKIN Maksim/KOTSIUR Valeriia,KENZHIGULOV Aidos/BAKHYT Anel,3,0,"11,11,14|7,6,12",QF,WTT_CONTENDER,XD,2484,Main Draw,KABURKIN Maksim (RUS) / KOTSIUR Valeriia (RUS),KENZHIGULOV Aidos (KAZ) / BAKHYT Anel (KAZ),KABURKIN Maksim
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,UKTAMBOEV Mukhammad/MADALIEVA Sugdiyona,KURMANGALIYEV Alan/AKASHEVA Zauresh,3,0,"12,11,14|10,6,12",QF,WTT_CONTENDER,XD,2484,Main Draw,UKTAMBOEV Mukhammad (UZB) / MADALIEVA Sugdiyona (UZB),KURMANGALIYEV Alan (KAZ) / AKASHEVA Zauresh (KAZ),UKTAMBOEV Mukhammad
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,SEN Prapti/NATH Kaushani,LAVROVA Anastassiya/SAPAROVA Alsu,3,0,"11,11,11|6,5,9",QF,WTT_CONTENDER,WD,2484,Main Draw,SEN Prapti (IND) / NATH Kaushani (IND),LAVROVA Anastassiya (KAZ) / SAPAROVA Alsu (KAZ),SEN Prapti
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,NORKULOVA Mekhriniso/KHALIKOVA Kamila,ALIMBAYEVA Aiya/SMIRNOVA Alexandra,3,0,"11,11,11|7,8,6",QF,WTT_CONTENDER,WD,2484,Main Draw,NORKULOVA Mekhriniso (UZB) / KHALIKOVA Kamila (UZB),ALIMBAYEVA Aiya (KAZ) / SMIRNOVA Alexandra (KAZ),NORKULOVA Mekhriniso
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,AKASHEVA Zauresh/MIRKADIROVA Sarvinoz,BAKHYT Anel/ROMANOVSKAYA Angelina,3,0,"13,11,13|11,8,11",QF,WTT_CONTENDER,WD,2484,Main Draw,AKASHEVA Zauresh (KAZ) / MIRKADIROVA Sarvinoz (KAZ),BAKHYT Anel (KAZ) / ROMANOVSKAYA Angelina (KAZ),AKASHEVA Zauresh
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KOTSIUR Valeriia/SHCHERBATYKH Valeriia,OKHOTNIKOVA Ekaterina/SHADRINA Daria,3,1,"11,10,11,11|9,12,3,3",QF,WTT_CONTENDER,WD,2484,Main Draw,KOTSIUR Valeriia (RUS) / SHCHERBATYKH Valeriia (RUS),OKHOTNIKOVA Ekaterina (RUS) / SHADRINA Daria (RUS),KOTSIUR Valeriia
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,GERASSIMENKO Kirill/KURMANGALIYEV Alan,CHEN Alexander/PLATONOV Pavel,3,1,"15,4,11,11|13,11,5,2",QF,WTT_CONTENDER,MD,2484,Main Draw,GERASSIMENKO Kirill (KAZ) / KURMANGALIYEV Alan (KAZ),CHEN Alexander (AUT) / PLATONOV Pavel (BLR),GERASSIMENKO Kirill
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,DANI Mudit/PANDE Siddhesh,KURMAMBAYEV Sagantay/ZHOLUDEV Denis,3,2,"10,11,6,11,11|12,6,11,7,9",QF,WTT_CONTENDER,MD,2484,Main Draw,DANI Mudit (IND) / PANDE Siddhesh (IND),KURMAMBAYEV Sagantay (KAZ) / ZHOLUDEV Denis (KAZ),DANI Mudit
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,ALKHADRAWI Ali/BU SHULAYBI Abdulaziz,KHOLIKOV Elmurod/TYAN Stanislav,3,0,"13,11,11|11,5,8",QF,WTT_CONTENDER,MD,2484,Main Draw,ALKHADRAWI Ali (KSA) / BU SHULAYBI Abdulaziz (KSA),KHOLIKOV Elmurod (UZB) / TYAN Stanislav (UZB),ALKHADRAWI Ali
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,OKHOTNIKOVA Ekaterina,MIRKADIROVA Sarvinoz,4,1,"11,11,8,11,11|7,6,11,5,9",QF,WTT_CONTENDER,WS,2484,Main Draw,OKHOTNIKOVA Ekaterina (RUS),MIRKADIROVA Sarvinoz (KAZ),OKHOTNIKOVA Ekaterina
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,SHCHERBATYKH Valeriia,NATH Kaushani,4,0,"11,11,11,11|8,9,9,4",QF,WTT_CONTENDER,WS,2484,Main Draw,SHCHERBATYKH Valeriia (RUS),NATH Kaushani (IND),SHCHERBATYKH Valeriia
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,ALIMBAYEVA Aiya,SHADRINA Daria,4,3,"8,7,11,6,11,11,11|11,11,9,11,4,6,6",QF,WTT_CONTENDER,WS,2484,Main Draw,ALIMBAYEVA Aiya (KAZ),SHADRINA Daria (RUS),ALIMBAYEVA Aiya
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KOTSIUR Valeriia,SEN Prapti,4,2,"11,11,8,11,8,11|8,9,11,8,11,5",QF,WTT_CONTENDER,WS,2484,Main Draw,KOTSIUR Valeriia (RUS),SEN Prapti (IND),KOTSIUR Valeriia
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,AL-JADAI Naif,KABURKIN Maksim,4,3,"11,11,8,10,11,3,11|6,7,11,12,6,11,4",QF,WTT_CONTENDER,MS,2484,Main Draw,AL-JADAI Naif (KSA),KABURKIN Maksim (RUS),AL-JADAI Naif
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,PLATONOV Pavel,GROVER Sudhanshu,4,2,"13,11,8,11,12,11|15,9,11,8,10,3",QF,WTT_CONTENDER,MS,2484,Main Draw,PLATONOV Pavel (BLR),GROVER Sudhanshu (IND),PLATONOV Pavel
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,SURAVAJJULA Snehit,ALKHADRAWI Ali,4,2,"11,11,6,7,11,11|9,8,11,11,6,3",QF,WTT_CONTENDER,MS,2484,Main Draw,SURAVAJJULA Snehit (IND),ALKHADRAWI Ali (KSA),SURAVAJJULA Snehit
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KABURKIN Maksim/KOTSIUR Valeriia,RAITER Erik/ASHKEYEVA Aray,3,0,"11,11,11|5,1,6",SF,WTT_CONTENDER,XD,2484,Main Draw,KABURKIN Maksim (RUS) / KOTSIUR Valeriia (RUS),RAITER Erik (KAZ) / ASHKEYEVA Aray (KAZ),KABURKIN Maksim
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,UKTAMBOEV Mukhammad/MADALIEVA Sugdiyona,KHOLIKOV Elmurod/KHALIKOVA Kamila,3,1,"11,11,8,11|6,6,11,6",SF,WTT_CONTENDER,XD,2484,Main Draw,UKTAMBOEV Mukhammad (UZB) / MADALIEVA Sugdiyona (UZB),KHOLIKOV Elmurod (UZB) / KHALIKOVA Kamila (UZB),UKTAMBOEV Mukhammad
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KOTSIUR Valeriia/SHCHERBATYKH Valeriia,AKASHEVA Zauresh/MIRKADIROVA Sarvinoz,3,0,"11,11,12|9,7,10",SF,WTT_CONTENDER,WD,2484,Main Draw,KOTSIUR Valeriia (RUS) / SHCHERBATYKH Valeriia (RUS),AKASHEVA Zauresh (KAZ) / MIRKADIROVA Sarvinoz (KAZ),KOTSIUR Valeriia
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,SEN Prapti/NATH Kaushani,NORKULOVA Mekhriniso/KHALIKOVA Kamila,3,1,"11,11,8,13|7,3,11,11",SF,WTT_CONTENDER,WD,2484,Main Draw,SEN Prapti (IND) / NATH Kaushani (IND),NORKULOVA Mekhriniso (UZB) / KHALIKOVA Kamila (UZB),SEN Prapti
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,GERASSIMENKO Kirill/KURMANGALIYEV Alan,GROVER Sudhanshu/SURAVAJJULA Snehit,3,2,"8,11,11,10,11|11,2,6,12,5",SF,WTT_CONTENDER,MD,2484,Main Draw,GERASSIMENKO Kirill (KAZ) / KURMANGALIYEV Alan (KAZ),GROVER Sudhanshu (IND) / SURAVAJJULA Snehit (IND),GERASSIMENKO Kirill
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,ALKHADRAWI Ali/BU SHULAYBI Abdulaziz,DANI Mudit/PANDE Siddhesh,3,0,"11,11,11|8,8,3",SF,WTT_CONTENDER,MD,2484,Main Draw,ALKHADRAWI Ali (KSA) / BU SHULAYBI Abdulaziz (KSA),DANI Mudit (IND) / PANDE Siddhesh (IND),ALKHADRAWI Ali
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,OKHOTNIKOVA Ekaterina,SHCHERBATYKH Valeriia,4,1,"11,11,6,11,11|8,9,11,7,9",SF,WTT_CONTENDER,WS,2484,Main Draw,OKHOTNIKOVA Ekaterina (RUS),SHCHERBATYKH Valeriia (RUS),OKHOTNIKOVA Ekaterina
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,GERASSIMENKO Kirill,AL-JADAI Naif,4,0,"11,11,11,11|5,6,6,6",SF,WTT_CONTENDER,MS,2484,Main Draw,GERASSIMENKO Kirill (KAZ),AL-JADAI Naif (KSA),GERASSIMENKO Kirill
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,KOTSIUR Valeriia,ALIMBAYEVA Aiya,4,1,"8,11,11,11,11|11,3,6,7,8",SF,WTT_CONTENDER,WS,2484,Main Draw,KOTSIUR Valeriia (RUS),ALIMBAYEVA Aiya (KAZ),KOTSIUR Valeriia
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,SURAVAJJULA Snehit,PLATONOV Pavel,4,1,"11,11,11,6,11|5,3,5,11,8",SF,WTT_CONTENDER,MS,2484,Main Draw,SURAVAJJULA Snehit (IND),PLATONOV Pavel (BLR),SURAVAJJULA Snehit
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,GERASSIMENKO Kirill/KURMANGALIYEV Alan,ALKHADRAWI Ali/BU SHULAYBI Abdulaziz,3,0,"11,11,11|6,8,4",F,WTT_CONTENDER,MD,2484,Main Draw,GERASSIMENKO Kirill (KAZ) / KURMANGALIYEV Alan (KAZ),ALKHADRAWI Ali (KSA) / BU SHULAYBI Abdulaziz (KSA),GERASSIMENKO Kirill
ITTF Kazakhstan International Open Karaganda 2021,2021-09-15,GERASSIMENKO Kirill,SURAVAJJULA Snehit,4,1,"11,11,11,9,11|6,9,3,11,6",F,WTT_CONTENDER,MS,2484,Main Draw,GERASSIMENKO Kirill (KAZ),SURAVAJJULA Snehit (IND),GERASSIMENKO Kirill
