tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,TIE Yana,LEE I-Chen,4,0,"11,11,11,11|8,7,5,6",R64,GRAND_SLAM,WS,22,Main Draw,LEE I-Chen (TPE),TIE Yana (HKG),TIE Yana
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,SATO Hitomi,LIU Hsing-Yin,4,1,"13,4,11,14,11|11,11,6,12,3",R64,GRAND_SLAM,WS,22,Main Draw,SATO Hitomi (JPN),LIU Hsing-Yin (TPE),SATO Hitomi
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,SHAN Xiaona,PASKAUSKIENE Ruta,4,1,"12,11,3,11,11|10,4,11,6,8",R64,GRAND_SLAM,WS,22,Main Draw,PASKAUSKIENE Ruta (LTU),SHAN Xiaona (GER),SHAN Xiaona
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,ITO Mima,WINTER Sabine,4,1,"11,11,13,10,11|9,8,11,12,7",R64,GRAND_SLAM,WS,22,Main Draw,ITO Mima (JPN),WINTER Sabine (GER),ITO Mima
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,MORIZONO Misaki,ZHOU Yihan,4,0,"11,11,17,13|6,7,15,11",R64,GRAND_SLAM,WS,22,Main Draw,ZHOU Yihan (SGP),MORIZONO Misaki (JPN),MORIZONO Misaki
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,ISHIGAKI Yuka,BATRA Manika,4,1,"11,11,11,11,11|13,3,4,2,3",R64,GRAND_SLAM,WS,22,Main Draw,ISHIGAKI Yuka (JPN),BATRA Manika (IND),ISHIGAKI Yuka
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,FUKUHARA Ai,CHENG Hsien-Tzu,4,1,"11,12,11,9,11|3,10,4,11,7",R64,GRAND_SLAM,WS,22,Main Draw,CHENG Hsien-Tzu (TPE),FUKUHARA Ai (JPN),FUKUHARA Ai
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,ZHU Yuling,ZENG Jian,4,1,"11,11,11,10,11|5,7,4,12,8",R64,GRAND_SLAM,WS,22,Main Draw,ZHU Yuling (MAC),ZENG Jian (SGP),ZHU Yuling
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,PARTYKA Natalia,EKHOLM Matilda,4,1,"11,11,11,3,12|9,2,5,11,10",R64,GRAND_SLAM,WS,22,Main Draw,PARTYKA Natalia (POL),EKHOLM Matilda (SWE),PARTYKA Natalia
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,KATO Miyu,BERGSTROM Linda,4,0,"11,11,11,11|6,9,6,6",R64,GRAND_SLAM,WS,22,Main Draw,BERGSTROM Linda (SWE),KATO Miyu (JPN),KATO Miyu
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,JIANG Huajun,XIAO Maria,4,0,"11,11,11,11|5,6,5,8",R64,GRAND_SLAM,WS,22,Main Draw,XIAO Maria (ESP),JIANG Huajun (HKG),JIANG Huajun
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,JEON Jihee,MATELOVA Hana,4,3,"9,11,2,11,11,10,11|11,3,11,7,7,12,6",R64,GRAND_SLAM,WS,22,Main Draw,JEON Jihee (KOR),MATELOVA Hana (CZE),JEON Jihee
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,LI Qian,HAMAMOTO Yui,4,2,"11,11,12,11,11,11|4,13,10,13,6,9",R64,GRAND_SLAM,WS,22,Main Draw,HAMAMOTO Yui (AUT),LI Qian (POL),LI Qian
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,YU Fu,MATSUZAWA Marina,4,3,"8,3,9,11,11,11,11|11,11,11,6,7,8,9",R64,GRAND_SLAM,WS,22,Main Draw,YU Fu (POR),MATSUZAWA Marina (JPN),YU Fu
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,BILENKO Tetyana,FENG Tianwei,4,3,"6,11,6,11,6,11,11|11,7,11,6,11,9,5",R64,GRAND_SLAM,WS,22,Main Draw,BILENKO Tetyana (UKR),FENG Tianwei (SGP),BILENKO Tetyana
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,CHEN Meng,WU Jiaduo,4,0,"11,11,11,11|9,7,9,6",R64,GRAND_SLAM,WS,22,Main Draw,CHEN Meng (CHN),WU Jiaduo (GER),CHEN Meng
