tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Team Table Tennis Championships Dortmund 2012,2012-03-25,OVTCHAROV Dimitrij,DURAN Marc,3,0,"11,11,11|3,3,7",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,OVTCHAROV Dimitrij (GER),DURAN Marc (ESP),OVTCHAROV Dimitrij
World Team Table Tennis Championships Dortmund 2012,2012-03-25,STEGER Bastian,CARNEROS Alfredo,3,1,"4,11,11,11|11,6,6,3",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,STEGER Bastian (GER),CARNEROS Alfredo (ESP),STEGER Bastian
World Team Table Tennis Championships Dortmund 2012,2012-03-25,FREITAS Marcos,PANG Xue Jie,3,0,"11,11,11|3,5,1",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,FREITAS Marcos (POR),PANG Xue Jie (SGP),FREITAS Marcos
World Team Table Tennis Championships Dortmund 2012,2012-03-25,GAO Ning,MONTEIRO Joao,3,2,"7,13,14,13,11|11,11,12,15,8",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,GAO Ning (SGP),MONTEIRO Joao (POR),GAO Ning
World Team Table Tennis Championships Dortmund 2012,2012-03-25,YANG Zi,SILVA Andre,3,0,"11,11,14|8,9,12",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,YANG Zi (SGP),SILVA Andre (POR),YANG Zi
World Team Table Tennis Championships Dortmund 2012,2012-03-25,FREITAS Marcos,GAO Ning,3,1,"11,11,9,11|5,6,11,8",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,FREITAS Marcos (POR),GAO Ning (SGP),FREITAS Marcos
World Team Table Tennis Championships Dortmund 2012,2012-03-25,MONTEIRO Joao,PANG Xue Jie,3,0,"11,11,11|4,0,5",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,MONTEIRO Joao (POR),PANG Xue Jie (SGP),MONTEIRO Joao
World Team Table Tennis Championships Dortmund 2012,2012-03-25,KARAKASEVIC Aleksandar,PROKOPCOV Dmitrij,3,1,"12,12,3,11|10,10,11,3",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,KARAKASEVIC Aleksandar (SRB),PROKOPCOV Dmitrij (CZE),KARAKASEVIC Aleksandar
World Team Table Tennis Championships Dortmund 2012,2012-03-25,KORBEL Petr,PETO Zsolt,3,0,"11,11,11|7,7,5",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,KORBEL Petr (CZE),PETO Zsolt (SRB),KORBEL Petr
World Team Table Tennis Championships Dortmund 2012,2012-03-25,JEVTOVIC Marko,JANCARIK Lubomir,3,1,"11,11,19,11|6,8,21,2",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,JEVTOVIC Marko (SRB),JANCARIK Lubomir (CZE),JEVTOVIC Marko
