tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
ITTF-Oceania Cup 2022,2022-12-17,YEE Grace Rosi,WANEGUI Julie,FIJ,NCL,4,3,"11,9,11,11,9,9,11|4,11,8,6,11,11,6",QUAL,OTHER,WS,2670,Qualification,YEE Grace Rosi (FIJ),WANEGUI Julie (NCL),,,4 - 3,11:4 9:11 11:8 11:6 9:11 9:11 11:6,YEE Grace Rosi,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,ZHANG Lily,LYNE Karen,USA,MAS,3,0,"11,11,11|9,5,4",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,ZHANG Lily (USA),LYNE Karen (MAS),,,3 - 0,11:9 11:5 11:4,ZHANG Lily,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,CHANG Li Sian,JALLI Sarah,MAS,USA,3,0,"11,11,11|5,7,8",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,CHANG Li Sian (MAS),JALLI Sarah (USA),,,0 - 3,5:11 7:11 8:11,CHANG Li Sian,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,TEE Ai Xin,KE Tiffany,MAS,USA,3,1,"11,12,11,11|7,10,13,5",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,TEE Ai Xin (MAS),KE Tiffany (USA),,,1 - 3,7:11 10:12 13:11 5:11,TEE Ai Xin,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,ZHANG Lily,CHANG Li Sian,USA,MAS,3,2,"10,11,7,11,11|12,5,11,5,9",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,ZHANG Lily (USA),CHANG Li Sian (MAS),,,3 - 2,10:12 11:5 7:11 11:5 11:9,ZHANG Lily,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,LYNE Karen,JALLI Sarah,MAS,USA,3,0,"11,11,11|3,9,8",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,LYNE Karen (MAS),JALLI Sarah (USA),,,0 - 3,3:11 9:11 8:11,LYNE Karen,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,PARANANG Orawan,ASHTARI Mahshid,THA,IRI,3,0,"12,11,11|10,2,9",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,PARANANG Orawan (THA),ASHTARI Mahshid (IRI),,,3 - 0,12:10 11:2 11:9,PARANANG Orawan,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,SAWETTABUT Jinnipa,SHAHSAVARI Neda,THA,IRI,3,2,"11,11,11,6,11|9,13,5,11,8",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,SAWETTABUT Jinnipa (THA),SHAHSAVARI Neda (IRI),,,3 - 2,11:9 11:13 11:5 6:11 11:8,SAWETTABUT Jinnipa,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,AUEAWIRIYAYOTHIN Wanwisa,HAJILOU Parinaz,THA,IRI,3,1,"11,16,6,11|5,14,11,6",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,AUEAWIRIYAYOTHIN Wanwisa (THA),HAJILOU Parinaz (IRI),,,3 - 1,11:5 16:14 6:11 11:6,AUEAWIRIYAYOTHIN Wanwisa,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,CHUANG Chih-Yuan,ALLEGRO Martin,TPE,BEL,3,1,"11,13,4,11|3,11,11,6",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,CHUANG Chih-Yuan (TPE),ALLEGRO Martin (BEL),,,3 - 1,11:3 13:11 4:11 11:6,CHUANG Chih-Yuan,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,NUYTINCK Cedric,LIAO Cheng-Ting,BEL,TPE,3,0,"11,11,11|5,9,4",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,NUYTINCK Cedric (BEL),LIAO Cheng-Ting (TPE),,,0 - 3,5:11 9:11 4:11,NUYTINCK Cedric,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,RASSENFOSSE Adrien,HUANG Yan-Cheng,BEL,TPE,3,1,"12,8,13,11|10,11,11,7",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,RASSENFOSSE Adrien (BEL),HUANG Yan-Cheng (TPE),,,1 - 3,10:12 11:8 11:13 7:11,RASSENFOSSE Adrien,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,NUYTINCK Cedric,CHUANG Chih-Yuan,BEL,TPE,3,1,"11,16,5,11|8,14,11,8",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,NUYTINCK Cedric (BEL),CHUANG Chih-Yuan (TPE),,,1 - 3,8:11 14:16 11:5 8:11,NUYTINCK Cedric,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,GACINA Andrej,CHEW Clarence,CRO,SGP,3,0,"11,12,11|8,10,7",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,GACINA Andrej (CRO),CHEW Clarence (SGP),,,3 - 0,11:8 12:10 11:7,GACINA Andrej,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,PANG Koen,PUCAR Tomislav,SGP,CRO,3,0,"11,11,11|4,8,7",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,PANG Koen (SGP),PUCAR Tomislav (CRO),,,0 - 3,4:11 8:11 7:11,PANG Koen,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,QUEK Izaac,ZELJKO Filip,SGP,CRO,3,0,"11,11,11|9,7,9",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,QUEK Izaac (SGP),ZELJKO Filip (CRO),,,0 - 3,9:11 7:11 9:11,QUEK Izaac,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,GACINA Andrej,PANG Koen,CRO,SGP,3,2,"14,5,11,11,15|16,11,8,2,13",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,GACINA Andrej (CRO),PANG Koen (SGP),,,3 - 2,14:16 5:11 11:8 11:2 15:13,GACINA Andrej,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,PUCAR Tomislav,CHEW Clarence,CRO,SGP,3,2,"11,8,8,11,11|8,11,11,6,9",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,PUCAR Tomislav (CRO),CHEW Clarence (SGP),,,3 - 2,11:8 8:11 8:11 11:6 11:9,PUCAR Tomislav,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,DOO Hoi Kem,PAVADE Prithika,HKG,FRA,3,1,"6,11,11,11|11,7,6,8",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,DOO Hoi Kem (HKG),PAVADE Prithika (FRA),,,3 - 1,6:11 11:7 11:6 11:8,DOO Hoi Kem,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,ZHU Chengzhu,YUAN Jia Nan,HKG,FRA,3,1,"11,11,9,11|7,4,11,9",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,ZHU Chengzhu (HKG),YUAN Jia Nan (FRA),,,3 - 1,11:7 11:4 9:11 11:9,ZHU Chengzhu,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,CHASSELIN Pauline,LEE Ho Ching,FRA,HKG,3,0,"11,11,11|7,9,9",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,CHASSELIN Pauline (FRA),LEE Ho Ching (HKG),,,0 - 3,7:11 9:11 9:11,CHASSELIN Pauline,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,YUAN Jia Nan,DOO Hoi Kem,FRA,HKG,3,1,"11,3,14,11|9,11,12,9",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,YUAN Jia Nan (FRA),DOO Hoi Kem (HKG),,,1 - 3,9:11 11:3 12:14 9:11,YUAN Jia Nan,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,ZHU Chengzhu,PAVADE Prithika,HKG,FRA,3,1,"11,12,8,11|6,10,11,6",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,ZHU Chengzhu (HKG),PAVADE Prithika (FRA),,,3 - 1,11:6 12:10 8:11 11:6,ZHU Chengzhu,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,CALDERANO Hugo,GERALDO Joao,BRA,POR,3,2,"13,6,11,7,11|11,11,8,11,8",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,CALDERANO Hugo (BRA),GERALDO Joao (POR),,,3 - 2,13:11 6:11 11:8 7:11 11:8,CALDERANO Hugo,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,FREITAS Marcos,JOUTI Eric,POR,BRA,3,0,"11,11,11|4,6,5",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,FREITAS Marcos (POR),JOUTI Eric (BRA),,,0 - 3,4:11 6:11 5:11,FREITAS Marcos,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,MONTEIRO Joao,ISHIY Vitor,POR,BRA,3,2,"12,4,9,11,11|10,11,11,5,8",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,MONTEIRO Joao (POR),ISHIY Vitor (BRA),,,2 - 3,10:12 11:4 11:9 5:11 8:11,MONTEIRO Joao,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,CALDERANO Hugo,FREITAS Marcos,BRA,POR,3,1,"11,9,11,11|8,11,9,7",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,CALDERANO Hugo (BRA),FREITAS Marcos (POR),,,3 - 1,11:8 9:11 11:9 11:7,CALDERANO Hugo,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,GERALDO Joao,JOUTI Eric,POR,BRA,3,1,"7,11,11,11|11,4,7,4",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,GERALDO Joao (POR),JOUTI Eric (BRA),,,1 - 3,11:7 4:11 7:11 4:11,GERALDO Joao,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,AFANADOR Brian,TANCHAROEN Sarayut,PUR,THA,3,1,"5,11,11,12|11,6,7,10",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,AFANADOR Brian (PUR),TANCHAROEN Sarayut (THA),,,3 - 1,5:11 11:6 11:7 12:10,AFANADOR Brian,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,GONZALEZ Daniel,SANGUANSIN Phakpoom,PUR,THA,3,0,"11,11,11|9,9,6",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,GONZALEZ Daniel (PUR),SANGUANSIN Phakpoom (THA),,,3 - 0,11:9 11:9 11:6,GONZALEZ Daniel,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,NARANJO Angel,PASSARA Pattaratorn,PUR,THA,3,0,"15,12,12|13,10,10",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,NARANJO Angel (PUR),PASSARA Pattaratorn (THA),,,3 - 0,15:13 12:10 12:10,NARANJO Angel,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,HAN Ying,MESHREF Dina,GER,EGY,3,0,"11,11,11|5,3,6",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,HAN Ying (GER),MESHREF Dina (EGY),,,0 - 3,5:11 3:11 6:11,HAN Ying,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,SHAN Xiaona,GODA Hana,GER,EGY,3,0,"11,11,11|4,9,4",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,SHAN Xiaona (GER),GODA Hana (EGY),,,0 - 3,4:11 9:11 4:11,SHAN Xiaona,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,MITTELHAM Nina,ALHODABY Mariam,GER,EGY,3,0,"14,13,11|12,11,3",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,MITTELHAM Nina (GER),ALHODABY Mariam (EGY),,,0 - 3,12:14 11:13 3:11,MITTELHAM Nina,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,GNANASEKARAN Sathiyan,DUDA Benedikt,IND,GER,3,2,"11,4,11,11,11|13,11,8,4,9",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,GNANASEKARAN Sathiyan (IND),DUDA Benedikt (GER),,,3 - 2,11:13 4:11 11:8 11:4 11:9,GNANASEKARAN Sathiyan,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,QIU Dang,DESAI Harmeet,GER,IND,3,1,"11,11,11,11|7,9,13,3",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,QIU Dang (GER),DESAI Harmeet (IND),,,1 - 3,7:11 9:11 13:11 3:11,QIU Dang,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,THAKKAR Manav,WALTHER Ricardo,IND,GER,3,1,"13,6,11,12|11,11,8,10",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,THAKKAR Manav (IND),WALTHER Ricardo (GER),,,3 - 1,13:11 6:11 11:8 12:10,THAKKAR Manav,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,GNANASEKARAN Sathiyan,QIU Dang,IND,GER,3,2,"10,7,11,11,11|12,11,8,8,9",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,GNANASEKARAN Sathiyan (IND),QIU Dang (GER),,,3 - 2,10:12 7:11 11:8 11:8 11:9,GNANASEKARAN Sathiyan,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,PARANANG Orawan,YOON Hyobin,THA,KOR,3,0,"11,11,11|7,8,4",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,PARANANG Orawan (THA),YOON Hyobin (KOR),,,3 - 0,11:7 11:8 11:4,PARANANG Orawan,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,LEE Zion,SAWETTABUT Jinnipa,KOR,THA,3,2,"11,8,11,13,15|7,11,5,15,13",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,LEE Zion (KOR),SAWETTABUT Jinnipa (THA),,,2 - 3,7:11 11:8 5:11 15:13 13:15,LEE Zion,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,KIM Nayeong,AUEAWIRIYAYOTHIN Wanwisa,KOR,THA,3,1,"13,11,11,11|15,6,5,9",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,KIM Nayeong (KOR),AUEAWIRIYAYOTHIN Wanwisa (THA),,,1 - 3,15:13 6:11 5:11 9:11,KIM Nayeong,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,LEE Zion,PARANANG Orawan,KOR,THA,3,2,"11,4,7,11,11|4,11,11,6,9",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,LEE Zion (KOR),PARANANG Orawan (THA),,,2 - 3,4:11 11:4 11:7 6:11 9:11,LEE Zion,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,ZHOLUDEV Denis,ANORBOEV Abdulaziz,KAZ,UZB,3,0,"11,11,11|6,6,8",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,ZHOLUDEV Denis (KAZ),ANORBOEV Abdulaziz (UZB),,,0 - 3,6:11 6:11 8:11,ZHOLUDEV Denis,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,GERASSIMENKO Kirill,ISKANDAROV Shokhrukh,KAZ,UZB,3,0,"11,11,11|2,6,8",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,GERASSIMENKO Kirill (KAZ),ISKANDAROV Shokhrukh (UZB),,,0 - 3,2:11 6:11 8:11,GERASSIMENKO Kirill,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,KURMANGALIYEV Alan,KHOLIKOV Elmurod,KAZ,UZB,3,0,"11,11,12|5,2,10",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,KURMANGALIYEV Alan (KAZ),KHOLIKOV Elmurod (UZB),,,0 - 3,5:11 2:11 10:12,KURMANGALIYEV Alan,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,NI Xia Lian,RAHIMI Elina,LUX,IRI,3,1,"11,8,11,11|9,11,5,6",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,NI Xia Lian (LUX),RAHIMI Elina (IRI),,,3 - 1,11:9 8:11 11:5 11:6,NI Xia Lian,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,DE NUTTE Sarah,SHAHSAVARI Neda,LUX,IRI,3,1,"11,11,6,15|9,6,11,13",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,DE NUTTE Sarah (LUX),SHAHSAVARI Neda (IRI),,,3 - 1,11:9 11:6 6:11 15:13,DE NUTTE Sarah,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,GONDERINGER Tessy,SAFAEI Shima,LUX,IRI,3,2,"16,8,10,11,11|14,11,12,9,6",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,GONDERINGER Tessy (LUX),SAFAEI Shima (IRI),,,3 - 2,16:14 8:11 10:12 11:9 11:6,GONDERINGER Tessy,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,VARADY Barbora,KHADJIEVA Rozalina,SVK,UZB,3,0,"11,11,13|8,8,11",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,VARADY Barbora (SVK),KHADJIEVA Rozalina (UZB),,,3 - 0,11:8 11:8 13:11,VARADY Barbora,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,KUKULKOVA Tatiana,MAGDIEVA Markhabo,SVK,UZB,3,1,"11,11,5,11|3,8,11,9",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,KUKULKOVA Tatiana (SVK),MAGDIEVA Markhabo (UZB),,,3 - 1,11:3 11:8 5:11 11:9,KUKULKOVA Tatiana,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,LABOSOVA Ema,MADALIEVA Sugdiyona,SVK,UZB,3,0,"11,11,11|8,5,2",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,LABOSOVA Ema (SVK),MADALIEVA Sugdiyona (UZB),,,3 - 0,11:8 11:5 11:2,LABOSOVA Ema,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,ARLIA Nicole,PATEL Danisha,ITA,RSA,3,0,"11,11,11|4,5,7",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,ARLIA Nicole (ITA),PATEL Danisha (RSA),,,0 - 3,4:11 5:11 7:11,ARLIA Nicole,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,PICCOLIN Giorgia,EDWARDS Lailaa,ITA,RSA,3,0,"11,11,11|2,3,4",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,PICCOLIN Giorgia (ITA),EDWARDS Lailaa (RSA),,,0 - 3,2:11 3:11 4:11,PICCOLIN Giorgia,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,VIVARELLI Debora,MAPHANGA Zodwa,ITA,RSA,3,1,"11,11,8,11|7,2,11,1",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,VIVARELLI Debora (ITA),MAPHANGA Zodwa (RSA),,,1 - 3,7:11 2:11 11:8 1:11,VIVARELLI Debora,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,WANG Manyu,DIAZ Adriana,CHN,PUR,3,0,"12,11,11|10,4,5",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,WANG Manyu (CHN),DIAZ Adriana (PUR),,,0 - 3,10:12 4:11 5:11,WANG Manyu,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,CHEN Meng,RIOS Daniely,CHN,PUR,3,0,"12,11,11|10,9,4",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,CHEN Meng (CHN),RIOS Daniely (PUR),,,0 - 3,10:12 9:11 4:11,CHEN Meng,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,WANG Yidi,DIAZ Melanie,CHN,PUR,3,0,"11,11,11|1,2,3",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,WANG Yidi (CHN),DIAZ Melanie (PUR),,,0 - 3,1:11 2:11 3:11,WANG Yidi,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,HARIMOTO Tomokazu,IONESCU Eduard,JPN,ROU,3,0,"11,11,11|5,7,9",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,HARIMOTO Tomokazu (JPN),IONESCU Eduard (ROU),,,3 - 0,11:5 11:7 11:9,HARIMOTO Tomokazu,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,TOGAMI Shunsuke,IONESCU Ovidiu,JPN,ROU,3,2,"12,7,11,11,14|10,11,9,13,12",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,TOGAMI Shunsuke (JPN),IONESCU Ovidiu (ROU),,,3 - 2,12:10 7:11 11:9 11:13 14:12,TOGAMI Shunsuke,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,SZOCS Hunor,OIKAWA Mizuki,ROU,JPN,3,0,"11,11,11|6,5,9",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,SZOCS Hunor (ROU),OIKAWA Mizuki (JPN),,,0 - 3,6:11 5:11 9:11,SZOCS Hunor,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,IONESCU Ovidiu,HARIMOTO Tomokazu,ROU,JPN,3,1,"11,11,7,11|8,6,11,5",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,IONESCU Ovidiu (ROU),HARIMOTO Tomokazu (JPN),,,1 - 3,8:11 6:11 11:7 5:11,IONESCU Ovidiu,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,TOGAMI Shunsuke,IONESCU Eduard,JPN,ROU,3,0,"11,11,11|8,3,4",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,TOGAMI Shunsuke (JPN),IONESCU Eduard (ROU),,,3 - 0,11:8 11:3 11:4,TOGAMI Shunsuke,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,SZUDI Adam,ALAMIAN Nima,HUN,IRI,3,0,"11,11,11|6,9,8",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,SZUDI Adam (HUN),ALAMIAN Nima (IRI),,,3 - 0,11:6 11:9 11:8,SZUDI Adam,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,ALAMIYAN Noshad,ECSEKI Nandor,IRI,HUN,3,0,"12,11,11|10,8,8",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,ALAMIYAN Noshad (IRI),ECSEKI Nandor (HUN),,,0 - 3,10:12 8:11 8:11,ALAMIYAN Noshad,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,LAKATOS Tamas,HODAEI Amir Hossein,HUN,IRI,3,2,"11,5,11,11,11|7,11,9,13,3",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,LAKATOS Tamas (HUN),HODAEI Amir Hossein (IRI),,,3 - 2,11:7 5:11 11:9 11:13 11:3,LAKATOS Tamas,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,ALAMIYAN Noshad,SZUDI Adam,IRI,HUN,3,1,"11,6,11,11|9,11,6,8",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,ALAMIYAN Noshad (IRI),SZUDI Adam (HUN),,,1 - 3,9:11 11:6 6:11 8:11,ALAMIYAN Noshad,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,ECSEKI Nandor,ALAMIAN Nima,HUN,IRI,3,1,"13,6,11,11|11,11,1,7",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,ECSEKI Nandor (HUN),ALAMIAN Nima (IRI),,,3 - 1,13:11 6:11 11:1 11:7,ECSEKI Nandor,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,BATRA Manika,MATELOVA Hana,IND,CZE,3,1,"11,11,8,12|6,6,11,10",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,BATRA Manika (IND),MATELOVA Hana (CZE),,,1 - 3,6:11 6:11 11:8 10:12,BATRA Manika,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,AKULA Sreeja,SEVCIKOVA Marketa,IND,CZE,3,0,"11,11,11|5,3,8",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,AKULA Sreeja (IND),SEVCIKOVA Marketa (CZE),,,0 - 3,5:11 3:11 8:11,AKULA Sreeja,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,CHITALE Diya,TOMANOVSKA Katerina,IND,CZE,3,1,"11,15,12,14|13,13,10,12",GROUP,WORLD_CHAMPIONSHIPS,WT,2535,Main Draw,CHITALE Diya (IND),TOMANOVSKA Katerina (CZE),,,1 - 3,13:11 13:15 10:12 12:14,CHITALE Diya,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,GACINA Andrej,PENG Wang-Wei,CRO,TPE,3,0,"11,11,11|4,9,7",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,GACINA Andrej (CRO),PENG Wang-Wei (TPE),,,3 - 0,11:4 11:9 11:7,GACINA Andrej,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,LIAO Cheng-Ting,PUCAR Tomislav,TPE,CRO,3,1,"5,14,11,15|11,12,8,13",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,LIAO Cheng-Ting (TPE),PUCAR Tomislav (CRO),,,1 - 3,11:5 12:14 8:11 13:15,LIAO Cheng-Ting,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,ZELJKO Filip,HUANG Yan-Cheng,CRO,TPE,3,0,"11,11,11|5,4,8",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,ZELJKO Filip (CRO),HUANG Yan-Cheng (TPE),,,3 - 0,11:5 11:4 11:8,ZELJKO Filip,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,GACINA Andrej,LIAO Cheng-Ting,CRO,TPE,3,1,"11,11,10,11|7,9,12,9",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,GACINA Andrej (CRO),LIAO Cheng-Ting (TPE),,,3 - 1,11:7 11:9 10:12 11:9,GACINA Andrej,2022
ITTF World Team Championships Finals Presented by China Telecom 2022,2022-09-30,ALLEGRO Martin,PANG Koen,BEL,SGP,3,1,"11,11,11,13|13,5,9,11",GROUP,WORLD_CHAMPIONSHIPS,MT,2535,Main Draw,ALLEGRO Martin (BEL),PANG Koen (SGP),,,1 - 3,13:11 5:11 9:11 11:13,ALLEGRO Martin,2022
