tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,JHA Kanak,XIE Tianming,USA,USA,4,0,"11,11,11,11|5,2,6,4",R16,OTHER,JBS,510,Main Draw,JHA Kanak (USA),XIE Tianming (USA),,,4 - 0,11:5 11:2 11:6 11:4,JHA Kanak,2017
Finlandia Open Helsinki 2017,2017-12-07,BARIUS Johan,OJALA Matias,SWE,FIN,4,1,"11,11,11,9,11|9,8,6,11,5",R128,WTT_CONTENDER,MS,867,Main Draw,BARIUS Johan (SWE),OJALA Matias (FIN),,,4 - 1,11:9 11:8 11:6 9:11 11:5,BARIUS Johan,2017
Finlandia Open Helsinki 2017,2017-12-07,CAMERON Niall,FATEHI Vagif,SCO,AZE,4,0,"11,11,11,11|7,6,8,6",R128,WTT_CONTENDER,MS,867,Main Draw,CAMERON Niall (SCO),FATEHI Vagif (AZE),,,4 - 0,11:7 11:6 11:8 11:6,CAMERON Niall,2017
Finlandia Open Helsinki 2017,2017-12-07,ARTEMENKO Nikita,STEIF Noah,RUS,FIN,4,0,"11,11,11,11|5,9,6,4",R128,WTT_CONTENDER,MS,867,Main Draw,ARTEMENKO Nikita (RUS),STEIF Noah (FIN),,,4 - 0,11:5 11:9 11:6 11:4,ARTEMENKO Nikita,2017
Finlandia Open Helsinki 2017,2017-12-07,NETTARP Bruno,LAANE Lauri,SWE,EST,4,1,"9,11,11,11,11|11,7,9,8,9",R128,WTT_CONTENDER,MS,867,Main Draw,NETTARP Bruno (SWE),LAANE Lauri (EST),,,4 - 1,9:11 11:7 11:9 11:8 11:9,NETTARP Bruno,2017
Finlandia Open Helsinki 2017,2017-12-07,TRAVIN Danila,GRAU Sergi,RUS,ESP,4,2,"11,11,8,11,8,12|4,9,11,7,11,10",R128,WTT_CONTENDER,MS,867,Main Draw,TRAVIN Danila (RUS),GRAU Sergi (ESP),,,4 - 2,11:4 11:9 8:11 11:7 8:11 12:10,TRAVIN Danila,2017
Finlandia Open Helsinki 2017,2017-12-07,ANDRAS Csaba,VALASTI Veeti,HUN,FIN,4,0,"11,11,11,11|4,3,7,5",R128,WTT_CONTENDER,MS,867,Main Draw,ANDRAS Csaba (HUN),VALASTI Veeti (FIN),,,4 - 0,11:4 11:3 11:7 11:5,ANDRAS Csaba,2017
Finlandia Open Helsinki 2017,2017-12-07,GIROD Dorian,JENSEN Anton,SUI,DEN,4,0,"11,11,11,11|6,8,3,8",R128,WTT_CONTENDER,MS,867,Main Draw,GIROD Dorian (SUI),JENSEN Anton (DEN),,,4 - 0,11:6 11:8 11:3 11:8,GIROD Dorian,2017
Finlandia Open Helsinki 2017,2017-12-07,TENNILA Otto,ANDERSSON David,FIN,SWE,4,1,"12,11,10,11,11|10,7,12,6,5",R128,WTT_CONTENDER,MS,867,Main Draw,TENNILA Otto (FIN),ANDERSSON David (SWE),,,4 - 1,12:10 11:7 10:12 11:6 11:5,TENNILA Otto,2017
Finlandia Open Helsinki 2017,2017-12-07,LEETE Matthew,ULFARSSON Magnus,ENG,ISL,4,0,"11,11,11,11|8,8,9,8",R128,WTT_CONTENDER,MS,867,Main Draw,LEETE Matthew (ENG),ULFARSSON Magnus (ISL),,,4 - 0,11:8 11:8 11:9 11:8,LEETE Matthew,2017
Finlandia Open Helsinki 2017,2017-12-07,CAVAILLE Jules,MIETTINEN Esa,FRA,FIN,4,0,"12,12,11,11|10,10,6,9",R128,WTT_CONTENDER,MS,867,Main Draw,CAVAILLE Jules (FRA),MIETTINEN Esa (FIN),,,4 - 0,12:10 12:10 11:6 11:9,CAVAILLE Jules,2017
Finlandia Open Helsinki 2017,2017-12-07,BEREZIN Ilya,GUTIERREZ Marc,RUS,ESP,4,2,"11,9,11,11,10,12|6,11,4,8,12,10",R128,WTT_CONTENDER,MS,867,Main Draw,BEREZIN Ilya (RUS),GUTIERREZ Marc (ESP),,,4 - 2,11:6 9:11 11:4 11:8 10:12 12:10,BEREZIN Ilya,2017
Finlandia Open Helsinki 2017,2017-12-07,LIMONOV Anton,DEGROS Nicolas,UKR,BEL,4,3,"13,5,9,15,7,11,11|11,11,11,13,11,2,6",R128,WTT_CONTENDER,MS,867,Main Draw,LIMONOV Anton (UKR),DEGROS Nicolas (BEL),,,4 - 3,13:11 5:11 9:11 15:13 7:11 11:2 11:6,LIMONOV Anton,2017
Finlandia Open Helsinki 2017,2017-12-07,OLAH Benedek,SANDSTROM Per,FIN,SWE,4,1,"11,11,11,11,11|6,13,4,9,3",R64,WTT_CONTENDER,MS,867,Main Draw,OLAH Benedek (FIN),SANDSTROM Per (SWE),,,4 - 1,11:6 11:13 11:4 11:9 11:3,OLAH Benedek,2017
Finlandia Open Helsinki 2017,2017-12-07,BENITO Javier,PERSSON Hilding Totland,ESP,NOR,4,0,"11,11,11,11|5,3,6,5",R64,WTT_CONTENDER,MS,867,Main Draw,BENITO Javier (ESP),PERSSON Hilding Totland (NOR),,,4 - 0,11:5 11:3 11:6 11:5,BENITO Javier,2017
Finlandia Open Helsinki 2017,2017-12-07,PETER Ingemar,HJORT Anton,SVK,SWE,4,1,"7,11,11,11,11|11,9,5,6,5",R64,WTT_CONTENDER,MS,867,Main Draw,PETER Ingemar (SVK),HJORT Anton (SWE),,,4 - 1,7:11 11:9 11:5 11:6 11:5,PETER Ingemar,2017
Finlandia Open Helsinki 2017,2017-12-07,SADAMATSU Yusuke,PALACIOS Daniel,JPN,ESP,4,1,"8,11,11,11,11|11,6,2,6,6",R64,WTT_CONTENDER,MS,867,Main Draw,SADAMATSU Yusuke (JPN),PALACIOS Daniel (ESP),,,4 - 1,8:11 11:6 11:2 11:6 11:6,SADAMATSU Yusuke,2017
Finlandia Open Helsinki 2017,2017-12-07,NIKULIN Ivan,BOTH Oliver,RUS,HUN,4,3,"11,7,11,5,12,12,11|9,11,8,11,14,10,8",R64,WTT_CONTENDER,MS,867,Main Draw,NIKULIN Ivan (RUS),BOTH Oliver (HUN),,,4 - 3,11:9 7:11 11:8 5:11 12:14 12:10 11:8,NIKULIN Ivan,2017
Finlandia Open Helsinki 2017,2017-12-07,DALGLEISH Colin,DORCESCU Denis,SCO,FRA,4,2,"9,11,11,8,11,15|11,9,4,11,4,13",R64,WTT_CONTENDER,MS,867,Main Draw,DALGLEISH Colin (SCO),DORCESCU Denis (FRA),,,4 - 2,9:11 11:9 11:4 8:11 11:4 15:13,DALGLEISH Colin,2017
Finlandia Open Helsinki 2017,2017-12-07,REGENTOV Evgenii,SORIA Javier,RUS,ESP,4,3,"13,6,9,5,11,11,15|11,11,11,11,6,9,13",R64,WTT_CONTENDER,MS,867,Main Draw,REGENTOV Evgenii (RUS),SORIA Javier (ESP),,,4 - 3,13:11 6:11 9:11 5:11 11:6 11:9 15:13,REGENTOV Evgenii,2017
Finlandia Open Helsinki 2017,2017-12-07,HU Heming,RAKOTOARIMANANA Fabio,AUS,MAD,4,1,"6,11,13,13,11|11,3,11,11,6",R64,WTT_CONTENDER,MS,867,Main Draw,HU Heming (AUS),RAKOTOARIMANANA Fabio (MAD),,,4 - 1,6:11 11:3 13:11 13:11 11:6,HU Heming,2017
Finlandia Open Helsinki 2017,2017-12-07,KATSMAN Lev,HERSKIND Micki,RUS,DEN,4,0,"11,11,11,11|6,3,4,9",R64,WTT_CONTENDER,MS,867,Main Draw,KATSMAN Lev (RUS),HERSKIND Micki (DEN),,,4 - 0,11:6 11:3 11:4 11:9,KATSMAN Lev,2017
Finlandia Open Helsinki 2017,2017-12-07,DOYEN Antoine,ABDULWAHHAB Mohammed,POR,QAT,4,0,"11,11,11,11|3,9,4,4",R64,WTT_CONTENDER,MS,867,Main Draw,DOYEN Antoine (POR),ABDULWAHHAB Mohammed (QAT),,,4 - 0,11:3 11:9 11:4 11:4,DOYEN Antoine,2017
Finlandia Open Helsinki 2017,2017-12-07,MURZIN Vitalii,ANDERSSON Anton,RUS,SWE,4,1,"11,11,8,11,11|5,9,11,3,9",R64,WTT_CONTENDER,MS,867,Main Draw,MURZIN Vitalii (RUS),ANDERSSON Anton (SWE),,,4 - 1,11:5 11:9 8:11 11:3 11:9,MURZIN Vitalii,2017
Finlandia Open Helsinki 2017,2017-12-07,MASIP Joan,NILSSON Melker,ESP,SWE,4,3,"7,5,11,11,11,7,11|11,11,9,7,9,11,6",R64,WTT_CONTENDER,MS,867,Main Draw,MASIP Joan (ESP),NILSSON Melker (SWE),,,4 - 3,7:11 5:11 11:9 11:7 11:9 7:11 11:6,MASIP Joan,2017
Finlandia Open Helsinki 2017,2017-12-07,BARDET Lilian,FEDOTOV Petr,FRA,RUS,4,3,"2,6,11,9,11,11,11|11,11,9,11,8,6,9",R64,WTT_CONTENDER,MS,867,Main Draw,BARDET Lilian (FRA),FEDOTOV Petr (RUS),,,4 - 3,2:11 6:11 11:9 9:11 11:8 11:6 11:9,BARDET Lilian,2017
Finlandia Open Helsinki 2017,2017-12-07,KARLSSON Filip,YOSHIDA Daisuke,SWE,JPN,4,2,"11,8,11,7,12,12|9,11,6,11,10,10",R64,WTT_CONTENDER,MS,867,Main Draw,KARLSSON Filip (SWE),YOSHIDA Daisuke (JPN),,,4 - 2,11:9 8:11 11:6 7:11 12:10 12:10,KARLSSON Filip,2017
Finlandia Open Helsinki 2017,2017-12-07,HAUG Borgar,OCONNOR Miikka,NOR,FIN,4,0,"11,12,11,11|6,10,9,7",R64,WTT_CONTENDER,MS,867,Main Draw,HAUG Borgar (NOR),OCONNOR Miikka (FIN),,,4 - 0,11:6 12:10 11:9 11:7,HAUG Borgar,2017
Finlandia Open Helsinki 2017,2017-12-07,MOREGARD Malte,RASSENFOSSE Adrien,SWE,BEL,4,2,"8,11,7,11,11,11|11,6,11,8,7,7",R64,WTT_CONTENDER,MS,867,Main Draw,MOREGARD Malte (SWE),RASSENFOSSE Adrien (BEL),,,4 - 2,8:11 11:6 7:11 11:8 11:7 11:7,MOREGARD Malte,2017
Finlandia Open Helsinki 2017,2017-12-07,VAINULA Vallot,SABHI Myshaal,EST,TUN,4,2,"11,11,11,7,7,18|6,7,8,11,11,16",R64,WTT_CONTENDER,MS,867,Main Draw,VAINULA Vallot (EST),SABHI Myshaal (TUN),,,4 - 2,11:6 11:7 11:8 7:11 7:11 18:16,VAINULA Vallot,2017
Finlandia Open Helsinki 2017,2017-12-07,SOINE Toni,SOW Hamidou,FIN,SEN,4,2,"6,11,11,14,10,11|11,7,8,12,12,6",R64,WTT_CONTENDER,MS,867,Main Draw,SOINE Toni (FIN),SOW Hamidou (SEN),,,4 - 2,6:11 11:7 11:8 14:12 10:12 11:6,SOINE Toni,2017
Finlandia Open Helsinki 2017,2017-12-07,ROOSE Pontus,TIKHONOV Artem,SWE,RUS,4,0,"11,11,11,11|7,3,5,8",R64,WTT_CONTENDER,MS,867,Main Draw,ROOSE Pontus (SWE),TIKHONOV Artem (RUS),,,4 - 0,11:7 11:3 11:5 11:8,ROOSE Pontus,2017
Finlandia Open Helsinki 2017,2017-12-07,WATANABE Yusuke,GULLBO Viktor,JPN,SWE,4,0,"11,11,11,11|2,9,9,3",R64,WTT_CONTENDER,MS,867,Main Draw,WATANABE Yusuke (JPN),GULLBO Viktor (SWE),,,4 - 0,11:2 11:9 11:9 11:3,WATANABE Yusuke,2017
Finlandia Open Helsinki 2017,2017-12-07,ZHOLUDEV Denis,SOINE Samuli,KAZ,FIN,4,2,"11,3,11,11,6,13|7,11,2,4,11,11",R64,WTT_CONTENDER,MS,867,Main Draw,ZHOLUDEV Denis (KAZ),SOINE Samuli (FIN),,,4 - 2,11:7 3:11 11:2 11:4 6:11 13:11,ZHOLUDEV Denis,2017
Finlandia Open Helsinki 2017,2017-12-07,DVOYNIKOV Artem,EVANS Callum,RUS,WAL,4,1,"11,10,11,11,14|7,12,6,6,12",R64,WTT_CONTENDER,MS,867,Main Draw,DVOYNIKOV Artem (RUS),EVANS Callum (WAL),,,4 - 1,11:7 10:12 11:6 11:6 14:12,DVOYNIKOV Artem,2017
Finlandia Open Helsinki 2017,2017-12-07,ALCHIMBAEV Ruslan,OSIRO Pedro,RUS,SUI,4,3,"11,11,9,11,9,13,11|9,6,11,4,11,15,9",R64,WTT_CONTENDER,MS,867,Main Draw,ALCHIMBAEV Ruslan (RUS),OSIRO Pedro (SUI),,,4 - 3,11:9 11:6 9:11 11:4 9:11 13:15 11:9,ALCHIMBAEV Ruslan,2017
Finlandia Open Helsinki 2017,2017-12-07,CABALLERO Carlos,HOWIESON Craig,ESP,SCO,4,3,"11,11,9,7,14,9,13|8,5,11,11,12,11,11",R64,WTT_CONTENDER,MS,867,Main Draw,CABALLERO Carlos (ESP),HOWIESON Craig (SCO),,,4 - 3,11:8 11:5 9:11 7:11 14:12 9:11 13:11,CABALLERO Carlos,2017
Finlandia Open Helsinki 2017,2017-12-07,ERIKSSON Anders,BEN-ARI Aviv,SWE,ISR,4,0,"11,11,11,11|6,8,8,2",R64,WTT_CONTENDER,MS,867,Main Draw,ERIKSSON Anders (SWE),BEN-ARI Aviv (ISR),,,4 - 0,11:6 11:8 11:8 11:2,ERIKSSON Anders,2017
Finlandia Open Helsinki 2017,2017-12-07,BARIUS Johan,CAMERON Niall,SWE,SCO,4,2,"8,11,11,6,11,11|11,7,7,11,6,9",R64,WTT_CONTENDER,MS,867,Main Draw,BARIUS Johan (SWE),CAMERON Niall (SCO),,,4 - 2,8:11 11:7 11:7 6:11 11:6 11:9,BARIUS Johan,2017
Finlandia Open Helsinki 2017,2017-12-07,ARTEMENKO Nikita,NETTARP Bruno,RUS,SWE,4,2,"11,11,11,11,4,11|8,13,7,6,11,5",R64,WTT_CONTENDER,MS,867,Main Draw,ARTEMENKO Nikita (RUS),NETTARP Bruno (SWE),,,4 - 2,11:8 11:13 11:7 11:6 4:11 11:5,ARTEMENKO Nikita,2017
Finlandia Open Helsinki 2017,2017-12-07,TRAVIN Danila,HAMACHE Bilal,RUS,FRA,4,2,"11,2,11,11,11,11|13,11,8,4,3,4",R64,WTT_CONTENDER,MS,867,Main Draw,TRAVIN Danila (RUS),HAMACHE Bilal (FRA),,,4 - 2,11:13 2:11 11:8 11:4 11:3 11:4,TRAVIN Danila,2017
Finlandia Open Helsinki 2017,2017-12-07,ANDRAS Csaba,GIROD Dorian,HUN,SUI,4,1,"11,11,13,8,11|8,8,11,11,4",R64,WTT_CONTENDER,MS,867,Main Draw,ANDRAS Csaba (HUN),GIROD Dorian (SUI),,,4 - 1,11:8 11:8 13:11 8:11 11:4,ANDRAS Csaba,2017
Finlandia Open Helsinki 2017,2017-12-07,TENNILA Otto,LEETE Matthew,FIN,ENG,4,2,"9,12,4,11,11,11|11,10,11,8,5,9",R64,WTT_CONTENDER,MS,867,Main Draw,TENNILA Otto (FIN),LEETE Matthew (ENG),,,4 - 2,9:11 12:10 4:11 11:8 11:5 11:9,TENNILA Otto,2017
Finlandia Open Helsinki 2017,2017-12-07,BEREZIN Ilya,CAVAILLE Jules,RUS,FRA,4,0,"11,11,11,11|4,9,8,4",R64,WTT_CONTENDER,MS,867,Main Draw,BEREZIN Ilya (RUS),CAVAILLE Jules (FRA),,,4 - 0,11:4 11:9 11:8 11:4,BEREZIN Ilya,2017
Finlandia Open Helsinki 2017,2017-12-07,KORIYAMA Hokuto,LIMONOV Anton,JPN,UKR,4,0,"11,11,11,12|9,6,5,10",R64,WTT_CONTENDER,MS,867,Main Draw,KORIYAMA Hokuto (JPN),LIMONOV Anton (UKR),,,4 - 0,11:9 11:6 11:5 12:10,KORIYAMA Hokuto,2017
Finlandia Open Helsinki 2017,2017-12-07,OLAH Benedek,BENITO Javier,FIN,ESP,4,3,"12,5,11,6,11,11,11|14,11,6,11,7,3,9",R32,WTT_CONTENDER,MS,867,Main Draw,OLAH Benedek (FIN),BENITO Javier (ESP),,,4 - 3,12:14 5:11 11:6 6:11 11:7 11:3 11:9,OLAH Benedek,2017
Finlandia Open Helsinki 2017,2017-12-07,SADAMATSU Yusuke,PETER Ingemar,JPN,SVK,4,0,"11,11,11,12|9,4,8,10",R32,WTT_CONTENDER,MS,867,Main Draw,SADAMATSU Yusuke (JPN),PETER Ingemar (SVK),,,4 - 0,11:9 11:4 11:8 12:10,SADAMATSU Yusuke,2017
Finlandia Open Helsinki 2017,2017-12-07,NIKULIN Ivan,DALGLEISH Colin,RUS,SCO,4,0,"11,11,11,12|5,8,5,10",R32,WTT_CONTENDER,MS,867,Main Draw,NIKULIN Ivan (RUS),DALGLEISH Colin (SCO),,,4 - 0,11:5 11:8 11:5 12:10,NIKULIN Ivan,2017
Finlandia Open Helsinki 2017,2017-12-07,HU Heming,REGENTOV Evgenii,AUS,RUS,4,3,"7,11,11,11,5,9,11|11,6,7,3,11,11,9",R32,WTT_CONTENDER,MS,867,Main Draw,HU Heming (AUS),REGENTOV Evgenii (RUS),,,4 - 3,7:11 11:6 11:7 11:3 5:11 9:11 11:9,HU Heming,2017
Finlandia Open Helsinki 2017,2017-12-07,KATSMAN Lev,DOYEN Antoine,RUS,POR,4,3,"11,8,7,11,11,11,11|7,11,11,13,6,8,4",R32,WTT_CONTENDER,MS,867,Main Draw,KATSMAN Lev (RUS),DOYEN Antoine (POR),,,4 - 3,11:7 8:11 7:11 11:13 11:6 11:8 11:4,KATSMAN Lev,2017
Finlandia Open Helsinki 2017,2017-12-07,MURZIN Vitalii,MASIP Joan,RUS,ESP,4,0,"11,11,11,11|7,7,6,5",R32,WTT_CONTENDER,MS,867,Main Draw,MURZIN Vitalii (RUS),MASIP Joan (ESP),,,4 - 0,11:7 11:7 11:6 11:5,MURZIN Vitalii,2017
Finlandia Open Helsinki 2017,2017-12-07,BARDET Lilian,KARLSSON Filip,FRA,SWE,4,0,"11,11,11,12|9,9,6,10",R32,WTT_CONTENDER,MS,867,Main Draw,BARDET Lilian (FRA),KARLSSON Filip (SWE),,,4 - 0,11:9 11:9 11:6 12:10,BARDET Lilian,2017
Finlandia Open Helsinki 2017,2017-12-07,MOREGARD Malte,HAUG Borgar,SWE,NOR,4,1,"11,12,11,8,11|2,10,6,11,8",R32,WTT_CONTENDER,MS,867,Main Draw,MOREGARD Malte (SWE),HAUG Borgar (NOR),,,4 - 1,11:2 12:10 11:6 8:11 11:8,MOREGARD Malte,2017
Finlandia Open Helsinki 2017,2017-12-07,VAINULA Vallot,SOINE Toni,EST,FIN,4,0,"11,11,13,12|8,7,11,10",R32,WTT_CONTENDER,MS,867,Main Draw,VAINULA Vallot (EST),SOINE Toni (FIN),,,4 - 0,11:8 11:7 13:11 12:10,VAINULA Vallot,2017
Finlandia Open Helsinki 2017,2017-12-07,WATANABE Yusuke,ROOSE Pontus,JPN,SWE,4,0,"11,11,11,11|6,6,7,8",R32,WTT_CONTENDER,MS,867,Main Draw,WATANABE Yusuke (JPN),ROOSE Pontus (SWE),,,4 - 0,11:6 11:6 11:7 11:8,WATANABE Yusuke,2017
Finlandia Open Helsinki 2017,2017-12-07,ZHOLUDEV Denis,DVOYNIKOV Artem,KAZ,RUS,4,1,"13,8,11,11,11|11,11,5,7,4",R32,WTT_CONTENDER,MS,867,Main Draw,ZHOLUDEV Denis (KAZ),DVOYNIKOV Artem (RUS),,,4 - 1,13:11 8:11 11:5 11:7 11:4,ZHOLUDEV Denis,2017
Finlandia Open Helsinki 2017,2017-12-07,ALCHIMBAEV Ruslan,CABALLERO Carlos,RUS,ESP,4,3,"11,11,8,8,7,11,11|9,7,11,11,11,6,5",R32,WTT_CONTENDER,MS,867,Main Draw,ALCHIMBAEV Ruslan (RUS),CABALLERO Carlos (ESP),,,4 - 3,11:9 11:7 8:11 8:11 7:11 11:6 11:5,ALCHIMBAEV Ruslan,2017
Finlandia Open Helsinki 2017,2017-12-07,ERIKSSON Anders,BARIUS Johan,SWE,SWE,4,1,"11,11,11,11,11|5,9,8,13,9",R32,WTT_CONTENDER,MS,867,Main Draw,ERIKSSON Anders (SWE),BARIUS Johan (SWE),,,4 - 1,11:5 11:9 11:8 11:13 11:9,ERIKSSON Anders,2017
Finlandia Open Helsinki 2017,2017-12-07,TRAVIN Danila,ARTEMENKO Nikita,RUS,RUS,4,3,"11,16,11,6,9,8,11|5,14,9,11,11,11,9",R32,WTT_CONTENDER,MS,867,Main Draw,TRAVIN Danila (RUS),ARTEMENKO Nikita (RUS),,,4 - 3,11:5 16:14 11:9 6:11 9:11 8:11 11:9,TRAVIN Danila,2017
Finlandia Open Helsinki 2017,2017-12-07,ANDRAS Csaba,TENNILA Otto,HUN,FIN,4,1,"11,6,11,11,11|8,11,5,5,6",R32,WTT_CONTENDER,MS,867,Main Draw,ANDRAS Csaba (HUN),TENNILA Otto (FIN),,,4 - 1,11:8 6:11 11:5 11:5 11:6,ANDRAS Csaba,2017
Finlandia Open Helsinki 2017,2017-12-07,KORIYAMA Hokuto,BEREZIN Ilya,JPN,RUS,4,2,"13,11,8,10,11,11|11,9,11,12,8,4",R32,WTT_CONTENDER,MS,867,Main Draw,KORIYAMA Hokuto (JPN),BEREZIN Ilya (RUS),,,4 - 2,13:11 11:9 8:11 10:12 11:8 11:4,KORIYAMA Hokuto,2017
Finlandia Open Helsinki 2017,2017-12-07,SADAMATSU Yusuke,OLAH Benedek,JPN,FIN,4,2,"12,11,11,10,5,11|10,6,9,12,11,5",R16,WTT_CONTENDER,MS,867,Main Draw,SADAMATSU Yusuke (JPN),OLAH Benedek (FIN),,,4 - 2,12:10 11:6 11:9 10:12 5:11 11:5,SADAMATSU Yusuke,2017
Finlandia Open Helsinki 2017,2017-12-07,NIKULIN Ivan,HU Heming,RUS,AUS,4,3,"11,12,8,11,8,11,11|6,14,11,9,11,8,9",R16,WTT_CONTENDER,MS,867,Main Draw,NIKULIN Ivan (RUS),HU Heming (AUS),,,4 - 3,11:6 12:14 8:11 11:9 8:11 11:8 11:9,NIKULIN Ivan,2017
Finlandia Open Helsinki 2017,2017-12-07,MURZIN Vitalii,KATSMAN Lev,RUS,RUS,4,2,"12,6,5,11,11,11|10,11,11,5,9,8",R16,WTT_CONTENDER,MS,867,Main Draw,MURZIN Vitalii (RUS),KATSMAN Lev (RUS),,,4 - 2,12:10 6:11 5:11 11:5 11:9 11:8,MURZIN Vitalii,2017
Finlandia Open Helsinki 2017,2017-12-07,MOREGARD Malte,BARDET Lilian,SWE,FRA,4,1,"11,11,11,1,13|2,5,4,11,11",R16,WTT_CONTENDER,MS,867,Main Draw,MOREGARD Malte (SWE),BARDET Lilian (FRA),,,4 - 1,11:2 11:5 11:4 1:11 13:11,MOREGARD Malte,2017
Finlandia Open Helsinki 2017,2017-12-07,WATANABE Yusuke,VAINULA Vallot,JPN,EST,4,3,"9,12,8,11,11,11,11|11,14,11,3,5,7,2",R16,WTT_CONTENDER,MS,867,Main Draw,WATANABE Yusuke (JPN),VAINULA Vallot (EST),,,4 - 3,9:11 12:14 8:11 11:3 11:5 11:7 11:2,WATANABE Yusuke,2017
Finlandia Open Helsinki 2017,2017-12-07,ZHOLUDEV Denis,ALCHIMBAEV Ruslan,KAZ,RUS,4,0,"11,11,12,11|8,7,10,9",R16,WTT_CONTENDER,MS,867,Main Draw,ZHOLUDEV Denis (KAZ),ALCHIMBAEV Ruslan (RUS),,,4 - 0,11:8 11:7 12:10 11:9,ZHOLUDEV Denis,2017
Finlandia Open Helsinki 2017,2017-12-07,TRAVIN Danila,ERIKSSON Anders,RUS,SWE,4,2,"11,10,7,11,12,11|7,12,11,8,10,7",R16,WTT_CONTENDER,MS,867,Main Draw,TRAVIN Danila (RUS),ERIKSSON Anders (SWE),,,4 - 2,11:7 10:12 7:11 11:8 12:10 11:7,TRAVIN Danila,2017
Finlandia Open Helsinki 2017,2017-12-07,KORIYAMA Hokuto,ANDRAS Csaba,JPN,HUN,4,1,"11,11,11,9,15|9,7,6,11,13",R16,WTT_CONTENDER,MS,867,Main Draw,KORIYAMA Hokuto (JPN),ANDRAS Csaba (HUN),,,4 - 1,11:9 11:7 11:6 9:11 15:13,KORIYAMA Hokuto,2017
Finlandia Open Helsinki 2017,2017-12-07,SADAMATSU Yusuke,NIKULIN Ivan,JPN,RUS,4,3,"11,11,14,8,8,11,11|6,7,16,11,11,5,5",QuarterFinal,WTT_CONTENDER,MS,867,Main Draw,SADAMATSU Yusuke (JPN),NIKULIN Ivan (RUS),,,4 - 3,11:6 11:7 14:16 8:11 8:11 11:5 11:5,SADAMATSU Yusuke,2017
Finlandia Open Helsinki 2017,2017-12-07,MOREGARD Malte,MURZIN Vitalii,SWE,RUS,4,3,"11,11,11,9,8,8,12|9,6,8,11,11,11,10",QuarterFinal,WTT_CONTENDER,MS,867,Main Draw,MOREGARD Malte (SWE),MURZIN Vitalii (RUS),,,4 - 3,11:9 11:6 11:8 9:11 8:11 8:11 12:10,MOREGARD Malte,2017
Finlandia Open Helsinki 2017,2017-12-07,WATANABE Yusuke,ZHOLUDEV Denis,JPN,KAZ,4,2,"11,11,5,11,10,11|9,5,11,9,12,9",QuarterFinal,WTT_CONTENDER,MS,867,Main Draw,WATANABE Yusuke (JPN),ZHOLUDEV Denis (KAZ),,,4 - 2,11:9 11:5 5:11 11:9 10:12 11:9,WATANABE Yusuke,2017
Finlandia Open Helsinki 2017,2017-12-07,KORIYAMA Hokuto,TRAVIN Danila,JPN,RUS,4,2,"11,3,11,11,9,11|7,11,7,9,11,8",QuarterFinal,WTT_CONTENDER,MS,867,Main Draw,KORIYAMA Hokuto (JPN),TRAVIN Danila (RUS),,,4 - 2,11:7 3:11 11:7 11:9 9:11 11:8,KORIYAMA Hokuto,2017
Finlandia Open Helsinki 2017,2017-12-07,SADAMATSU Yusuke,MOREGARD Malte,JPN,SWE,4,2,"8,10,11,11,12,11|11,12,7,3,10,5",SemiFinal,WTT_CONTENDER,MS,867,Main Draw,SADAMATSU Yusuke (JPN),MOREGARD Malte (SWE),,,4 - 2,8:11 10:12 11:7 11:3 12:10 11:5,SADAMATSU Yusuke,2017
Finlandia Open Helsinki 2017,2017-12-07,KORIYAMA Hokuto,WATANABE Yusuke,JPN,JPN,4,3,"9,11,11,11,7,10,11|11,6,9,7,11,12,8",SemiFinal,WTT_CONTENDER,MS,867,Main Draw,KORIYAMA Hokuto (JPN),WATANABE Yusuke (JPN),,,4 - 3,9:11 11:6 11:9 11:7 7:11 10:12 11:8,KORIYAMA Hokuto,2017
Finlandia Open Helsinki 2017,2017-12-07,KORIYAMA Hokuto,SADAMATSU Yusuke,JPN,JPN,4,0,"11,11,16,11|9,8,14,5",Final,WTT_CONTENDER,MS,867,Main Draw,KORIYAMA Hokuto (JPN),SADAMATSU Yusuke (JPN),,,4 - 0,11:9 11:8 16:14 11:5,KORIYAMA Hokuto,2017
ITTF Challenge Spanish Open Almeria 2017,2017-11-22,CHO Seungmin,CHANDRA Jeet,KOR,IND,3,0,"11,11,11|9,4,3",R32,OLYMPICS,U21MS,860,Main Draw,CHO Seungmin (KOR),CHANDRA Jeet (IND),,,3 - 0,11:9 11:4 11:3,CHO Seungmin,2017
ITTF Challenge Spanish Open Almeria 2017,2017-11-22,KLEIN Dennis,VILCHEZ Miguel,GER,ESP,3,1,"8,11,11,14|11,6,6,12",R32,OLYMPICS,U21MS,860,Main Draw,KLEIN Dennis (GER),VILCHEZ Miguel (ESP),,,3 - 1,8:11 11:6 11:6 14:12,KLEIN Dennis,2017
