tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
US Open Florida Orlando 2018,2018-12-17,ZHANG Kai,FUJIKI Shoji,USA,JPN,4,2,"12,9,3,13,11,11|10,11,11,11,6,4",R64,WTT_CONTENDER,MS,1996,Main Draw,FUJIKI Shoji (JPN),ZHANG Kai (USA),,,2 - 4,10:12 11:9 11:3 11:13 6:11 4:11,ZHANG Kai,2018
World Tour Austrian Open Linz 2018,2018-11-06,PITCHFORD Liam,OIKAWA Mizuki,ENG,JPN,4,1,"11,12,11,11,12|5,14,8,9,10",QR32,GRAND_SLAM,MS,878,Qualification,OIKAWA Mizuki (JPN),PITCHFORD Liam (ENG),,,1 - 4,5:11 14:12 8:11 9:11 10:12,PITCHFORD Liam,2018
World Tour Austrian Open Linz 2018,2018-11-06,JANG Woojin,MORIZONO Masataka,KOR,JPN,4,2,"11,5,11,11,4,11|9,11,9,7,11,6",QR32,GRAND_SLAM,MS,878,Qualification,MORIZONO Masataka (JPN),JANG Woojin (KOR),,,2 - 4,9:11 11:5 9:11 7:11 11:4 6:11,JANG Woojin,2018
World Tour Austrian Open Linz 2018,2018-11-06,STOYANOV Niagol,NUYTINCK Cedric,ITA,BEL,4,1,"11,11,6,13,11|7,4,11,11,9",QR32,GRAND_SLAM,MS,878,Qualification,STOYANOV Niagol (ITA),NUYTINCK Cedric (BEL),,,4 - 1,11:7 11:4 6:11 13:11 11:9,STOYANOV Niagol,2018
World Tour Austrian Open Linz 2018,2018-11-06,UEDA Jin,SHIBAEV Alexander,JPN,RUS,4,1,"9,11,11,11,11|11,9,6,9,8",QR32,GRAND_SLAM,MS,878,Qualification,SHIBAEV Alexander (RUS),UEDA Jin (JPN),,,1 - 4,11:9 9:11 6:11 9:11 8:11,UEDA Jin,2018
World Tour Austrian Open Linz 2018,2018-11-06,YOSHIMURA Kazuhiro,FILUS Ruwen,JPN,GER,4,2,"7,11,11,13,11,11|11,5,7,15,6,8",QR32,GRAND_SLAM,MS,878,Qualification,YOSHIMURA Kazuhiro (JPN),FILUS Ruwen (GER),,,4 - 2,7:11 11:5 11:7 13:15 11:6 11:8,YOSHIMURA Kazuhiro,2018
World Tour Austrian Open Linz 2018,2018-11-06,MADARASZ Dora,BERGSTROM Linda,HUN,SWE,3,1,"11,4,11,11|9,11,9,3",QR16,GRAND_SLAM,WD,878,Qualification,MADARASZ Dora (HUN),BERGSTROM Linda (SWE),PERGEL Szandra (HUN),MISCHEK-COLUCCI Karoline (AUT),3 - 1,11:9 4:11 11:9 11:3,MADARASZ Dora,2018
World Tour Austrian Open Linz 2018,2018-11-06,LIU Gaoyang,NAGASAKI Miyu,CHN,JPN,3,2,"11,13,11,8,11|6,15,3,11,7",QR16,GRAND_SLAM,WD,878,Qualification,LIU Gaoyang (CHN),NAGASAKI Miyu (JPN),ZHANG Rui (CHN),ODO Satsuki (JPN),3 - 2,11:6 13:15 11:3 8:11 11:7,LIU Gaoyang,2018
World Tour Austrian Open Linz 2018,2018-11-06,EKHOLM Matilda,DIENDORFER Ines,SWE,AUT,3,0,"11,11,11|3,2,2",QR16,GRAND_SLAM,WD,878,Qualification,EKHOLM Matilda (SWE),DIENDORFER Ines (AUT),POTA Georgina (HUN),KELLERMANN Sophia (AUT),3 - 0,11:3 11:2 11:2,EKHOLM Matilda,2018
World Tour Austrian Open Linz 2018,2018-11-06,SAMARA Elizabeta,KIM Song I,ROU,PRK,3,0,"11,11,11|6,8,5",QR16,GRAND_SLAM,WD,878,Qualification,KIM Song I (PRK),SAMARA Elizabeta (ROU),SUH Hyo Won (KOR),SZOCS Bernadette (ROU),0 - 3,6:11 8:11 5:11,SAMARA Elizabeta,2018
World Tour Austrian Open Linz 2018,2018-11-06,GRZYBOWSKA-FRANC Katarzyna,WU Yue,POL,USA,3,2,"15,11,11,7,11|17,6,6,11,7",QR16,GRAND_SLAM,WD,878,Qualification,WU Yue (USA),GRZYBOWSKA-FRANC Katarzyna (POL),ZHA Wenting (USA),PARTYKA Natalia (POL),2 - 3,17:15 6:11 6:11 11:7 7:11,GRZYBOWSKA-FRANC Katarzyna,2018
World Tour Austrian Open Linz 2018,2018-11-06,BATRA Manika,GUI Lin,IND,BRA,3,2,"3,8,11,11,11|11,11,3,4,4",QR16,GRAND_SLAM,WD,878,Qualification,GUI Lin (BRA),BATRA Manika (IND),TAKAHASHI Bruna (BRA),KAMATH Archana (IND),2 - 3,11:3 11:8 3:11 4:11 4:11,BATRA Manika,2018
World Tour Austrian Open Linz 2018,2018-11-06,LANG Kristin,DIACONU Adina,GER,ROU,3,0,"11,11,11|8,9,7",QR16,GRAND_SLAM,WD,878,Qualification,LANG Kristin (GER),DIACONU Adina (ROU),MITTELHAM Nina (GER),DODEAN Daniela (ROU),3 - 0,11:8 11:9 11:7,LANG Kristin,2018
World Tour Austrian Open Linz 2018,2018-11-06,SOLJA Petrissa,LIN Ye,GER,CAN,3,1,"11,9,11,11|6,11,7,9",QR16,GRAND_SLAM,WD,878,Qualification,SOLJA Petrissa (GER),LIN Ye (CAN),WINTER Sabine (GER),YU Mengyu (SGP),3 - 1,11:6 9:11 11:7 11:9,SOLJA Petrissa,2018
World Tour Austrian Open Linz 2018,2018-11-06,ECSEKI Nandor,FRIEDRICH Christian,HUN,AUT,3,0,"11,11,11|6,2,8",QR16,GRAND_SLAM,MD,878,Qualification,ECSEKI Nandor (HUN),FRIEDRICH Christian (AUT),SZUDI Adam (HUN),LEVENKO Andreas (AUT),3 - 0,11:6 11:2 11:8,ECSEKI Nandor,2018
World Tour Austrian Open Linz 2018,2018-11-06,JOUTI Eric,LIN Gaoyuan,BRA,CHN,3,0,"0,0,0|0,0,0",QR16,GRAND_SLAM,MD,878,Qualification,JOUTI Eric (BRA),LIN Gaoyuan (CHN),TSUBOI Gustavo (BRA),MA Long (CHN),3 - 0,0:0 0:0 0:0,JOUTI Eric,2018
World Tour Austrian Open Linz 2018,2018-11-06,ALLEGRO Martin,GRININGER Thomas,BEL,AUT,3,0,"11,11,11|8,9,8",QR16,GRAND_SLAM,MD,878,Qualification,GRININGER Thomas (AUT),ALLEGRO Martin (BEL),SERDAROGLU David (AUT),LAMBIET Florent (BEL),0 - 3,8:11 9:11 8:11,ALLEGRO Martin,2018
World Tour Austrian Open Linz 2018,2018-11-06,PLETEA Cristian,AN Ji Song,ROU,PRK,3,2,"11,11,4,7,11|8,9,11,11,9",QR16,GRAND_SLAM,MD,878,Qualification,AN Ji Song (PRK),PLETEA Cristian (ROU),LIM Jonghoon (KOR),SZOCS Hunor (ROU),2 - 3,8:11 9:11 11:4 11:7 9:11,PLETEA Cristian,2018
World Tour Austrian Open Linz 2018,2018-11-06,IONESCU Ovidiu,FILUS Ruwen,ROU,GER,3,2,"5,9,12,11,11|11,11,10,8,9",QR16,GRAND_SLAM,MD,878,Qualification,FILUS Ruwen (GER),IONESCU Ovidiu (ROU),WALTHER Ricardo (GER),ROBLES Alvaro (ESP),2 - 3,11:5 11:9 10:12 8:11 9:11,IONESCU Ovidiu,2018
World Tour Austrian Open Linz 2018,2018-11-06,HARIMOTO Tomokazu,BADOWSKI Marek,JPN,POL,3,0,"14,11,11|12,7,5",QR16,GRAND_SLAM,MD,878,Qualification,BADOWSKI Marek (POL),HARIMOTO Tomokazu (JPN),DYJAS Jakub (POL),KIZUKURI Yuto (JPN),0 - 3,12:14 7:11 5:11,HARIMOTO Tomokazu,2018
World Tour Austrian Open Linz 2018,2018-11-06,ACHANTA Sharath,DRINKHALL Paul,IND,ENG,3,2,"11,13,4,9,11|7,11,11,11,7",QR16,GRAND_SLAM,MD,878,Qualification,ACHANTA Sharath (IND),DRINKHALL Paul (ENG),GNANASEKARAN Sathiyan (IND),PITCHFORD Liam (ENG),3 - 2,11:7 13:11 4:11 9:11 11:7,ACHANTA Sharath,2018
World Tour Austrian Open Linz 2018,2018-11-06,CHEN Chien-An,ANTHONY Amalraj,TPE,IND,3,0,"11,11,11|7,4,3",QR16,GRAND_SLAM,MD,878,Qualification,ANTHONY Amalraj (IND),CHEN Chien-An (TPE),DESAI Harmeet (IND),CHUANG Chih-Yuan (TPE),0 - 3,7:11 4:11 3:11,CHEN Chien-An,2018
World Tour Austrian Open Linz 2018,2018-11-06,XU Xin,KARAKASEVIC Aleksandar,CHN,SRB,3,0,"11,11,11|2,5,6",QR16,GRAND_SLAM,XD,878,Qualification,XU Xin (CHN),KARAKASEVIC Aleksandar (SRB),LIU Shiwen (CHN),LUPULESKU Izabela (SRB),3 - 0,11:2 11:5 11:6,XU Xin,2018
World Tour Austrian Open Linz 2018,2018-11-06,DYJAS Jakub,SIRUCEK Pavel,POL,CZE,3,2,"11,9,2,12,11|8,11,11,10,6",QR16,GRAND_SLAM,XD,878,Qualification,DYJAS Jakub (POL),SIRUCEK Pavel (CZE),PARTYKA Natalia (POL),MATELOVA Hana (CZE),3 - 2,11:8 9:11 2:11 12:10 11:6,DYJAS Jakub,2018
World Tour Austrian Open Linz 2018,2018-11-06,NUYTINCK Cedric,KHANIN Aleksandr,BEL,BLR,3,1,"11,11,8,11|6,5,11,8",QR16,GRAND_SLAM,XD,878,Qualification,NUYTINCK Cedric (BEL),KHANIN Aleksandr (BLR),LUNG Lisa (BEL),BALTUSHITE Marharyta (BLR),3 - 1,11:6 11:5 8:11 11:8,NUYTINCK Cedric,2018
World Tour Austrian Open Linz 2018,2018-11-06,ACHANTA Sharath,LANDRIEU Andrea,IND,FRA,3,0,"11,11,12|7,3,10",QR16,GRAND_SLAM,XD,878,Qualification,LANDRIEU Andrea (FRA),ACHANTA Sharath (IND),MIGOT Marie (FRA),BATRA Manika (IND),0 - 3,7:11 3:11 10:12,ACHANTA Sharath,2018
World Tour Austrian Open Linz 2018,2018-11-06,TROMER Laurens,JOUTI Eric,NED,BRA,3,1,"11,15,11,11|13,13,9,6",QR16,GRAND_SLAM,XD,878,Qualification,JOUTI Eric (BRA),TROMER Laurens (NED),GUI Lin (BRA),EERLAND Britt (NED),1 - 3,13:11 13:15 9:11 6:11,TROMER Laurens,2018
World Tour Austrian Open Linz 2018,2018-11-06,APOLONIA Tiago,SKACHKOV Kirill,POR,RUS,3,1,"12,11,5,13|10,9,11,11",QR16,GRAND_SLAM,XD,878,Qualification,APOLONIA Tiago (POR),SKACHKOV Kirill (RUS),SHAO Jieni (POR),NOSKOVA Yana (RUS),3 - 1,12:10 11:9 5:11 13:11,APOLONIA Tiago,2018
World Tour Austrian Open Linz 2018,2018-11-06,SZUDI Adam,MLADENOVIC Luka,HUN,LUX,3,2,"11,10,11,7,13|8,12,3,11,11",QR16,GRAND_SLAM,XD,878,Qualification,SZUDI Adam (HUN),MLADENOVIC Luka (LUX),PERGEL Szandra (HUN),NI Xia Lian (LUX),3 - 2,11:8 10:12 11:3 7:11 13:11,SZUDI Adam,2018
World Tour Austrian Open Linz 2018,2018-11-06,IONESCU Ovidiu,STOYANOV Niagol,ROU,ITA,3,2,"11,11,9,6,11|7,6,11,11,9",QR16,GRAND_SLAM,XD,878,Qualification,STOYANOV Niagol (ITA),IONESCU Ovidiu (ROU),PICCOLIN Giorgia (ITA),SZOCS Bernadette (ROU),2 - 3,7:11 6:11 11:9 11:6 9:11,IONESCU Ovidiu,2018
World Tour Austrian Open Linz 2018,2018-11-06,CHEN Chien-An,IONESCU Ovidiu,TPE,ROU,3,2,"11,11,8,14,12|7,13,11,12,10",R16,GRAND_SLAM,XD,878,Main Draw,CHEN Chien-An (TPE),IONESCU Ovidiu (ROU),CHENG I-Ching (TPE),SZOCS Bernadette (ROU),3 - 2,11:7 11:13 8:11 14:12 12:10,CHEN Chien-An,2018
World Tour Austrian Open Linz 2018,2018-11-06,PISTEJ Lubomir,ACHANTA Sharath,SVK,IND,3,0,"11,11,11|9,9,3",R16,GRAND_SLAM,XD,878,Main Draw,PISTEJ Lubomir (SVK),ACHANTA Sharath (IND),VARADY Barbora (SVK),BATRA Manika (IND),3 - 0,11:9 11:9 11:3,PISTEJ Lubomir,2018
World Tour Austrian Open Linz 2018,2018-11-06,WONG Chun Ting,DYJAS Jakub,HKG,POL,3,2,"6,11,13,7,11|11,4,11,11,9",R16,GRAND_SLAM,XD,878,Main Draw,DYJAS Jakub (POL),WONG Chun Ting (HKG),PARTYKA Natalia (POL),DOO Hoi Kem (HKG),2 - 3,11:6 4:11 11:13 11:7 9:11,WONG Chun Ting,2018
World Tour Austrian Open Linz 2018,2018-11-06,TROMER Laurens,KARLSSON Mattias,NED,SWE,3,0,"0,0,0|0,0,0",R16,GRAND_SLAM,XD,878,Main Draw,TROMER Laurens (NED),KARLSSON Mattias (SWE),EERLAND Britt (NED),EKHOLM Matilda (SWE),3 - 0,0:0 0:0 0:0,TROMER Laurens,2018
World Tour Austrian Open Linz 2018,2018-11-06,XU Xin,FEGERL Stefan,CHN,AUT,3,1,"11,8,11,11|6,11,6,6",R16,GRAND_SLAM,XD,878,Main Draw,FEGERL Stefan (AUT),XU Xin (CHN),POLCANOVA Sofia (AUT),LIU Shiwen (CHN),1 - 3,6:11 11:8 6:11 6:11,XU Xin,2018
World Tour Austrian Open Linz 2018,2018-11-06,YOSHIMURA Maharu,APOLONIA Tiago,JPN,POR,3,0,"11,11,11|9,3,6",R16,GRAND_SLAM,XD,878,Main Draw,APOLONIA Tiago (POR),YOSHIMURA Maharu (JPN),SHAO Jieni (POR),ISHIKAWA Kasumi (JPN),0 - 3,9:11 3:11 6:11,YOSHIMURA Maharu,2018
World Tour Austrian Open Linz 2018,2018-11-06,JANG Woojin,NUYTINCK Cedric,KOR,BEL,3,1,"11,6,11,11|5,11,7,7",R16,GRAND_SLAM,XD,878,Main Draw,JANG Woojin (KOR),NUYTINCK Cedric (BEL),CHA Hyo Sim (PRK),LUNG Lisa (BEL),3 - 1,11:5 6:11 11:7 11:7,JANG Woojin,2018
World Tour Austrian Open Linz 2018,2018-11-06,FILUS Ruwen,SZUDI Adam,GER,HUN,3,2,"11,9,12,9,11|5,11,10,11,4",R16,GRAND_SLAM,XD,878,Main Draw,SZUDI Adam (HUN),FILUS Ruwen (GER),PERGEL Szandra (HUN),HAN Ying (GER),2 - 3,5:11 11:9 10:12 11:9 4:11,FILUS Ruwen,2018
World Tour Austrian Open Linz 2018,2018-11-06,LIU Gaoyang,NG Wing Nam,CHN,HKG,3,1,"12,7,11,11|10,11,7,8",R16,GRAND_SLAM,WD,878,Main Draw,LIU Gaoyang (CHN),NG Wing Nam (HKG),ZHANG Rui (CHN),SOO Wai Yam (HKG),3 - 1,12:10 7:11 11:7 11:8,LIU Gaoyang,2018
World Tour Austrian Open Linz 2018,2018-11-06,HAYATA Hina,MADARASZ Dora,JPN,HUN,3,0,"11,11,11|3,7,8",R16,GRAND_SLAM,WD,878,Main Draw,HAYATA Hina (JPN),MADARASZ Dora (HUN),ITO Mima (JPN),PERGEL Szandra (HUN),3 - 0,11:3 11:7 11:8,HAYATA Hina,2018
World Tour Austrian Open Linz 2018,2018-11-06,GRZYBOWSKA-FRANC Katarzyna,CHENG Hsien-Tzu,POL,TPE,3,1,"11,8,11,11|4,11,4,8",R16,GRAND_SLAM,WD,878,Main Draw,GRZYBOWSKA-FRANC Katarzyna (POL),CHENG Hsien-Tzu (TPE),PARTYKA Natalia (POL),LIU Hsing-Yin (TPE),3 - 1,11:4 8:11 11:4 11:8,GRZYBOWSKA-FRANC Katarzyna,2018
World Tour Austrian Open Linz 2018,2018-11-06,VARADY Barbora,BATRA Manika,SVK,IND,3,2,"12,10,11,11,12|10,12,13,9,10",R16,GRAND_SLAM,WD,878,Main Draw,VARADY Barbora (SVK),BATRA Manika (IND),MATELOVA Hana (CZE),KAMATH Archana (IND),3 - 2,12:10 10:12 11:13 11:9 12:10,VARADY Barbora,2018
World Tour Austrian Open Linz 2018,2018-11-06,SAMARA Elizabeta,NOSKOVA Yana,ROU,RUS,3,2,"9,13,11,7,11|11,11,8,11,5",R16,GRAND_SLAM,WD,878,Main Draw,NOSKOVA Yana (RUS),SAMARA Elizabeta (ROU),POLCANOVA Sofia (AUT),SZOCS Bernadette (ROU),2 - 3,11:9 11:13 8:11 11:7 5:11,SAMARA Elizabeta,2018
World Tour Austrian Open Linz 2018,2018-11-06,CHEN Xingtong,EKHOLM Matilda,CHN,SWE,3,1,"11,9,11,11|9,11,2,9",R16,GRAND_SLAM,WD,878,Main Draw,EKHOLM Matilda (SWE),CHEN Xingtong (CHN),POTA Georgina (HUN),SUN Yingsha (CHN),1 - 3,9:11 11:9 2:11 9:11,CHEN Xingtong,2018
World Tour Austrian Open Linz 2018,2018-11-06,JEON Jihee,SOLJA Petrissa,KOR,GER,3,0,"11,11,11|4,9,6",R16,GRAND_SLAM,WD,878,Main Draw,SOLJA Petrissa (GER),JEON Jihee (KOR),WINTER Sabine (GER),YANG Ha Eun (KOR),0 - 3,4:11 9:11 6:11,JEON Jihee,2018
World Tour Austrian Open Linz 2018,2018-11-06,DOO Hoi Kem,LANG Kristin,HKG,GER,3,1,"11,11,7,11|5,8,11,6",R16,GRAND_SLAM,WD,878,Main Draw,DOO Hoi Kem (HKG),LANG Kristin (GER),LEE Ho Ching (HKG),MITTELHAM Nina (GER),3 - 1,11:5 11:8 7:11 11:6,DOO Hoi Kem,2018
World Tour Austrian Open Linz 2018,2018-11-06,HARIMOTO Tomokazu,GARDOS Robert,JPN,AUT,3,0,"11,11,13|8,5,11",R16,GRAND_SLAM,MD,878,Main Draw,GARDOS Robert (AUT),HARIMOTO Tomokazu (JPN),HABESOHN Daniel (AUT),KIZUKURI Yuto (JPN),0 - 3,8:11 5:11 11:13,HARIMOTO Tomokazu,2018
World Tour Austrian Open Linz 2018,2018-11-06,FAN Zhendong,CHEN Chien-An,CHN,TPE,3,0,"11,11,12|3,5,10",R16,GRAND_SLAM,MD,878,Main Draw,CHEN Chien-An (TPE),FAN Zhendong (CHN),CHUANG Chih-Yuan (TPE),WANG Chuqin (CHN),0 - 3,3:11 5:11 10:12,FAN Zhendong,2018
World Tour Austrian Open Linz 2018,2018-11-06,JEOUNG Youngsik,ACHANTA Sharath,KOR,IND,3,0,"11,11,11|7,8,5",R16,GRAND_SLAM,MD,878,Main Draw,JEOUNG Youngsik (KOR),ACHANTA Sharath (IND),LEE Sang Su (KOR),GNANASEKARAN Sathiyan (IND),3 - 0,11:7 11:8 11:5,JEOUNG Youngsik,2018
World Tour Austrian Open Linz 2018,2018-11-06,HO Kwan Kit,ECSEKI Nandor,HKG,HUN,3,2,"11,12,5,11,11|8,14,11,8,4",R16,GRAND_SLAM,MD,878,Main Draw,ECSEKI Nandor (HUN),HO Kwan Kit (HKG),SZUDI Adam (HUN),WONG Chun Ting (HKG),2 - 3,8:11 14:12 11:5 8:11 4:11,HO Kwan Kit,2018
World Tour Austrian Open Linz 2018,2018-11-06,MORIZONO Masataka,PLETEA Cristian,JPN,ROU,3,0,"11,11,11|5,2,4",R16,GRAND_SLAM,MD,878,Main Draw,PLETEA Cristian (ROU),MORIZONO Masataka (JPN),SZOCS Hunor (ROU),OSHIMA Yuya (JPN),0 - 3,5:11 2:11 4:11,MORIZONO Masataka,2018
World Tour Austrian Open Linz 2018,2018-11-06,ALLEGRO Martin,FRANZISKA Patrick,BEL,GER,3,0,"0,0,0|0,0,0",R16,GRAND_SLAM,MD,878,Main Draw,FRANZISKA Patrick (GER),ALLEGRO Martin (BEL),GROTH Jonathan (DEN),LAMBIET Florent (BEL),0 - 3,0:0 0:0 0:0,ALLEGRO Martin,2018
World Tour Austrian Open Linz 2018,2018-11-06,LIAO Cheng-Ting,JOUTI Eric,TPE,BRA,3,0,"11,11,11|9,9,7",R16,GRAND_SLAM,MD,878,Main Draw,LIAO Cheng-Ting (TPE),JOUTI Eric (BRA),LIN Yun-Ju (TPE),TSUBOI Gustavo (BRA),3 - 0,11:9 11:9 11:7,LIAO Cheng-Ting,2018
World Tour Austrian Open Linz 2018,2018-11-06,IONESCU Ovidiu,KARLSSON Mattias,ROU,SWE,3,0,"0,0,0|0,0,0",R16,GRAND_SLAM,MD,878,Main Draw,IONESCU Ovidiu (ROU),KARLSSON Mattias (SWE),ROBLES Alvaro (ESP),KARLSSON Kristian (SWE),3 - 0,0:0 0:0 0:0,IONESCU Ovidiu,2018
World Tour Austrian Open Linz 2018,2018-11-06,ZHU Yuling,SAMARA Elizabeta,MAC,ROU,4,1,"12,12,11,11,11|10,10,13,3,9",R32,GRAND_SLAM,WS,878,Main Draw,ZHU Yuling (MAC),SAMARA Elizabeta (ROU),,,4 - 1,12:10 12:10 11:13 11:3 11:9,ZHU Yuling,2018
World Tour Austrian Open Linz 2018,2018-11-06,HE Zhuojia,ISHIKAWA Kasumi,CHN,JPN,4,0,"11,11,11,11|5,5,4,4",R32,GRAND_SLAM,WS,878,Main Draw,ISHIKAWA Kasumi (JPN),HE Zhuojia (CHN),,,0 - 4,5:11 5:11 4:11 4:11,HE Zhuojia,2018
World Tour Austrian Open Linz 2018,2018-11-06,SZOCS Bernadette,SATO Hitomi,ROU,JPN,4,3,"12,8,11,7,12,7,12|10,11,6,11,10,11,10",R32,GRAND_SLAM,WS,878,Main Draw,SATO Hitomi (JPN),SZOCS Bernadette (ROU),,,3 - 4,10:12 11:8 6:11 11:7 10:12 11:7 10:12,SZOCS Bernadette,2018
World Tour Austrian Open Linz 2018,2018-11-06,DOO Hoi Kem,ZHANG Mo,HKG,CAN,4,2,"11,11,9,11,6,13|5,9,11,5,11,11",R32,GRAND_SLAM,WS,878,Main Draw,DOO Hoi Kem (HKG),ZHANG Mo (CAN),,,4 - 2,11:5 11:9 9:11 11:5 6:11 13:11,DOO Hoi Kem,2018
World Tour Austrian Open Linz 2018,2018-11-06,CHEN Meng,KIM Song I,CHN,PRK,4,1,"11,11,5,11,11|3,4,11,8,4",R32,GRAND_SLAM,WS,878,Main Draw,CHEN Meng (CHN),KIM Song I (PRK),,,4 - 1,11:3 11:4 5:11 11:8 11:4,CHEN Meng,2018
World Tour Austrian Open Linz 2018,2018-11-06,CHEN Xingtong,WU Yang,CHN,CHN,4,0,"11,11,11,11|1,8,8,0",R32,GRAND_SLAM,WS,878,Main Draw,WU Yang (CHN),CHEN Xingtong (CHN),,,0 - 4,1:11 8:11 8:11 0:11,CHEN Xingtong,2018
World Tour Austrian Open Linz 2018,2018-11-06,ITO Mima,NAGASAKI Miyu,JPN,JPN,4,1,"11,1,11,11,11|7,11,6,7,7",R32,GRAND_SLAM,WS,878,Main Draw,NAGASAKI Miyu (JPN),ITO Mima (JPN),,,1 - 4,7:11 11:1 6:11 7:11 7:11,ITO Mima,2018
World Tour Austrian Open Linz 2018,2018-11-06,LIU Shiwen,YU Fu,CHN,POR,4,0,"11,11,11,11|7,7,9,1",R32,GRAND_SLAM,WS,878,Main Draw,YU Fu (POR),LIU Shiwen (CHN),,,0 - 4,7:11 7:11 9:11 1:11,LIU Shiwen,2018
World Tour Austrian Open Linz 2018,2018-11-06,XU Xin,LIU Dingshuo,CHN,CHN,4,0,"11,11,11,11|8,5,5,5",R32,GRAND_SLAM,MS,878,Main Draw,LIU Dingshuo (CHN),XU Xin (CHN),,,0 - 4,8:11 5:11 5:11 5:11,XU Xin,2018
World Tour Austrian Open Linz 2018,2018-11-06,FAN Zhendong,STOYANOV Niagol,CHN,ITA,4,1,"11,11,11,7,11|6,5,1,11,6",R32,GRAND_SLAM,MS,878,Main Draw,FAN Zhendong (CHN),STOYANOV Niagol (ITA),,,4 - 1,11:6 11:5 11:1 7:11 11:6,FAN Zhendong,2018
World Tour Austrian Open Linz 2018,2018-11-06,YOSHIMURA Kazuhiro,LIN Gaoyuan,JPN,CHN,4,2,"2,11,6,11,11,14|11,6,11,8,6,12",R32,GRAND_SLAM,MS,878,Main Draw,YOSHIMURA Kazuhiro (JPN),LIN Gaoyuan (CHN),,,4 - 2,2:11 11:6 6:11 11:8 11:6 14:12,YOSHIMURA Kazuhiro,2018
World Tour Austrian Open Linz 2018,2018-11-06,NIWA Koki,ZHOU Qihao,JPN,CHN,4,2,"11,6,12,11,7,11|9,11,10,5,11,9",R32,GRAND_SLAM,MS,878,Main Draw,NIWA Koki (JPN),ZHOU Qihao (CHN),,,4 - 2,11:9 6:11 12:10 11:5 7:11 11:9,NIWA Koki,2018
World Tour Austrian Open Linz 2018,2018-11-06,LIANG Jingkun,WONG Chun Ting,CHN,HKG,4,2,"11,11,7,8,11,12|9,8,11,11,7,10",R32,GRAND_SLAM,MS,878,Main Draw,WONG Chun Ting (HKG),LIANG Jingkun (CHN),,,2 - 4,9:11 8:11 11:7 11:8 7:11 10:12,LIANG Jingkun,2018
World Tour Austrian Open Linz 2018,2018-11-06,LIN Yun-Ju,OVTCHAROV Dimitrij,TPE,GER,4,2,"14,10,12,12,7,11|12,12,10,10,11,7",R32,GRAND_SLAM,MS,878,Main Draw,LIN Yun-Ju (TPE),OVTCHAROV Dimitrij (GER),,,4 - 2,14:12 10:12 12:10 12:10 7:11 11:7,LIN Yun-Ju,2018
World Tour Austrian Open Linz 2018,2018-11-06,JANG Woojin,LEE Sang Su,KOR,KOR,4,3,"11,8,9,9,12,11,11|2,11,11,11,10,8,9",R32,GRAND_SLAM,MS,878,Main Draw,LEE Sang Su (KOR),JANG Woojin (KOR),,,3 - 4,2:11 11:8 11:9 11:9 10:12 8:11 9:11,JANG Woojin,2018
World Tour Austrian Open Linz 2018,2018-11-06,CALDERANO Hugo,PARK Ganghyeon,BRA,KOR,4,3,"12,11,11,7,11,11,11|14,9,13,11,4,8,7",R32,GRAND_SLAM,MS,878,Main Draw,PARK Ganghyeon (KOR),CALDERANO Hugo (BRA),,,3 - 4,14:12 9:11 13:11 11:7 4:11 8:11 7:11,CALDERANO Hugo,2018
World Tour Austrian Open Linz 2018,2018-11-06,HASHIMOTO Honoka,SOLJA Amelie,JPN,AUT,4,0,"11,11,11,11|3,1,5,5",R32,GRAND_SLAM,WS,878,Main Draw,HASHIMOTO Honoka (JPN),SOLJA Amelie (AUT),,,4 - 0,11:3 11:1 11:5 11:5,HASHIMOTO Honoka,2018
World Tour Austrian Open Linz 2018,2018-11-06,SUH Hyo Won,CHEN Szu-Yu,KOR,TPE,4,2,"11,12,6,11,6,11|6,10,11,4,11,9",R32,GRAND_SLAM,WS,878,Main Draw,CHEN Szu-Yu (TPE),SUH Hyo Won (KOR),,,2 - 4,6:11 10:12 11:6 4:11 11:6 9:11,SUH Hyo Won,2018
World Tour Austrian Open Linz 2018,2018-11-06,FENG Tianwei,PESOTSKA Margaryta,SGP,UKR,4,3,"11,11,10,9,12,7,14|8,9,12,11,10,11,12",R32,GRAND_SLAM,WS,878,Main Draw,FENG Tianwei (SGP),PESOTSKA Margaryta (UKR),,,4 - 3,11:8 11:9 10:12 9:11 12:10 7:11 14:12,FENG Tianwei,2018
World Tour Austrian Open Linz 2018,2018-11-06,CHENG I-Ching,ANDO Minami,TPE,JPN,4,1,"11,11,9,11,11|7,6,11,6,7",R32,GRAND_SLAM,WS,878,Main Draw,ANDO Minami (JPN),CHENG I-Ching (TPE),,,1 - 4,7:11 6:11 11:9 6:11 7:11,CHENG I-Ching,2018
World Tour Austrian Open Linz 2018,2018-11-06,SUN Yingsha,POLCANOVA Sofia,CHN,AUT,4,2,"8,11,2,11,11,11|11,3,11,5,4,5",R32,GRAND_SLAM,WS,878,Main Draw,POLCANOVA Sofia (AUT),SUN Yingsha (CHN),,,2 - 4,11:8 3:11 11:2 5:11 4:11 5:11,SUN Yingsha,2018
