tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
Pro Tour Grand Finals Stockholm 2002,2002-12-12,MA Lin,SMIRNOV Alexey,CHN,RUS,4,2,"11,11,5,11,1,11|9,7,11,9,11,4",R16,GRAND_SLAM,MS,1509,Main Draw,MA Lin (CHN),SMIRNOV Alexey (RUS),,,4 - 2,11:9 11:7 5:11 11:9 1:11 11:4,MA Lin,2002
Danish Open Farum 2002,2002-11-21,CRISAN Adrian/GARDOS Robert,JAPEC Tomislav/KRIVIC Jakov,ROU,CRO,3,0,"11,11,11|5,8,8",QR32,GRAND_SLAM,MD,1508,Qualification,CRISAN Adrian (ROU) / GARDOS Robert (AUT),JAPEC Tomislav (CRO) / KRIVIC Jakov (CRO),GARDOS Robert (AUT),KRIVIC Jakov (CRO),0 - 3,5:11 8:11 8:11,CRISAN Adrian,2002
Danish Open Farum 2002,2002-11-21,BOLL Timo/FEJER-KONNERTH Zoltan,JUZBASIC Ivan/TOSIC Roko,GER,CRO,3,0,"11,11,11|8,7,2",QR32,GRAND_SLAM,MD,1508,Qualification,BOLL Timo (GER) / FEJER-KONNERTH Zoltan (GER),JUZBASIC Ivan (CRO) / TOSIC Roko (CRO),FEJER-KONNERTH Zoltan (GER),TOSIC Roko (CRO),0 - 3,8:11 7:11 2:11,BOLL Timo,2002
Danish Open Farum 2002,2002-11-21,KAUCKY Petr/SIMONCIK Josef,SANADA Koji/TASAKI Toshio,CZE,JPN,3,0,"11,11,11|4,7,5",QR32,GRAND_SLAM,MD,1508,Qualification,KAUCKY Petr (CZE) / SIMONCIK Josef (CZE),SANADA Koji (JPN) / TASAKI Toshio (JPN),SIMONCIK Josef (CZE),TASAKI Toshio (JPN),3 - 0,11:4 11:7 11:5,KAUCKY Petr,2002
Danish Open Farum 2002,2002-11-21,LUNDQVIST Jens/MOLIN Magnus,STEPANEK David/VOZICKY Bohumil,SWE,CZE,3,1,"11,9,24,11|9,11,22,9",QR16,GRAND_SLAM,MD,1508,Qualification,LUNDQVIST Jens (SWE) / MOLIN Magnus (SWE),STEPANEK David (CZE) / VOZICKY Bohumil (CZE),MOLIN Magnus (SWE),VOZICKY Bohumil (CZE),1 - 3,9:11 11:9 22:24 9:11,LUNDQVIST Jens,2002
Danish Open Farum 2002,2002-11-21,ASAMOAH Cyprian/GERELL Par,ASMUSSEN Jakob/PETERSEN Christoffer,SWE,DEN,3,0,"11,11,11|7,4,9",QR64,GRAND_SLAM,MD,1508,Qualification,ASAMOAH Cyprian (SWE) / GERELL Par (SWE),ASMUSSEN Jakob (DEN) / PETERSEN Christoffer (DEN),GERELL Par (SWE),PETERSEN Christoffer (DEN),0 - 3,7:11 4:11 9:11,ASAMOAH Cyprian,2002
Danish Open Farum 2002,2002-11-21,HOGSBERG Kim/KNUDSEN Morten,BOBOCICA Mihai/SABATINO Daniele,DEN,ITA,3,1,"11,11,11,11|2,13,6,4",QR64,GRAND_SLAM,MD,1508,Qualification,HOGSBERG Kim (DEN) / KNUDSEN Morten (DEN),BOBOCICA Mihai (ITA) / SABATINO Daniele (ITA),KNUDSEN Morten (DEN),SABATINO Daniele (ITA),3 - 1,11:2 11:13 11:6 11:4,HOGSBERG Kim,2002
Danish Open Farum 2002,2002-11-21,CRISAN Adrian/GARDOS Robert,FYNSK Daniel/JENSEN Stephan,ROU,DEN,3,0,"11,11,11|9,4,7",QR64,GRAND_SLAM,MD,1508,Qualification,CRISAN Adrian (ROU) / GARDOS Robert (AUT),FYNSK Daniel (DEN) / JENSEN Stephan (DEN),GARDOS Robert (AUT),JENSEN Stephan (DEN),0 - 3,9:11 4:11 7:11,CRISAN Adrian,2002
Danish Open Farum 2002,2002-11-21,HIELSCHER Lars/WOSIK Torben,HOGSBERG Kim/KNUDSEN Morten,GER,DEN,3,0,"11,11,11|6,6,3",QR32,GRAND_SLAM,MD,1508,Qualification,HIELSCHER Lars (GER) / WOSIK Torben (GER),HOGSBERG Kim (DEN) / KNUDSEN Morten (DEN),WOSIK Torben (GER),KNUDSEN Morten (DEN),0 - 3,6:11 6:11 3:11,HIELSCHER Lars,2002
Danish Open Farum 2002,2002-11-21,MAZE Michael/TUGWELL Finn,SURBEK Dragutin/TOKIC Bojan,DEN,CRO,3,1,"11,8,11,11|7,11,4,6",QR32,GRAND_SLAM,MD,1508,Qualification,MAZE Michael (DEN) / TUGWELL Finn (DEN),SURBEK Dragutin (CRO) / TOKIC Bojan (SLO),TUGWELL Finn (DEN),TOKIC Bojan (SLO),3 - 1,11:7 8:11 11:4 11:6,MAZE Michael,2002
Danish Open Farum 2002,2002-11-21,CARNEROS Alfredo/WANG Jianfeng,MAZE Michael/TUGWELL Finn,ESP,DEN,3,1,"3,11,11,11|11,4,8,6",QR16,GRAND_SLAM,MD,1508,Qualification,CARNEROS Alfredo (ESP) / WANG Jianfeng (NOR),MAZE Michael (DEN) / TUGWELL Finn (DEN),WANG Jianfeng (NOR),TUGWELL Finn (DEN),1 - 3,11:3 4:11 8:11 6:11,CARNEROS Alfredo,2002
Danish Open Farum 2002,2002-11-21,JOVER Sebastien/QUENTEL Dorian,ANDERSSON Joakim/STENBERG Marten,FRA,SWE,3,0,"11,11,13|8,7,11",QR32,GRAND_SLAM,MD,1508,Qualification,JOVER Sebastien (FRA) / QUENTEL Dorian (FRA),ANDERSSON Joakim (SWE) / STENBERG Marten (SWE),QUENTEL Dorian (FRA),STENBERG Marten (SWE),3 - 0,11:8 11:7 13:11,JOVER Sebastien,2002
Danish Open Farum 2002,2002-11-21,STEPANEK David/VOZICKY Bohumil,CABESTANY Cedrik/VARIN Eric,CZE,FRA,3,1,"11,12,11,11|8,14,9,6",QR32,GRAND_SLAM,MD,1508,Qualification,STEPANEK David (CZE) / VOZICKY Bohumil (CZE),CABESTANY Cedrik (FRA) / VARIN Eric (FRA),VOZICKY Bohumil (CZE),VARIN Eric (FRA),1 - 3,8:11 14:12 9:11 6:11,STEPANEK David,2002
Danish Open Farum 2002,2002-11-21,HIELSCHER Lars/WOSIK Torben,JOVER Sebastien/QUENTEL Dorian,GER,FRA,3,1,"11,11,9,11|1,1,11,7",QR16,GRAND_SLAM,MD,1508,Qualification,HIELSCHER Lars (GER) / WOSIK Torben (GER),JOVER Sebastien (FRA) / QUENTEL Dorian (FRA),WOSIK Torben (GER),QUENTEL Dorian (FRA),1 - 3,1:11 1:11 11:9 7:11,HIELSCHER Lars,2002
Danish Open Farum 2002,2002-11-21,DAUS David/STEGER Bastian,JESPERSEN Rasmus/SKOVSEN Mads,GER,DEN,3,0,"11,11,11|7,3,4",QR64,GRAND_SLAM,MD,1508,Qualification,DAUS David (GER) / STEGER Bastian (GER),JESPERSEN Rasmus (DEN) / SKOVSEN Mads (DEN),STEGER Bastian (GER),SKOVSEN Mads (DEN),3 - 0,11:7 11:3 11:4,DAUS David,2002
Danish Open Farum 2002,2002-11-21,DAUS David/STEGER Bastian,MANSSON Magnus/STENBERG Mattias,GER,SWE,3,1,"3,11,14,11|11,6,12,7",QR32,GRAND_SLAM,MD,1508,Qualification,DAUS David (GER) / STEGER Bastian (GER),MANSSON Magnus (SWE) / STENBERG Mattias (SWE),STEGER Bastian (GER),STENBERG Mattias (SWE),3 - 1,3:11 11:6 14:12 11:7,DAUS David,2002
Danish Open Farum 2002,2002-11-21,DAUS David/STEGER Bastian,KAUCKY Petr/SIMONCIK Josef,GER,CZE,3,2,"4,11,11,9,11|11,5,8,11,4",QR16,GRAND_SLAM,MD,1508,Qualification,DAUS David (GER) / STEGER Bastian (GER),KAUCKY Petr (CZE) / SIMONCIK Josef (CZE),STEGER Bastian (GER),SIMONCIK Josef (CZE),3 - 2,4:11 11:5 11:8 9:11 11:4,DAUS David,2002
Danish Open Farum 2002,2002-11-21,CHILA Patrick/OH Sangeun,DAUS David/STEGER Bastian,FRA,GER,4,2,"8,9,11,12,11,13|11,11,9,10,5,11",R16,GRAND_SLAM,MD,1508,Main Draw,CHILA Patrick (FRA) / OH Sangeun (KOR),DAUS David (GER) / STEGER Bastian (GER),OH Sangeun (KOR),STEGER Bastian (GER),2 - 4,11:8 11:9 9:11 10:12 5:11 11:13,CHILA Patrick,2002
Danish Open Farum 2002,2002-11-21,LEE Chulseung/RYU Seungmin,HIELSCHER Lars/WOSIK Torben,KOR,GER,4,3,"5,9,11,11,11,11,11|11,11,13,9,3,7,1",R16,GRAND_SLAM,MD,1508,Main Draw,LEE Chulseung (KOR) / RYU Seungmin (KOR),HIELSCHER Lars (GER) / WOSIK Torben (GER),RYU Seungmin (KOR),WOSIK Torben (GER),3 - 4,11:5 11:9 13:11 9:11 3:11 7:11 1:11,LEE Chulseung,2002
Danish Open Farum 2002,2002-11-21,GOUVEIA Vitor/MONTEIRO Joao,ANDREOLI Fabio/LUCESOLI Francesco,POR,ITA,3,0,"11,11,11|7,6,7",QR64,GRAND_SLAM,MD,1508,Qualification,GOUVEIA Vitor (POR) / MONTEIRO Joao (POR),ANDREOLI Fabio (ITA) / LUCESOLI Francesco (ITA),MONTEIRO Joao (POR),LUCESOLI Francesco (ITA),0 - 3,7:11 6:11 7:11,GOUVEIA Vitor,2002
Danish Open Farum 2002,2002-11-21,OMORI Takahiro/YUZAWA Ryo,CHUMAKOU Dmitry/LAKEEV Vasily,JPN,BLR,3,1,"6,11,14,11|11,7,12,3",QR64,GRAND_SLAM,MD,1508,Qualification,OMORI Takahiro (JPN) / YUZAWA Ryo (JPN),CHUMAKOU Dmitry (BLR) / LAKEEV Vasily (RUS),YUZAWA Ryo (JPN),LAKEEV Vasily (RUS),3 - 1,6:11 11:7 14:12 11:3,OMORI Takahiro,2002
Danish Open Farum 2002,2002-11-21,QIN Zhijian/WANG Liqin,CHILA Patrick/OH Sangeun,CHN,FRA,4,3,"7,14,11,12,11,10,11|11,12,3,10,13,12,8",Final,GRAND_SLAM,MD,1508,Main Draw,QIN Zhijian (CHN) / WANG Liqin (CHN),CHILA Patrick (FRA) / OH Sangeun (KOR),WANG Liqin (CHN),OH Sangeun (KOR),3 - 4,11:7 12:14 3:11 10:12 13:11 12:10 8:11,QIN Zhijian,2002
Danish Open Farum 2002,2002-11-21,CARNEROS Alfredo/WANG Jianfeng,BOBILLIER Loic/PROVOST Damien,ESP,FRA,3,0,"11,11,11|5,8,8",QR64,GRAND_SLAM,MD,1508,Qualification,CARNEROS Alfredo (ESP) / WANG Jianfeng (NOR),BOBILLIER Loic (FRA) / PROVOST Damien (MON),WANG Jianfeng (NOR),PROVOST Damien (MON),3 - 0,11:5 11:8 11:8,CARNEROS Alfredo,2002
Danish Open Farum 2002,2002-11-21,LUNDQVIST Jens/MOLIN Magnus,GONZALES Raymond/MOLDOVAN Istvan,SWE,NOR,3,2,"5,11,11,10,11|11,8,6,12,5",QR32,GRAND_SLAM,MD,1508,Qualification,LUNDQVIST Jens (SWE) / MOLIN Magnus (SWE),GONZALES Raymond (NOR) / MOLDOVAN Istvan (NOR),MOLIN Magnus (SWE),MOLDOVAN Istvan (NOR),2 - 3,11:5 8:11 6:11 12:10 5:11,LUNDQVIST Jens,2002
Danish Open Farum 2002,2002-11-21,CARNEROS Alfredo/WANG Jianfeng,KISHIKAWA Seiya/SAKAMOTO Ryusuke,ESP,JPN,3,2,"9,12,11,8,11|11,10,9,11,8",QR32,GRAND_SLAM,MD,1508,Qualification,CARNEROS Alfredo (ESP) / WANG Jianfeng (NOR),KISHIKAWA Seiya (JPN) / SAKAMOTO Ryusuke (JPN),WANG Jianfeng (NOR),SAKAMOTO Ryusuke (JPN),3 - 2,9:11 12:10 11:9 8:11 11:8,CARNEROS Alfredo,2002
Danish Open Farum 2002,2002-11-21,BLASZCZYK Lucjan/KRZESZEWSKI Tomasz,CARNEROS Alfredo/WANG Jianfeng,POL,ESP,4,1,"11,5,12,11,11|1,11,10,7,6",QuarterFinal,GRAND_SLAM,MD,1508,Main Draw,BLASZCZYK Lucjan (POL) / KRZESZEWSKI Tomasz (POL),CARNEROS Alfredo (ESP) / WANG Jianfeng (NOR),KRZESZEWSKI Tomasz (POL),WANG Jianfeng (NOR),1 - 4,1:11 11:5 10:12 7:11 6:11,BLASZCZYK Lucjan,2002
Danish Open Farum 2002,2002-11-21,CHILA Patrick/OH Sangeun,BLASZCZYK Lucjan/KRZESZEWSKI Tomasz,FRA,POL,4,3,"4,12,11,9,11,7,11|11,10,8,11,6,11,4",SemiFinal,GRAND_SLAM,MD,1508,Main Draw,CHILA Patrick (FRA) / OH Sangeun (KOR),BLASZCZYK Lucjan (POL) / KRZESZEWSKI Tomasz (POL),OH Sangeun (KOR),KRZESZEWSKI Tomasz (POL),3 - 4,11:4 10:12 8:11 11:9 6:11 11:7 4:11,CHILA Patrick,2002
Danish Open Farum 2002,2002-11-21,WALL John/HOLM Anders,HENRIQUES Nuno/MENDES Enio,SWE,POR,3,2,"11,11,11,9,11|7,13,9,11,5",QR64,GRAND_SLAM,MD,1508,Qualification,WALL John (SWE) / HOLM Anders (SWE),HENRIQUES Nuno (POR) / MENDES Enio (POR),HOLM Anders (SWE),MENDES Enio (POR),2 - 3,7:11 13:11 9:11 11:9 5:11,WALL John,2002
Danish Open Farum 2002,2002-11-21,GOUVEIA Vitor/MONTEIRO Joao,KRCIL Frantisek/PAVELKA Tomas,POR,CZE,3,0,"11,11,12|5,2,10",QR32,GRAND_SLAM,MD,1508,Qualification,GOUVEIA Vitor (POR) / MONTEIRO Joao (POR),KRCIL Frantisek (CZE) / PAVELKA Tomas (CZE),MONTEIRO Joao (POR),PAVELKA Tomas (CZE),3 - 0,11:5 11:2 12:10,GOUVEIA Vitor,2002
Danish Open Farum 2002,2002-11-21,KRCIL Frantisek/PAVELKA Tomas,FADEEV Evgeny/KRUTOV Andrei,CZE,RUS,3,2,"8,11,8,11,11|11,8,11,9,9",QR64,GRAND_SLAM,MD,1508,Qualification,KRCIL Frantisek (CZE) / PAVELKA Tomas (CZE),FADEEV Evgeny (RUS) / KRUTOV Andrei (RUS),PAVELKA Tomas (CZE),KRUTOV Andrei (RUS),2 - 3,11:8 8:11 11:8 9:11 9:11,KRCIL Frantisek,2002
Danish Open Farum 2002,2002-11-21,MAZUNOV Dmitry/SMIRNOV Alexey,WALL John/HOLM Anders,RUS,SWE,3,0,"12,11,11|10,9,5",QR32,GRAND_SLAM,MD,1508,Qualification,MAZUNOV Dmitry (RUS) / SMIRNOV Alexey (RUS),WALL John (SWE) / HOLM Anders (SWE),SMIRNOV Alexey (RUS),HOLM Anders (SWE),3 - 0,12:10 11:9 11:5,MAZUNOV Dmitry,2002
Danish Open Farum 2002,2002-11-21,MAZUNOV Dmitry/SMIRNOV Alexey,CRISAN Adrian/GARDOS Robert,RUS,ROU,3,2,"8,9,11,11,11|11,11,6,6,9",QR16,GRAND_SLAM,MD,1508,Qualification,MAZUNOV Dmitry (RUS) / SMIRNOV Alexey (RUS),CRISAN Adrian (ROU) / GARDOS Robert (AUT),SMIRNOV Alexey (RUS),GARDOS Robert (AUT),3 - 2,8:11 9:11 11:6 11:6 11:9,MAZUNOV Dmitry,2002
Danish Open Farum 2002,2002-11-21,BLASZCZYK Lucjan/KRZESZEWSKI Tomasz,MAZUNOV Dmitry/SMIRNOV Alexey,POL,RUS,4,3,"11,15,10,6,11,9,11|8,13,12,11,7,11,2",R16,GRAND_SLAM,MD,1508,Main Draw,BLASZCZYK Lucjan (POL) / KRZESZEWSKI Tomasz (POL),MAZUNOV Dmitry (RUS) / SMIRNOV Alexey (RUS),KRZESZEWSKI Tomasz (POL),SMIRNOV Alexey (RUS),3 - 4,8:11 13:15 12:10 11:6 7:11 11:9 2:11,BLASZCZYK Lucjan,2002
Danish Open Farum 2002,2002-11-21,ELOI Damien/LEGOUT Christophe,KUZMIN Fedor/SHMYREV Maxim,FRA,RUS,4,1,"12,11,11,11,11|14,8,8,9,8",R16,GRAND_SLAM,MD,1508,Main Draw,ELOI Damien (FRA) / LEGOUT Christophe (FRA),KUZMIN Fedor (RUS) / SHMYREV Maxim (RUS),LEGOUT Christophe (FRA),SHMYREV Maxim (RUS),1 - 4,14:12 8:11 8:11 9:11 8:11,ELOI Damien,2002
Danish Open Farum 2002,2002-11-21,SURBEK Dragutin/TOKIC Bojan,NILSSON Stefan/SVENSSON Robert,CRO,SWE,3,2,"9,9,11,11,11|11,11,8,4,6",QR64,GRAND_SLAM,MD,1508,Qualification,SURBEK Dragutin (CRO) / TOKIC Bojan (SLO),NILSSON Stefan (SWE) / SVENSSON Robert (SWE),TOKIC Bojan (SLO),SVENSSON Robert (SWE),3 - 2,9:11 9:11 11:8 11:4 11:6,SURBEK Dragutin,2002
Danish Open Farum 2002,2002-11-21,LUNDQVIST Jens/MOLIN Magnus,GRUJIC Slobodan/KARAKASEVIC Aleksandar,SWE,SRB,4,2,"11,12,11,9,6,11|6,10,9,11,11,8",R16,GRAND_SLAM,MD,1508,Main Draw,LUNDQVIST Jens (SWE) / MOLIN Magnus (SWE),GRUJIC Slobodan (SRB) / KARAKASEVIC Aleksandar (SRB),MOLIN Magnus (SWE),KARAKASEVIC Aleksandar (SRB),2 - 4,6:11 10:12 9:11 11:9 11:6 8:11,LUNDQVIST Jens,2002
Danish Open Farum 2002,2002-11-21,ANDERSSON Joakim/STENBERG Marten,DELOBBE Damien/VOSTES Yannick,SWE,BEL,3,1,"8,11,11,11|11,8,7,9",QR64,GRAND_SLAM,MD,1508,Qualification,ANDERSSON Joakim (SWE) / STENBERG Marten (SWE),DELOBBE Damien (BEL) / VOSTES Yannick (BEL),STENBERG Marten (SWE),VOSTES Yannick (BEL),3 - 1,8:11 11:8 11:7 11:9,ANDERSSON Joakim,2002
Danish Open Farum 2002,2002-11-21,MANSSON Magnus/STENBERG Mattias,GORAK Daniel/KOSOWSKI Jakub,SWE,POL,3,1,"8,11,12,14|11,1,10,12",QR64,GRAND_SLAM,MD,1508,Qualification,MANSSON Magnus (SWE) / STENBERG Mattias (SWE),GORAK Daniel (POL) / KOSOWSKI Jakub (POL),STENBERG Mattias (SWE),KOSOWSKI Jakub (POL),3 - 1,8:11 11:1 12:10 14:12,MANSSON Magnus,2002
Danish Open Farum 2002,2002-11-21,KAUCKY Petr/SIMONCIK Josef,BOISARD Jean-Sebastien/ROSVALL Henrik,CZE,FRA,3,1,"8,11,11,12|11,5,7,10",QR64,GRAND_SLAM,MD,1508,Qualification,KAUCKY Petr (CZE) / SIMONCIK Josef (CZE),BOISARD Jean-Sebastien (FRA) / ROSVALL Henrik (SWE),SIMONCIK Josef (CZE),ROSVALL Henrik (SWE),1 - 3,11:8 5:11 7:11 10:12,KAUCKY Petr,2002
Danish Open Farum 2002,2002-11-21,NILSSON Peter/ZOOGLING Mikael,OMORI Takahiro/YUZAWA Ryo,SWE,JPN,3,0,"11,11,11|8,5,9",QR32,GRAND_SLAM,MD,1508,Qualification,NILSSON Peter (SWE) / ZOOGLING Mikael (SWE),OMORI Takahiro (JPN) / YUZAWA Ryo (JPN),ZOOGLING Mikael (SWE),YUZAWA Ryo (JPN),3 - 0,11:8 11:5 11:9,NILSSON Peter,2002
Danish Open Farum 2002,2002-11-21,HAKANSSON Fredrik/KARLSSON Peter,KONGSGAARD Christian/SORENSEN Mads,SWE,DEN,3,2,"5,11,14,8,11|11,8,12,11,7",QR32,GRAND_SLAM,MD,1508,Qualification,HAKANSSON Fredrik (SWE) / KARLSSON Peter (SWE),KONGSGAARD Christian (DEN) / SORENSEN Mads (DEN),KARLSSON Peter (SWE),SORENSEN Mads (DEN),3 - 2,5:11 11:8 14:12 8:11 11:7,HAKANSSON Fredrik,2002
Danish Open Farum 2002,2002-11-21,KUZMIN Fedor/SHMYREV Maxim,ASAMOAH Cyprian/GERELL Par,RUS,SWE,3,1,"12,9,12,11|10,11,10,6",QR16,GRAND_SLAM,MD,1508,Qualification,KUZMIN Fedor (RUS) / SHMYREV Maxim (RUS),ASAMOAH Cyprian (SWE) / GERELL Par (SWE),SHMYREV Maxim (RUS),GERELL Par (SWE),1 - 3,10:12 11:9 10:12 6:11,KUZMIN Fedor,2002
Danish Open Farum 2002,2002-11-21,NILSSON Peter/ZOOGLING Mikael,BOLL Timo/FEJER-KONNERTH Zoltan,SWE,GER,3,1,"11,6,11,11|7,11,4,1",QR16,GRAND_SLAM,MD,1508,Qualification,NILSSON Peter (SWE) / ZOOGLING Mikael (SWE),BOLL Timo (GER) / FEJER-KONNERTH Zoltan (GER),ZOOGLING Mikael (SWE),FEJER-KONNERTH Zoltan (GER),3 - 1,11:7 6:11 11:4 11:1,NILSSON Peter,2002
Danish Open Farum 2002,2002-11-21,HAKANSSON Fredrik/KARLSSON Peter,GOUVEIA Vitor/MONTEIRO Joao,SWE,POR,3,1,"11,10,11,11|5,12,8,7",QR16,GRAND_SLAM,MD,1508,Qualification,HAKANSSON Fredrik (SWE) / KARLSSON Peter (SWE),GOUVEIA Vitor (POR) / MONTEIRO Joao (POR),KARLSSON Peter (SWE),MONTEIRO Joao (POR),3 - 1,11:5 10:12 11:8 11:7,HAKANSSON Fredrik,2002
Danish Open Farum 2002,2002-11-21,CHILA Patrick/OH Sangeun,LUNDQVIST Jens/MOLIN Magnus,FRA,SWE,4,0,"14,13,11,12|12,11,5,10",QuarterFinal,GRAND_SLAM,MD,1508,Main Draw,CHILA Patrick (FRA) / OH Sangeun (KOR),LUNDQVIST Jens (SWE) / MOLIN Magnus (SWE),OH Sangeun (KOR),MOLIN Magnus (SWE),0 - 4,12:14 11:13 5:11 10:12,CHILA Patrick,2002
Danish Open Farum 2002,2002-11-21,LEE Chulseung/RYU Seungmin,NILSSON Peter/ZOOGLING Mikael,KOR,SWE,4,2,"12,7,11,11,8,11|10,11,5,2,11,2",QuarterFinal,GRAND_SLAM,MD,1508,Main Draw,LEE Chulseung (KOR) / RYU Seungmin (KOR),NILSSON Peter (SWE) / ZOOGLING Mikael (SWE),RYU Seungmin (KOR),ZOOGLING Mikael (SWE),2 - 4,10:12 11:7 5:11 2:11 11:8 2:11,LEE Chulseung,2002
Danish Open Farum 2002,2002-11-21,STEFANOVA Nikoleta/WANG Yu (YOB=1981),LOGATZKAYA Tatyana/PAVLOVICH Veronika,ITA,BLR,4,1,"11,11,5,11,12|4,9,11,9,10",QR32,GRAND_SLAM,WD,1508,Qualification,STEFANOVA Nikoleta (ITA) / WANG Yu (YOB=1981) (ITA),LOGATZKAYA Tatyana (BLR) / PAVLOVICH Veronika (BLR),WANG Yu (YOB=1981) (ITA),PAVLOVICH Veronika (BLR),1 - 4,4:11 9:11 11:5 9:11 10:12,STEFANOVA Nikoleta,2002
Danish Open Farum 2002,2002-11-21,DING Yan/KASABOVA Asya,STEFANSKA Kinga/GOROWSKA Magdalena,ITA,POL,3,2,"10,5,11,12,11|12,11,9,10,7",QR64,GRAND_SLAM,WD,1508,Qualification,DING Yan (ITA) / KASABOVA Asya (BUL),STEFANSKA Kinga (POL) / GOROWSKA Magdalena (POL),KASABOVA Asya (BUL),GOROWSKA Magdalena (POL),3 - 2,10:12 5:11 11:9 12:10 11:7,DING Yan,2002
Danish Open Farum 2002,2002-11-21,CAO Xingni/GUO Yan (1982),DING Yan/KASABOVA Asya,CHN,ITA,3,0,"11,11,11|8,3,9",QR32,GRAND_SLAM,WD,1508,Qualification,CAO Xingni (CHN) / GUO Yan (1982) (CHN),DING Yan (ITA) / KASABOVA Asya (BUL),GUO Yan (1982) (CHN),KASABOVA Asya (BUL),3 - 0,11:8 11:3 11:9,CAO Xingni,2002
Danish Open Farum 2002,2002-11-21,CAO Xingni/GUO Yan (1982),GOBEL Jessica/KRAMER Tanja,CHN,GER,3,0,"11,11,11|3,7,6",QR16,GRAND_SLAM,WD,1508,Qualification,CAO Xingni (CHN) / GUO Yan (1982) (CHN),GOBEL Jessica (GER) / KRAMER Tanja (GER),GUO Yan (1982) (CHN),KRAMER Tanja (GER),3 - 0,11:3 11:7 11:6,CAO Xingni,2002
Danish Open Farum 2002,2002-11-21,GUO Yue/LI Xiaoxia,ZAMFIR Adriana/STEFF Mihaela,CHN,ROU,4,0,"14,12,11,11|12,10,7,6",R16,GRAND_SLAM,WD,1508,Main Draw,GUO Yue (CHN) / LI Xiaoxia (CHN),ZAMFIR Adriana (ROU) / STEFF Mihaela (ROU),LI Xiaoxia (CHN),STEFF Mihaela (ROU),4 - 0,14:12 12:10 11:7 11:6,GUO Yue,2002
Danish Open Farum 2002,2002-11-21,GUO Yue/LI Xiaoxia,BATORFI Csilla/TOTH Krisztina,CHN,HUN,4,3,"7,11,11,11,9,8,12|11,2,6,6,11,11,10",QuarterFinal,GRAND_SLAM,WD,1508,Main Draw,GUO Yue (CHN) / LI Xiaoxia (CHN),BATORFI Csilla (HUN) / TOTH Krisztina (HUN),LI Xiaoxia (CHN),TOTH Krisztina (HUN),4 - 3,7:11 11:2 11:6 11:6 9:11 8:11 12:10,GUO Yue,2002
Danish Open Farum 2002,2002-11-21,GUO Yue/LI Xiaoxia,STRUSE Nicole/SCHALL Elke,CHN,GER,4,2,"12,8,11,8,11,11|10,11,6,11,4,8",SemiFinal,GRAND_SLAM,WD,1508,Main Draw,GUO Yue (CHN) / LI Xiaoxia (CHN),STRUSE Nicole (GER) / SCHALL Elke (GER),LI Xiaoxia (CHN),SCHALL Elke (GER),4 - 2,12:10 8:11 11:6 8:11 11:4 11:8,GUO Yue,2002
Danish Open Farum 2002,2002-11-21,LI Nan/ZHANG Yining,GUO Yue/LI Xiaoxia,CHN,CHN,4,2,"6,11,11,11,6,11|11,9,9,9,11,9",Final,GRAND_SLAM,WD,1508,Main Draw,LI Nan (CHN) / ZHANG Yining (CHN),GUO Yue (CHN) / LI Xiaoxia (CHN),ZHANG Yining (CHN),LI Xiaoxia (CHN),4 - 2,6:11 11:9 11:9 11:9 6:11 11:9,LI Nan,2002
Danish Open Farum 2002,2002-11-21,GAJIC Jelena/GOLIC Biljana,JENSEN Janne/SKOV Mie,SRB,DEN,3,1,"11,8,11,11|7,11,6,9",QR64,GRAND_SLAM,WD,1508,Qualification,GAJIC Jelena (SRB) / GOLIC Biljana (SRB),JENSEN Janne (DEN) / SKOV Mie (DEN),GOLIC Biljana (SRB),SKOV Mie (DEN),1 - 3,7:11 11:8 6:11 9:11,GAJIC Jelena,2002
Danish Open Farum 2002,2002-11-21,KIM Soongsil/SUK Solji,COSTES Agathe/LEGAY Solene,KOR,FRA,3,2,"6,11,12,8,11|11,6,10,11,7",QR32,GRAND_SLAM,WD,1508,Qualification,KIM Soongsil (KOR) / SUK Solji (KOR),COSTES Agathe (FRA) / LEGAY Solene (FRA),SUK Solji (KOR),LEGAY Solene (FRA),2 - 3,11:6 6:11 10:12 11:8 7:11,KIM Soongsil,2002
Danish Open Farum 2002,2002-11-21,LAU Sui Fei/TIE Yana,BURGAR Spela/HALAS Helena,HKG,SLO,3,0,"11,11,11|2,8,5",QR32,GRAND_SLAM,WD,1508,Qualification,LAU Sui Fei (HKG) / TIE Yana (HKG),BURGAR Spela (SLO) / HALAS Helena (SLO),TIE Yana (HKG),HALAS Helena (SLO),3 - 0,11:2 11:8 11:5,LAU Sui Fei,2002
Danish Open Farum 2002,2002-11-21,LAU Sui Fei/TIE Yana,JONSSON Carina/OLSSON Marie,HKG,SWE,3,0,"14,11,12|12,7,10",QR16,GRAND_SLAM,WD,1508,Qualification,LAU Sui Fei (HKG) / TIE Yana (HKG),JONSSON Carina (SWE) / OLSSON Marie (SWE),TIE Yana (HKG),OLSSON Marie (SWE),3 - 0,14:12 11:7 12:10,LAU Sui Fei,2002
