tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
ITTF-Oceania Cup 2023,2023-12-09,LIU Yangzi,JEE Minhyung,AUS,AUS,4,0,"11,11,11,11|7,7,5,4",F,OTHER,WS,2714,Main Draw,LIU Yangzi (AUS),JEE Minhyung (AUS),,,4 - 0,11:7 11:7 11:5 11:4,LIU Yangzi,2023
ITTF-Oceania Cup 2023,2023-12-09,LUM Nicholas,LUU Finn,AUS,AUS,4,1,"11,14,11,9,12|6,12,6,11,10",F,OTHER,MS,2714,Main Draw,LUM Nicholas (AUS),LUU Finn (AUS),,,1 - 4,6:11 12:14 6:11 11:9 10:12,LUM Nicholas,2023
ITTF Mixed Team World Cup 2023,2023-12-04,SUN Yingsha,YUAN Jia Nan,CHN,FRA,3,0,"11,11,11|1,8,3",GROUP,WORLD_CUP,XT,2860,Main Draw,SUN Yingsha (CHN),YUAN Jia Nan (FRA),WANG Chuqin (CHN),LEBRUN Alexis (FRA),3 - 0,11:1 11:8 11:3,SUN Yingsha,2023
ITTF Mixed Team World Cup 2023,2023-12-04,WANG Manyu,PAVADE Prithika,CHN,FRA,3,0,"11,11,13|5,5,11",GROUP,WORLD_CUP,XT,2860,Main Draw,WANG Manyu (CHN),PAVADE Prithika (FRA),,,3 - 0,11:5 11:5 13:11,WANG Manyu,2023
ITTF Mixed Team World Cup 2023,2023-12-04,FAN Zhendong,LEBRUN Felix,CHN,FRA,2,1,"11,9,13|7,11,11",GROUP,WORLD_CUP,XT,2860,Main Draw,FAN Zhendong (CHN),LEBRUN Felix (FRA),,,2 - 1,11:7 9:11 13:11,FAN Zhendong,2023
ITTF Mixed Team World Cup 2023,2023-12-04,SUN Yingsha,WAN Yuan,CHN,GER,2,1,"8,11,11|11,7,2",GROUP,WORLD_CUP,XT,2860,Main Draw,SUN Yingsha (CHN),WAN Yuan (GER),WANG Chuqin (CHN),MEISSNER Cedric (GER),2 - 1,8:11 11:7 11:2,SUN Yingsha,2023
ITTF Mixed Team World Cup 2023,2023-12-04,WANG Manyu,SHAN Xiaona,CHN,GER,3,0,"11,11,11|2,5,4",GROUP,WORLD_CUP,XT,2860,Main Draw,WANG Manyu (CHN),SHAN Xiaona (GER),,,3 - 0,11:2 11:5 11:4,WANG Manyu,2023
ITTF Mixed Team World Cup 2023,2023-12-04,MA Long,WALTHER Ricardo,CHN,GER,3,0,"11,11,11|4,4,4",GROUP,WORLD_CUP,XT,2860,Main Draw,MA Long (CHN),WALTHER Ricardo (GER),,,3 - 0,11:4 11:4 11:4,MA Long,2023
ITTF Mixed Team World Cup 2023,2023-12-04,SUN Yingsha,DOO Hoi Kem,CHN,HKG,3,0,"11,11,11|7,5,7",GROUP,WORLD_CUP,XT,2860,Main Draw,SUN Yingsha (CHN),DOO Hoi Kem (HKG),WANG Chuqin (CHN),HO Kwan Kit (HKG),3 - 0,11:7 11:5 11:7,SUN Yingsha,2023
ITTF Mixed Team World Cup 2023,2023-12-04,CHEN Meng,ZHU Chengzhu,CHN,HKG,3,0,"11,11,11|6,4,4",GROUP,WORLD_CUP,XT,2860,Main Draw,CHEN Meng (CHN),ZHU Chengzhu (HKG),,,3 - 0,11:6 11:4 11:4,CHEN Meng,2023
