slug,name,name_en,name_zh,tier,country,city,start_date,end_date,aliases
2019-men-s-world-cup-chengdu,Men's World Cup Chengdu 2019,Men's World Cup Chengdu 2019,2019 Men's World Cup 成都,WORLD_CUP,,,2019-11-29,2019-11-29,
2019-north-american-team-qualification-rockford,North American Team Qualification Rockford 2019,North American Team Qualification Rockford 2019,2019 North American Team Qualification Rockford,OTHER,,,2019-10-05,2019-10-05,
2019-pacific-games-apla,Pacific Games Apla 2019,Pacific Games Apla 2019,2019 Pacific Games Apla,OTHER,,,2019-07-08,2019-07-08,
2019-pan-american-games-lima,Pan American Games Lima 2019,Pan American Games Lima 2019,2019 Pan American Games 利马,OTHER,,,2019-07-26,2019-07-26,
2019-south-asian-games-kathmandu,South Asian Games Kathmandu 2019,South Asian Games Kathmandu 2019,2019 South Asian Games Kathmandu,OTHER,,,2019-12-04,2019-12-04,
2019-south-east-asian-games-olongapo,South East Asian Games Olongapo 2019,South East Asian Games Olongapo 2019,2019 South East Asian Games Olongapo,OTHER,,,2019-12-06,2019-12-06,
2019-t2-diamond-malaysia-johor-bahru,T2 Diamond Malaysia Johor Bahru 2019,T2 Diamond Malaysia Johor Bahru 2019,2019 T2 Diamond Malaysia Johor Bahru,OTHER,,,2019-07-18,2019-07-18,
2019-t2-diamond-singapore,T2 Diamond Singapore 2019,T2 Diamond Singapore 2019,2019 T2 Diamond 新加坡,OTHER,,,2019-11-21,2019-11-21,
2019-women-s-world-cup-chengdu,Women's World Cup Chengdu 2019,Women's World Cup Chengdu 2019,2019 Women's World Cup 成都,WORLD_CUP,,,2019-10-18,2019-10-18,
2019-world-table-tennis-championships-budapest,World Table Tennis Championships Budapest 2019,World Table Tennis Championships Budapest 2019,2019 世界乒乓球锦标赛 Budapest,WORLD_CHAMPIONSHIPS,,,2019-04-21,2019-04-21,
